Area_name,STCOU,HIS010180F,HIS010180D,HIS010180N1,HIS010180N2,HIS010190F,HIS010190D,HIS010190N1,HIS010190N2,HIS010200F,HIS010200D,HIS010200N1,HIS010200N2,HIS010210F,HIS010210D,HIS010210N1,HIS010210N2,HIS020180F,HIS020180D,HIS020180N1,HIS020180N2,HIS020190F,HIS020190D,HIS020190N1,HIS020190N2,HIS020200F,HIS020200D,HIS020200N1,HIS020200N2,HIS020210F,HIS020210D,HIS020210N1,HIS020210N2,HIS030180F,HIS030180D,HIS030180N1,HIS030180N2,HIS030190F,HIS030190D,HIS030190N1,HIS030190N2
UNITED STATES,00000,0,226545805,0000,0000,0,248709873,0000,0000,0,281421906,0000,0000,0,308745538,0000,0000,0,14603683,0000,0000,0,21900089,0000,0000,0,35238481,0000,0000,0,50477594,0000,0000,0,7329350,0000,0000,0,10771487,0000,0000
ALABAMA,01000,0,3893888,0000,0000,0,4040587,0000,0000,0,4447100,0000,0000,0,4779736,0000,0000,0,33923,0000,0000,0,23579,0000,0000,0,72627,0000,0000,0,185602,0000,0000,0,17099,0000,0000,0,11739,0000,0000
"Autauga, AL",01001,0,32259,0000,0000,0,34222,0000,0000,0,43671,0000,0000,0,54571,0000,0000,0,395,0000,0000,0,228,0000,0000,0,394,0000,0000,0,1310,0000,0000,0,183,0000,0000,0,110,0000,0000
"Baldwin, AL",01003,0,78556,0000,0000,0,98280,0000,0000,0,140415,0000,0000,0,182265,0000,0000,0,655,0000,0000,0,865,0000,0000,0,2341,0000,0000,0,7992,0000,0000,0,282,0000,0000,0,419,0000,0000
"Barbour, AL",01005,0,24756,0000,0000,0,25417,0000,0000,0,29038,0000,0000,0,27457,0000,0000,0,402,0000,0000,0,81,0000,0000,0,509,0000,0000,0,1387,0000,0000,0,228,0000,0000,0,30,0000,0000
"Bibb, AL",01007,0,15723,0000,0000,0,16576,0000,0000,0,20826,0000,0000,0,22915,0000,0000,0,220,0000,0000,0,47,0000,0000,0,181,0000,0000,0,406,0000,0000,0,96,0000,0000,0,22,0000,0000
"Blount, AL",01009,0,36459,0000,0000,0,39248,0000,0000,0,51024,0000,0000,0,57322,0000,0000,0,245,0000,0000,0,280,0000,0000,0,2629,0000,0000,0,4626,0000,0000,0,119,0000,0000,0,146,0000,0000
"Bullock, AL",01011,0,10596,0000,0000,0,11042,0000,0000,0,11714,0000,0000,0,10914,0000,0000,0,145,0000,0000,0,30,0000,0000,0,359,0000,0000,0,777,0000,0000,0,71,0000,0000,0,3,0000,0000
"Butler, AL",01013,0,21680,0000,0000,0,21892,0000,0000,0,21399,0000,0000,0,20947,0000,0000,0,266,0000,0000,0,121,0000,0000,0,118,0000,0000,0,191,0000,0000,0,118,0000,0000,0,73,0000,0000
"Calhoun, AL",01015,0,119761,0000,0000,0,116034,0000,0000,0,112249,0000,0000,0,118572,0000,0000,0,1582,0000,0000,0,1206,0000,0000,0,1912,0000,0000,0,3893,0000,0000,0,721,0000,0000,0,516,0000,0000
