Area_name,STCOU,HIS520199F,HIS520199D,HIS520199N1,HIS520199N2,HIS520209F,HIS520209D,HIS520209N1,HIS520209N2,HIS540199F,HIS540199D,HIS540199N1,HIS540199N2,HIS540209F,HIS540209D,HIS540209N1,HIS540209N2,HIS550199F,HIS550199D,HIS550199N1,HIS550199N2,HIS550209F,HIS550209D,HIS550209N1,HIS550209N2,HIS552209F,HIS552209D,HIS552209N1,HIS552209N2,HIS560199F,HIS560199D,HIS560199N1,HIS560199N2,HIS564209F,HIS564209D,HIS564209N1,HIS564209N2,HIS566209F,HIS566209D,HIS566209N1,HIS566209N2
UNITED STATES,00000,0,579028,0000,0000,0,549883,0000,0000,0,620761,0000,0000,0,658208,0000,0000,0,645179,0000,0000,0,693876,0000,0000,0,671208,0000,0000,0,1174114,0000,0000,0,635242,0000,0000,0,585773,0000,0000
ALABAMA,01000,0,1259,0000,0000,0,1648,0000,0000,0,1462,0000,0000,0,2488,0000,0000,0,1560,0000,0000,0,2149,0000,0000,0,1754,0000,0000,0,2375,0000,0000,0,1863,0000,0000,0,1422,0000,0000
"Autauga, AL",01001,0,2,0000,0000,0,17,0000,0000,0,7,0000,0000,0,0,0000,0000,0,21,0000,0000,0,0,0000,0000,0,18,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000
"Baldwin, AL",01003,0,20,0000,0000,0,131,0000,0000,0,14,0000,0000,0,85,0000,0000,0,61,0000,0000,0,67,0000,0000,0,27,0000,0000,0,45,0000,0000,0,14,0000,0000,0,103,0000,0000
"Barbour, AL",01005,0,7,0000,0000,0,12,0000,0000,0,8,0000,0000,0,24,0000,0000,0,14,0000,0000,0,23,0000,0000,0,0,0000,0000,0,2,0000,0000,0,4,0000,0000,0,25,0000,0000
"Bibb, AL",01007,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,6,0000,0000,0,6,0000,0000,0,36,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000
"Blount, AL",01009,0,26,0000,0000,0,4,0000,0000,0,50,0000,0000,0,49,0000,0000,0,37,0000,0000,0,29,0000,0000,0,181,0000,0000,0,171,0000,0000,0,50,0000,0000,0,50,0000,0000
"Bullock, AL",01011,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,17,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000
"Butler, AL",01013,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,15,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,14,0000,0000,0,0,0000,0000
"Calhoun, AL",01015,0,51,0000,0000,0,37,0000,0000,0,30,0000,0000,0,51,0000,0000,0,31,0000,0000,0,10,0000,0000,0,70,0000,0000,0,53,0000,0000,0,8,0000,0000,0,45,0000,0000
"Chambers, AL",01017,0,9,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,8,0000,0000,0,17,0000,0000,0,0,0000,0000,0,18,0000,0000,0,0,0000,0000,0,0,0000,0000
"Cherokee, AL",01019,0,2,0000,0000,0,0,0000,0000,0,16,0000,0000,0,0,0000,0000,0,0,0000,0000,0,9,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000
"Chilton, AL",01021,0,2,0000,0000,0,0,0000,0000,0,21,0000,0000,0,78,0000,0000,0,29,0000,0000,0,37,0000,0000,0,27,0000,0000,0,39,0000,0000,0,4,0000,0000,0,10,0000,0000
"Choctaw, AL",01023,0,0,0000,0000,0,0,0000,0000,0,19,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,2,0000,0000,0,0,0000,0000,0,0,0000,0000
"Clarke, AL",01025,0,13,0000,0000,0,0,0000,0000,0,11,0000,0000,0,0,0000,0000,0,29,0000,0000,0,0,0000,0000,0,0,0000,0000,0,7,0000,0000,0,0,0000,0000,0,0,0000,0000
"Clay, AL",01027,0,5,0000,0000,0,0,0000,0000,0,3,0000,0000,0,39,0000,0000,0,7,0000,0000,0,0,0000,0000,0,39,0000,0000,0,7,0000,0000,0,12,0000,0000,0,0,0000,0000
"Cleburne, AL",01029,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,13,0000,0000,0,0,0000,0000,0,0,0000,0000,0,5,0000,0000,0,0,0000,0000,0,17,0000,0000
"Coffee, AL",01031,0,8,0000,0000,0,8,0000,0000,0,25,0000,0000,0,20,0000,0000,0,32,0000,0000,0,21,0000,0000,0,19,0000,0000,0,36,0000,0000,0,14,0000,0000,0,12,0000,0000
"Colbert, AL",01033,0,30,0000,0000,0,19,0000,0000,0,0,0000,0000,0,0,0000,0000,0,5,0000,0000,0,32,0000,0000,0,0,0000,0000,0,13,0000,0000,0,31,0000,0000,0,18,0000,0000
"Conecuh, AL",01035,0,5,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,7,0000,0000,0,9,0000,0000,0,0,0000,0000
"Coosa, AL",01037,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000
"Covington, AL",01039,0,15,0000,0000,0,0,0000,0000,0,4,0000,0000,0,0,0000,0000,0,18,0000,0000,0,12,0000,0000,0,0,0000,0000,0,4,0000,0000,0,30,0000,0000,0,0,0000,0000
"Crenshaw, AL",01041,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,4,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,8,0000,0000,0,0,0000,0000
"Cullman, AL",01043,0,41,0000,0000,0,181,0000,0000,0,42,0000,0000,0,77,0000,0000,0,60,0000,0000,0,17,0000,0000,0,20,0000,0000,0,51,0000,0000,0,35,0000,0000,0,33,0000,0000
"Dale, AL",01045,0,35,0000,0000,0,22,0000,0000,0,74,0000,0000,0,42,0000,0000,0,34,0000,0000,0,12,0000,0000,0,9,0000,0000,0,66,0000,0000,0,20,0000,0000,0,17,0000,0000
"Dallas, AL",01047,0,0,0000,0000,0,16,0000,0000,0,0,0000,0000,0,47,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,14,0000,0000,0,0,0000,0000,0,0,0000,0000
"DeKalb, AL",01049,0,41,0000,0000,0,96,0000,0000,0,102,0000,0000,0,198,0000,0000,0,110,0000,0000,0,209,0000,0000,0,73,0000,0000,0,144,0000,0000,0,64,0000,0000,0,10,0000,0000
