Area_name,STCOU,POP665209F,POP665209D,POP665209N1,POP665209N2,POP670209F,POP670209D,POP670209N1,POP670209N2,POP675209F,POP675209D,POP675209N1,POP675209N2,POP680209F,POP680209D,POP680209N1,POP680209N2,POP700180F,POP700180D,POP700180N1,POP700180N2,POP700190F,POP700190D,POP700190N1,POP700190N2,POP700200F,POP700200D,POP700200N1,POP700200N2,POP700209F,POP700209D,POP700209N1,POP700209N2,POP710180F,POP710180D,POP710180N1,POP710180N2,POP710190F,POP710190D,POP710190N1,POP710190N2
UNITED STATES,00000,0,260236655,0000,0000,0,1622680,0000,0000,0,2259328,0000,0000,0,21425851,0000,0000,0,210247455,0000,0000,0,230445777,0000,0000,0,262375152,0000,0000,0,297355080,0000,0000,0,112695416,0000,0000,0,122796970,0000,0000
ALABAMA,01000,0,4464199,0000,0000,0,5147,0000,0000,0,27928,0000,0000,0,93120,0000,0000,0,3598388,0000,0000,0,3759802,0000,0000,0,4152278,0000,0000,0,4573443,0000,0000,0,2074115,0000,0000,0,2155936,0000,0000
"Autauga, AL",01001,0,47936,0000,0000,0,44,0000,0000,0,789,0000,0000,0,445,0000,0000,0,29747,0000,0000,0,31593,0000,0000,0,40526,0000,0000,0,48877,0000,0000,0,15671,0000,0000,0,17584,0000,0000
"Baldwin, AL",01003,0,165526,0000,0000,0,149,0000,0000,0,1177,0000,0000,0,3477,0000,0000,0,72485,0000,0000,0,91579,0000,0000,0,131862,0000,0000,0,169921,0000,0000,0,41551,0000,0000,0,52026,0000,0000
"Barbour, AL",01005,0,28849,0000,0000,0,19,0000,0000,0,34,0000,0000,0,665,0000,0000,0,22798,0000,0000,0,23532,0000,0000,0,27238,0000,0000,0,29271,0000,0000,0,14854,0000,0000,0,14308,0000,0000
"Bibb, AL",01007,0,21146,0000,0000,0,6,0000,0000,0,96,0000,0000,0,81,0000,0000,0,14479,0000,0000,0,15418,0000,0000,0,19429,0000,0000,0,21235,0000,0000,0,9161,0000,0000,0,9639,0000,0000
"Blount, AL",01009,0,54143,0000,0000,0,0,0000,0000,0,126,0000,0000,0,2157,0000,0000,0,33903,0000,0000,0,36576,0000,0000,0,47360,0000,0000,0,56113,0000,0000,0,20416,0000,0000,0,23450,0000,0000
"Bullock, AL",01011,0,10710,0000,0000,0,0,0000,0000,0,52,0000,0000,0,16,0000,0000,0,9702,0000,0000,0,10132,0000,0000,0,11003,0000,0000,0,10752,0000,0000,0,6961,0000,0000,0,6816,0000,0000
"Butler, AL",01013,0,19935,0000,0000,0,0,0000,0000,0,46,0000,0000,0,167,0000,0000,0,19848,0000,0000,0,20271,0000,0000,0,20009,0000,0000,0,19921,0000,0000,0,13010,0000,0000,0,13403,0000,0000
"Calhoun, AL",01015,0,109397,0000,0000,0,134,0000,0000,0,832,0000,0000,0,1649,0000,0000,0,111213,0000,0000,0,108757,0000,0000,0,105320,0000,0000,0,111352,0000,0000,0,57662,0000,0000,0,59971,0000,0000
"Chambers, AL",01017,0,34318,0000,0000,0,47,0000,0000,0,100,0000,0000,0,199,0000,0000,0,36325,0000,0000,0,34486,0000,0000,0,34148,0000,0000,0,34452,0000,0000,0,23684,0000,0000,0,22372,0000,0000
