Areaname,STCOU,SEX100200F,SEX100200D,SEX100200N1,SEX100200N2,SEX100210F,SEX100210D,SEX100210N1,SEX100210N2,SEX120200F,SEX120200D,SEX120200N1,SEX120200N2,SEX150200F,SEX150200D,SEX150200N1,SEX150200N2,SEX150201F,SEX150201D,SEX150201N1,SEX150201N2,SEX150202F,SEX150202D,SEX150202N1,SEX150202N2,SEX150203F,SEX150203D,SEX150203N1,SEX150203N2,SEX150204F,SEX150204D,SEX150204N1,SEX150204N2,SEX150205F,SEX150205D,SEX150205N1,SEX150205N2,SEX150206F,SEX150206D,SEX150206N1,SEX150206N2
UNITED STATES,00000,0,138053563,0000,0000,0,151781326,0000,0000,0,138056129,0000,0000,0,138458548,0000,0000,0,139998551,0000,0000,0,141413818,0000,0000,0,142676927,0000,0000,0,144137674,0000,0000,0,145560767,0000,0000,0,147060702,0000,0000
ALABAMA,01000,0,2146504,0000,0000,0,2320188,0000,0000,0,2146649,0000,0000,0,2149072,0000,0000,0,2156342,0000,0000,0,2161919,0000,0000,0,2172858,0000,0000,0,2182595,0000,0000,0,2199628,0000,0000,0,2225747,0000,0000
"Autauga, AL",01001,0,21221,0000,0000,0,26569,0000,0000,0,21221,0000,0000,0,21318,0000,0000,0,21591,0000,0000,0,21928,0000,0000,0,22222,0000,0000,0,22765,0000,0000,0,23237,0000,0000,0,23839,0000,0000
"Baldwin, AL",01003,0,68848,0000,0000,0,89196,0000,0000,0,68848,0000,0000,0,69323,0000,0000,0,71100,0000,0000,0,72665,0000,0000,0,74417,0000,0000,0,76671,0000,0000,0,79589,0000,0000,0,82452,0000,0000
"Barbour, AL",01005,0,14970,0000,0000,0,14576,0000,0000,0,14970,0000,0000,0,14969,0000,0000,0,15101,0000,0000,0,15259,0000,0000,0,15504,0000,0000,0,15500,0000,0000,0,15512,0000,0000,0,15579,0000,0000
"Bibb, AL",01007,0,10745,0000,0000,0,12301,0000,0000,0,9810,0000,0000,0,9834,0000,0000,0,10795,0000,0000,0,10843,0000,0000,0,10866,0000,0000,0,10981,0000,0000,0,11088,0000,0000,0,11062,0000,0000
"Blount, AL",01009,0,25476,0000,0000,0,28362,0000,0000,0,25474,0000,0000,0,25559,0000,0000,0,25974,0000,0000,0,26362,0000,0000,0,26838,0000,0000,0,27175,0000,0000,0,27444,0000,0000,0,27868,0000,0000
"Bullock, AL",01011,0,6140,0000,0000,0,5912,0000,0000,0,6089,0000,0000,0,6078,0000,0000,0,5994,0000,0000,0,5980,0000,0000,0,6070,0000,0000,0,5904,0000,0000,0,5939,0000,0000,0,5796,0000,0000
"Butler, AL",01013,0,10019,0000,0000,0,9838,0000,0000,0,10019,0000,0000,0,9981,0000,0000,0,9847,0000,0000,0,9675,0000,0000,0,9665,0000,0000,0,9661,0000,0000,0,9601,0000,0000,0,9547,0000,0000
"Calhoun, AL",01015,0,53702,0000,0000,0,57176,0000,0000,0,53699,0000,0000,0,53259,0000,0000,0,53094,0000,0000,0,53018,0000,0000,0,53336,0000,0000,0,53441,0000,0000,0,53655,0000,0000,0,53839,0000,0000
"Chambers, AL",01017,0,17285,0000,0000,0,16363,0000,0000,0,17302,0000,0000,0,17293,0000,0000,0,17181,0000,0000,0,17047,0000,0000,0,16886,0000,0000,0,16771,0000,0000,0,16664,0000,0000,0,16491,0000,0000
"Cherokee, AL",01019,0,11794,0000,0000,0,12888,0000,0000,0,11793,0000,0000,0,11826,0000,0000,0,11827,0000,0000,0,11855,0000,0000,0,11847,0000,0000,0,11877,0000,0000,0,11832,0000,0000,0,11945,0000,0000
"Chilton, AL",01021,0,19581,0000,0000,0,21608,0000,0000,0,19581,0000,0000,0,19678,0000,0000,0,19821,0000,0000,0,20055,0000,0000,0,20207,0000,0000,0,20380,0000,0000,0,20567,0000,0000,0,20731,0000,0000
"Choctaw, AL",01023,0,7489,0000,0000,0,6688,0000,0000,0,7489,0000,0000,0,7455,0000,0000,0,7360,0000,0000,0,7208,0000,0000,0,7133,0000,0000,0,6992,0000,0000,0,6800,0000,0000,0,6751,0000,0000
"Clarke, AL",01025,0,13180,0000,0000,0,12214,0000,0000,0,13184,0000,0000,0,13165,0000,0000,0,13087,0000,0000,0,12906,0000,0000,0,12838,0000,0000,0,12789,0000,0000,0,12699,0000,0000,0,12712,0000,0000
"Clay, AL",01027,0,6952,0000,0000,0,6833,0000,0000,0,6952,0000,0000,0,6958,0000,0000,0,6966,0000,0000,0,6945,0000,0000,0,6901,0000,0000,0,6834,0000,0000,0,6809,0000,0000,0,6771,0000,0000
"Cleburne, AL",01029,0,7037,0000,0000,0,7453,0000,0000,0,7037,0000,0000,0,7056,0000,0000,0,7085,0000,0000,0,7198,0000,0000,0,7206,0000,0000,0,7149,0000,0000,0,7160,0000,0000,0,7254,0000,0000
"Coffee, AL",01031,0,21303,0000,0000,0,24684,0000,0000,0,21306,0000,0000,0,21272,0000,0000,0,21293,0000,0000,0,21330,0000,0000,0,21484,0000,0000,0,21693,0000,0000,0,21908,0000,0000,0,22183,0000,0000
"Colbert, AL",01033,0,26311,0000,0000,0,26159,0000,0000,0,26311,0000,0000,0,26329,0000,0000,0,26259,0000,0000,0,26152,0000,0000,0,26048,0000,0000,0,26086,0000,0000,0,26080,0000,0000,0,26109,0000,0000
