summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,AL,1,,,,,04000US01,Alabama,4830620,3325464,1276544,23850,59599,2439,61078,81646,7032,74614,3396662,1312584,58251,75634,5186,69042,23850,19407,294,79,35,2,24,8870,7,22,172,3362,24,42,false,3679,false,77,44,34,190,61,152,false,671,153,false,32,false,false,93,29,false,164,false,252,35,42,false,7,false,76,4,679,571,90,62,11,4,13,false,false,29,3093,660,59599,11915,577,false,64,802,11286,5586,231,388,1838,10544,1497,121,25,424,10,1900,324,186,1306,9212,false,810,553,2439,588,161,false,47,1246,83,248,false,false,53,13,60697,48528,629,152,1460,11,32,26104,58,147,220,5059,207,112,66,8966,108,90,180,158,320,132,199,20,841,292,37,86,false,18,109,39,28,453,10,589,204,60,false,7,16,80,4,1225,1757,144,72,18,38,13,false,3,69,10199,77135,13476,625,false,79,1051,13261,9617,257,423,3943,13512,1772,296,35,458,46,2015,339,362,1852,10039,false,3677,5387,1479,420,false,97,1694,172,250,22,false,1253,4830620,4748974,3325464,1276544,23850,59599,2439,61078,81646,7032,74614,76866,25175,27134,10465,3705,10387,4471,309
40,AL,1,,,,,04001US01,Alabama -- Urban,2867593,1744088,966888,9158,51023,1893,43849,50694,4627,46067,1786842,991581,27078,63480,3665,49245,9158,7268,215,79,13,0,24,3347,7,9,72,654,24,6,false,1132,false,59,44,31,75,16,55,false,564,53,false,0,false,false,53,29,false,136,false,86,24,17,false,7,false,16,4,417,239,32,21,11,0,0,false,false,25,1320,274,51023,10874,476,false,64,688,9983,4117,83,352,1523,8879,988,67,0,404,0,1758,324,176,938,8133,false,708,488,1893,442,31,false,47,1059,23,238,false,false,41,12,28226,22217,322,152,628,5,32,12010,53,97,90,1454,207,27,62,3789,108,65,180,155,106,16,98,0,708,190,37,0,false,18,57,39,27,357,10,179,193,35,false,7,10,20,4,670,856,61,25,18,15,0,false,3,65,5027,64786,12173,499,false,79,891,11589,7134,83,376,2972,11255,1108,175,0,438,26,1868,339,317,1398,8797,false,3269,3838,1038,226,false,81,1329,99,238,22,false,805,2867593,2816899,1744088,966888,9158,51023,1893,43849,50694,4627,46067,47325,16616,12964,8089,2425,7231,3138,231
40,AL,1,,,,,04043US01,Alabama -- Rural,1963027,1581376,309656,14692,8576,546,17229,30952,2405,28547,1609820,321003,31173,12154,1521,19797,14692,12139,79,0,22,2,0,5523,0,13,100,2708,0,36,false,2547,false,18,0,3,115,45,97,false,107,100,false,32,false,false,40,0,false,28,false,166,11,25,false,0,false,60,0,262,332,58,41,0,4,13,false,false,4,1773,386,8576,1041,101,false,0,114,1303,1469,148,36,315,1665,509,54,25,20,10,142,0,10,368,1079,false,102,65,546,146,130,false,0,187,60,10,false,false,12,1,32471,26311,307,0,832,6,0,14094,5,50,130,3605,0,85,4,5177,0,25,0,3,214,116,101,20,133,102,0,86,false,0,52,0,1,96,0,410,11,25,false,0,6,60,0,555,901,83,47,0,23,13,false,0,4,5172,12349,1303,126,false,0,160,1672,2483,174,47,971,2257,664,121,35,20,20,147,0,45,454,1242,false,408,1549,441,194,false,16,365,73,12,0,false,448,1963027,1932075,1581376,309656,14692,8576,546,17229,30952,2405,28547,29541,8559,14170,2376,1280,3156,1333,78
40,AL,1,,,,,040A0US01,Alabama -- In metropolitan or micropolitan statistical area,4202122,2895098,1104321,18294,57604,1482,51862,73461,6192,67269,2959048,1137068,48308,72828,3894,58957,18294,14929,260,79,24,2,24,7604,7,22,130,2057,24,42,false,2217,false,59,44,34,83,61,143,false,525,153,false,6,false,false,93,29,false,150,false,245,35,42,false,7,false,53,4,671,349,90,62,11,4,13,false,false,29,2424,473,57604,11837,567,false,64,760,10948,5252,231,377,1771,10050,1487,121,25,402,2,1863,324,186,1202,8852,false,733,550,1482,470,161,false,47,450,45,248,false,false,48,13,50211,39954,539,152,1310,11,32,22616,54,123,178,3589,207,109,63,6384,108,72,180,158,158,132,179,20,695,292,37,27,false,18,101,39,28,349,10,507,204,60,false,7,16,57,4,1129,1311,144,72,18,38,13,false,3,69,8733,74326,13348,615,false,79,1009,12810,8988,257,412,3829,12892,1732,296,35,436,38,1958,339,349,1742,9679,false,3483,4088,1354,397,false,97,875,134,250,22,false,959,4202122,4128661,2895098,1104321,18294,57604,1482,51862,73461,6192,67269,69247,22989,23601,10149,3213,9295,3912,302
40,AL,1,,,,,040C0US01,Alabama -- In metropolitan statistical area,3671377,2495436,996310,15504,53790,1287,46002,63048,5485,57563,2550263,1024501,40783,67388,3322,52335,15504,12858,193,79,18,0,24,6633,7,22,78,2022,24,42,false,1640,false,54,44,34,57,61,143,false,399,133,false,6,false,false,87,29,false,150,false,238,35,42,false,7,false,53,4,500,343,80,62,11,4,3,false,false,29,1896,298,53790,11248,466,false,64,756,10032,4678,231,351,1636,9237,1399,121,25,402,0,1845,324,174,1168,8445,false,699,489,1287,366,152,false,45,383,45,238,false,false,45,13,42162,33649,382,152,1149,9,32,19036,10,120,117,3460,207,109,63,4921,108,61,180,158,132,132,175,0,547,270,37,13,false,18,95,39,27,342,10,342,190,60,false,7,16,57,4,862,1190,127,72,18,34,3,false,0,69,7127,68710,12654,489,false,79,1001,11693,7889,257,386,3347,11687,1644,296,35,436,36,1940,339,337,1684,9254,false,3227,3496,1091,385,false,93,700,134,238,22,false,833,3671377,3608329,2495436,996310,15504,53790,1287,46002,63048,5485,57563,59177,19601,19594,9059,2769,8154,3575,296
40,AL,1,,,,,040C1US01,Alabama -- In metropolitan statistical area -- in principal city,1382330,722829,585299,3425,29022,513,18059,23183,2223,20960,741975,596929,11583,34785,1609,20829,3425,2910,95,79,0,0,24,1691,0,3,16,143,0,6,false,253,false,0,33,4,33,0,9,false,210,23,false,0,false,false,20,0,false,43,false,33,6,0,false,7,false,0,0,179,94,11,0,11,0,0,false,false,0,355,55,29022,6994,427,false,32,114,4956,2083,0,293,1115,5933,470,47,0,329,0,788,275,59,749,3867,false,309,182,513,227,15,false,12,126,23,82,false,false,16,12,11957,9578,172,152,227,5,32,5565,0,55,34,629,0,15,59,1285,6,0,155,10,48,0,32,0,314,92,21,0,false,18,24,10,0,125,0,73,76,12,false,7,10,0,0,315,335,22,4,18,0,0,false,0,30,1992,35106,7500,431,false,47,153,5681,3449,0,328,1781,6900,479,155,0,349,0,799,275,113,916,4130,false,1620,1766,555,130,false,44,255,99,82,22,false,579,1382330,1359147,722829,585299,3425,29022,513,18059,23183,2223,20960,21169,7074,5480,3746,1371,3498,1831,183
40,AL,1,,,,,040C2US01,Alabama -- In metropolitan statistical area -- not in principal city,2289047,1772607,411011,12079,24768,774,27943,39865,3262,36603,1808288,427572,29200,32603,1713,31506,12079,9948,98,0,18,0,0,4942,7,19,62,1879,24,36,false,1387,false,54,11,30,24,61,134,false,189,110,false,6,false,false,67,29,false,107,false,205,29,42,false,0,false,53,4,321,249,69,62,0,4,3,false,false,29,1541,243,24768,4254,39,false,32,642,5076,2595,231,58,521,3304,929,74,25,73,0,1057,49,115,419,4578,false,390,307,774,139,137,false,33,257,22,156,false,false,29,1,30205,24071,210,0,922,4,0,13471,10,65,83,2831,207,94,4,3636,102,61,25,148,84,132,143,0,233,178,16,13,false,0,71,29,27,217,10,269,114,48,false,0,6,57,4,547,855,105,68,0,34,3,false,0,39,5135,33604,5154,58,false,32,848,6012,4440,257,58,1566,4787,1165,141,35,87,36,1141,64,224,768,5124,false,1607,1730,536,255,false,49,445,35,156,0,false,254,2289047,2249182,1772607,411011,12079,24768,774,27943,39865,3262,36603,38008,12527,14114,5313,1398,4656,1744,113
40,AL,1,,,,,040E0US01,Alabama -- In micropolitan statistical area,530745,399662,108011,2790,3814,195,5860,10413,707,9706,408785,112567,7525,5440,572,6622,2790,2071,67,0,6,2,0,971,0,0,52,35,0,0,false,577,false,5,0,0,26,0,0,false,126,20,false,0,false,false,6,0,false,0,false,7,0,0,false,0,false,0,0,171,6,10,0,0,0,10,false,false,0,528,175,3814,589,101,false,0,4,916,574,0,26,135,813,88,0,0,0,2,18,0,12,34,407,false,34,61,195,104,9,false,2,67,0,10,false,false,3,0,8049,6305,157,0,161,2,0,3580,44,3,61,129,0,0,0,1463,0,11,0,0,26,0,4,20,148,22,0,14,false,0,6,0,1,7,0,165,14,0,false,0,0,0,0,267,121,17,0,0,4,10,false,3,0,1606,5616,694,126,false,0,8,1117,1099,0,26,482,1205,88,0,0,0,2,18,0,12,58,425,false,256,592,263,12,false,4,175,0,12,0,false,126,530745,520332,399662,108011,2790,3814,195,5860,10413,707,9706,10070,3388,4007,1090,444,1141,337,6
40,AL,1,,,,,040E1US01,Alabama -- In micropolitan statistical area -- in principal city,169958,111065,50593,697,1907,39,2313,3344,372,2972,113807,52169,2014,2578,170,2716,697,499,45,0,6,0,0,222,0,0,0,18,0,0,false,52,false,0,0,0,0,0,0,false,46,0,false,0,false,false,0,0,false,0,false,0,0,0,false,0,false,0,0,110,0,0,0,0,0,0,false,false,0,161,37,1907,210,0,false,0,4,628,171,0,0,55,594,11,0,0,0,0,16,0,12,17,163,false,12,14,39,29,0,false,0,10,0,0,false,false,0,0,2150,1562,62,0,37,0,0,941,44,0,0,32,0,0,0,241,0,0,0,0,0,0,0,0,63,0,0,0,false,0,0,0,0,0,0,4,14,0,false,0,0,0,0,124,61,0,0,0,0,0,false,0,0,527,2623,239,0,false,0,8,692,376,0,0,199,819,11,0,0,0,0,16,0,12,17,163,false,71,170,120,0,false,0,24,0,0,0,false,26,169958,166614,111065,50593,697,1907,39,2313,3344,372,2972,3192,984,947,534,191,536,152,0
40,AL,1,,,,,040E2US01,Alabama -- In micropolitan statistical area -- not in principal city,360787,288597,57418,2093,1907,156,3547,7069,335,6734,294978,60398,5511,2862,402,3906,2093,1572,22,0,0,2,0,749,0,0,52,17,0,0,false,525,false,5,0,0,26,0,0,false,80,20,false,0,false,false,6,0,false,0,false,7,0,0,false,0,false,0,0,61,6,10,0,0,0,10,false,false,0,367,138,1907,379,101,false,0,0,288,403,0,26,80,219,77,0,0,0,2,2,0,0,17,244,false,22,47,156,75,9,false,2,57,0,10,false,false,3,0,5899,4743,95,0,124,2,0,2639,0,3,61,97,0,0,0,1222,0,11,0,0,26,0,4,20,85,22,0,14,false,0,6,0,1,7,0,161,0,0,false,0,0,0,0,143,60,17,0,0,4,10,false,3,0,1079,2993,455,126,false,0,0,425,723,0,26,283,386,77,0,0,0,2,2,0,0,41,262,false,185,422,143,12,false,4,151,0,12,0,false,100,360787,353718,288597,57418,2093,1907,156,3547,7069,335,6734,6878,2404,3060,556,253,605,185,6
