summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,DE,10,,,,,04000US10,Delaware,926454,642623,200481,3140,33643,306,20995,25266,2699,22567,664065,217312,8840,38746,1168,23906,3140,1995,6,false,39,false,false,394,false,7,14,5,false,false,false,false,false,305,false,false,43,false,57,false,162,24,false,false,false,false,4,false,28,28,false,30,17,25,false,false,false,false,false,807,132,30,13,false,false,false,11,6,4,869,110,33643,14105,74,false,9,130,7232,3481,59,103,418,2459,153,53,false,348,false,2052,78,316,162,1713,false,319,379,306,99,14,false,5,134,false,false,31,false,23,false,9135,6017,95,false,261,7,false,2326,false,94,72,49,false,false,false,6,30,440,31,false,147,false,138,false,367,115,false,57,16,false,23,72,28,28,false,164,177,25,false,false,8,72,false,1169,453,48,13,false,12,false,11,12,4,2613,39199,14681,74,false,9,201,7942,5294,59,113,1258,3040,184,82,false,360,false,2112,78,354,215,2062,false,1081,1176,354,31,14,32,200,false,60,31,false,454,926454,901188,642623,200481,3140,33643,306,20995,25266,2699,22567,23028,11805,2880,3259,1302,3782,2159,79
40,DE,10,,,,,04001US10,Delaware -- Urban,768071,508322,183310,2495,31850,284,19132,22678,2386,20292,527399,198802,7471,36487,1136,21679,2495,1457,6,false,39,false,false,300,false,0,14,5,false,false,false,false,false,208,false,false,31,false,39,false,42,24,false,false,false,false,0,false,28,28,false,30,17,9,false,false,false,false,false,637,122,30,13,false,false,false,11,6,4,792,90,31850,13826,74,false,9,112,6995,3145,59,103,402,2290,110,53,false,348,false,1483,78,316,149,1601,false,318,379,284,96,13,false,5,117,false,false,31,false,22,false,7746,5047,84,false,259,7,false,2031,false,87,72,49,false,false,false,6,30,334,0,false,93,false,114,false,240,115,false,57,16,false,19,72,28,28,false,147,177,9,false,false,8,72,false,893,381,48,13,false,12,false,11,12,4,2266,36932,14355,74,false,9,183,7638,4835,59,113,1213,2780,141,82,false,360,false,1543,78,354,202,1899,false,1014,1136,342,30,14,32,183,false,60,31,false,444,768071,745393,508322,183310,2495,31850,284,19132,22678,2386,20292,20524,10698,2257,2894,1240,3435,2083,71
40,DE,10,,,,,04043US10,Delaware -- Rural,158383,134301,17171,645,1793,22,1863,2588,313,2275,136666,18510,1369,2259,32,2227,645,538,0,false,0,false,false,94,false,7,0,0,false,false,false,false,false,97,false,false,12,false,18,false,120,0,false,false,false,false,4,false,0,0,false,0,0,16,false,false,false,false,false,170,10,0,0,false,false,false,0,0,0,77,20,1793,279,0,false,0,18,237,336,0,0,16,169,43,0,false,0,false,569,0,0,13,112,false,1,0,22,3,1,false,0,17,false,false,0,false,1,false,1389,970,11,false,2,0,false,295,false,7,0,0,false,false,false,0,0,106,31,false,54,false,24,false,127,0,false,0,0,false,4,0,0,0,false,17,0,16,false,false,0,0,false,276,72,0,0,false,0,false,0,0,0,347,2267,326,0,false,0,18,304,459,0,0,45,260,43,0,false,0,false,569,0,0,13,163,false,67,40,12,1,0,0,17,false,0,0,false,10,158383,155795,134301,17171,645,1793,22,1863,2588,313,2275,2504,1107,623,365,62,347,76,8
40,DE,10,,,,,040A0US10,Delaware -- In metropolitan or micropolitan statistical area,926454,642623,200481,3140,33643,306,20995,25266,2699,22567,664065,217312,8840,38746,1168,23906,3140,1995,6,false,39,false,false,394,false,7,14,5,false,false,false,false,false,305,false,false,43,false,57,false,162,24,false,false,false,false,4,false,28,28,false,30,17,25,false,false,false,false,false,807,132,30,13,false,false,false,11,6,4,869,110,33643,14105,74,false,9,130,7232,3481,59,103,418,2459,153,53,false,348,false,2052,78,316,162,1713,false,319,379,306,99,14,false,5,134,false,false,31,false,23,false,9135,6017,95,false,261,7,false,2326,false,94,72,49,false,false,false,6,30,440,31,false,147,false,138,false,367,115,false,57,16,false,23,72,28,28,false,164,177,25,false,false,8,72,false,1169,453,48,13,false,12,false,11,12,4,2613,39199,14681,74,false,9,201,7942,5294,59,113,1258,3040,184,82,false,360,false,2112,78,354,215,2062,false,1081,1176,354,31,14,32,200,false,60,31,false,454,926454,901188,642623,200481,3140,33643,306,20995,25266,2699,22567,23028,11805,2880,3259,1302,3782,2159,79
40,DE,10,,,,,040C0US10,Delaware -- In metropolitan statistical area,926454,642623,200481,3140,33643,306,20995,25266,2699,22567,664065,217312,8840,38746,1168,23906,3140,1995,6,false,39,false,false,394,false,7,14,5,false,false,false,false,false,305,false,false,43,false,57,false,162,24,false,false,false,false,4,false,28,28,false,30,17,25,false,false,false,false,false,807,132,30,13,false,false,false,11,6,4,869,110,33643,14105,74,false,9,130,7232,3481,59,103,418,2459,153,53,false,348,false,2052,78,316,162,1713,false,319,379,306,99,14,false,5,134,false,false,31,false,23,false,9135,6017,95,false,261,7,false,2326,false,94,72,49,false,false,false,6,30,440,31,false,147,false,138,false,367,115,false,57,16,false,23,72,28,28,false,164,177,25,false,false,8,72,false,1169,453,48,13,false,12,false,11,12,4,2613,39199,14681,74,false,9,201,7942,5294,59,113,1258,3040,184,82,false,360,false,2112,78,354,215,2062,false,1081,1176,354,31,14,32,200,false,60,31,false,454,926454,901188,642623,200481,3140,33643,306,20995,25266,2699,22567,23028,11805,2880,3259,1302,3782,2159,79
40,DE,10,,,,,040C1US10,Delaware -- In metropolitan statistical area -- in principal city,108693,42367,55614,228,2069,95,4675,3645,762,2883,44955,58260,1487,2452,233,5443,228,118,0,false,0,false,false,11,false,0,0,0,false,false,false,false,false,0,false,false,3,false,0,false,0,0,false,false,false,false,0,false,0,25,false,0,0,0,false,false,false,false,false,79,5,0,0,false,false,false,0,0,0,99,6,2069,402,0,false,0,0,376,543,59,14,31,154,0,0,false,104,false,109,0,53,0,135,false,25,64,95,26,0,false,0,69,false,false,0,false,0,false,1502,772,36,false,3,7,false,339,false,55,0,0,false,false,false,6,0,20,0,false,3,false,0,false,150,5,false,0,0,false,0,0,0,25,false,0,0,0,false,false,0,0,false,123,68,0,0,false,0,false,0,0,0,662,2550,434,0,false,0,0,403,726,59,14,196,225,0,0,false,104,false,111,0,53,4,139,false,82,233,66,0,14,27,74,false,0,0,false,52,108693,105048,42367,55614,228,2069,95,4675,3645,762,2883,3174,1241,332,188,512,901,450,21
40,DE,10,,,,,040C2US10,Delaware -- In metropolitan statistical area -- not in principal city,817761,600256,144867,2912,31574,211,16320,21621,1937,19684,619110,159052,7353,36294,935,18463,2912,1877,6,false,39,false,false,383,false,7,14,5,false,false,false,false,false,305,false,false,40,false,57,false,162,24,false,false,false,false,4,false,28,3,false,30,17,25,false,false,false,false,false,728,127,30,13,false,false,false,11,6,4,770,104,31574,13703,74,false,9,130,6856,2938,0,89,387,2305,153,53,false,244,false,1943,78,263,162,1578,false,294,315,211,73,14,false,5,65,false,false,31,false,23,false,7633,5245,59,false,258,0,false,1987,false,39,72,49,false,false,false,0,30,420,31,false,144,false,138,false,217,110,false,57,16,false,23,72,28,3,false,164,177,25,false,false,8,72,false,1046,385,48,13,false,12,false,11,12,4,1951,36649,14247,74,false,9,201,7539,4568,0,99,1062,2815,184,82,false,256,false,2001,78,301,211,1923,false,999,943,288,31,0,5,126,false,60,31,false,402,817761,796140,600256,144867,2912,31574,211,16320,21621,1937,19684,19854,10564,2548,3071,790,2881,1709,58
50,DE,10,1,,,,05000US10001,"Kent County, Delaware",169509,113925,41211,1090,3545,116,2529,7093,529,6564,119517,46254,3055,5163,527,3085,1090,690,0,false,6,false,false,167,false,0,14,0,false,false,false,false,false,244,false,false,20,false,0,false,0,0,false,false,false,false,0,false,28,28,false,30,0,0,false,false,false,false,false,153,12,13,13,false,false,false,0,0,0,342,33,3545,1127,0,false,0,0,328,1099,0,0,117,335,0,0,false,0,false,142,0,53,41,207,false,19,77,116,35,11,false,0,70,false,false,0,false,0,false,3232,2159,24,false,24,0,false,709,false,55,26,8,false,false,false,6,30,293,0,false,28,false,3,false,150,91,false,0,16,false,0,72,28,28,false,76,91,0,false,false,0,72,false,329,135,13,13,false,0,false,0,0,0,925,5267,1206,0,false,0,0,443,2150,0,0,347,476,0,29,false,0,false,181,0,53,59,248,false,75,527,190,28,0,0,70,false,0,0,false,239,169509,162416,113925,41211,1090,3545,116,2529,7093,529,6564,6115,2878,726,858,642,1011,957,21
50,DE,10,3,,,,05000US10003,"New Castle County, Delaware",549643,359848,133019,1112,27725,153,14004,13782,1807,11975,371735,142091,3572,30576,512,15956,1112,609,0,false,33,false,false,170,false,0,0,5,false,false,false,false,false,61,false,false,18,false,39,false,74,0,false,false,false,false,0,false,0,0,false,0,17,16,false,false,false,false,false,176,107,17,0,false,false,false,11,6,0,323,56,27725,12658,74,false,9,112,6566,1746,59,97,272,1921,110,0,false,253,false,1658,78,263,94,1161,false,295,299,153,48,2,false,5,48,false,false,31,false,19,false,3672,2273,54,false,205,7,false,1011,false,32,34,38,false,false,false,0,0,137,0,false,24,false,98,false,118,0,false,57,0,false,19,0,0,0,false,82,86,16,false,false,8,0,false,247,239,35,0,false,12,false,11,12,0,1125,30888,13053,74,false,9,183,7110,2317,59,107,847,2325,124,0,false,265,false,1667,78,301,112,1383,false,874,512,127,2,14,32,103,false,0,31,false,203,549643,535861,359848,133019,1112,27725,153,14004,13782,1807,11975,12815,6740,1163,2090,544,2278,917,50
50,DE,10,5,,,,05000US10005,"Sussex County, Delaware",207302,168850,26251,938,2373,37,4462,4391,363,4028,172813,28967,2213,3007,129,4865,938,696,6,false,0,false,false,57,false,7,0,0,false,false,false,false,false,0,false,false,5,false,18,false,88,24,false,false,false,false,4,false,0,0,false,0,0,9,false,false,false,false,false,478,13,0,0,false,false,false,0,0,4,204,21,2373,320,0,false,0,18,338,636,0,6,29,203,43,53,false,95,false,252,0,0,27,345,false,5,3,37,16,1,false,0,16,false,false,0,false,4,false,2231,1585,17,false,32,0,false,606,false,7,12,3,false,false,false,0,0,10,31,false,95,false,37,false,99,24,false,0,0,false,4,0,0,0,false,6,0,9,false,false,0,0,false,593,79,0,0,false,0,false,0,0,4,563,3044,422,0,false,0,18,389,827,0,6,64,239,60,53,false,95,false,264,0,0,44,431,false,132,137,37,1,0,0,27,false,60,0,false,12,207302,202911,168850,26251,938,2373,37,4462,4391,363,4028,4098,2187,991,311,116,493,285,8
