summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,FL,12,,,,,04000US12,Florida,19645772,14934702,3171108,54569,509085,11024,493202,472082,87803,384279,15327007,3401179,156000,645847,35770,589673,54569,37004,983,16,824,196,556,9632,80,222,1246,697,false,129,45,3464,5,245,52,58,1529,55,884,55,3595,401,59,47,18,73,343,239,43,2977,37,1209,2968,514,8,false,false,189,29,3282,2192,1451,122,135,1032,121,30,11,112,12148,1662,509085,139420,5214,225,3133,6073,86420,97381,1621,2159,14073,27571,4938,484,161,1178,105,17074,1767,3042,12894,70279,177,5538,8158,11024,3320,1236,201,121,3328,451,574,123,33,1371,266,162267,115311,2653,66,5973,501,1604,43853,386,1068,3285,3618,7,308,420,9102,283,815,253,385,4927,72,1510,206,4930,1208,223,178,49,73,576,408,43,5795,135,3488,7409,944,8,false,18,307,337,7887,6186,2299,499,245,1291,179,30,55,227,38244,660062,158630,5425,225,3347,7036,111890,139111,1770,3263,30295,39443,5952,798,228,1219,263,19150,2042,3867,18717,78659,325,28407,36448,8437,2712,502,579,5449,654,765,184,76,17090,19645772,19173690,14934702,3171108,54569,509085,11024,493202,472082,87803,384279,437703,151713,66755,84372,12192,122671,31616,2763
40,FL,12,,,,,04001US12,Florida -- Urban,17942468,13482441,3007768,45899,489607,10164,466606,439983,82761,357222,13847153,3224395,136298,618977,33210,557520,45899,30394,863,16,665,196,530,8081,80,176,1179,575,false,129,45,1961,5,245,38,53,1466,55,782,49,3211,362,35,46,18,73,212,225,43,1659,34,1060,2756,453,0,false,false,180,0,2838,1887,1405,122,135,986,121,30,11,112,10619,1482,489607,135319,5170,225,2980,5518,83100,93262,1166,2033,13486,25877,4486,484,153,1160,105,16694,1767,2816,12384,68434,168,5052,7768,10164,3142,1129,190,117,2983,451,429,123,0,1334,266,141736,99984,2430,66,5192,499,1573,38103,259,956,3105,3160,7,236,370,6514,252,815,189,371,4743,67,1345,200,4411,1027,185,163,49,73,445,394,43,4112,122,3064,7006,865,0,false,8,274,186,7105,5620,2164,459,245,1211,164,30,55,201,33767,632668,153763,5381,225,3164,6439,107482,131843,1208,3068,29026,37199,5460,798,208,1201,263,18691,2042,3554,17987,76344,316,27006,33837,8023,2517,491,543,4959,654,620,148,43,15839,17942468,17502485,13482441,3007768,45899,489607,10164,466606,439983,82761,357222,407833,142759,57968,79889,11254,115963,29601,2549
40,FL,12,,,,,04043US12,Florida -- Rural,1703304,1452261,163340,8670,19478,860,26596,32099,5042,27057,1479854,176784,19702,26870,2560,32153,8670,6610,120,0,159,0,26,1551,0,46,67,122,false,0,0,1503,0,0,14,5,63,0,102,6,384,39,24,1,0,0,131,14,0,1318,3,149,212,61,8,false,false,9,29,444,305,46,0,0,46,0,0,0,0,1529,180,19478,4101,44,0,153,555,3320,4119,455,126,587,1694,452,0,8,18,0,380,0,226,510,1845,9,486,390,860,178,107,11,4,345,0,145,0,33,37,0,20531,15327,223,0,781,2,31,5750,127,112,180,458,0,72,50,2588,31,0,64,14,184,5,165,6,519,181,38,15,0,0,131,14,0,1683,13,424,403,79,8,false,10,33,151,782,566,135,40,0,80,15,0,0,26,4477,27394,4867,44,0,183,597,4408,7268,562,195,1269,2244,492,0,20,18,0,459,0,313,730,2315,9,1401,2611,414,195,11,36,490,0,145,36,33,1251,1703304,1671205,1452261,163340,8670,19478,860,26596,32099,5042,27057,29870,8954,8787,4483,938,6708,2015,214
40,FL,12,,,,,040A0US12,Florida -- In metropolitan or micropolitan statistical area,19298267,14664445,3107837,52417,507536,10789,489927,465316,87106,378210,15051250,3334533,150847,643242,35161,585687,52417,35317,948,16,741,196,534,9289,80,216,1243,680,false,129,44,3038,5,245,38,53,1512,55,875,55,3533,399,54,46,18,73,341,239,43,2366,37,1199,2968,514,8,false,false,189,29,3269,2166,1443,122,135,1024,121,30,11,112,11783,1596,507536,138983,5197,225,3133,6058,86198,97011,1621,2123,14012,27524,4900,484,161,1178,105,17021,1767,3030,12805,70250,168,5446,8136,10789,3292,1132,190,121,3269,451,574,123,0,1371,266,156902,111227,2557,66,5587,499,1582,42276,365,1059,3269,3520,7,308,415,8371,258,815,189,380,4885,67,1490,206,4866,1160,218,177,49,73,574,408,43,5128,125,3427,7389,944,8,false,18,307,337,7805,6118,2278,499,245,1270,179,30,55,201,37078,657406,158126,5408,225,3347,7010,111600,138335,1770,3224,30166,39266,5914,798,228,1219,263,19079,2042,3831,18587,78541,316,28111,35820,8283,2608,491,579,5390,654,765,184,43,16823,19298267,18832951,14664445,3107837,52417,507536,10789,489927,465316,87106,378210,431243,149469,64621,83849,11663,121641,31412,2661
40,FL,12,,,,,040C0US12,Florida -- In metropolitan statistical area,18941821,14374731,3063793,50343,504872,10612,478781,458689,86145,372544,14755938,3287753,146501,639085,34597,573428,50343,33470,912,16,729,196,530,8906,80,185,1227,676,false,129,44,3007,5,245,38,53,1414,55,854,55,3277,366,54,46,18,73,239,235,43,1752,37,1153,2949,508,8,false,false,118,0,3238,2062,1422,122,135,1003,121,30,11,112,11702,1575,504872,138547,5134,225,3103,6055,85932,95947,1621,2112,13925,27323,4832,484,161,1167,105,16989,1767,3000,12620,70155,168,5403,8097,10612,3268,1087,190,121,3251,451,514,123,0,1341,266,152461,107515,2478,66,5429,499,1578,41079,361,1015,3230,3282,7,295,415,8278,258,804,189,380,4660,67,1469,206,4610,1051,218,177,49,73,454,404,43,4446,125,3369,7226,938,8,false,18,236,308,7717,5943,2251,499,239,1249,179,30,55,201,36551,653198,157585,5345,225,3317,7001,111228,136763,1770,3182,29940,38963,5835,798,228,1208,263,19047,2042,3729,18306,78409,316,27698,35256,8158,2540,491,577,5349,654,705,184,43,16555,18941821,18483132,14374731,3063793,50343,504872,10612,478781,458689,86145,372544,424955,147491,62797,83033,11490,120144,31079,2655
40,FL,12,,,,,040C1US12,Florida -- In metropolitan statistical area -- in principal city,5204484,3663868,1114637,14222,143154,3050,128156,137397,22940,114457,3780101,1184335,41428,182643,9696,153285,14222,9177,296,16,247,50,194,2597,53,21,467,82,false,60,4,604,5,57,16,39,291,0,455,18,670,227,17,3,0,0,83,81,0,383,9,234,629,207,0,false,false,109,0,953,605,455,40,52,318,37,0,8,24,3473,488,143154,38313,1219,225,2292,3205,23690,29702,195,476,3693,8053,2107,215,89,585,0,2463,607,1189,3984,17204,37,1503,2108,3050,773,263,70,7,982,145,211,30,0,569,0,42934,29860,605,28,1466,72,481,11111,135,351,1080,955,0,170,80,2650,33,173,50,330,1195,0,676,26,913,540,88,39,0,0,194,111,0,844,34,807,1616,259,0,false,0,146,122,2480,1667,888,298,141,346,75,0,28,24,10495,186138,42619,1232,225,2349,3784,29791,43019,206,827,8920,11157,2564,376,99,585,38,2800,679,1284,5794,20107,76,7607,9802,2074,697,127,38,1599,253,211,30,43,4730,5204484,5067087,3663868,1114637,14222,143154,3050,128156,137397,22940,114457,128549,47952,17407,26703,3974,32513,8120,728
40,FL,12,,,,,040C2US12,Florida -- In metropolitan statistical area -- not in principal city,13737337,10710863,1949156,36121,361718,7562,350625,321292,63205,258087,10975837,2103418,105073,456442,24901,420143,36121,24293,616,0,482,146,336,6309,27,164,760,594,false,69,40,2403,0,188,22,14,1123,55,399,37,2607,139,37,43,18,73,156,154,43,1369,28,919,2320,301,8,false,false,9,0,2285,1457,967,82,83,685,84,30,3,88,8229,1087,361718,100234,3915,0,811,2850,62242,66245,1426,1636,10232,19270,2725,269,72,582,105,14526,1160,1811,8636,52951,131,3900,5989,7562,2495,824,120,114,2269,306,303,93,0,772,266,109527,77655,1873,38,3963,427,1097,29968,226,664,2150,2327,7,125,335,5628,225,631,139,50,3465,67,793,180,3697,511,130,138,49,73,260,293,43,3602,91,2562,5610,679,8,false,18,90,186,5237,4276,1363,201,98,903,104,30,27,177,26056,467060,114966,4113,0,968,3217,81437,93744,1564,2355,21020,27806,3271,422,129,623,225,16247,1363,2445,12512,58302,240,20091,25454,6084,1843,364,539,3750,401,494,154,0,11825,13737337,13416045,10710863,1949156,36121,361718,7562,350625,321292,63205,258087,296406,99539,45390,56330,7516,87631,22959,1927
40,FL,12,,,,,040E0US12,Florida -- In micropolitan statistical area,356446,289714,44044,2074,2664,177,11146,6627,961,5666,295312,46780,4346,4157,564,12259,2074,1847,36,0,12,0,4,383,0,31,16,4,false,0,0,31,0,0,0,0,98,0,21,0,256,33,0,0,0,0,102,4,0,614,0,46,19,6,0,false,false,71,29,31,104,21,0,0,21,0,0,0,0,81,21,2664,436,63,0,30,3,266,1064,0,11,87,201,68,0,0,11,0,32,0,30,185,95,0,43,39,177,24,45,0,0,18,0,60,0,0,30,0,4441,3712,79,0,158,0,4,1197,4,44,39,238,0,13,0,93,0,11,0,0,225,0,21,0,256,109,0,0,0,0,120,4,0,682,0,58,163,6,0,false,0,71,29,88,175,27,0,6,21,0,0,0,0,527,4208,541,63,0,30,9,372,1572,0,42,226,303,79,0,0,11,0,32,0,102,281,132,0,413,564,125,68,0,2,41,0,60,0,0,268,356446,349819,289714,44044,2074,2664,177,11146,6627,961,5666,6288,1978,1824,816,173,1497,333,6
40,FL,12,,,,,040E1US12,Florida -- In micropolitan statistical area -- in principal city,73281,51348,16741,370,680,18,2478,1646,333,1313,52585,17606,705,1206,57,2811,370,350,0,0,0,0,0,178,0,31,0,0,false,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,12,0,36,0,0,0,false,false,71,0,0,0,0,0,0,0,0,0,0,0,11,9,680,202,0,0,0,0,12,368,0,0,9,0,0,0,0,0,0,12,0,9,28,12,0,12,16,18,0,0,0,0,18,0,0,0,0,0,0,714,607,9,0,6,0,0,230,0,31,0,120,0,0,0,47,0,0,0,0,22,0,0,0,0,0,0,0,0,0,18,0,0,13,0,36,0,0,0,false,0,71,0,4,24,6,0,6,0,0,0,0,0,77,1222,272,0,0,0,0,74,482,0,0,32,12,0,0,0,0,0,12,0,9,59,17,0,253,57,31,0,0,2,18,0,0,0,0,6,73281,71635,51348,16741,370,680,18,2478,1646,333,1313,1609,556,275,220,28,530,31,6
40,FL,12,,,,,040E2US12,Florida -- In micropolitan statistical area -- not in principal city,283165,238366,27303,1704,1984,159,8668,4981,628,4353,242727,29174,3641,2951,507,9448,1704,1497,36,0,12,0,4,205,0,0,16,4,false,0,0,31,0,0,0,0,76,0,21,0,256,33,0,0,0,0,102,4,0,602,0,10,19,6,0,false,false,0,29,31,104,21,0,0,21,0,0,0,0,70,12,1984,234,63,0,30,3,254,696,0,11,78,201,68,0,0,11,0,20,0,21,157,83,0,31,23,159,24,45,0,0,0,0,60,0,0,30,0,3727,3105,70,0,152,0,4,967,4,13,39,118,0,13,0,46,0,11,0,0,203,0,21,0,256,109,0,0,0,0,102,4,0,669,0,22,163,6,0,false,0,0,29,84,151,21,0,0,21,0,0,0,0,450,2986,269,63,0,30,9,298,1090,0,42,194,291,79,0,0,11,0,20,0,93,222,115,0,160,507,94,68,0,0,23,0,60,0,0,262,283165,278184,238366,27303,1704,1984,159,8668,4981,628,4353,4679,1422,1549,596,145,967,302,0
