summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,GA,13,,,,,04000US13,Georgia,10006693,6025691,3096757,25887,360448,4704,279403,213803,31108,182695,6201600,3212824,80271,418415,12893,312943,25887,16037,264,28,229,27,152,6231,17,175,243,371,false,36,8,935,4,48,49,107,451,false,373,false,3232,219,49,true,false,false,245,false,false,164,67,217,431,325,12,false,33,148,false,1146,1758,415,79,20,258,58,false,false,8,6859,810,360448,111111,4923,1363,5281,4999,53627,20891,3798,2226,8179,54364,5760,148,158,3020,false,10744,1187,3497,4521,50609,32,4458,5552,4704,1399,1032,116,67,789,75,634,90,62,380,60,83623,57264,1046,61,2620,262,242,30017,54,629,819,1941,false,94,218,3580,64,317,259,118,1247,false,817,64,4403,759,134,13,15,9,285,14,93,577,165,1214,1355,518,86,27,33,225,false,2870,5146,658,117,123,267,148,3,false,15,20540,426718,118043,5148,1541,5557,6623,62947,32724,4175,2855,15300,66670,7007,306,251,3238,38,12334,1351,3884,6786,54891,51,14998,13151,4210,1863,129,168,1496,87,858,242,62,4036,10006693,9792890,6025691,3096757,25887,360448,4704,279403,213803,31108,182695,197046,75013,30822,35958,9207,46046,15199,1558
40,GA,13,,,,,04001US13,Georgia -- Urban,7563590,4072647,2711856,20752,339477,3801,239636,175421,25863,149558,4213818,2809797,62680,390415,10640,267702,20752,12524,211,0,180,18,143,4601,8,155,196,333,false,30,8,554,1,41,41,12,422,false,310,false,2774,184,49,true,false,false,142,false,false,96,67,158,415,257,0,false,33,148,false,936,1447,326,79,16,176,55,false,false,8,5823,624,339477,105730,4902,1363,5049,4852,51183,18406,1903,2077,7291,52344,5076,145,144,2818,false,10355,1172,3350,4154,48083,32,4018,5030,3801,926,960,16,54,638,75,602,63,62,345,60,65432,44191,842,33,2339,210,233,21751,43,427,594,1567,false,30,157,2593,56,270,251,23,1119,false,707,64,3896,670,116,13,15,9,177,14,93,435,158,932,1327,399,69,5,33,225,false,2296,3858,399,117,37,185,60,0,false,15,16969,397752,112208,5119,1541,5306,6123,59748,28451,2280,2706,13238,62855,6199,292,217,3036,22,11764,1334,3737,6211,51943,51,13371,10867,3296,1695,29,126,1262,87,759,215,62,3336,7563590,7388169,4072647,2711856,20752,339477,3801,239636,175421,25863,149558,160835,61064,20384,31586,8479,39322,13258,1328
40,GA,13,,,,,04043US13,Georgia -- Rural,2443103,1953044,384901,5135,20971,903,39767,38382,5245,33137,1987782,403027,17591,28000,2253,45241,5135,3513,53,28,49,9,9,1630,9,20,47,38,false,6,0,381,3,7,8,95,29,false,63,false,458,35,0,false,false,false,103,false,false,68,0,59,16,68,12,false,0,0,false,210,311,89,0,4,82,3,false,false,0,1036,186,20971,5381,21,0,232,147,2444,2485,1895,149,888,2020,684,3,14,202,false,389,15,147,367,2526,0,440,522,903,473,72,100,13,151,0,32,27,0,35,0,18191,13073,204,28,281,52,9,8266,11,202,225,374,false,64,61,987,8,47,8,95,128,false,110,0,507,89,18,0,0,0,108,0,0,142,7,282,28,119,17,22,0,0,false,574,1288,259,0,86,82,88,3,false,0,3571,28966,5835,29,0,251,500,3199,4273,1895,149,2062,3815,808,14,34,202,16,570,17,147,575,2948,0,1627,2284,914,168,100,42,234,0,99,27,0,700,2443103,2404721,1953044,384901,5135,20971,903,39767,38382,5245,33137,36211,13949,10438,4372,728,6724,1941,230
40,GA,13,,,,,040A0US13,Georgia -- In metropolitan or micropolitan statistical area,9218571,5480603,2888474,24350,356334,4603,261117,203090,28968,174122,5646659,2999368,75485,413264,12528,292459,24350,14847,236,15,211,27,152,5652,17,175,209,363,false,35,0,806,4,48,41,107,443,false,360,false,3090,183,49,true,false,false,221,false,false,164,67,200,423,269,8,false,33,148,false,1090,1690,411,79,16,258,58,false,false,8,6595,799,356334,110012,4907,1363,5257,4967,52860,20059,3798,2216,8000,54142,5731,148,158,3020,false,10596,1172,3497,4504,50031,32,4347,5517,4603,1365,1025,104,67,782,75,634,80,62,349,60,78693,53601,934,48,2507,262,242,27731,54,629,623,1910,false,83,168,3305,64,277,251,118,1188,false,804,64,4232,715,131,13,15,9,261,14,93,561,165,1195,1339,462,77,27,33,225,false,2772,4915,552,117,99,267,66,3,false,15,19610,421427,116851,5124,1541,5533,6581,62084,31763,4175,2845,14949,66037,6967,306,251,3238,38,12172,1334,3884,6764,54222,51,14717,12779,4139,1829,117,168,1489,87,858,232,62,3798,9218571,9015481,5480603,2888474,24350,356334,4603,261117,203090,28968,174122,186679,70800,28080,35265,8978,43556,14855,1556
40,GA,13,,,,,040C0US13,Georgia -- In metropolitan statistical area,8233886,4799194,2636681,22297,345512,4244,238050,187908,26784,161124,4952063,2739687,68975,399771,11446,267030,22297,13464,217,0,185,27,145,4881,17,169,197,363,false,35,0,685,4,48,41,107,428,false,354,false,3050,157,49,true,false,false,78,false,false,91,67,191,418,253,0,false,33,148,false,1025,1461,376,51,9,258,58,false,false,8,6207,781,345512,107332,4907,1363,5253,4952,51354,18968,3178,2141,7715,52568,5021,148,152,3020,false,10396,1089,3386,4447,48579,32,4050,5461,4244,1238,989,104,59,690,75,565,80,62,322,60,71951,48662,863,33,2431,262,235,24437,54,609,597,1813,false,68,134,2963,64,277,237,118,1151,false,798,64,4014,616,131,13,15,0,113,14,93,462,158,1146,1328,428,69,22,33,225,false,2574,4531,511,89,92,267,63,0,false,15,18232,407778,113941,5124,1541,5529,6566,60481,29943,3545,2770,14252,63824,6222,296,245,3238,22,11964,1251,3723,6575,52611,51,14064,11669,3718,1741,117,136,1317,87,789,232,62,3470,8233886,8045978,4799194,2636681,22297,345512,4244,238050,187908,26784,161124,172347,64973,24660,33704,8443,40567,14071,1490
40,GA,13,,,,,040C1US13,Georgia -- In metropolitan statistical area -- in principal city,1940614,938976,839608,5228,67768,1743,40237,47054,6076,40978,976173,866625,15750,82441,3994,46797,5228,3029,55,0,56,18,82,941,8,57,42,172,false,12,0,200,1,41,16,0,44,false,144,false,698,88,0,false,false,false,0,false,false,52,0,63,70,9,0,false,0,45,false,115,438,73,51,0,22,0,false,false,0,1435,253,67768,25010,477,0,298,786,11188,5148,87,521,1856,8566,507,7,36,381,false,2698,417,1080,1538,5814,32,655,666,1743,346,537,16,0,188,0,339,58,62,137,60,16603,11544,271,0,627,123,135,5639,43,65,94,488,false,12,5,715,1,148,162,0,93,false,216,0,1142,108,29,12,15,0,13,0,0,128,0,255,315,39,0,0,0,75,false,576,1329,89,51,7,31,0,0,false,7,3634,83698,26585,511,0,347,924,13207,8371,125,731,3264,12034,688,81,63,406,0,3108,426,1175,1928,6537,32,3155,4099,1226,736,29,5,362,12,362,178,62,1127,1940614,1893560,938976,839608,5228,67768,1743,40237,47054,6076,40978,43217,16026,4492,9843,3104,9752,3562,275
40,GA,13,,,,,040C2US13,Georgia -- In metropolitan statistical area -- not in principal city,6293272,3860218,1797073,17069,277744,2501,197813,140854,20708,120146,3975890,1873062,53225,317330,7452,220233,17069,10435,162,0,129,9,63,3940,9,112,155,191,false,23,0,485,3,7,25,107,384,false,210,false,2352,69,49,true,false,false,78,false,false,39,67,128,348,244,0,false,33,103,false,910,1023,303,0,9,236,58,false,false,8,4772,528,277744,82322,4430,1363,4955,4166,40166,13820,3091,1620,5859,44002,4514,141,116,2639,false,7698,672,2306,2909,42765,0,3395,4795,2501,892,452,88,59,502,75,226,22,0,185,0,55348,37118,592,33,1804,139,100,18798,11,544,503,1325,false,56,129,2248,63,129,75,118,1058,false,582,64,2872,508,102,1,0,0,100,14,93,334,158,891,1013,389,69,22,33,150,false,1998,3202,422,38,85,236,63,0,false,8,14598,324080,87356,4613,1541,5182,5642,47274,21572,3420,2039,10988,51790,5534,215,182,2832,22,8856,825,2548,4647,46074,19,10909,7570,2492,1005,88,131,955,75,427,54,0,2343,6293272,6152418,3860218,1797073,17069,277744,2501,197813,140854,20708,120146,129130,48947,20168,23861,5339,30815,10509,1215
40,GA,13,,,,,040E0US13,Georgia -- In micropolitan statistical area,984685,681409,251793,2053,10822,359,23067,15182,2184,12998,694596,259681,6510,13493,1082,25429,2053,1383,19,15,26,0,7,771,0,6,12,0,false,0,0,121,0,0,0,0,15,false,6,false,40,26,0,false,false,false,143,false,false,73,0,9,5,16,8,false,0,0,false,65,229,35,28,7,0,0,false,false,0,388,18,10822,2680,0,0,4,15,1506,1091,620,75,285,1574,710,0,6,0,false,200,83,111,57,1452,0,297,56,359,127,36,0,8,92,0,69,0,0,27,0,6742,4939,71,15,76,0,7,3294,0,20,26,97,false,15,34,342,0,0,14,0,37,false,6,0,218,99,0,0,0,9,148,0,0,99,7,49,11,34,8,5,0,0,false,198,384,41,28,7,0,3,3,false,0,1378,13649,2910,0,0,4,15,1603,1820,630,75,697,2213,745,10,6,0,16,208,83,161,189,1611,0,653,1110,421,88,0,32,172,0,69,0,0,328,984685,969503,681409,251793,2053,10822,359,23067,15182,2184,12998,14332,5827,3420,1561,535,2989,784,66
40,GA,13,,,,,040E1US13,Georgia -- In micropolitan statistical area -- in principal city,320330,164501,136427,573,4224,104,8701,5800,929,4871,169419,139929,2196,4953,323,9745,573,285,8,0,0,0,0,211,0,0,0,0,false,0,0,31,0,0,0,0,0,false,0,false,0,0,0,false,false,false,0,false,false,0,0,9,5,0,0,false,0,0,false,21,121,28,28,0,0,0,false,false,0,139,0,4224,1130,0,0,4,0,572,486,87,0,186,1168,0,0,0,0,false,107,83,0,15,362,0,17,7,104,66,26,0,0,12,0,0,0,0,0,0,2280,1577,40,0,45,0,0,1031,0,0,14,17,false,0,15,64,0,0,0,0,9,false,0,0,175,73,0,0,0,9,0,0,0,19,0,9,11,0,0,5,0,0,false,41,124,28,28,0,0,0,0,false,0,551,4960,1190,0,0,4,0,615,633,87,0,361,1263,0,7,0,0,0,107,83,9,20,369,0,212,323,130,50,0,0,12,0,0,0,0,131,320330,314530,164501,136427,573,4224,104,8701,5800,929,4871,5423,2552,1042,375,270,1184,319,58
40,GA,13,,,,,040E2US13,Georgia -- In micropolitan statistical area -- not in principal city,664355,516908,115366,1480,6598,255,14366,9382,1255,8127,525177,119752,4314,8540,759,15684,1480,1098,11,15,26,0,7,560,0,6,12,0,false,0,0,90,0,0,0,0,15,false,6,false,40,26,0,false,false,false,143,false,false,73,0,0,0,16,8,false,0,0,false,44,108,7,0,7,0,0,false,false,0,249,18,6598,1550,0,0,0,15,934,605,533,75,99,406,710,0,6,0,false,93,0,111,42,1090,0,280,49,255,61,10,0,8,80,0,69,0,0,27,0,4462,3362,31,15,31,0,7,2263,0,20,12,80,false,15,19,278,0,0,14,0,28,false,6,0,43,26,0,0,0,0,148,0,0,80,7,40,0,34,8,0,0,0,false,157,260,13,0,7,0,3,3,false,0,827,8689,1720,0,0,0,15,988,1187,543,75,336,950,745,3,6,0,16,101,0,152,169,1242,0,441,787,291,38,0,32,160,0,69,0,0,197,664355,654973,516908,115366,1480,6598,255,14366,9382,1255,8127,8909,3275,2378,1186,265,1805,465,8
