summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,ID,16,,,,,04000US16,Idaho,1616547,1482914,9900,20504,21711,1921,38371,41226,4935,36291,1522014,17547,37946,34237,4791,44051,20504,16960,180,68,369,84,38,1115,410,77,564,344,251,43,8,82,71,240,5,false,154,6,false,17,266,662,38,8,152,9,51,58,168,3,1139,694,16,false,85,94,175,42,43,9131,468,315,98,8,13,128,6,62,40,2080,641,21711,2301,31,68,609,77,4834,3595,124,324,2824,2173,986,18,28,512,15,264,5,214,210,1452,273,233,541,1921,547,188,274,26,422,117,93,18,false,199,37,39504,32230,634,83,797,179,58,5043,477,250,1230,1312,445,124,44,120,98,283,61,false,520,17,18,19,615,1520,156,12,295,30,232,72,272,60,1643,1615,42,21,124,194,229,86,239,12961,922,759,133,33,48,461,9,75,41,5552,35318,2890,31,68,816,161,7005,7193,155,484,6315,3139,1219,24,143,534,15,275,5,378,625,1970,273,1600,4960,1746,578,360,49,721,126,140,162,false,1078,1616547,1575321,1482914,9900,20504,21711,1921,38371,41226,4935,36291,38601,5779,14596,10256,500,7470,2506,119
40,ID,16,,,,,04001US16,Idaho -- Urban,1151272,1050533,8851,9361,19806,1609,28853,32259,3884,28375,1081103,15011,21971,30243,4082,33336,9361,7114,88,34,66,50,0,756,398,68,265,234,120,36,0,82,22,193,5,false,148,4,false,17,113,464,28,0,88,0,31,20,157,0,369,456,16,false,84,54,16,7,0,2625,320,251,81,0,5,97,6,62,21,1401,254,19806,2026,31,68,609,72,4571,3105,124,324,2426,1985,985,0,28,502,15,221,5,182,162,1352,273,199,541,1609,481,144,247,0,360,99,61,18,false,199,0,23012,17805,350,38,381,137,0,3465,441,180,771,975,312,91,13,112,29,235,52,false,472,4,18,17,370,1135,114,4,186,21,179,30,240,55,710,1077,42,7,123,136,16,36,196,5035,681,615,105,11,27,404,6,62,21,3890,31103,2522,31,68,816,156,6502,6233,155,479,4952,2862,1201,6,124,524,15,231,5,328,431,1771,273,1418,4191,1470,460,303,12,657,99,70,162,false,958,1151272,1119013,1050533,8851,9361,19806,1609,28853,32259,3884,28375,30168,4598,10484,8653,410,6023,2003,88
40,ID,16,,,,,04043US16,Idaho -- Rural,465275,432381,1049,11143,1905,312,9518,8967,1051,7916,440911,2536,15975,3994,709,10715,11143,9846,92,34,303,34,38,359,12,9,299,110,131,7,8,0,49,47,0,false,6,2,false,0,153,198,10,8,64,9,20,38,11,3,770,238,0,false,1,40,159,35,43,6506,148,64,17,8,8,31,0,0,19,679,387,1905,275,0,0,0,5,263,490,0,0,398,188,1,18,0,10,0,43,0,32,48,100,0,34,0,312,66,44,27,26,62,18,32,0,false,0,37,16492,14425,284,45,416,42,58,1578,36,70,459,337,133,33,31,8,69,48,9,false,48,13,0,2,245,385,42,8,109,9,53,42,32,5,933,538,0,14,1,58,213,50,43,7926,241,144,28,22,21,57,3,13,20,1662,4215,368,0,0,0,5,503,960,0,5,1363,277,18,18,19,10,0,44,0,50,194,199,0,182,769,276,118,57,37,64,27,70,0,false,120,465275,456308,432381,1049,11143,1905,312,9518,8967,1051,7916,8433,1181,4112,1603,90,1447,503,31
40,ID,16,,,,,040A0US16,Idaho -- In metropolitan or micropolitan statistical area,1478737,1354504,9648,17701,21153,1861,35486,38384,4592,33792,1390936,17001,33048,33329,4632,40746,17701,14572,154,68,319,81,38,1023,346,77,472,317,233,43,8,82,71,217,5,false,149,2,false,17,256,598,38,8,143,9,51,47,157,3,947,664,16,false,83,72,172,42,43,7501,429,302,90,4,13,127,6,62,39,1795,564,21153,2273,31,68,609,77,4669,3438,124,324,2701,2128,986,18,28,512,15,264,5,211,193,1432,273,233,541,1861,531,179,274,8,405,117,93,18,false,199,37,34439,27986,576,78,672,168,58,4429,389,223,1055,1163,427,111,44,115,97,260,61,false,488,2,18,17,493,1420,132,12,285,30,232,61,261,58,1395,1488,42,21,117,172,226,48,239,10803,804,724,125,29,35,454,6,75,40,4885,34405,2805,31,68,816,161,6823,6958,155,479,6095,3048,1214,24,124,534,15,274,5,374,606,1950,273,1573,4781,1699,539,338,31,704,126,140,160,false,1044,1478737,1440353,1354504,9648,17701,21153,1861,35486,38384,4592,33792,36001,5683,12836,9999,448,7035,2264,119
40,ID,16,,,,,040C0US16,Idaho -- In metropolitan statistical area,1069978,979620,7581,12591,16571,1510,22873,29232,3617,25615,1007388,13076,23959,26135,3446,26900,12591,10225,88,39,270,81,38,704,335,77,229,210,188,43,0,39,67,204,5,false,143,2,false,17,111,340,28,0,80,2,32,20,157,0,459,505,12,false,76,39,172,42,43,5328,404,217,81,4,8,118,6,0,27,1387,331,16571,1956,25,41,584,58,3750,2690,25,324,2127,1626,741,18,0,118,15,264,5,97,103,1304,66,195,439,1510,453,133,250,8,372,117,63,18,false,59,37,25036,20258,399,49,528,154,58,3195,378,189,541,863,382,111,14,69,77,247,52,false,424,2,0,17,311,891,92,4,108,23,135,32,261,41,756,1178,12,7,110,133,213,48,239,7915,630,584,105,29,30,414,6,0,28,3536,26982,2380,25,41,791,80,5486,5256,56,479,4755,2447,957,24,8,140,15,274,5,221,444,1692,66,1340,3505,1204,385,310,31,524,117,88,160,false,686,1069978,1040746,979620,7581,12591,16571,1510,22873,29232,3617,25615,27642,4267,9575,8006,377,5417,1517,73
40,ID,16,,,,,040C1US16,Idaho -- In metropolitan statistical area -- in principal city,406199,369041,4255,3863,9916,494,6757,11873,1226,10647,380164,6769,8827,13990,952,8093,3863,3007,36,5,19,50,0,278,334,0,72,63,25,11,0,38,22,70,5,false,137,0,false,0,40,221,28,0,25,0,31,20,33,0,130,234,12,false,43,11,0,7,0,1007,95,175,81,0,0,88,6,0,20,471,95,9916,1442,0,41,584,21,2268,1080,0,309,1269,708,406,0,0,108,15,82,5,24,33,921,66,156,378,494,163,75,17,0,225,0,14,0,false,0,0,9185,6952,67,9,99,71,0,960,343,73,310,386,45,28,9,38,29,112,5,false,182,0,0,0,138,584,75,0,34,0,66,20,47,11,233,599,12,7,77,87,0,7,196,1993,246,459,90,11,22,330,6,0,20,1508,14513,1739,0,41,791,43,2945,2019,0,379,2495,1085,473,6,0,130,15,82,5,46,229,1129,66,795,956,468,140,17,12,238,0,23,0,false,58,406199,394326,369041,4255,3863,9916,494,6757,11873,1226,10647,11159,1694,3875,3414,331,1845,705,9
40,ID,16,,,,,040C2US16,Idaho -- In metropolitan statistical area -- not in principal city,663779,610579,3326,8728,6655,1016,16116,17359,2391,14968,627224,6307,15132,12145,2494,18807,8728,7218,52,34,251,31,38,426,1,77,157,147,163,32,0,1,45,134,0,false,6,2,false,17,71,119,0,0,55,2,1,0,124,0,329,271,0,false,33,28,172,35,43,4321,309,42,0,4,8,30,0,0,7,916,236,6655,514,25,0,0,37,1482,1610,25,15,858,918,335,18,0,10,0,182,0,73,70,383,0,39,61,1016,290,58,233,8,147,117,49,18,false,59,37,15851,13306,332,40,429,83,58,2235,35,116,231,477,337,83,5,31,48,135,47,false,242,2,0,17,173,307,17,4,74,23,69,12,214,30,523,579,0,0,33,46,213,41,43,5922,384,125,15,18,8,84,0,0,8,2028,12469,641,25,0,0,37,2541,3237,56,100,2260,1362,484,18,8,10,0,192,0,175,215,563,0,545,2549,736,245,293,19,286,117,65,160,false,628,663779,646420,610579,3326,8728,6655,1016,16116,17359,2391,14968,16483,2573,5700,4592,46,3572,812,64
40,ID,16,,,,,040E0US16,Idaho -- In micropolitan statistical area,408759,374884,2067,5110,4582,351,12613,9152,975,8177,383548,3925,9089,7194,1186,13846,5110,4347,66,29,49,0,0,319,11,0,243,107,45,0,8,43,4,13,0,false,6,0,false,0,145,258,10,8,63,7,19,27,0,3,488,159,4,false,7,33,0,0,0,2173,25,85,9,0,5,9,0,62,12,408,233,4582,317,6,27,25,19,919,748,99,0,574,502,245,0,28,394,0,0,0,114,90,128,207,38,102,351,78,46,24,0,33,0,30,0,false,140,0,9403,7728,177,29,144,14,0,1234,11,34,514,300,45,0,30,46,20,13,9,false,64,0,18,0,182,529,40,8,177,7,97,29,0,17,639,310,30,14,7,39,13,0,0,2888,174,140,20,0,5,40,0,75,12,1349,7423,425,6,27,25,81,1337,1702,99,0,1340,601,257,0,116,394,0,0,0,153,162,258,207,233,1276,495,154,28,0,180,9,52,0,false,358,408759,399607,374884,2067,5110,4582,351,12613,9152,975,8177,8359,1416,3261,1993,71,1618,747,46
40,ID,16,,,,,040E1US16,Idaho -- In micropolitan statistical area -- in principal city,148860,135997,1218,1173,3200,182,3363,3727,312,3415,139557,1985,2573,4374,680,3894,1173,822,42,2,39,0,0,61,0,0,86,61,0,0,0,0,0,0,0,false,0,0,false,0,38,78,0,0,50,0,0,0,0,0,44,33,0,false,1,29,0,0,0,258,0,67,0,0,5,0,0,62,0,202,82,3200,254,6,27,25,0,676,333,73,0,393,416,137,0,28,394,0,0,0,93,23,81,136,3,102,182,21,0,0,0,13,0,8,0,false,140,0,2715,1982,87,2,64,14,0,426,0,0,91,146,0,0,4,0,0,0,0,false,16,0,18,0,51,191,26,0,132,0,78,0,0,14,55,44,0,0,1,35,0,0,0,487,82,82,0,0,5,15,0,62,0,569,4534,333,6,27,25,62,947,758,73,0,687,493,137,0,116,394,0,0,0,93,23,160,136,64,747,316,5,4,0,134,0,8,0,false,280,148860,145133,135997,1218,1173,3200,182,3363,3727,312,3415,3251,569,1126,943,34,579,476,0
40,ID,16,,,,,040E2US16,Idaho -- In micropolitan statistical area -- not in principal city,259899,238887,849,3937,1382,169,9250,5425,663,4762,243991,1940,6516,2820,506,9952,3937,3525,24,27,10,0,0,258,11,0,157,46,45,0,8,43,4,13,0,false,6,0,false,0,107,180,10,8,13,7,19,27,0,3,444,126,4,false,6,4,0,0,0,1915,25,18,9,0,0,9,0,0,12,206,151,1382,63,0,0,0,19,243,415,26,0,181,86,108,0,0,0,0,0,0,21,67,47,71,35,0,169,57,46,24,0,20,0,22,0,false,0,0,6688,5746,90,27,80,0,0,808,11,34,423,154,45,0,26,46,20,13,9,false,48,0,0,0,131,338,14,8,45,7,19,29,0,3,584,266,30,14,6,4,13,0,0,2401,92,58,20,0,0,25,0,13,12,780,2889,92,0,0,0,19,390,944,26,0,653,108,120,0,0,0,0,0,0,60,139,98,71,169,529,179,149,24,0,46,9,44,0,false,78,259899,254474,238887,849,3937,1382,169,9250,5425,663,4762,5108,847,2135,1050,37,1039,271,46
