summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,IL,17,,,,,04000US17,Illinois,12873761,9312771,1846108,28363,645642,3407,747933,289537,58178,231359,9558427,1972360,92173,735368,13375,810571,28363,14890,587,8,392,138,153,3081,38,58,1307,834,8,108,110,202,16,33,8,21,429,147,125,129,3320,305,15,101,16,18,226,143,5,52,42,886,506,210,16,43,false,24,false,1030,2152,354,69,20,108,121,false,36,21,10445,501,645642,215703,2889,873,3594,4265,117949,120321,711,1151,17736,62873,5336,828,2339,2414,38,29778,774,5284,7876,25918,266,6066,10660,3407,1023,388,26,90,1048,15,40,212,false,533,32,95406,57818,1677,15,3727,277,329,24022,194,476,3186,3074,22,244,196,624,116,252,55,21,1247,195,241,461,5841,1092,207,269,21,18,544,317,82,410,125,3120,1197,260,96,92,false,92,10,3374,5692,555,77,75,182,140,false,81,31,31310,750246,229226,3055,885,4155,4823,134357,149917,904,1745,29887,73708,6533,1363,2421,2495,105,32906,858,6196,10972,30847,632,22256,13552,3457,1287,68,197,1716,23,264,226,false,6314,12873761,12584224,9312771,1846108,28363,645642,3407,747933,289537,58178,231359,272148,86839,38416,65296,10361,71236,15904,1485
40,IL,17,,,,,04001US17,Illinois -- Urban,11419319,7919781,1820602,26222,637811,3136,740859,270908,56193,214715,8147814,1939462,83255,723927,12532,801224,26222,13397,552,8,333,57,139,2694,38,56,1222,739,8,95,110,191,16,18,8,19,320,143,124,125,3198,286,15,101,16,0,203,87,3,45,42,778,426,210,16,0,false,20,false,936,2026,332,67,11,97,121,false,36,16,10013,438,637811,214039,2840,873,3462,4232,116710,118780,711,1139,17258,61378,5174,821,2328,2335,35,29664,769,5250,7641,25530,262,5989,10591,3136,913,364,26,72,982,15,36,212,false,491,25,85930,50956,1542,8,3310,182,296,20359,130,449,2915,2809,22,224,170,587,113,235,33,19,1088,176,185,451,5671,1022,158,222,21,0,446,250,80,384,104,2740,1107,260,96,49,false,83,10,2950,5403,458,67,30,171,140,false,50,16,29097,738536,227343,3006,885,4023,4790,132626,147015,904,1725,28987,71690,6351,1356,2410,2416,100,32726,849,6162,10647,30112,628,21785,12682,3202,1203,68,178,1587,15,233,226,false,5970,11419319,11148411,7919781,1820602,26222,637811,3136,740859,270908,56193,214715,254453,80623,32524,62433,10107,68766,15006,1449
40,IL,17,,,,,04043US17,Illinois -- Rural,1454442,1392990,25506,2141,7831,271,7074,18629,1985,16644,1410613,32898,8918,11441,843,9347,2141,1493,35,0,59,81,14,387,0,2,85,95,0,13,0,11,0,15,0,2,109,4,1,4,122,19,0,0,0,18,23,56,2,7,0,108,80,0,0,43,false,4,false,94,126,22,2,9,11,0,false,0,5,432,63,7831,1664,49,0,132,33,1239,1541,0,12,478,1495,162,7,11,79,3,114,5,34,235,388,4,77,69,271,110,24,0,18,66,0,4,0,false,42,7,9476,6862,135,7,417,95,33,3663,64,27,271,265,0,20,26,37,3,17,22,2,159,19,56,10,170,70,49,47,0,18,98,67,2,26,21,380,90,0,0,43,false,9,0,424,289,97,10,45,11,0,false,31,15,2213,11710,1883,49,0,132,33,1731,2902,0,20,900,2018,182,7,11,79,5,180,9,34,325,735,4,471,870,255,84,0,19,129,8,31,0,false,344,1454442,1435813,1392990,25506,2141,7831,271,7074,18629,1985,16644,17695,6216,5892,2863,254,2470,898,36
40,IL,17,,,,,040A0US17,Illinois -- In metropolitan or micropolitan statistical area,12258785,8735667,1824024,27264,642881,3274,744244,281431,57214,224217,8974112,1946717,88394,730966,12772,805844,27264,14169,579,8,347,138,153,2857,38,58,1284,767,8,106,110,194,16,19,8,21,380,133,125,126,3303,295,15,101,16,18,204,135,5,52,42,827,506,210,16,43,false,20,false,886,2113,343,67,11,108,121,false,36,16,10147,476,642881,215271,2889,873,3510,4263,117413,119660,711,1151,17601,62655,5278,819,2332,2371,38,29680,769,5274,7767,25769,266,6049,10472,3274,1009,388,26,84,1028,15,40,212,false,446,26,91430,55186,1645,15,3572,273,329,22697,184,462,3150,2866,22,237,196,602,116,238,55,21,1198,181,241,458,5742,1077,197,259,16,18,490,306,82,403,125,2882,1164,260,96,92,false,88,10,3121,5454,543,75,65,182,140,false,81,26,30221,745641,228701,3055,885,3917,4821,133570,148588,904,1741,29616,73303,6466,1354,2414,2452,105,32776,853,6186,10813,30413,632,22076,12933,3315,1252,68,191,1670,15,142,226,false,6054,12258785,11977354,8735667,1824024,27264,642881,3274,744244,281431,57214,224217,264424,84157,36334,64011,10122,69800,15527,1480
40,IL,17,,,,,040C0US17,Illinois -- In metropolitan statistical area,11368647,7914522,1787750,25813,636483,2966,735895,265218,55348,209870,8138022,1902080,82044,721996,12032,795442,25813,13225,573,8,298,133,139,2651,38,50,1173,741,8,82,110,116,16,18,8,19,314,128,125,120,3174,257,15,101,16,18,204,135,5,52,33,810,442,210,16,43,false,20,false,806,1992,329,67,11,97,118,false,36,16,9816,435,636483,213924,2827,871,3428,4228,116380,118096,711,1099,17185,61984,5154,819,2328,2163,35,29650,769,5265,7731,25374,262,5793,10407,2966,906,348,19,84,892,15,36,212,false,429,25,84664,50925,1599,15,3160,268,315,20597,140,415,2894,2718,22,207,176,487,116,235,48,19,1068,174,241,379,5557,977,164,253,16,18,487,298,82,382,105,2745,1091,260,96,92,false,83,10,2916,5111,443,75,30,151,137,false,50,26,28159,736409,227180,2993,883,3835,4786,132004,146137,904,1655,28743,72311,6331,1354,2410,2229,100,32707,849,6177,10758,29926,628,21509,12162,3095,1103,32,185,1494,15,132,226,false,5880,11368647,11103429,7914522,1787750,25813,636483,2966,735895,265218,55348,209870,249008,77256,32448,62240,9659,67405,14763,1447
40,IL,17,,,,,040C1US17,Illinois -- In metropolitan statistical area -- in principal city,4223916,2371070,1057088,11551,308395,1145,363131,111536,24461,87075,2461965,1109002,34492,343649,4730,389319,11551,6094,222,0,209,16,52,1237,23,25,533,313,0,19,54,19,0,5,8,0,157,110,97,105,1471,166,15,48,0,0,68,53,3,30,0,454,183,44,16,0,false,0,false,339,750,110,0,0,84,26,false,0,0,4348,249,308395,92379,2218,519,1196,2058,75044,50513,80,565,9499,25888,2799,582,1226,1186,0,13099,543,3117,4230,13446,227,2716,5265,1145,354,73,0,50,436,0,0,15,false,206,11,35530,21032,592,0,1667,82,123,7815,76,236,1358,1129,0,66,100,165,15,115,8,0,449,141,117,154,2492,623,106,77,0,0,160,201,8,81,38,1255,427,50,34,10,false,7,0,1055,2142,159,0,5,114,26,false,14,0,12197,350578,97855,2325,519,1313,2243,82640,60849,144,754,14749,29807,3296,929,1237,1191,0,14171,583,3496,5217,15775,519,10966,4786,1210,224,13,80,575,0,40,29,false,2615,4223916,4112380,2371070,1057088,11551,308395,1145,363131,111536,24461,87075,104365,32487,10991,25870,5525,29492,6658,513
40,IL,17,,,,,040C2US17,Illinois -- In metropolitan statistical area -- not in principal city,7144731,5543452,730662,14262,328088,1821,372764,153682,30887,122795,5676057,793078,47552,378347,7302,406123,14262,7131,351,8,89,117,87,1414,15,25,640,428,8,63,56,97,16,13,0,19,157,18,28,15,1703,91,0,53,16,18,136,82,2,22,33,356,259,166,0,43,false,20,false,467,1242,219,67,11,13,92,false,36,16,5468,186,328088,121545,609,352,2232,2170,41336,67583,631,534,7686,36096,2355,237,1102,977,35,16551,226,2148,3501,11928,35,3077,5142,1821,552,275,19,34,456,15,36,197,false,223,14,49134,29893,1007,15,1493,186,192,12782,64,179,1536,1589,22,141,76,322,101,120,40,19,619,33,124,225,3065,354,58,176,16,18,327,97,74,301,67,1490,664,210,62,82,false,76,10,1861,2969,284,75,25,37,111,false,36,26,15962,385831,129325,668,364,2522,2543,49364,85288,760,901,13994,42504,3035,425,1173,1038,100,18536,266,2681,5541,14151,109,10543,7376,1885,879,19,105,919,15,92,197,false,3265,7144731,6991049,5543452,730662,14262,328088,1821,372764,153682,30887,122795,144643,44769,21457,36370,4134,37913,8105,934
40,IL,17,,,,,040E0US17,Illinois -- In micropolitan statistical area,890138,821145,36274,1451,6398,308,8349,16213,1866,14347,836090,44637,6350,8970,740,10402,1451,944,6,0,49,5,14,206,0,8,111,26,0,24,0,78,0,1,0,2,66,5,0,6,129,38,0,0,0,0,0,0,0,0,9,17,64,0,0,0,false,0,false,80,121,14,0,0,11,3,false,0,0,331,41,6398,1347,62,2,82,35,1033,1564,0,52,416,671,124,0,4,208,3,30,0,9,36,395,4,256,65,308,103,40,7,0,136,0,4,0,false,17,1,6766,4261,46,0,412,5,14,2100,44,47,256,148,0,30,20,115,0,3,7,2,130,7,0,79,185,100,33,6,0,0,3,8,0,21,20,137,73,0,0,0,false,5,0,205,343,100,0,35,31,3,false,31,0,2062,9232,1521,62,2,82,35,1566,2451,0,86,873,992,135,0,4,223,5,69,4,9,55,487,4,567,771,220,149,36,6,176,0,10,0,false,174,890138,873925,821145,36274,1451,6398,308,8349,16213,1866,14347,15416,6901,3886,1771,463,2395,764,33
40,IL,17,,,,,040E1US17,Illinois -- In micropolitan statistical area -- in principal city,333045,290082,25685,437,3816,217,4249,8559,701,7858,297877,30666,3137,4969,455,5037,437,324,0,0,1,0,0,75,0,8,42,0,0,0,0,0,0,0,0,0,10,3,0,6,103,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,false,45,39,0,0,0,0,0,false,0,0,70,4,3816,1173,23,2,0,15,706,620,0,43,168,290,71,0,0,206,0,16,0,9,1,224,0,202,47,217,87,19,7,0,104,0,0,0,false,0,0,3307,2030,4,0,214,0,0,1139,0,43,84,73,0,4,0,0,0,0,0,0,36,5,0,73,136,50,0,0,0,0,0,0,0,6,0,68,0,0,0,0,false,0,0,95,120,0,0,0,0,0,false,0,0,1157,5139,1271,23,2,0,15,1016,877,0,69,519,487,71,0,0,221,0,34,0,9,1,238,0,286,455,173,76,7,0,118,0,0,0,false,81,333045,324486,290082,25685,437,3816,217,4249,8559,701,7858,8063,3944,2003,729,375,1012,463,33
40,IL,17,,,,,040E2US17,Illinois -- In micropolitan statistical area -- not in principal city,557093,531063,10589,1014,2582,91,4100,7654,1165,6489,538213,13971,3213,4001,285,5365,1014,620,6,0,48,5,14,131,0,0,69,26,0,24,0,78,0,1,0,2,56,2,0,0,26,7,0,0,0,0,0,0,0,0,9,17,64,0,0,0,false,0,false,35,82,14,0,0,11,3,false,0,0,261,37,2582,174,39,0,82,20,327,944,0,9,248,381,53,0,4,2,3,14,0,0,35,171,4,54,18,91,16,21,0,0,32,0,4,0,false,17,1,3459,2231,42,0,198,5,14,961,44,4,172,75,0,26,20,115,0,3,7,2,94,2,0,6,49,50,33,6,0,0,3,8,0,15,20,69,73,0,0,0,false,5,0,110,223,100,0,35,31,3,false,31,0,905,4093,250,39,0,82,20,550,1574,0,17,354,505,64,0,4,2,5,35,4,0,54,249,4,281,316,47,73,29,6,58,0,10,0,false,93,557093,549439,531063,10589,1014,2582,91,4100,7654,1165,6489,7353,2957,1883,1042,88,1383,301,0
