summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,LA,22,,,,,04000US22,Louisiana,4625253,2902538,1484363,27238,77818,1824,47595,83877,9281,74596,2974719,1528695,59279,92981,4273,58349,27238,20472,210,19,166,47,32,3034,6,301,48,1540,false,18,4,163,false,11,false,8261,95,false,120,false,505,364,135,5,false,18,84,12,false,27,14,232,181,250,false,14,26,26,false,4504,1049,161,false,8,57,53,12,31,false,4938,618,77818,10475,348,false,389,435,11716,7290,153,487,1376,3967,1578,145,false,442,false,1577,409,371,973,33378,12,1270,1027,1824,478,444,4,18,446,false,285,31,false,118,false,61903,45729,658,19,1225,410,76,11739,103,707,202,5892,false,199,9,534,44,60,25,11803,276,68,150,10,739,694,262,33,14,18,107,53,false,107,43,528,301,279,false,33,26,60,false,8223,2697,211,3,28,84,53,12,31,6,13260,94749,11857,373,false,440,658,13839,12240,153,652,3154,5277,1783,322,5,450,4,1892,409,468,1718,35449,34,3572,4504,1275,701,13,45,717,false,328,44,false,1381,4625253,4541376,2902538,1484363,27238,77818,1824,47595,83877,9281,74596,75861,28493,20159,10029,5117,12063,7051,965
40,LA,22,,,,,04001US22,Louisiana -- Urban,3395619,1943554,1257263,17027,72017,1326,40759,63673,7149,56524,1997750,1291863,40253,84737,3377,49133,17027,12954,127,0,134,20,26,1849,6,217,7,727,false,3,1,95,false,0,false,6131,39,false,24,false,460,195,92,0,false,18,84,12,false,24,14,123,181,234,false,0,26,0,false,2085,648,141,false,0,57,53,0,31,false,2959,325,72017,9730,348,false,389,402,11029,6323,153,403,1281,3474,1117,145,false,442,false,1551,409,371,667,31538,12,1267,966,1326,372,210,4,18,349,false,285,13,false,75,false,42084,30825,438,0,781,360,70,7651,96,496,118,3756,false,130,1,459,34,44,14,8927,186,48,54,10,619,340,219,25,14,18,107,53,false,91,43,372,248,253,false,0,26,0,false,4724,2007,171,3,0,84,53,0,31,6,9075,86337,10843,373,false,440,613,12933,10547,153,533,2836,4409,1322,322,0,450,4,1859,409,468,1252,33322,34,3215,3596,1049,416,13,31,514,false,328,26,false,1219,3395619,3331946,1943554,1257263,17027,72017,1326,40759,63673,7149,56524,56804,21367,13543,8435,4063,9396,6099,770
40,LA,22,,,,,04043US22,Louisiana -- Rural,1229634,958984,227100,10211,5801,498,6836,20204,2132,18072,976969,236832,19026,8244,896,9216,10211,7518,83,19,32,27,6,1185,0,84,41,813,false,15,3,68,false,11,false,2130,56,false,96,false,45,169,43,5,false,0,0,0,false,3,0,109,0,16,false,14,0,26,false,2419,401,20,false,8,0,0,12,0,false,1979,293,5801,745,0,false,0,33,687,967,0,84,95,493,461,0,false,0,false,26,0,0,306,1840,0,3,61,498,106,234,0,0,97,false,0,18,false,43,false,19819,14904,220,19,444,50,6,4088,7,211,84,2136,false,69,8,75,10,16,11,2876,90,20,96,0,120,354,43,8,0,0,0,0,false,16,0,156,53,26,false,33,0,60,false,3499,690,40,0,28,0,0,12,0,0,4185,8412,1014,0,false,0,45,906,1693,0,119,318,868,461,0,5,0,0,33,0,0,466,2127,0,357,908,226,285,0,14,203,false,0,18,false,162,1229634,1209430,958984,227100,10211,5801,498,6836,20204,2132,18072,19057,7126,6616,1594,1054,2667,952,195
40,LA,22,,,,,040A0US22,Louisiana -- In metropolitan or micropolitan statistical area,4263102,2661503,1375545,23266,76950,1742,45634,78462,8653,69809,2729033,1416996,53021,91447,4053,55706,23266,17446,161,19,166,47,32,2767,6,217,22,1035,false,18,4,149,false,11,false,8086,84,false,120,false,505,324,74,5,false,18,84,12,false,27,14,180,181,250,false,14,26,26,false,2762,832,141,false,0,57,53,0,31,false,4291,556,76950,10322,348,false,389,429,11646,7054,153,473,1352,3933,1578,145,false,442,false,1577,409,371,891,33170,12,1229,1027,1742,474,391,0,18,440,false,285,26,false,108,false,55500,41076,558,19,1135,392,76,10992,88,598,172,5042,false,199,9,519,44,60,25,11584,265,68,150,10,686,647,167,33,14,18,107,53,false,99,43,471,301,279,false,33,26,60,false,6034,2383,171,3,0,84,53,0,31,6,11864,93200,11494,373,false,440,652,13758,11912,153,638,3055,5219,1783,322,5,442,4,1892,409,468,1623,35110,34,3414,4282,1219,648,9,45,699,false,328,39,false,1295,4263102,4184640,2661503,1375545,23266,76950,1742,45634,78462,8653,69809,70844,26451,18526,9710,4938,11219,6729,889
40,LA,22,,,,,040C0US22,Louisiana -- In metropolitan statistical area,3856617,2408025,1241955,20739,73366,1481,42101,68950,7787,61163,2467155,1278283,46938,86320,3471,51211,20739,15621,129,19,145,47,17,2395,6,217,22,920,false,2,3,131,false,11,false,7816,59,false,36,false,430,153,74,5,false,18,84,12,false,24,14,180,181,186,false,14,0,26,false,2245,752,141,false,0,57,53,0,31,false,3743,482,73366,9843,348,false,389,397,10981,6630,153,382,1269,3364,1566,145,false,442,false,1524,302,365,816,32221,12,1228,989,1481,441,380,0,18,332,false,176,26,false,108,false,49098,36443,503,19,977,387,61,9558,88,570,168,4754,false,170,8,465,5,52,14,10899,188,48,66,10,609,308,165,32,14,18,107,53,false,84,43,441,286,210,false,33,0,60,false,4970,2209,171,3,0,84,53,0,31,6,10269,87901,10957,373,false,440,620,12908,10838,153,426,2882,4271,1769,322,0,442,4,1831,302,462,1501,34041,34,3325,3670,1072,609,0,45,581,false,219,28,false,1116,3856617,3787667,2408025,1241955,20739,73366,1481,42101,68950,7787,61163,62121,22843,16054,8652,4484,10088,6032,797
40,LA,22,,,,,040C1US22,Louisiana -- In metropolitan statistical area -- in principal city,1380266,649703,650715,5410,35677,418,14341,24002,3564,20438,669417,664069,13199,41153,1070,18698,5410,4181,76,0,106,14,11,575,6,71,7,211,false,2,0,12,false,0,false,2151,20,false,16,false,25,22,13,0,false,0,35,12,false,16,0,0,46,165,false,0,0,0,false,569,131,57,false,0,57,0,0,0,false,897,144,35677,4960,130,false,389,128,7051,3204,4,209,736,1851,98,32,false,442,false,661,232,197,354,13889,12,753,345,418,138,76,0,18,105,false,56,0,false,25,false,13954,10127,316,0,369,93,37,2444,6,330,72,1293,false,63,0,51,0,41,0,2798,35,0,25,10,68,60,99,1,14,0,41,16,false,58,0,116,108,179,false,0,0,0,false,1384,569,74,3,0,71,0,0,0,6,3178,41808,5598,155,false,389,144,7798,4617,4,253,1425,2294,163,52,0,442,4,919,232,264,731,14570,18,1736,1162,437,152,0,31,136,false,83,2,false,321,1380266,1356264,649703,650715,5410,35677,418,14341,24002,3564,20438,21032,7230,3836,3737,1641,4588,2628,342
40,LA,22,,,,,040C2US22,Louisiana -- In metropolitan statistical area -- not in principal city,2476351,1758322,591240,15329,37689,1063,27760,44948,4223,40725,1797738,614214,33739,45167,2401,32513,15329,11440,53,19,39,33,6,1820,0,146,15,709,false,0,3,119,false,11,false,5665,39,false,20,false,405,131,61,5,false,18,49,0,false,8,14,180,135,21,false,14,0,26,false,1676,621,84,false,0,0,53,0,31,false,2846,338,37689,4883,218,false,0,269,3930,3426,149,173,533,1513,1468,113,false,0,false,863,70,168,462,18332,0,475,644,1063,303,304,0,0,227,false,120,26,false,83,false,35144,26316,187,19,608,294,24,7114,82,240,96,3461,false,107,8,414,5,11,14,8101,153,48,41,0,541,248,66,31,0,18,66,37,false,26,43,325,178,31,false,33,0,60,false,3586,1640,97,0,0,13,53,0,31,0,7091,46093,5359,218,false,51,476,5110,6221,149,173,1457,1977,1606,270,0,0,0,912,70,198,770,19471,16,1589,2508,635,457,0,14,445,false,136,26,false,795,2476351,2431403,1758322,591240,15329,37689,1063,27760,44948,4223,40725,41089,15613,12218,4915,2843,5500,3404,455
40,LA,22,,,,,040E0US22,Louisiana -- In micropolitan statistical area,406485,253478,133590,2527,3584,261,3533,9512,866,8646,261878,138713,6083,5127,582,4495,2527,1825,32,0,21,0,15,372,0,0,0,115,false,16,1,18,false,0,false,270,25,false,84,false,75,171,0,0,false,0,0,0,false,3,0,0,0,64,false,0,26,0,false,517,80,0,false,0,0,0,0,0,false,548,74,3584,479,0,false,0,32,665,424,0,91,83,569,12,0,false,0,false,53,107,6,75,949,0,1,38,261,33,11,0,0,108,false,109,0,false,0,false,6402,4633,55,0,158,5,15,1434,0,28,4,288,false,29,1,54,39,8,11,685,77,20,84,0,77,339,2,1,0,0,0,0,false,15,0,30,15,69,false,0,26,0,false,1064,174,0,0,0,0,0,0,0,0,1595,5299,537,0,false,0,32,850,1074,0,212,173,948,14,0,5,0,0,61,107,6,122,1069,0,89,612,147,39,9,0,118,false,109,11,false,179,406485,396973,253478,133590,2527,3584,261,3533,9512,866,8646,8723,3608,2472,1058,454,1131,697,92
40,LA,22,,,,,040E1US22,Louisiana -- In micropolitan statistical area -- in principal city,112221,50240,56435,719,1004,109,1075,2639,210,2429,52502,58131,1264,1630,280,1305,719,448,4,0,0,0,13,47,0,0,0,82,false,0,0,0,false,0,false,150,0,false,0,false,0,0,0,0,false,0,0,0,false,0,0,0,0,64,false,0,0,0,false,88,47,0,false,0,0,0,0,0,false,183,41,1004,377,0,false,0,32,166,155,0,0,18,34,8,0,false,0,false,11,107,6,5,85,0,0,0,109,0,0,0,0,0,false,109,0,false,0,false,1388,907,4,0,41,0,13,206,0,2,0,103,false,0,0,29,34,0,0,251,49,0,0,0,0,4,0,0,0,0,0,0,false,0,0,4,0,69,false,0,0,0,false,98,84,0,0,0,0,0,0,0,0,397,1630,426,0,false,0,32,166,537,0,0,46,145,10,0,0,0,0,11,107,6,7,120,0,17,280,31,0,0,0,2,false,109,11,false,127,112221,109582,50240,56435,719,1004,109,1075,2639,210,2429,2411,1263,398,347,51,352,204,24
40,LA,22,,,,,040E2US22,Louisiana -- In micropolitan statistical area -- not in principal city,294264,203238,77155,1808,2580,152,2458,6873,656,6217,209376,80582,4819,3497,302,3190,1808,1377,28,0,21,0,2,325,0,0,0,33,false,16,1,18,false,0,false,120,25,false,84,false,75,171,0,0,false,0,0,0,false,3,0,0,0,0,false,0,26,0,false,429,33,0,false,0,0,0,0,0,false,365,33,2580,102,0,false,0,0,499,269,0,91,65,535,4,0,false,0,false,42,0,0,70,864,0,1,38,152,33,11,0,0,108,false,0,0,false,0,false,5014,3726,51,0,117,5,2,1228,0,26,4,185,false,29,1,25,5,8,11,434,28,20,84,0,77,335,2,1,0,0,0,0,false,15,0,26,15,0,false,0,26,0,false,966,90,0,0,0,0,0,0,0,0,1198,3669,111,0,false,0,0,684,537,0,212,127,803,4,0,5,0,0,50,0,0,115,949,0,72,332,116,39,9,0,116,false,0,0,false,52,294264,287391,203238,77155,1808,2580,152,2458,6873,656,6217,6312,2345,2074,711,403,779,493,68
