summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,MI,26,,,,,04000US26,Michigan,9900571,7823875,1381388,53951,268766,2083,109184,261324,24951,236373,8055451,1509779,144952,325398,9443,136914,53951,40533,262,44,489,597,103,3258,17,108,22118,645,false,36,95,180,false,120,3,false,1170,27,306,22,1643,274,12,3567,5,38,2850,29,49,6,124,692,197,29,11,14,18,12,18,1345,1746,341,113,27,53,70,42,36,48,9473,1810,268766,90301,9519,908,2452,1505,49748,25716,5069,618,11326,26373,2815,746,69,1831,21,10279,1270,2506,2003,17231,112,2832,3516,2083,909,267,16,false,305,12,201,false,false,342,31,151932,110188,1206,105,8158,1460,111,24914,183,536,38460,2818,false,154,423,696,235,384,104,10,3292,60,635,74,2773,794,51,8172,17,65,5923,175,123,529,296,2465,602,71,11,15,34,143,40,3871,5203,671,162,30,130,233,57,59,79,35791,330953,96958,10407,956,2665,1855,57378,38027,5336,990,19507,33806,3984,832,183,1943,86,11286,1451,3077,3718,20794,119,15595,9592,2971,969,23,62,667,12,324,91,true,4472,9900571,9639247,7823875,1381388,53951,268766,2083,109184,261324,24951,236373,242592,90883,61280,42356,13330,34743,17508,1224
40,MI,26,,,,,04001US26,Michigan -- Urban,7383172,5433621,1350064,33999,254685,1732,94133,214938,19889,195049,5621085,1463354,101062,305117,8056,116233,33999,24423,175,29,404,295,99,2293,17,95,11755,444,false,36,88,93,false,83,0,false,949,7,232,18,1358,221,12,2039,5,21,1681,20,29,5,116,483,185,19,11,14,0,2,18,1072,1296,243,63,16,53,57,42,12,34,7031,972,254685,88131,9417,908,2440,1285,47040,23444,4502,575,10553,23126,2573,724,51,1817,21,10160,1241,2362,1707,16427,112,2623,3446,1732,761,244,16,false,249,12,138,false,false,288,24,105768,74138,1013,32,6157,881,99,18748,120,317,21674,2318,false,111,236,418,209,259,92,10,2605,18,512,54,2169,597,51,4879,17,34,3624,140,70,446,284,1866,565,43,11,14,9,122,40,3274,4092,516,107,16,99,217,57,20,65,26957,310404,94350,10297,956,2653,1594,53959,34143,4769,911,17554,29261,3665,810,130,1924,43,11163,1422,2905,3271,19745,119,14760,8188,2288,883,19,60,541,12,240,91,false,4054,7383172,7168234,5433621,1350064,33999,254685,1732,94133,214938,19889,195049,199043,79398,40797,37449,12474,28925,15072,823
40,MI,26,,,,,04043US26,Michigan -- Rural,2517399,2390254,31324,19952,14081,351,15051,46386,5062,41324,2434366,46425,43890,20281,1387,20681,19952,16110,87,15,85,302,4,965,0,13,10363,201,false,0,7,87,false,37,3,false,221,20,74,4,285,53,0,1528,0,17,1169,9,20,1,8,209,12,10,0,0,18,10,0,273,450,98,50,11,0,13,0,24,14,2442,838,14081,2170,102,0,12,220,2708,2272,567,43,773,3247,242,22,18,14,0,119,29,144,296,804,0,209,70,351,148,23,0,false,56,0,63,false,false,54,7,46164,36050,193,73,2001,579,12,6166,63,219,16786,500,false,43,187,278,26,125,12,0,687,42,123,20,604,197,0,3293,0,31,2299,35,53,83,12,599,37,28,0,1,25,21,0,597,1111,155,55,14,31,16,0,39,14,8834,20549,2608,110,0,12,261,3419,3884,567,79,1953,4545,319,22,53,19,43,123,29,172,447,1049,0,835,1404,683,86,4,2,126,0,84,0,true,418,2517399,2471013,2390254,31324,19952,14081,351,15051,46386,5062,41324,43549,11485,20483,4907,856,5818,2436,401
40,MI,26,,,,,040A0US26,Michigan -- In metropolitan or micropolitan statistical area,9230886,7191266,1372127,44927,266135,1998,106166,248267,23931,224336,7410434,1497243,127684,321420,9143,132647,44927,33270,235,44,411,539,103,2939,16,100,17236,554,false,36,95,163,false,109,3,false,1054,27,298,16,1621,265,12,2285,5,33,2719,29,49,5,124,579,192,29,11,14,18,8,18,1276,1620,330,110,27,53,67,42,31,41,8279,1387,266135,89935,9501,908,2452,1498,49227,25053,4932,613,11166,25965,2781,746,69,1831,21,10275,1261,2504,1966,17033,112,2802,3484,1998,870,254,16,false,288,12,189,false,false,338,31,133776,95294,1127,62,7295,1324,111,23162,178,521,30555,2596,false,144,355,610,233,372,104,10,2989,43,623,64,2647,760,51,5735,17,60,5643,153,120,517,296,2223,588,64,11,15,27,139,40,3710,4873,642,154,30,118,229,57,54,63,32904,326905,96523,10387,956,2665,1843,56727,36926,5199,972,19099,33196,3902,820,183,1943,69,11276,1442,3075,3624,20564,119,15395,9282,2856,953,19,60,642,12,306,91,true,4342,9230886,8982619,7191266,1372127,44927,266135,1998,106166,248267,23931,224336,230124,88345,53794,41394,13123,33468,16947,1196
40,MI,26,,,,,040C0US26,Michigan -- In metropolitan statistical area,8095885,6135244,1350410,28873,258342,1635,99198,222183,21117,201066,6330130,1467150,98611,309596,8240,122624,28873,19899,185,44,351,278,103,2371,15,98,7209,483,false,36,82,129,false,109,0,false,995,27,237,16,1583,192,12,1625,5,16,1806,22,29,5,121,469,192,15,5,14,8,2,18,992,1344,263,103,8,53,60,18,21,26,6436,905,258342,88624,9277,908,2430,1447,47634,24062,4593,591,10654,24887,2515,746,68,1675,21,10065,1256,2494,1793,16545,112,2624,3321,1635,665,232,16,false,255,12,127,false,false,304,24,103484,71348,994,59,6407,1001,111,20683,173,517,15666,2353,false,113,314,488,222,335,101,10,2823,43,532,59,2505,629,47,4254,17,43,4214,139,100,496,290,1891,547,32,5,14,17,100,40,2964,3887,530,147,11,94,211,33,34,48,27671,314790,94567,10159,956,2643,1783,54676,35111,4841,930,17860,31398,3628,817,174,1782,69,11049,1437,3057,3362,19843,119,14529,8348,2419,871,19,60,570,12,213,87,false,4097,8095885,7873702,6135244,1350410,28873,258342,1635,99198,222183,21117,201066,205152,81986,42603,38160,12333,30070,15854,1177
40,MI,26,,,,,040C1US26,Michigan -- In metropolitan statistical area -- in principal city,2492173,1326278,916017,10040,105711,624,47828,85675,8717,76958,1398148,968670,33737,124322,2800,57573,10040,6055,45,0,89,58,80,795,4,13,2165,153,false,13,42,18,false,55,0,false,231,7,58,7,733,85,6,419,5,0,483,10,0,0,12,89,26,0,5,9,0,0,18,322,568,77,0,0,53,24,0,0,19,2883,438,105711,34784,6003,840,1375,129,22254,7044,2118,95,5055,9930,388,379,40,743,0,3296,769,1291,676,5916,112,837,1637,624,330,68,13,false,88,12,23,false,false,74,16,35678,23449,480,0,1971,227,80,6912,52,66,4500,1020,false,53,73,220,95,150,0,0,760,7,169,18,1371,131,6,1262,5,0,1165,97,9,373,31,687,191,0,5,9,0,0,29,1225,1332,108,0,0,73,35,0,0,38,10751,126636,37475,6624,840,1437,209,24711,10113,2211,212,7712,12299,847,430,45,774,0,3563,841,1433,1282,7038,112,6428,2835,923,225,13,24,278,12,38,0,false,1322,2492173,2406498,1326278,916017,10040,105711,624,47828,85675,8717,76958,78470,35527,10773,13289,6424,12457,7037,168
40,MI,26,,,,,040C2US26,Michigan -- In metropolitan statistical area -- not in principal city,5603712,4808966,434393,18833,152631,1011,51370,136508,12400,124108,4931982,498480,64874,185274,5440,65051,18833,13844,140,44,262,220,23,1576,11,85,5044,330,false,23,40,111,false,54,0,false,764,20,179,9,850,107,6,1206,0,16,1323,12,29,5,109,380,166,15,0,5,8,2,0,670,776,186,103,8,0,36,18,21,7,3553,467,152631,53840,3274,68,1055,1318,25380,17018,2475,496,5599,14957,2127,367,28,932,21,6769,487,1203,1117,10629,0,1787,1684,1011,335,164,3,false,167,0,104,false,false,230,8,67806,47899,514,59,4436,774,31,13771,121,451,11166,1333,false,60,241,268,127,185,101,10,2063,36,363,41,1134,498,41,2992,12,43,3049,42,91,123,259,1204,356,32,0,5,17,100,11,1739,2555,422,147,11,21,176,33,34,10,16920,188154,57092,3535,116,1206,1574,29965,24998,2630,718,10148,19099,2781,387,129,1008,69,7486,596,1624,2080,12805,7,8101,5513,1496,646,6,36,292,0,175,87,false,2775,5603712,5467204,4808966,434393,18833,152631,1011,51370,136508,12400,124108,126682,46459,31830,24871,5909,17613,8817,1009
40,MI,26,,,,,040E0US26,Michigan -- In micropolitan statistical area,1135001,1056022,21717,16054,7793,363,6968,26084,2814,23270,1080304,30093,29073,11824,903,10023,16054,13371,50,0,60,261,0,568,1,2,10027,71,false,0,13,34,false,0,3,false,59,0,61,0,38,73,0,660,0,17,913,7,20,0,3,110,0,14,6,0,10,6,0,284,276,67,7,19,0,7,24,10,15,1843,482,7793,1311,224,0,22,51,1593,991,339,22,512,1078,266,0,1,156,0,210,5,10,173,488,0,178,163,363,205,22,0,false,33,0,62,false,false,34,7,30292,23946,133,3,888,323,0,2479,5,4,14889,243,false,31,41,122,11,37,3,0,166,0,91,5,142,131,4,1481,0,17,1429,14,20,21,6,332,41,32,6,1,10,39,0,746,986,112,7,19,24,18,24,20,15,5233,12115,1956,228,0,22,60,2051,1815,358,42,1239,1798,274,3,9,161,0,227,5,18,262,721,0,866,934,437,82,0,0,72,0,93,4,true,245,1135001,1108917,1056022,21717,16054,7793,363,6968,26084,2814,23270,24972,6359,11191,3234,790,3398,1093,19
40,MI,26,,,,,040E1US26,Michigan -- In micropolitan statistical area -- in principal city,237332,212173,7596,4137,3006,107,2567,7746,858,6888,219226,10340,7490,4461,310,3492,4137,3420,24,0,27,56,0,189,1,0,2496,40,false,0,9,0,false,0,0,false,25,0,0,0,9,47,0,204,0,16,134,5,0,0,0,43,0,12,6,0,0,0,0,77,80,27,0,0,0,3,24,0,6,528,76,3006,687,174,0,0,7,943,269,47,8,168,266,88,0,0,55,0,0,0,0,8,84,0,62,140,107,65,18,0,false,24,0,0,false,false,0,0,7767,6035,46,0,437,68,0,639,1,0,3730,151,false,0,9,4,0,0,0,0,38,0,0,0,12,67,0,274,0,16,199,8,0,0,0,88,2,12,6,0,0,3,0,225,345,39,0,0,12,3,24,0,6,1342,4655,989,175,0,0,7,1121,612,61,28,420,405,91,3,0,55,0,17,0,0,35,167,0,469,334,133,29,0,0,42,0,31,4,false,95,237332,229586,212173,7596,4137,3006,107,2567,7746,858,6888,7505,2051,2851,1235,324,1044,241,0
40,MI,26,,,,,040E2US26,Michigan -- In micropolitan statistical area -- not in principal city,897669,843849,14121,11917,4787,256,4401,18338,1956,16382,861078,19753,21583,7363,593,6531,11917,9951,26,0,33,205,0,379,0,2,7531,31,false,0,4,34,false,0,3,false,34,0,61,0,29,26,0,456,0,1,779,2,20,0,3,67,0,2,0,0,10,6,0,207,196,40,7,19,0,4,0,10,9,1315,406,4787,624,50,0,22,44,650,722,292,14,344,812,178,0,1,101,0,210,5,10,165,404,0,116,23,256,140,4,0,false,9,0,62,false,false,34,7,22525,17911,87,3,451,255,0,1840,4,4,11159,92,false,31,32,118,11,37,3,0,128,0,91,5,130,64,4,1207,0,1,1230,6,20,21,6,244,39,20,0,1,10,36,0,521,641,73,7,19,12,15,0,20,9,3891,7460,967,53,0,22,53,930,1203,297,14,819,1393,183,0,9,106,0,210,5,18,227,554,0,397,600,304,53,0,0,30,0,62,0,true,150,897669,879331,843849,14121,11917,4787,256,4401,18338,1956,16382,17467,4308,8340,1999,466,2354,852,19
