summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,MO,29,,,,,04000US29,Missouri,6045448,4995527,697022,24951,106537,6161,67605,147645,13099,134546,5127616,764195,78508,138017,12717,82027,24951,18475,417,115,224,8,97,8469,44,339,469,1022,20,65,31,264,37,235,82,17,415,46,141,40,564,278,150,200,45,5,367,101,3,147,30,1080,97,32,28,true,false,22,8,2720,780,182,60,56,45,21,false,false,false,4727,787,106537,24620,589,233,1000,1041,23355,12785,1566,597,3002,9964,805,82,160,1137,20,3864,368,976,2124,15300,false,1501,1448,6161,1568,1399,196,75,754,125,1404,336,false,277,27,83174,62953,1605,189,3902,98,119,33352,561,999,1182,2868,41,300,220,943,285,437,116,33,1407,80,226,69,1107,587,698,309,73,5,1011,184,14,525,126,3484,347,72,28,74,false,78,8,5191,2582,717,125,222,94,275,false,true,47,16875,140597,27418,594,359,1025,1539,26973,21243,1612,862,7493,14380,1030,254,224,1186,66,4320,389,1122,3180,17415,false,7913,12803,3554,2343,232,172,1362,132,1629,352,false,3027,6045448,5897803,4995527,697022,24951,106537,6161,67605,147645,13099,134546,138060,49150,40070,22870,5792,20178,9213,372
40,MO,29,,,,,04001US29,Missouri -- Urban,4275395,3301613,675935,16075,99514,5039,60060,117159,11519,105640,3404699,733736,52877,126812,10459,72694,16075,11865,254,115,92,8,97,5000,44,318,416,438,0,46,20,105,17,158,64,17,235,41,48,40,436,193,75,163,24,5,280,53,0,121,0,811,96,32,0,false,false,0,0,2003,564,103,36,54,0,13,false,false,false,3043,500,99514,24122,556,233,979,937,22339,11342,367,587,2730,8944,750,82,160,1137,11,3792,323,920,1977,14359,false,1476,1391,5039,1398,1259,128,75,524,28,1145,300,false,167,15,56283,42313,1043,136,2369,81,119,21621,522,846,1003,1533,21,240,168,677,180,300,89,17,761,67,109,68,919,447,456,247,52,5,777,105,11,399,43,2561,338,59,0,70,false,44,0,3810,1983,425,45,168,15,196,false,true,47,11515,129257,26668,561,359,1004,1389,25613,18106,367,824,6531,12866,930,254,223,1186,57,4247,344,1047,2921,16388,false,7372,10521,3081,2067,153,161,1024,35,1283,316,false,2401,4275395,4158236,3301613,675935,16075,99514,5039,60060,117159,11519,105640,108806,41253,24655,20043,5432,17423,8013,340
40,MO,29,,,,,04043US29,Missouri -- Rural,1770053,1693914,21087,8876,7023,1122,7545,30486,1580,28906,1722917,30459,25631,11205,2258,9333,8876,6610,163,0,132,0,0,3469,0,21,53,584,20,19,11,159,20,77,18,0,180,5,93,0,128,85,75,37,21,0,87,48,3,26,30,269,1,0,28,true,false,22,8,717,216,79,24,2,45,8,false,false,false,1684,287,7023,498,33,0,21,104,1016,1443,1199,10,272,1020,55,0,0,0,9,72,45,56,147,941,false,25,57,1122,170,140,68,0,230,97,259,36,false,110,12,26891,20640,562,53,1533,17,0,11731,39,153,179,1335,20,60,52,266,105,137,27,16,646,13,117,1,188,140,242,62,21,0,234,79,3,126,83,923,9,13,28,4,false,34,8,1381,599,292,80,54,79,79,false,false,0,5360,11340,750,33,0,21,150,1360,3137,1245,38,962,1514,100,0,1,0,9,73,45,75,259,1027,false,541,2282,473,276,79,11,338,97,346,36,false,626,1770053,1739567,1693914,21087,8876,7023,1122,7545,30486,1580,28906,29254,7897,15415,2827,360,2755,1200,32
40,MO,29,,,,,040A0US29,Missouri -- In metropolitan or micropolitan statistical area,5208911,4205898,676412,20460,103808,5579,63081,133673,12625,121048,4324781,738807,66160,133704,11534,76965,20460,14955,366,87,125,8,97,6344,44,262,444,651,0,63,31,248,23,184,64,17,402,46,118,12,540,179,119,177,45,5,328,101,3,109,25,1022,83,32,28,true,false,22,8,2492,683,151,36,56,41,18,false,false,false,4007,664,103808,24364,589,229,995,1030,22793,11988,1199,579,2903,9814,744,82,160,1137,20,3838,360,965,2109,15021,false,1475,1414,5579,1488,1302,196,75,688,125,1402,14,false,262,27,70386,53214,1418,153,3182,82,119,27147,503,832,1132,2381,21,262,211,910,231,320,96,33,1348,76,156,41,1066,458,625,282,73,5,924,173,14,450,107,3193,331,59,28,72,false,78,8,4614,2302,613,101,170,69,272,false,true,47,14210,136242,27093,594,355,1020,1490,26338,19641,1199,816,7163,14136,928,254,223,1186,66,4293,381,1111,3115,17097,false,7743,11618,3358,2160,232,160,1279,132,1609,30,false,2658,5208911,5075238,4205898,676412,20460,103808,5579,63081,133673,12625,121048,124701,45102,32876,21988,5622,19113,8607,365
40,MO,29,,,,,040C0US29,Missouri -- In metropolitan statistical area,4490148,3556134,643982,16987,96517,4518,56040,115970,11113,104857,3658636,698408,56570,123044,9891,68201,16987,12602,316,69,68,8,97,5359,44,262,395,445,0,63,21,248,23,178,64,17,387,46,44,12,503,97,111,124,45,5,266,101,0,0,25,935,59,32,28,true,false,0,8,2096,615,149,36,54,41,18,false,false,false,3205,416,96517,23344,554,229,966,1017,21226,10599,1167,556,2578,8336,732,82,160,1037,20,3797,220,850,1937,14353,false,1472,1285,4518,1060,1210,196,75,485,125,1097,14,false,240,16,60127,45425,1099,134,2908,82,97,23078,486,763,1004,1900,21,255,147,798,220,304,89,33,1148,72,73,40,935,329,500,229,73,5,807,173,11,259,99,2913,306,59,28,72,false,2,8,3866,1973,487,45,168,69,204,false,true,47,12195,125276,25895,559,355,991,1445,24502,17156,1167,763,6269,11950,914,254,223,1086,43,4252,241,989,2735,16423,false,7064,9975,2625,2027,232,160,1054,132,1292,30,false,2423,4490148,4374178,3556134,643982,16987,96517,4518,56040,115970,11113,104857,107702,38426,27751,19450,5173,16902,7934,334
40,MO,29,,,,,040C1US29,Missouri -- In metropolitan statistical area -- in principal city,1342697,895936,329960,5453,36114,1920,29467,43847,4898,38949,933737,351686,19180,46104,4253,34725,5453,4401,41,69,17,8,97,1876,0,117,101,129,0,23,10,23,11,56,54,0,86,36,0,0,207,33,33,28,24,5,57,31,0,0,0,315,36,0,0,false,false,0,0,878,145,58,0,45,0,13,false,false,false,738,111,36114,6064,118,229,838,477,7918,3722,192,171,1003,3123,322,39,16,537,11,1194,168,288,791,7796,false,620,477,1920,592,370,0,37,171,13,583,0,false,147,7,20492,15586,293,84,1153,71,97,7749,118,268,414,570,0,61,18,218,123,131,64,0,237,36,5,0,299,33,157,28,24,5,170,76,8,107,32,1125,193,27,0,42,false,0,0,1550,521,296,9,146,11,130,false,false,36,4053,46855,6885,123,355,838,802,8924,6251,192,234,2135,4492,359,86,16,576,23,1441,168,359,1068,8307,false,3221,4260,1268,652,5,96,358,20,669,16,false,1176,1342697,1298850,895936,329960,5453,36114,1920,29467,43847,4898,38949,40803,15021,8736,7404,2477,7165,2969,75
40,MO,29,,,,,040C2US29,Missouri -- In metropolitan statistical area -- not in principal city,3147451,2660198,314022,11534,60403,2598,26573,72123,6215,65908,2724899,346722,37390,76940,5638,33476,11534,8201,275,0,51,0,0,3483,44,145,294,316,0,40,11,225,12,122,10,17,301,10,44,12,296,64,78,96,21,0,209,70,0,0,25,620,23,32,28,true,false,0,8,1218,470,91,36,9,41,5,false,false,false,2467,305,60403,17280,436,0,128,540,13308,6877,975,385,1575,5213,410,43,144,500,9,2603,52,562,1146,6557,false,852,808,2598,468,840,196,38,314,112,514,14,false,93,9,39635,29839,806,50,1755,11,0,15329,368,495,590,1330,21,194,129,580,97,173,25,33,911,36,68,40,636,296,343,201,49,0,637,97,3,152,67,1788,113,32,28,30,false,2,8,2316,1452,191,36,22,58,74,false,true,11,8142,78421,19010,436,0,153,643,15578,10905,975,529,4134,7458,555,168,207,510,20,2811,73,630,1667,8116,false,3843,5715,1357,1375,227,64,696,112,623,14,false,1247,3147451,3075328,2660198,314022,11534,60403,2598,26573,72123,6215,65908,66899,23405,19015,12046,2696,9737,4965,259
40,MO,29,,,,,040E0US29,Missouri -- In micropolitan statistical area,718763,649764,32430,3473,7291,1061,7041,17703,1512,16191,666145,40399,9590,10660,1643,8764,3473,2353,50,18,57,0,0,985,0,0,49,206,0,0,10,0,0,6,0,0,15,0,74,0,37,82,8,53,0,0,62,0,3,109,0,87,24,0,0,false,false,22,0,396,68,2,0,2,0,0,false,false,false,802,248,7291,1020,35,0,29,13,1567,1389,32,23,325,1478,12,0,0,100,0,41,140,115,172,668,false,3,129,1061,428,92,0,0,203,0,305,0,false,22,11,10259,7789,319,19,274,0,22,4069,17,69,128,481,0,7,64,112,11,16,7,0,200,4,83,1,131,129,125,53,0,0,117,0,3,191,8,280,25,0,0,0,false,76,0,748,329,126,56,2,0,68,false,false,0,2015,10966,1198,35,0,29,45,1836,2485,32,53,894,2186,14,0,0,100,23,41,140,122,380,674,false,679,1643,733,133,0,0,225,0,317,0,false,235,718763,701060,649764,32430,3473,7291,1061,7041,17703,1512,16191,16999,6676,5125,2538,449,2211,673,31
40,MO,29,,,,,040E1US29,Missouri -- In micropolitan statistical area -- in principal city,262533,223515,21106,1232,4764,774,3828,7314,725,6589,230212,24928,3502,5908,986,4670,1232,795,0,18,4,0,0,189,0,0,38,65,0,0,10,0,0,0,0,0,6,0,19,0,9,66,8,0,0,0,22,0,0,103,0,7,24,0,0,false,false,0,0,207,24,0,0,0,0,0,false,false,false,267,146,4764,866,6,0,29,0,1219,680,32,20,175,689,0,0,0,100,0,33,95,110,98,566,false,0,46,774,304,76,0,0,89,0,305,0,false,0,0,3709,2882,92,18,27,0,22,1546,0,63,77,107,0,7,61,80,0,10,0,0,6,0,19,0,32,108,33,0,0,0,27,0,0,103,8,82,24,0,0,0,false,44,0,286,226,0,0,0,0,0,false,false,0,601,6061,937,6,0,29,26,1331,1134,32,40,324,870,2,0,0,100,23,33,95,110,151,566,false,252,986,431,92,0,0,89,0,306,0,false,68,262533,255219,223515,21106,1232,4764,774,3828,7314,725,6589,6955,3256,1860,674,124,1041,359,0
40,MO,29,,,,,040E2US29,Missouri -- In micropolitan statistical area -- not in principal city,456230,426249,11324,2241,2527,287,3213,10389,787,9602,435933,15471,6088,4752,657,4094,2241,1558,50,0,53,0,0,796,0,0,11,141,0,0,0,0,0,6,0,0,9,0,55,0,28,16,0,53,0,0,40,0,3,6,0,80,0,0,0,false,false,22,0,189,44,2,0,2,0,0,false,false,false,535,102,2527,154,29,0,0,13,348,709,0,3,150,789,12,0,0,0,0,8,45,5,74,102,false,3,83,287,124,16,0,0,114,0,0,0,false,22,11,6550,4907,227,1,247,0,0,2523,17,6,51,374,0,0,3,32,11,6,7,0,194,4,64,1,99,21,92,53,0,0,90,0,3,88,0,198,1,0,0,0,false,32,0,462,103,126,56,2,0,68,false,false,0,1414,4905,261,29,0,0,19,505,1351,0,13,570,1316,12,0,0,0,0,8,45,12,229,108,false,427,657,302,41,0,0,136,0,11,0,false,167,456230,445841,426249,11324,2241,2527,287,3213,10389,787,9602,10044,3420,3265,1864,325,1170,314,31
