summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,OK,40,,,,,04000US40,Oklahoma,3849733,2813794,278571,279276,74570,4701,98885,299936,15087,284849,3086220,345252,512490,96584,8440,116233,279276,252244,2969,548,329,15,8,106161,1938,13937,330,45009,7,6017,21,23664,78,1961,60,false,2188,5463,61,13,1043,1072,4782,527,34,34,4960,229,104,6703,73,1118,214,39,117,18,26,56,154,20164,1905,360,16,35,244,33,21,11,103,14298,10366,74570,12602,502,false,1711,825,10140,6248,3897,933,2236,6113,1762,240,18,654,false,1987,289,350,1568,19069,7,2016,1403,4701,1086,439,19,67,685,1373,778,24,false,208,22,535766,493611,5759,1212,2955,133,36,215632,3253,31468,984,87298,64,10201,177,46539,158,3244,91,21,4233,7888,123,25,1864,1901,9018,895,76,94,8488,439,124,11943,147,3189,412,48,124,60,52,97,189,32957,4484,844,107,101,419,152,21,44,159,36668,99144,13810,511,false,1956,1032,13151,11647,3908,1046,7116,10147,2224,303,55,681,31,2253,289,423,2543,21271,14,4733,8569,2934,665,19,105,966,1376,813,27,false,1664,3849733,3549797,2813794,278571,279276,74570,4701,98885,299936,15087,284849,285466,33304,198810,14966,18806,19580,13522,948
40,OK,40,,,,,04001US40,Oklahoma -- Urban,2565803,1823875,248903,143584,68029,3828,80930,196654,11351,185303,1998007,305352,285050,85885,6732,94019,143584,127513,1873,277,257,15,8,48712,1241,6553,257,20366,0,3742,10,13872,45,1149,57,false,1013,3601,23,12,861,773,2836,286,22,9,2323,194,93,4156,29,700,140,23,62,12,24,38,106,11743,1368,263,14,23,187,10,21,8,63,8327,6050,68029,11726,452,false,1680,736,9202,5318,2907,923,1870,5493,1476,240,0,621,false,1954,241,306,1409,18257,7,1903,1308,3828,751,242,16,63,528,1334,689,0,false,190,15,298471,269848,3707,800,2153,86,36,110085,2040,16746,712,42619,57,6168,56,30184,72,1938,88,10,2188,5180,77,24,1517,1372,5803,426,56,69,4468,381,93,7741,90,1929,310,32,66,39,43,54,114,20219,3145,600,25,65,345,125,21,19,77,24801,88262,12719,460,false,1921,888,11801,9571,2913,988,5675,8956,1901,303,37,648,31,2167,241,361,2205,20204,14,4258,6854,2197,381,16,101,745,1337,718,0,false,1359,2565803,2369149,1823875,248903,143584,68029,3828,80930,196654,11351,185303,184971,28237,114067,11947,15755,14965,10910,773
40,OK,40,,,,,04043US40,Oklahoma -- Rural,1283930,989919,29668,135692,6541,873,17955,103282,3736,99546,1088213,39900,227440,10699,1708,22214,135692,124731,1096,271,72,0,0,57449,697,7384,73,24643,7,2275,11,9792,33,812,3,false,1175,1862,38,1,182,299,1946,241,12,25,2637,35,11,2547,44,418,74,16,55,6,2,18,48,8421,537,97,2,12,57,23,0,3,40,5971,4316,6541,876,50,false,31,89,938,930,990,10,366,620,286,0,18,33,false,33,48,44,159,812,0,113,95,873,335,197,3,4,157,39,89,24,false,18,7,237295,223763,2052,412,802,47,0,105547,1213,14722,272,44679,7,4033,121,16355,86,1306,3,11,2045,2708,46,1,347,529,3215,469,20,25,4020,58,31,4202,57,1260,102,16,58,21,9,43,75,12738,1339,244,82,36,74,27,0,25,82,11867,10882,1091,51,false,35,144,1350,2076,995,58,1441,1191,323,0,18,33,0,86,48,62,338,1067,0,475,1715,737,284,3,4,221,39,95,27,false,305,1283930,1180648,989919,29668,135692,6541,873,17955,103282,3736,99546,100495,5067,84743,3019,3051,4615,2612,175
40,OK,40,,,,,040A0US40,Oklahoma -- In metropolitan or micropolitan statistical area,3305769,2421120,263044,210079,72442,4269,86935,247880,12428,235452,2644487,323381,397557,93235,7761,101210,210079,188081,1823,320,322,15,8,79435,1522,10735,312,30436,7,4983,4,18151,46,1367,60,false,1889,2924,54,12,920,935,4564,397,34,34,4388,207,99,3785,68,950,176,39,103,12,18,56,123,16748,1607,334,16,33,226,27,21,11,91,11927,8039,72442,12412,502,false,1699,791,9890,5793,3533,926,2155,6018,1659,240,0,621,false,1984,282,334,1459,18744,7,2010,1383,4269,953,368,19,67,616,1307,692,21,false,204,22,415124,378867,4114,800,2494,128,25,164723,2497,23967,884,61634,64,8798,136,37717,109,2344,91,10,3605,4828,110,24,1658,1691,8469,733,76,94,7471,395,119,7752,129,2560,366,48,110,43,20,79,147,27805,3848,662,58,92,321,146,21,24,124,31623,95764,13561,511,false,1940,998,12804,10905,3539,996,6802,9913,2084,303,37,648,31,2235,282,407,2386,20889,14,4479,7890,2739,562,19,105,873,1310,716,21,false,1545,3305769,3057889,2421120,263044,210079,72442,4269,86935,247880,12428,235452,234936,30193,157105,14149,16837,16652,12038,906
40,OK,40,,,,,040C0US40,Oklahoma -- In metropolitan statistical area,2504090,1823528,233229,132844,62715,2349,64488,184937,9648,175289,1988113,283728,267431,80319,5326,75605,132844,117992,1432,179,229,15,8,47716,974,5365,246,17335,7,4531,2,14351,46,888,60,false,1056,2541,52,0,847,705,3655,195,14,9,2756,173,93,2092,30,777,112,39,39,9,18,47,122,9227,1062,255,14,25,188,0,21,7,41,7955,5539,62715,10425,465,false,1657,713,7901,4545,3409,289,1826,5143,1545,189,0,498,false,1924,206,272,1176,17599,7,1679,1247,2349,754,251,3,59,550,107,500,21,false,97,7,279281,252720,3144,574,1908,104,25,108975,1584,12641,739,37484,64,7935,109,30494,105,1604,71,10,2101,4258,80,7,1458,1101,7050,271,38,20,4859,295,93,4877,82,1934,281,39,46,40,20,63,146,15991,2779,452,49,44,255,69,21,14,43,23287,82643,11339,469,false,1875,868,10563,8781,3415,342,5526,8736,1910,252,37,525,11,2117,206,338,1932,19578,14,3809,5435,2244,415,3,91,784,107,500,21,false,1270,2504090,2319153,1823528,233229,132844,62715,2349,64488,184937,9648,175289,174383,25027,109819,12027,14206,13304,9742,812
40,OK,40,,,,,040C1US40,Oklahoma -- In metropolitan statistical area -- in principal city,1106278,731347,167729,39521,40010,1243,45567,80861,5397,75464,797921,199484,92539,49074,2596,51916,39521,33982,844,28,172,9,8,11543,181,1603,111,4646,0,2011,0,3719,0,230,22,false,350,1369,11,0,595,298,694,124,12,0,702,95,87,1025,0,343,68,23,12,0,18,29,12,2988,405,55,0,10,45,0,0,0,15,2709,2355,40010,7320,355,false,1476,359,4085,2100,1798,217,875,2668,1064,87,0,186,false,1145,105,210,488,13237,7,1388,840,1243,388,121,0,0,292,8,352,0,false,79,3,97456,85824,1689,342,1278,39,8,32181,601,4550,383,12147,0,3311,7,10590,19,465,33,10,601,2406,17,7,1111,524,1545,157,35,11,1566,147,87,2616,47,1016,164,23,16,27,18,45,20,5965,1281,167,11,10,95,51,0,0,17,10167,50435,7688,355,false,1609,416,5700,4182,1804,233,2498,4828,1349,92,22,186,0,1314,105,257,751,14416,7,2623,2623,1098,180,0,24,399,8,352,0,false,562,1106278,1025417,731347,167729,39521,40010,1243,45567,80861,5397,75464,74937,14152,36770,6109,10525,7381,5502,422
40,OK,40,,,,,040C2US40,Oklahoma -- In metropolitan statistical area -- not in principal city,1397812,1092181,65500,93323,22705,1106,18921,104076,4251,99825,1190192,84244,174892,31245,2730,23689,93323,84010,588,151,57,6,0,36173,793,3762,135,12689,7,2520,2,10632,46,658,38,false,706,1172,41,0,252,407,2961,71,2,9,2054,78,6,1067,30,434,44,16,27,9,0,18,110,6239,657,200,14,15,143,0,21,7,26,5246,3184,22705,3105,110,false,181,354,3816,2445,1611,72,951,2475,481,102,0,312,false,779,101,62,688,4362,0,291,407,1106,366,130,3,59,258,99,148,21,false,18,4,181825,166896,1455,232,630,65,17,76794,983,8091,356,25337,64,4624,102,19904,86,1139,38,0,1500,1852,63,0,347,577,5505,114,3,9,3293,148,6,2261,35,918,117,16,30,13,2,18,126,10026,1498,285,38,34,160,18,21,14,26,13120,32208,3651,114,false,266,452,4863,4599,1611,109,3028,3908,561,160,15,339,11,803,101,81,1181,5162,7,1186,2812,1146,235,3,67,385,99,148,21,false,708,1397812,1293736,1092181,65500,93323,22705,1106,18921,104076,4251,99825,99446,10875,73049,5918,3681,5923,4240,390
40,OK,40,,,,,040E0US40,Oklahoma -- In micropolitan statistical area,801679,597592,29815,77235,9727,1920,22447,62943,2780,60163,656374,39653,130126,12916,2435,25605,77235,70089,391,141,93,0,0,31719,548,5370,66,13101,0,452,2,3800,0,479,0,false,833,383,2,12,73,230,909,202,20,25,1632,34,6,1693,38,173,64,0,64,3,0,9,1,7521,545,79,2,8,38,27,0,4,50,3972,2500,9727,1987,37,false,42,78,1989,1248,124,637,329,875,114,51,0,123,false,60,76,62,283,1145,0,331,136,1920,199,117,16,8,66,1200,192,0,false,107,15,135843,126147,970,226,586,24,0,55748,913,11326,145,24150,0,863,27,7223,4,740,20,0,1504,570,30,17,200,590,1419,462,38,74,2612,100,26,2875,47,626,85,9,64,3,0,16,1,11814,1069,210,9,48,66,77,0,10,81,8336,13121,2222,42,false,65,130,2241,2124,124,654,1276,1177,174,51,0,123,20,118,76,69,454,1311,0,670,2455,495,147,16,14,89,1203,216,0,false,275,801679,738736,597592,29815,77235,9727,1920,22447,62943,2780,60163,60553,5166,47286,2122,2631,3348,2296,94
40,OK,40,,,,,040E1US40,Oklahoma -- In micropolitan statistical area -- in principal city,427793,313596,23231,33074,7642,1603,15615,33032,1519,31513,344126,30321,59114,9823,1850,17401,33074,29623,271,32,44,0,0,11998,281,1774,25,5886,0,228,0,1831,0,248,0,false,344,237,0,12,53,172,584,67,10,0,537,19,6,966,9,122,64,0,34,0,0,9,0,3760,323,39,0,0,25,10,0,4,50,1997,1042,7642,1730,37,false,30,23,1680,846,31,632,234,703,107,51,0,123,false,49,68,48,272,696,0,167,115,1603,131,62,8,0,29,1184,106,0,false,71,12,61773,56618,659,90,322,22,0,23041,535,4880,67,10799,0,394,17,3748,0,406,20,0,611,317,9,17,163,292,898,184,21,49,1022,58,6,1650,18,256,64,9,34,0,0,9,0,5931,613,129,6,27,51,35,0,10,62,4351,9961,1889,41,false,53,23,1873,1308,31,644,891,943,167,51,0,123,20,107,68,50,389,810,0,480,1867,277,92,8,6,36,1187,119,0,false,142,427793,394761,313596,23231,33074,7642,1603,15615,33032,1519,31513,31315,3806,22512,1479,1736,1782,1627,90
40,OK,40,,,,,040E2US40,Oklahoma -- In micropolitan statistical area -- not in principal city,373886,283996,6584,44161,2085,317,6832,29911,1261,28650,312248,9332,71012,3093,585,8204,44161,40466,120,109,49,0,0,19721,267,3596,41,7215,0,224,2,1969,0,231,0,false,489,146,2,0,20,58,325,135,10,25,1095,15,0,727,29,51,0,0,30,3,0,0,1,3761,222,40,2,8,13,17,0,0,0,1975,1458,2085,257,0,false,12,55,309,402,93,5,95,172,7,0,0,0,false,11,8,14,11,449,0,164,21,317,68,55,8,8,37,16,86,0,false,36,3,74070,69529,311,136,264,2,0,32707,378,6446,78,13351,0,469,10,3475,4,334,0,0,893,253,21,0,37,298,521,278,17,25,1590,42,20,1225,29,370,21,0,30,3,0,7,1,5883,456,81,3,21,15,42,0,0,19,3985,3160,333,1,false,12,107,368,816,93,10,385,234,7,0,0,0,0,11,8,19,65,501,0,190,588,218,55,8,8,53,16,97,0,false,133,373886,343975,283996,6584,44161,2085,317,6832,29911,1261,28650,29238,1360,24774,643,895,1566,669,4
