summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,OR,41,,,,,04000US41,Oregon,3939233,3352941,72837,46258,156695,15042,132667,162793,17054,145739,3501938,105962,117337,210781,29743,151789,46258,34152,573,192,611,257,94,3605,84,137,1657,1217,170,48,116,319,false,93,36,11,338,32,5,52,2772,545,129,73,465,43,224,126,506,21,39,1452,110,98,34,39,392,50,92,17295,1257,1319,134,284,64,740,56,41,150,7326,2054,156695,18775,226,470,1010,4501,36257,16901,2298,1122,13436,17192,4917,67,229,1124,81,627,293,1300,2702,27059,19,1327,4762,15042,3845,2101,909,96,1502,1109,3444,861,23,747,405,122593,92584,2235,211,4633,743,277,20818,328,856,3905,4764,246,263,642,813,221,264,110,30,1282,165,49,77,6838,1826,485,99,613,53,612,307,730,843,358,4649,473,102,105,133,747,612,102,29965,3756,3386,743,760,315,1221,126,221,269,22598,220555,23030,305,470,1190,5752,49161,33220,2490,2068,28468,23089,6387,201,321,1137,300,779,369,1520,4024,31006,38,5230,30513,10606,3593,1099,536,2539,1215,4075,1337,39,5474,3939233,3776440,3352941,72837,46258,156695,15042,132667,162793,17054,145739,148889,22111,58467,38365,2171,27775,12457,1447
40,OR,41,,,,,04001US41,Oregon -- Urban,3204677,2676274,70024,31083,150200,14042,121633,141421,15264,126157,2804581,101261,88052,200646,27410,138838,31083,22165,422,171,461,207,94,2854,57,108,1214,819,121,22,63,299,false,37,8,11,211,16,5,52,2690,473,124,39,187,43,126,119,197,11,14,1155,91,62,29,11,169,47,66,9260,831,979,93,231,64,524,32,35,138,5910,1060,150200,18272,226,470,1010,4369,34987,15844,2092,1046,12337,16118,4793,67,205,1050,61,592,247,1280,2549,26711,16,1211,4647,14042,3529,2019,904,59,1422,998,3319,782,23,615,372,91796,67711,1853,179,3716,678,254,15537,263,777,3063,3179,168,218,499,711,187,164,80,30,1030,99,46,77,6537,1638,446,64,305,43,402,300,309,751,286,3498,454,66,96,105,370,475,76,18682,2560,2652,665,657,180,909,75,166,252,18621,210176,22277,305,470,1190,5578,47257,31016,2251,1870,26540,21642,6249,201,277,1063,176,744,323,1465,3740,30540,35,4967,28142,9642,3417,1094,493,2386,1076,3939,1198,35,4862,3204677,3063256,2676274,70024,31083,150200,14042,121633,141421,15264,126157,128277,20667,45090,35595,2054,24871,11771,1373
40,OR,41,,,,,04043US41,Oregon -- Rural,734556,676667,2813,15175,6495,1000,11034,21372,1790,19582,697357,4701,29285,10135,2333,12951,15175,11987,151,21,150,50,0,751,27,29,443,398,49,26,53,20,false,56,28,0,127,16,0,0,82,72,5,34,278,0,98,7,309,10,25,297,19,36,5,28,223,3,26,8035,426,340,41,53,0,216,24,6,12,1416,994,6495,503,0,0,0,132,1270,1057,206,76,1099,1074,124,0,24,74,20,35,46,20,153,348,3,116,115,1000,316,82,5,37,80,111,125,79,0,132,33,30797,24873,382,32,917,65,23,5281,65,79,842,1585,78,45,143,102,34,100,30,0,252,66,3,0,301,188,39,35,308,10,210,7,421,92,72,1151,19,36,9,28,377,137,26,11283,1196,734,78,103,135,312,51,55,17,3977,10379,753,0,0,0,174,1904,2204,239,198,1928,1447,138,0,44,74,124,35,46,55,284,466,3,263,2371,964,176,5,43,153,139,136,139,4,612,734556,713184,676667,2813,15175,6495,1000,11034,21372,1790,19582,20612,1444,13377,2770,117,2904,686,74
40,OR,41,,,,,040A0US41,Oregon -- In metropolitan or micropolitan statistical area,3841460,3266755,72354,41359,156037,14764,129883,160308,16849,143459,3413388,105250,110860,209667,29295,148799,41359,29940,542,192,567,222,94,3498,84,137,1621,1206,142,40,116,317,false,92,30,11,338,16,5,52,2730,539,129,73,145,43,224,126,503,21,33,1402,105,98,34,39,346,50,91,13887,1091,1303,133,284,64,725,56,41,150,7095,1780,156037,18643,226,470,1010,4501,36134,16748,2289,1085,13382,17109,4917,67,229,1124,81,627,293,1300,2670,27024,19,1327,4762,14764,3764,2038,909,96,1464,1042,3444,832,23,747,405,115899,86795,2151,211,4519,697,277,20247,309,854,3795,4681,218,255,627,809,205,263,104,30,1213,149,49,77,6794,1770,471,98,287,53,612,307,698,838,347,4507,468,102,105,133,681,569,101,26114,3562,3276,733,760,248,1188,126,221,269,21997,219434,22872,305,470,1190,5742,49000,32951,2481,2031,28315,22969,6387,201,316,1137,300,779,369,1520,3945,30927,38,5189,30065,10429,3511,1099,536,2501,1148,4075,1308,39,5419,3841460,3681152,3266755,72354,41359,156037,14764,129883,160308,16849,143459,146437,21916,56934,38006,2162,27419,12424,1447
40,OR,41,,,,,040C0US41,Oregon -- In metropolitan statistical area,3286017,2771858,68618,29454,150339,13738,113226,138784,14833,123951,2898337,98704,85647,199722,26517,129760,29454,20439,468,188,443,139,86,2610,72,120,1278,1030,120,25,111,183,false,66,22,11,181,16,5,26,2220,470,111,39,106,43,159,97,422,12,23,1094,95,62,29,23,100,47,44,8043,759,1006,106,180,64,590,49,17,150,5726,1374,150339,18292,226,470,1010,4434,34618,15604,2213,1061,12301,16473,4851,67,229,1115,81,582,287,1264,2600,26611,19,1215,4716,13738,3449,1920,892,48,1352,878,3367,777,23,661,371,89648,66490,1836,196,3938,610,255,16155,254,628,3110,3864,167,222,514,576,179,161,96,24,929,110,29,51,6153,1425,402,64,205,43,491,272,617,739,313,3914,320,66,100,117,331,516,54,16444,2949,2470,532,585,187,901,119,146,264,17475,209347,22375,305,470,1190,5587,46604,30401,2405,1970,26033,21873,6293,201,306,1128,300,734,363,1484,3863,30418,38,5006,27222,9341,3161,1055,477,2284,978,3988,1235,35,4668,3286017,3147233,2771858,68618,29454,150339,13738,113226,138784,14833,123951,126505,19957,45245,35265,1928,24110,10845,1434
40,OR,41,,,,,040C1US41,Oregon -- In metropolitan statistical area -- in principal city,1446258,1171532,46579,12141,87382,7568,52399,68657,7366,61291,1233222,64157,38268,112361,13598,60610,12141,8534,162,23,151,45,32,1132,27,42,712,343,109,0,28,45,false,17,0,0,108,16,0,0,1050,168,13,7,54,35,36,83,93,11,14,453,65,39,1,11,16,47,44,3302,205,297,56,61,27,136,0,17,104,2476,525,87382,10370,158,470,605,2390,21196,7847,474,590,6849,7853,3024,41,37,911,0,273,139,705,1376,18499,19,627,2929,7568,1679,1098,753,28,938,529,1376,544,0,332,291,40251,30266,901,31,2222,403,166,6798,136,174,1591,1551,150,68,268,354,135,70,54,13,529,81,8,25,2495,678,228,32,137,35,151,212,163,489,240,1628,216,43,27,38,137,158,54,7377,910,925,408,179,94,197,0,47,147,8003,117578,12618,173,470,785,3065,27660,14547,515,1245,14105,10391,3936,147,85,924,76,394,197,825,1935,20748,38,2699,14065,4424,1805,797,365,1352,542,1891,812,0,2077,1446258,1377601,1171532,46579,12141,87382,7568,52399,68657,7366,61291,62041,11355,19393,17968,1343,11982,5985,631
40,OR,41,,,,,040C2US41,Oregon -- In metropolitan statistical area -- not in principal city,1839759,1600326,22039,17313,62957,6170,60827,70127,7467,62660,1665115,34547,47379,87361,12919,69150,17313,11905,306,165,292,94,54,1478,45,78,566,687,11,25,83,138,false,49,22,11,73,0,5,26,1170,302,98,32,52,8,123,14,329,1,9,641,30,23,28,12,84,0,0,4741,554,709,50,119,37,454,49,0,46,3250,849,62957,7922,68,0,405,2044,13422,7757,1739,471,5452,8620,1827,26,192,204,81,309,148,559,1224,8112,0,588,1787,6170,1770,822,139,20,414,349,1991,233,23,329,80,49397,36224,935,165,1716,207,89,9357,118,454,1519,2313,17,154,246,222,44,91,42,11,400,29,21,26,3658,747,174,32,68,8,340,60,454,250,73,2286,104,23,73,79,194,358,0,9067,2039,1545,124,406,93,704,119,99,117,9472,91769,9757,132,0,405,2522,18944,15854,1890,725,11928,11482,2357,54,221,204,224,340,166,659,1928,9670,0,2307,13157,4917,1356,258,112,932,436,2097,423,35,2591,1839759,1769632,1600326,22039,17313,62957,6170,60827,70127,7467,62660,64464,8602,25852,17297,585,12128,4860,803
40,OR,41,,,,,040E0US41,Oregon -- In micropolitan statistical area,555443,494897,3736,11905,5698,1026,16657,21524,2016,19508,515051,6546,25213,9945,2778,19039,11905,9501,74,4,124,83,8,888,12,17,343,176,22,15,5,134,false,26,8,0,157,0,0,26,510,69,18,34,39,0,65,29,81,9,10,308,10,36,5,16,246,3,47,5844,332,297,27,104,0,135,7,24,0,1369,406,5698,351,0,0,0,67,1516,1144,76,24,1081,636,66,0,0,9,0,45,6,36,70,413,0,112,46,1026,315,118,17,48,112,164,77,55,0,86,34,26251,20305,315,15,581,87,22,4092,55,226,685,817,51,33,113,233,26,102,8,6,284,39,20,26,641,345,69,34,82,10,121,35,81,99,34,593,148,36,5,16,350,53,47,9670,613,806,201,175,61,287,7,75,5,4522,10087,497,0,0,0,155,2396,2550,76,61,2282,1096,94,0,10,9,0,45,6,36,82,509,0,183,2843,1088,350,44,59,217,170,87,73,4,751,555443,533919,494897,3736,11905,5698,1026,16657,21524,2016,19508,19932,1959,11689,2741,234,3309,1579,13
40,OR,41,,,,,040E1US41,Oregon -- In micropolitan statistical area -- in principal city,175268,153699,2098,2729,2207,550,5821,8164,871,7293,161198,3423,6690,4656,1380,6970,2729,2172,59,0,56,48,0,298,0,0,91,33,0,0,3,111,false,20,8,0,14,0,0,25,233,11,18,0,0,0,41,20,0,0,0,109,8,0,0,0,72,0,0,894,134,82,0,7,0,67,0,8,0,252,89,2207,77,0,0,0,19,600,642,0,4,356,117,41,0,0,0,0,10,0,36,23,242,0,26,14,550,111,93,17,11,84,111,67,0,0,56,0,7043,5228,154,0,129,48,0,1218,16,108,146,210,0,0,61,141,0,73,8,0,97,0,0,25,345,157,30,0,18,0,46,26,0,44,0,232,20,0,0,0,85,20,0,1771,211,206,16,15,0,116,0,59,0,1398,4699,148,0,0,0,107,1110,1568,0,16,881,368,69,0,10,0,0,10,0,36,35,292,0,49,1385,311,253,21,16,119,117,67,0,0,481,175268,167104,153699,2098,2729,2207,550,5821,8164,871,7293,7289,984,3128,1700,93,1384,865,10
40,OR,41,,,,,040E2US41,Oregon -- In micropolitan statistical area -- not in principal city,380175,341198,1638,9176,3491,476,10836,13360,1145,12215,353853,3123,18523,5289,1398,12069,9176,7329,15,4,68,35,8,590,12,17,252,143,22,15,2,23,false,6,0,0,143,0,0,1,277,58,0,34,39,0,24,9,81,9,10,199,2,36,5,16,174,3,47,4950,198,215,27,97,0,68,7,16,0,1117,317,3491,274,0,0,0,48,916,502,76,20,725,519,25,0,0,9,0,35,6,0,47,171,0,86,32,476,204,25,0,37,28,53,10,55,0,30,34,19208,15077,161,15,452,39,22,2874,39,118,539,607,51,33,52,92,26,29,0,6,187,39,20,1,296,188,39,34,64,10,75,9,81,55,34,361,128,36,5,16,265,33,47,7899,402,600,185,160,61,171,7,16,5,3124,5388,349,0,0,0,48,1286,982,76,45,1401,728,25,0,0,9,0,35,6,0,47,217,0,134,1458,777,97,23,43,98,53,20,73,4,270,380175,366815,341198,1638,9176,3491,476,10836,13360,1145,12215,12643,975,8561,1041,141,1925,714,3
