summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,PR,72,,,,,04000US72,Puerto Rico,3583073,2495997,301519,11775,10159,129,431443,332051,19269,312782,2819232,613717,30282,12642,588,453261,11775,6085,false,false,false,false,602,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,272,8,false,false,false,false,false,16,false,false,false,false,5001,181,false,false,false,false,false,5,92,false,false,false,false,false,false,false,false,5548,50,10159,6832,false,false,false,false,1624,157,false,628,189,84,false,false,10,26,false,false,false,32,26,396,false,145,10,129,54,52,false,false,23,false,false,false,false,false,false,30413,18159,22,false,false,14,991,47,false,false,false,false,false,false,false,false,false,47,false,false,false,false,false,false,294,18,false,false,false,false,false,50,false,5,false,false,15681,835,false,false,false,false,false,155,300,26,false,false,17,false,false,9,false,11928,12660,8260,false,false,false,false,1887,338,false,628,300,115,false,false,10,26,false,false,false,32,26,464,false,574,627,93,84,false,false,76,false,false,8,false,366,3583073,3251022,2495997,301519,11775,10159,129,431443,332051,19269,312782,317795,292124,3526,637,1589,19919,13914,342
40,PR,72,,,,,04001US72,Puerto Rico -- Urban,3375043,2334132,290889,11673,9737,129,405819,322664,18818,303846,2648268,594189,29821,12147,570,427101,11673,6044,false,false,false,false,602,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,272,8,false,false,false,false,false,16,false,false,false,false,4965,181,false,false,false,false,false,0,78,false,false,false,false,false,false,false,false,5501,50,9737,6419,false,false,false,false,1624,157,false,628,180,84,false,false,10,26,false,false,false,32,26,396,false,145,10,129,54,52,false,false,23,false,false,false,false,false,false,29952,17882,22,false,false,14,982,47,false,false,false,false,false,false,false,false,false,47,false,false,false,false,false,false,294,18,false,false,false,false,false,50,false,5,false,false,15456,797,false,false,false,false,false,150,286,17,false,false,8,false,false,9,false,11767,12157,7847,false,false,false,false,1887,314,false,628,283,115,false,false,10,26,false,false,false,32,26,464,false,525,609,93,84,false,false,76,false,false,8,false,348,3375043,3052379,2334132,290889,11673,9737,129,405819,322664,18818,303846,308617,283602,3499,613,1435,19468,13705,342
40,PR,72,,,,,04043US72,Puerto Rico -- Rural,208030,161865,10630,102,422,0,25624,9387,451,8936,170964,19528,461,495,18,26160,102,41,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,false,false,false,false,false,0,false,false,false,false,36,0,false,false,false,false,false,5,14,false,false,false,false,false,false,false,false,47,0,422,413,false,false,false,false,0,0,false,0,9,0,false,false,0,0,false,false,false,0,0,0,false,0,0,0,0,0,false,false,0,false,false,false,false,false,false,461,277,0,false,false,0,9,0,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,0,0,false,false,false,false,false,0,false,0,false,false,225,38,false,false,false,false,false,5,14,9,false,false,9,false,false,0,false,161,503,413,false,false,false,false,0,24,false,0,17,0,false,false,0,0,false,false,false,0,0,0,false,49,18,0,0,false,false,0,false,false,0,false,18,208030,198643,161865,10630,102,422,0,25624,9387,451,8936,9178,8522,27,24,154,451,209,0
40,PR,72,,,,,040A0US72,Puerto Rico -- In metropolitan or micropolitan statistical area,3556765,2478912,300203,11698,10028,129,424017,331778,19225,312553,2801874,612172,30205,12511,588,445791,11698,6065,false,false,false,false,587,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,272,8,false,false,false,false,false,16,false,false,false,false,5001,181,false,false,false,false,false,0,92,false,false,false,false,false,false,false,false,5491,50,10028,6701,false,false,false,false,1624,157,false,628,189,84,false,false,10,26,false,false,false,32,26,396,false,145,10,129,54,52,false,false,23,false,false,false,false,false,false,30336,18139,22,false,false,14,976,47,false,false,false,false,false,false,false,false,false,47,false,false,false,false,false,false,294,18,false,false,false,false,false,50,false,5,false,false,15681,835,false,false,false,false,false,150,300,26,false,false,17,false,false,9,false,11871,12529,8129,false,false,false,false,1887,338,false,628,300,115,false,false,10,26,false,false,false,32,26,464,false,574,627,93,84,false,false,76,false,false,8,false,366,3556765,3224987,2478912,300203,11698,10028,129,424017,331778,19225,312553,317522,291895,3526,637,1589,19875,13914,342
40,PR,72,,,,,040C0US72,Puerto Rico -- In metropolitan statistical area,3428593,2389124,288801,11604,9889,129,399613,329433,18933,310500,2709838,598703,29971,12361,588,421053,11604,6038,false,false,false,false,587,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,272,8,false,false,false,false,false,16,false,false,false,false,4974,181,false,false,false,false,false,0,92,false,false,false,false,false,false,false,false,5424,50,9889,6682,false,false,false,false,1542,157,false,628,189,61,false,false,10,26,false,false,false,32,26,396,false,130,10,129,54,52,false,false,23,false,false,false,false,false,false,30102,17986,22,false,false,14,976,47,false,false,false,false,false,false,false,false,false,47,false,false,false,false,false,false,294,18,false,false,false,false,false,50,false,0,false,false,15533,835,false,false,false,false,false,150,300,17,false,false,8,false,false,9,false,11799,12379,8099,false,false,false,false,1805,338,false,628,300,92,false,false,10,26,false,false,false,32,26,464,false,559,627,93,84,false,false,76,false,false,8,false,366,3428593,3099160,2389124,288801,11604,9889,129,399613,329433,18933,310500,315287,290007,3526,637,1545,19572,13804,342
40,PR,72,,,,,040C1US72,Puerto Rico -- In metropolitan statistical area -- in principal city,956903,665002,110192,6277,4513,30,95846,75043,7444,67599,736513,177760,14313,5772,147,104205,6277,2535,false,false,false,false,155,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,171,0,false,false,false,false,false,0,false,false,false,false,2113,96,false,false,false,false,false,0,21,false,false,false,false,false,false,false,false,3671,50,4513,2838,false,false,false,false,610,84,false,450,43,53,false,false,10,16,false,false,false,32,0,370,false,7,0,30,18,12,false,false,0,false,false,false,false,false,false,14444,5822,14,false,false,14,359,0,false,false,false,false,false,false,false,false,false,34,false,false,false,false,false,false,184,0,false,false,false,false,false,34,false,0,false,false,4872,289,false,false,false,false,false,22,118,9,false,false,0,false,false,9,false,8495,5772,3641,false,false,false,false,838,100,false,450,76,78,false,false,10,16,false,false,false,32,0,384,false,147,147,18,21,false,false,7,false,false,0,false,101,956903,881860,665002,110192,6277,4513,30,95846,75043,7444,67599,68433,58775,1246,269,471,7672,6456,154
40,PR,72,,,,,040C2US72,Puerto Rico -- In metropolitan statistical area -- not in principal city,2471690,1724122,178609,5327,5376,99,303767,254390,11489,242901,1973325,420943,15658,6589,441,316848,5327,3503,false,false,false,false,432,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,101,8,false,false,false,false,false,16,false,false,false,false,2861,85,false,false,false,false,false,0,71,false,false,false,false,false,false,false,false,1753,0,5376,3844,false,false,false,false,932,73,false,178,146,8,false,false,0,10,false,false,false,0,26,26,false,123,10,99,36,40,false,false,23,false,false,false,false,false,false,15658,12164,8,false,false,0,617,47,false,false,false,false,false,false,false,false,false,13,false,false,false,false,false,false,110,18,false,false,false,false,false,16,false,0,false,false,10661,546,false,false,false,false,false,128,182,8,false,false,8,false,false,0,false,3304,6607,4458,false,false,false,false,967,238,false,178,224,14,false,false,0,10,false,false,false,0,26,80,false,412,480,75,63,false,false,69,false,false,8,false,265,2471690,2217300,1724122,178609,5327,5376,99,303767,254390,11489,242901,246854,231232,2280,368,1074,11900,7348,188
40,PR,72,,,,,040E0US72,Puerto Rico -- In micropolitan statistical area,128172,89788,11402,94,139,0,24404,2345,292,2053,92036,13469,234,150,0,24738,94,27,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,false,false,false,false,false,0,false,false,false,false,27,0,false,false,false,false,false,0,0,false,false,false,false,false,false,false,false,67,0,139,19,false,false,false,false,82,0,false,0,0,23,false,false,0,0,false,false,false,0,0,0,false,15,0,0,0,0,false,false,0,false,false,false,false,false,false,234,153,0,false,false,0,0,0,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,0,0,false,false,false,false,false,0,false,5,false,false,148,0,false,false,false,false,false,0,0,9,false,false,9,false,false,0,false,72,150,30,false,false,false,false,82,0,false,0,0,23,false,false,0,0,false,false,false,0,0,0,false,15,0,0,0,false,false,0,false,false,0,false,0,128172,125827,89788,11402,94,139,0,24404,2345,292,2053,2235,1888,0,0,44,303,110,0
40,PR,72,,,,,040E1US72,Puerto Rico -- In micropolitan statistical area -- in principal city,31057,20908,3411,5,0,0,6070,663,55,608,21546,4025,54,0,0,6137,5,5,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,false,false,false,false,false,0,false,false,false,false,5,0,false,false,false,false,false,0,0,false,false,false,false,false,false,false,false,0,0,0,0,false,false,false,false,0,0,false,0,0,0,false,false,0,0,false,false,false,0,0,0,false,0,0,0,0,0,false,false,0,false,false,false,false,false,false,54,49,0,false,false,0,0,0,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,0,0,false,false,false,false,false,0,false,0,false,false,49,0,false,false,false,false,false,0,0,0,false,false,0,false,false,0,false,5,0,0,false,false,false,false,0,0,false,0,0,0,false,false,0,0,false,false,false,0,0,0,false,0,0,0,0,false,false,0,false,false,0,false,0,31057,30394,20908,3411,5,0,0,6070,663,55,608,621,566,0,0,0,55,42,0
40,PR,72,,,,,040E2US72,Puerto Rico -- In micropolitan statistical area -- not in principal city,97115,68880,7991,89,139,0,18334,1682,237,1445,70490,9444,180,150,0,18601,89,22,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,false,false,false,false,false,0,false,false,false,false,22,0,false,false,false,false,false,0,0,false,false,false,false,false,false,false,false,67,0,139,19,false,false,false,false,82,0,false,0,0,23,false,false,0,0,false,false,false,0,0,0,false,15,0,0,0,0,false,false,0,false,false,false,false,false,false,180,104,0,false,false,0,0,0,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,0,0,false,false,false,false,false,0,false,5,false,false,99,0,false,false,false,false,false,0,0,9,false,false,9,false,false,0,false,67,150,30,false,false,false,false,82,0,false,0,0,23,false,false,0,0,false,false,false,0,0,0,false,15,0,0,0,false,false,0,false,false,0,false,0,97115,95433,68880,7991,89,139,0,18334,1682,237,1445,1614,1322,0,0,44,248,68,0
