summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,RI,44,,,,,04000US44,Rhode Island,1053661,854859,68243,5106,34213,373,61085,29782,6665,23117,877619,84071,13132,40570,1871,68578,5106,3737,false,false,220,false,57,425,false,false,17,false,false,7,false,24,false,5,false,false,false,false,false,false,76,37,false,false,false,false,false,37,false,33,false,7,301,false,false,false,false,false,19,2472,137,10,false,false,false,10,false,false,false,1137,85,34213,5362,329,75,382,5740,8375,2980,652,62,821,1597,2696,42,61,456,false,537,24,390,380,2177,26,303,746,373,154,false,false,false,110,false,false,77,false,28,4,13306,9418,150,98,493,79,122,1416,false,false,37,23,false,19,false,43,false,39,false,false,358,false,18,false,110,99,7,18,false,false,false,37,false,72,false,113,707,false,false,false,false,false,35,5325,705,45,false,false,35,10,false,false,false,3138,41730,6076,432,75,382,6401,9628,4351,685,94,1669,2103,3007,42,140,456,28,672,34,506,778,2691,32,1448,1880,388,40,false,false,186,false,false,87,false,1179,1053661,1023879,854859,68243,5106,34213,373,61085,29782,6665,23117,27520,8762,3642,4829,2439,7848,2151,111
40,RI,44,,,,,04001US44,Rhode Island -- Urban,955468,761040,67164,4724,33239,358,60676,28267,6591,21676,782362,82401,12106,39224,1818,68095,4724,3426,false,false,220,false,57,419,false,false,17,false,false,7,false,14,false,5,false,false,false,false,false,false,76,37,false,false,false,false,false,37,false,33,false,7,301,false,false,false,false,false,19,2177,137,10,false,false,false,10,false,false,false,1069,82,33239,5153,329,75,378,5721,8101,2802,622,62,734,1559,2636,42,61,456,false,537,24,390,349,2143,26,303,736,358,139,false,false,false,110,false,false,77,false,28,4,12280,8626,150,98,488,67,122,1294,false,false,37,23,false,19,false,33,false,6,false,false,311,false,18,false,110,99,7,18,false,false,false,37,false,72,false,100,707,false,false,false,false,false,35,4775,603,45,false,false,35,10,false,false,false,3006,40374,5835,432,75,378,6382,9319,4042,655,94,1523,2065,2937,42,89,456,28,672,34,492,738,2644,32,1410,1827,373,40,false,false,180,false,false,87,false,1147,955468,927201,761040,67164,4724,33239,358,60676,28267,6591,21676,26132,8343,3118,4539,2428,7704,2024,111
40,RI,44,,,,,04043US44,Rhode Island -- Rural,98193,93819,1079,382,974,15,409,1515,74,1441,95257,1670,1026,1346,53,483,382,311,false,false,0,false,0,6,false,false,0,false,false,0,false,10,false,0,false,false,false,false,false,false,0,0,false,false,false,false,false,0,false,0,false,0,0,false,false,false,false,false,0,295,0,0,false,false,false,0,false,false,false,68,3,974,209,0,0,4,19,274,178,30,0,87,38,60,0,0,0,false,0,0,0,31,34,0,0,10,15,15,false,false,false,0,false,false,0,false,0,0,1026,792,0,0,5,12,0,122,false,false,0,0,false,0,false,10,false,33,false,false,47,false,0,false,0,0,0,0,false,false,false,0,false,0,false,13,0,false,false,false,false,false,0,550,102,0,false,false,0,0,false,false,false,132,1356,241,0,0,4,19,309,309,30,0,146,38,70,0,51,0,0,0,0,14,40,47,0,38,53,15,0,false,false,6,false,false,0,false,32,98193,96678,93819,1079,382,974,15,409,1515,74,1441,1388,419,524,290,11,144,127,0
40,RI,44,,,,,040A0US44,Rhode Island -- In metropolitan or micropolitan statistical area,1053661,854859,68243,5106,34213,373,61085,29782,6665,23117,877619,84071,13132,40570,1871,68578,5106,3737,false,false,220,false,57,425,false,false,17,false,false,7,false,24,false,5,false,false,false,false,false,false,76,37,false,false,false,false,false,37,false,33,false,7,301,false,false,false,false,false,19,2472,137,10,false,false,false,10,false,false,false,1137,85,34213,5362,329,75,382,5740,8375,2980,652,62,821,1597,2696,42,61,456,false,537,24,390,380,2177,26,303,746,373,154,false,false,false,110,false,false,77,false,28,4,13306,9418,150,98,493,79,122,1416,false,false,37,23,false,19,false,43,false,39,false,false,358,false,18,false,110,99,7,18,false,false,false,37,false,72,false,113,707,false,false,false,false,false,35,5325,705,45,false,false,35,10,false,false,false,3138,41730,6076,432,75,382,6401,9628,4351,685,94,1669,2103,3007,42,140,456,28,672,34,506,778,2691,32,1448,1880,388,40,false,false,186,false,false,87,false,1179,1053661,1023879,854859,68243,5106,34213,373,61085,29782,6665,23117,27520,8762,3642,4829,2439,7848,2151,111
40,RI,44,,,,,040C0US44,Rhode Island -- In metropolitan statistical area,1053661,854859,68243,5106,34213,373,61085,29782,6665,23117,877619,84071,13132,40570,1871,68578,5106,3737,false,false,220,false,57,425,false,false,17,false,false,7,false,24,false,5,false,false,false,false,false,false,76,37,false,false,false,false,false,37,false,33,false,7,301,false,false,false,false,false,19,2472,137,10,false,false,false,10,false,false,false,1137,85,34213,5362,329,75,382,5740,8375,2980,652,62,821,1597,2696,42,61,456,false,537,24,390,380,2177,26,303,746,373,154,false,false,false,110,false,false,77,false,28,4,13306,9418,150,98,493,79,122,1416,false,false,37,23,false,19,false,43,false,39,false,false,358,false,18,false,110,99,7,18,false,false,false,37,false,72,false,113,707,false,false,false,false,false,35,5325,705,45,false,false,35,10,false,false,false,3138,41730,6076,432,75,382,6401,9628,4351,685,94,1669,2103,3007,42,140,456,28,672,34,506,778,2691,32,1448,1880,388,40,false,false,186,false,false,87,false,1179,1053661,1023879,854859,68243,5106,34213,373,61085,29782,6665,23117,27520,8762,3642,4829,2439,7848,2151,111
40,RI,44,,,,,040C1US44,Rhode Island -- In metropolitan statistical area -- in principal city,260535,166498,30278,2286,14198,189,38325,8761,2247,6514,172584,35495,4746,15625,767,40872,2286,1461,false,false,220,false,0,263,false,false,0,false,false,7,false,0,false,0,false,false,false,false,false,false,0,24,false,false,false,false,false,37,false,33,false,0,81,false,false,false,false,false,0,796,62,0,false,false,false,0,false,false,false,696,67,14198,1717,123,75,306,3811,2908,644,267,30,214,872,946,9,11,280,false,336,0,117,187,900,26,148,271,189,124,false,false,false,46,false,false,0,false,15,4,4814,2984,101,0,299,0,11,496,false,false,0,0,false,11,false,9,false,0,false,false,29,false,18,false,8,86,3,0,false,false,false,37,false,72,false,66,92,false,false,false,false,false,0,1646,252,0,false,false,0,0,false,false,false,1578,15958,1888,123,75,306,3999,3281,867,300,30,396,1033,1104,9,11,280,0,417,0,148,262,944,26,459,771,147,35,false,false,63,false,false,0,false,526,260535,251774,166498,30278,2286,14198,189,38325,8761,2247,6514,8029,2521,754,1017,955,2782,680,52
40,RI,44,,,,,040C2US44,Rhode Island -- In metropolitan statistical area -- not in principal city,793126,688361,37965,2820,20015,184,22760,21021,4418,16603,705035,48576,8386,24945,1104,27706,2820,2276,false,false,0,false,57,162,false,false,17,false,false,0,false,24,false,5,false,false,false,false,false,false,76,13,false,false,false,false,false,0,false,0,false,7,220,false,false,false,false,false,19,1676,75,10,false,false,false,10,false,false,false,441,18,20015,3645,206,0,76,1929,5467,2336,385,32,607,725,1750,33,50,176,false,201,24,273,193,1277,0,155,475,184,30,false,false,false,64,false,false,77,false,13,0,8492,6434,49,98,194,79,111,920,false,false,37,23,false,8,false,34,false,39,false,false,329,false,0,false,102,13,4,18,false,false,false,0,false,0,false,47,615,false,false,false,false,false,35,3679,453,45,false,false,35,10,false,false,false,1560,25772,4188,309,0,76,2402,6347,3484,385,64,1273,1070,1903,33,129,176,28,255,34,358,516,1747,6,989,1109,241,5,false,false,123,false,false,87,false,653,793126,772105,688361,37965,2820,20015,184,22760,21021,4418,16603,19491,6241,2888,3812,1484,5066,1471,59
50,RI,44,1,,,,05000US44001,"Bristol County, Rhode Island",49176,46863,622,13,806,12,122,738,33,705,47580,761,268,1115,50,183,13,13,false,false,0,false,13,0,false,false,0,false,false,0,false,0,false,0,false,false,false,false,false,false,0,0,false,false,false,false,false,0,false,0,false,0,0,false,false,false,false,false,0,0,0,0,false,false,false,0,false,false,false,0,0,806,37,0,0,0,21,441,161,0,0,20,34,4,6,4,0,false,34,0,0,29,11,0,0,4,12,12,false,false,false,0,false,false,0,false,0,0,294,162,0,0,39,0,13,39,false,false,0,0,false,0,false,0,false,0,false,false,0,false,0,false,0,0,0,0,false,false,false,0,false,0,false,0,0,false,false,false,false,false,0,71,22,0,false,false,0,0,false,false,false,110,1149,108,0,0,0,32,486,217,0,0,79,92,4,6,17,0,0,40,0,0,29,11,6,22,55,31,0,false,false,0,false,false,0,false,24,49176,48438,46863,622,13,806,12,122,738,33,705,695,122,251,261,0,61,43,0
50,RI,44,3,,,,05000US44003,"Kent County, Rhode Island",164958,152660,2308,211,3971,9,2375,3424,395,3029,155791,3782,1238,4814,131,2848,211,166,false,false,0,false,0,17,false,false,17,false,false,0,false,0,false,0,false,false,false,false,false,false,9,0,false,false,false,false,false,37,false,0,false,0,0,false,false,false,false,false,0,86,20,0,false,false,false,0,false,false,false,25,0,3971,673,138,0,0,627,842,333,398,0,183,188,73,0,0,0,false,190,0,18,41,40,0,73,154,9,0,false,false,false,9,false,false,0,false,0,0,1273,862,15,92,77,14,0,59,false,false,17,0,false,0,false,0,false,0,false,false,63,false,18,false,21,62,0,18,false,false,false,37,false,0,false,53,6,false,false,false,false,false,0,310,50,31,false,false,31,0,false,false,false,330,4975,739,138,0,0,804,962,529,398,0,261,303,191,0,0,0,0,190,0,53,176,45,0,186,131,18,0,false,false,9,false,false,0,false,104,164958,161534,152660,2308,211,3971,9,2375,3424,395,3029,3202,1131,809,623,86,553,222,0
50,RI,44,5,,,,05000US44005,"Newport County, Rhode Island",82663,74070,2907,166,1438,13,1250,2819,249,2570,76421,4481,1139,2108,113,1608,166,157,false,false,0,false,0,9,false,false,0,false,false,0,false,0,false,0,false,false,false,false,false,false,0,0,false,false,false,false,false,0,false,0,false,0,0,false,false,false,false,false,0,148,3,0,false,false,false,0,false,false,false,0,6,1438,194,68,0,0,17,178,627,0,12,98,94,0,0,0,0,false,0,0,6,48,96,0,0,0,13,0,false,false,false,0,false,false,0,false,13,0,1139,1048,20,0,0,0,0,249,false,false,1,0,false,0,false,0,false,34,false,false,107,false,0,false,0,0,0,0,false,false,false,0,false,0,false,0,60,false,false,false,false,false,0,577,3,0,false,false,0,0,false,false,false,88,2113,194,68,0,0,58,207,880,0,12,229,175,0,0,0,0,0,0,0,6,134,120,0,30,113,15,0,false,false,47,false,false,0,false,51,82663,79844,74070,2907,166,1438,13,1250,2819,249,2570,2431,887,353,591,300,300,388,0
