summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,SC,45,,,,,04000US45,South Carolina,4777576,3210708,1315058,14966,66982,2588,73324,93950,10215,83735,3290711,1367604,43007,85855,5952,84544,14966,11086,129,false,184,3,28,3200,34,150,167,117,false,49,18,188,9,40,false,false,177,9,2054,false,275,79,false,166,false,false,28,76,14,49,false,320,77,20,19,10,false,30,false,3367,303,141,94,33,7,7,false,false,17,3080,339,66982,15528,603,212,852,1895,12379,10739,2418,92,2274,5920,1143,33,false,126,false,887,129,679,1485,7448,36,1043,1061,2588,584,198,35,true,738,false,794,13,false,225,false,44275,32900,363,false,1160,75,201,16173,66,326,700,512,false,93,21,759,9,83,47,28,584,20,3143,19,904,148,31,212,31,4,55,120,21,301,39,896,302,36,19,16,false,62,false,5321,1827,343,152,91,7,68,false,25,20,9185,87922,17040,650,212,947,2148,14843,17514,2490,160,5098,8391,1214,64,19,126,33,1081,129,715,2229,8799,60,3960,6125,1622,456,49,7,1058,false,901,54,false,1978,4777576,4683626,3210708,1315058,14966,66982,2588,73324,93950,10215,83735,88179,37788,17742,12229,5692,14728,5418,353
40,SC,45,,,,,04001US45,South Carolina -- Urban,3200009,2122149,883424,9292,58913,2170,54609,69452,8392,61060,2180990,921747,28309,74421,4829,63890,9292,6818,93,false,104,3,17,1767,34,85,139,102,false,6,0,129,0,27,false,false,102,9,1028,false,206,55,false,61,false,false,28,76,14,31,false,240,77,9,19,10,false,0,false,2347,156,79,33,33,6,7,false,false,17,1946,276,58913,13869,595,212,836,1050,11230,9804,1283,40,1915,5493,980,33,false,126,false,841,116,665,1405,6663,36,884,837,2170,458,139,35,true,662,false,788,10,false,77,false,29263,21591,312,false,744,71,155,10424,34,221,507,354,false,19,0,520,0,64,47,28,436,20,1623,19,766,107,8,61,0,4,49,120,21,254,39,583,220,25,19,16,false,32,false,3669,1301,233,91,68,6,68,false,0,17,6121,75992,15009,642,212,931,1211,13130,15287,1283,108,4304,7654,1016,53,19,126,33,1022,116,701,1898,7791,60,3386,4897,1175,272,49,1,942,false,895,51,false,1512,3200009,3130557,2122149,883424,9292,58913,2170,54609,69452,8392,61060,65055,27238,11912,10251,3701,11953,4081,316
40,SC,45,,,,,04043US45,South Carolina -- Rural,1577567,1088559,431634,5674,8069,418,18715,24498,1823,22675,1109721,445857,14698,11434,1123,20654,5674,4268,36,false,80,0,11,1433,0,65,28,15,false,43,18,59,9,13,false,false,75,0,1026,false,69,24,false,105,false,false,0,0,0,18,false,80,0,11,0,0,false,30,false,1020,147,62,61,0,1,0,false,false,0,1134,63,8069,1659,8,0,16,845,1149,935,1135,52,359,427,163,0,false,0,false,46,13,14,80,785,0,159,224,418,126,59,0,false,76,false,6,3,false,148,false,15012,11309,51,false,416,4,46,5749,32,105,193,158,false,74,21,239,9,19,0,0,148,0,1520,0,138,41,23,151,31,0,6,0,0,47,0,313,82,11,0,0,false,30,false,1652,526,110,61,23,1,0,false,25,3,3064,11930,2031,8,0,16,937,1713,2227,1207,52,794,737,198,11,0,0,0,59,13,14,331,1008,0,574,1228,447,184,0,6,116,false,6,3,false,466,1577567,1553069,1088559,431634,5674,8069,418,18715,24498,1823,22675,23124,10550,5830,1978,1991,2775,1337,37
40,SC,45,,,,,040A0US45,South Carolina -- In metropolitan or micropolitan statistical area,4466165,3064988,1159214,13274,66072,2156,70263,90198,9743,80455,3141836,1209430,40083,84542,5334,80955,13274,9823,127,false,152,3,28,2839,34,150,167,117,false,49,18,188,9,40,false,false,144,9,1620,false,197,79,false,139,false,false,28,76,14,49,false,304,77,20,19,10,false,0,false,3117,278,141,94,33,7,7,false,false,17,2695,320,66072,15349,603,212,852,1860,12281,10392,2418,86,2200,5861,1143,33,false,126,false,887,129,679,1452,7390,36,1022,1061,2156,545,198,35,true,696,false,585,13,false,83,false,41302,30915,361,false,1094,75,196,15439,36,313,700,512,false,93,18,757,9,83,37,28,548,20,2613,19,821,148,31,185,31,4,55,110,21,289,39,878,302,36,19,16,false,32,false,4947,1724,343,152,91,7,68,false,25,20,8300,86601,16819,650,212,947,2105,14657,17038,2490,154,4980,8294,1214,64,19,126,33,1081,129,715,2182,8741,60,3891,5507,1529,425,49,7,1014,false,692,54,false,1737,4466165,4375967,3064988,1159214,13274,66072,2156,70263,90198,9743,80455,84757,36226,17071,12022,5440,13998,5088,353
40,SC,45,,,,,040C0US45,South Carolina -- In metropolitan statistical area,4023755,2789858,1012265,11330,63270,1955,62673,82404,8807,73597,2860515,1057878,35165,80568,4895,72371,11330,8365,115,false,134,3,28,2386,27,150,139,111,false,49,16,157,0,40,false,false,102,9,1332,false,160,69,false,139,false,false,28,76,14,43,false,246,77,20,19,10,false,0,false,2666,235,139,92,33,7,7,false,false,17,2286,288,63270,14264,603,212,836,1833,12000,10167,2398,75,1977,5636,1074,33,false,123,false,791,129,586,1407,7080,36,949,1061,1955,367,181,35,true,696,false,585,13,false,77,false,36206,27206,349,false,961,69,196,13428,29,313,578,448,false,87,16,610,0,83,37,28,481,20,2276,19,776,121,31,185,31,4,55,110,21,283,39,797,252,36,19,16,false,32,false,4370,1346,341,150,91,7,68,false,25,17,7296,82556,15538,650,212,931,2078,14280,16488,2470,143,4706,7975,1145,64,19,123,33,960,129,622,2001,8379,60,3550,5045,1281,395,49,7,991,false,692,54,false,1576,4023755,3941351,2789858,1012265,11330,63270,1955,62673,82404,8807,73597,77510,33155,15257,11697,4702,12699,4578,316
40,SC,45,,,,,040C1US45,South Carolina -- In metropolitan statistical area -- in principal city,812687,491704,273593,1489,14551,862,13150,17338,1770,15568,506410,283172,6694,18539,1385,15052,1489,1134,7,false,0,0,0,409,0,0,0,4,false,0,0,15,0,19,false,false,0,9,163,false,21,15,false,0,false,false,13,0,0,13,false,78,10,9,19,0,false,0,false,330,19,13,0,0,6,7,false,false,0,257,66,14551,3206,278,0,175,60,2632,2129,266,0,515,1631,85,20,false,79,false,257,23,202,428,2034,18,262,251,862,89,7,9,false,452,false,299,6,false,0,false,6852,5118,55,false,249,21,35,2927,0,0,140,42,false,0,0,140,0,28,37,0,83,9,352,19,155,23,0,0,0,0,21,0,0,30,6,158,72,9,19,6,false,0,false,482,156,47,0,34,6,7,false,0,0,1531,19009,3372,278,0,175,104,2979,3721,266,25,1182,2230,98,40,0,79,0,359,23,208,488,2361,18,1003,1385,287,15,9,0,454,false,312,6,false,302,812687,795349,491704,273593,1489,14551,862,13150,17338,1770,15568,16212,6550,2973,2870,1278,2541,1029,97
40,SC,45,,,,,040C2US45,South Carolina -- In metropolitan statistical area -- not in principal city,3211068,2298154,738672,9841,48719,1093,49523,65066,7037,58029,2354105,774706,28471,62029,3510,57319,9841,7231,108,false,134,3,28,1977,27,150,139,107,false,49,16,142,0,21,false,false,102,0,1169,false,139,54,false,139,false,false,15,76,14,30,false,168,67,11,0,10,false,0,false,2336,216,126,92,33,1,0,false,false,17,2029,222,48719,11058,325,212,661,1773,9368,8038,2132,75,1462,4005,989,13,false,44,false,534,106,384,979,5046,18,687,810,1093,278,174,26,true,244,false,286,7,false,77,false,29354,22088,294,false,712,48,161,10501,29,313,438,406,false,87,16,470,0,55,0,28,398,11,1924,0,621,98,31,185,31,4,34,110,21,253,33,639,180,27,0,10,false,32,false,3888,1190,294,150,57,1,61,false,25,17,5765,63547,12166,372,212,756,1974,11301,12767,2204,118,3524,5745,1047,24,19,44,33,601,106,414,1513,6018,42,2547,3660,994,380,40,7,537,false,380,48,false,1274,3211068,3146002,2298154,738672,9841,48719,1093,49523,65066,7037,58029,61298,26605,12284,8827,3424,10158,3549,219
40,SC,45,,,,,040E0US45,South Carolina -- In micropolitan statistical area,442410,275130,146949,1944,2802,201,7590,7794,936,6858,281321,151552,4918,3974,439,8584,1944,1458,12,false,18,0,0,453,7,0,28,6,false,0,2,31,9,0,false,false,42,0,288,false,37,10,false,0,false,false,0,0,0,6,false,58,0,0,0,0,false,0,false,451,43,2,2,0,0,0,false,false,0,409,32,2802,1085,0,0,16,27,281,225,20,11,223,225,69,0,false,3,false,96,0,93,45,310,0,73,0,201,178,17,0,false,0,false,0,0,false,6,false,5096,3709,12,false,133,6,0,2011,7,0,122,64,false,6,2,147,9,0,0,0,67,0,337,0,45,27,0,0,0,0,0,0,0,6,0,81,50,0,0,0,false,0,false,577,378,2,2,0,0,0,false,0,3,1004,4045,1281,0,0,16,27,377,550,20,11,274,319,69,0,0,3,0,121,0,93,181,362,0,341,462,248,30,0,0,23,false,0,0,false,161,442410,434616,275130,146949,1944,2802,201,7590,7794,936,6858,7247,3071,1814,325,738,1299,510,37
40,SC,45,,,,,040E1US45,South Carolina -- In micropolitan statistical area -- in principal city,85877,35554,44712,351,1006,13,2241,2000,441,1559,37032,45992,858,1406,13,2714,351,307,0,false,0,0,0,88,0,0,0,0,false,0,0,0,0,0,false,false,0,0,8,false,0,0,false,0,false,false,0,0,0,0,false,28,0,0,0,0,false,0,false,183,0,0,0,0,0,0,false,false,0,44,0,1006,379,0,0,0,0,92,71,20,0,83,33,4,0,false,3,false,96,0,0,24,156,0,45,0,13,13,0,0,false,0,false,0,0,false,0,false,877,457,0,false,0,0,0,215,0,0,0,4,false,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,false,0,false,186,241,0,0,0,0,0,false,0,0,179,1406,448,0,0,0,0,98,121,20,0,94,38,4,0,0,3,0,113,0,0,24,208,0,235,13,13,0,0,0,0,false,0,0,false,0,85877,83877,35554,44712,351,1006,13,2241,2000,441,1559,1873,948,284,53,89,499,116,11
40,SC,45,,,,,040E2US45,South Carolina -- In micropolitan statistical area -- not in principal city,356533,239576,102237,1593,1796,188,5349,5794,495,5299,244289,105560,4060,2568,426,5870,1593,1151,12,false,18,0,0,365,7,0,28,6,false,0,2,31,9,0,false,false,42,0,280,false,37,10,false,0,false,false,0,0,0,6,false,30,0,0,0,0,false,0,false,268,43,2,2,0,0,0,false,false,0,365,32,1796,706,0,0,16,27,189,154,0,11,140,192,65,0,false,0,false,0,0,93,21,154,0,28,0,188,165,17,0,false,0,false,0,0,false,6,false,4219,3252,12,false,133,6,0,1796,7,0,122,60,false,6,2,147,9,0,0,0,67,0,321,0,45,27,0,0,0,0,0,0,0,6,0,45,50,0,0,0,false,0,false,391,137,2,2,0,0,0,false,0,3,825,2639,833,0,0,16,27,279,429,0,11,180,281,65,0,0,0,0,8,0,93,157,154,0,106,449,235,30,0,0,23,false,0,0,false,161,356533,350739,239576,102237,1593,1796,188,5349,5794,495,5299,5374,2123,1530,272,649,800,394,26
