summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,VA,51,,,,,04000US51,Virginia,8256630,5695147,1589345,22570,492973,5304,183124,268167,29832,238335,5923173,1717174,81614,594021,16746,216899,22570,15634,587,26,217,55,290,3669,17,151,415,399,false,62,61,466,12,47,false,false,361,46,667,28,1594,430,28,19,13,false,218,62,25,31,26,451,813,259,false,false,false,63,18,4008,1267,404,92,94,160,35,16,7,22,4536,707,492973,120754,7394,804,1595,7425,66040,72616,343,1635,11005,70813,2787,578,2266,7499,2,32250,1837,2850,7737,60728,47,5028,8940,5304,1507,821,34,151,1793,15,614,65,15,260,29,85100,61199,1619,36,3942,261,492,25248,268,440,954,1636,5,345,274,1116,256,241,136,16,2081,90,1319,49,2255,949,233,149,45,44,466,120,25,491,191,1780,2547,584,7,10,false,258,18,10203,3573,632,133,121,251,62,58,7,25,19671,607827,131077,8164,844,1801,8460,81843,103088,484,2339,23653,86147,3659,888,2542,7718,26,34175,2036,3451,11228,68836,110,25258,17072,4500,1627,43,447,3172,80,780,114,33,6276,8256630,7988463,5695147,1589345,22570,492973,5304,183124,268167,29832,238335,245088,83159,30565,72694,11699,46971,21376,1703
40,VA,51,,,,,04001US51,Virginia -- Urban,6266907,4042743,1324240,17998,475773,4624,168951,232578,27135,205443,4238393,1434040,65879,568683,15124,199560,17998,12140,492,26,193,31,282,2907,14,148,254,317,false,59,54,425,12,5,false,false,260,46,569,8,1560,383,24,12,0,false,109,62,25,0,26,308,722,259,false,false,false,63,18,2467,1021,368,92,84,154,25,6,7,15,3905,549,475773,115937,7314,804,1590,7216,63337,70213,343,1610,10514,68269,2616,518,2206,7323,2,31163,1789,2748,7398,59368,42,4813,8640,4624,1337,632,29,151,1575,11,607,28,0,235,19,68503,48677,1157,36,3394,120,480,19629,265,382,769,1436,5,295,261,1005,229,190,136,11,1574,90,1083,25,2086,777,196,131,32,12,357,89,25,392,191,1331,2300,575,0,10,false,258,18,7325,2706,588,133,111,245,44,48,7,15,16517,581542,125725,8077,844,1762,8091,78130,98604,484,2225,21513,82129,3454,827,2482,7542,26,32883,1948,3276,10775,67095,93,23557,15420,4142,1326,38,447,2787,76,773,28,18,5785,6266907,6034329,4042743,1324240,17998,475773,4624,168951,232578,27135,205443,211825,69194,22616,66472,10457,43086,19360,1393
40,VA,51,,,,,04043US51,Virginia -- Rural,1989723,1652404,265105,4572,17200,680,14173,35589,2697,32892,1684780,283134,15735,25338,1622,17339,4572,3494,95,0,24,24,8,762,3,3,161,82,false,3,7,41,0,42,false,false,101,0,98,20,34,47,4,7,13,false,109,0,0,31,0,143,91,0,false,false,false,0,0,1541,246,36,0,10,6,10,10,0,7,631,158,17200,4817,80,0,5,209,2703,2403,0,25,491,2544,171,60,60,176,0,1087,48,102,339,1360,5,215,300,680,170,189,5,0,218,4,7,37,15,25,10,16597,12522,462,0,548,141,12,5619,3,58,185,200,0,50,13,111,27,51,0,5,507,0,236,24,169,172,37,18,13,32,109,31,0,99,0,449,247,9,7,0,false,0,0,2878,867,44,0,10,6,18,10,0,10,3154,26285,5352,87,0,39,369,3713,4484,0,114,2140,4018,205,61,60,176,0,1292,88,175,453,1741,17,1701,1652,358,301,5,0,385,4,7,86,15,491,1989723,1954134,1652404,265105,4572,17200,680,14173,35589,2697,32892,33263,13965,7949,6222,1242,3885,2016,310
40,VA,51,,,,,040A0US51,Virginia -- In metropolitan or micropolitan statistical area,7470671,5080567,1442715,21161,488263,5193,177144,255628,28711,226917,5297450,1563373,76268,587198,16232,209381,21161,14722,536,26,211,55,290,3406,11,151,364,359,false,62,61,466,12,36,false,false,327,46,647,28,1577,427,28,19,13,false,218,62,25,31,26,355,761,259,false,false,false,63,18,3746,1173,404,92,94,160,35,16,7,22,4163,677,488263,119978,7339,804,1583,7327,65370,71696,343,1635,10446,70250,2780,561,2266,7428,2,32218,1829,2829,7656,60010,47,4988,8878,5193,1480,818,34,136,1733,15,614,59,15,260,29,79240,56954,1394,36,3643,261,492,23146,262,440,883,1516,0,331,268,1099,256,226,136,16,2027,90,1233,32,2215,916,233,149,45,12,466,120,25,453,191,1584,2470,584,0,10,false,258,18,9418,3263,632,133,121,251,62,58,7,25,18366,600878,130180,8109,844,1789,8310,80948,101325,484,2339,22645,85461,3629,868,2542,7647,26,34131,2028,3430,11133,68038,110,24862,16558,4433,1615,34,432,3091,80,780,81,33,5979,7470671,7215043,5080567,1442715,21161,488263,5193,177144,255628,28711,226917,233626,77898,27878,71282,11266,45302,20449,1553
40,VA,51,,,,,040C0US51,Virginia -- In metropolitan statistical area,7195353,4870798,1386882,20939,486624,5171,173747,251192,28285,222907,5083814,1504589,75061,584889,16092,205508,20939,14563,536,26,211,55,290,3361,11,151,364,359,false,62,54,459,12,36,false,false,327,46,641,28,1571,421,28,19,13,false,218,62,25,31,26,355,748,259,false,false,false,63,18,3677,1173,394,92,84,160,35,16,7,22,4126,661,486624,119452,7339,804,1583,7297,65240,71259,343,1630,10411,70108,2780,561,2266,7407,2,32081,1829,2801,7650,59913,47,4974,8847,5171,1469,818,34,136,1722,15,614,59,15,260,29,77960,55959,1297,36,3578,261,492,22558,262,440,883,1486,0,331,261,1092,256,226,136,16,1986,90,1227,32,2209,910,216,149,45,12,466,120,25,440,191,1567,2453,584,0,10,false,258,18,9340,3248,586,111,111,237,62,58,7,25,18142,598538,129625,8109,844,1789,8280,80765,100708,484,2197,22452,85233,3629,868,2542,7626,26,33983,2028,3402,11109,67924,110,24805,16418,4392,1615,34,432,3080,80,780,81,33,5891,7195353,6944161,4870798,1386882,20939,486624,5171,173747,251192,28285,222907,229373,75632,27160,70887,11133,44561,20278,1541
40,VA,51,,,,,040C1US51,Virginia -- In metropolitan statistical area -- in principal city,2200999,1339057,619566,7750,106809,1990,44421,81406,7961,73445,1405753,663493,26627,135416,5567,53681,7750,5489,363,0,122,31,131,1371,11,65,193,141,false,18,54,32,0,0,false,false,77,0,354,27,1145,136,0,0,0,false,54,8,0,0,15,65,178,8,false,false,false,16,0,874,432,156,20,31,92,13,0,0,0,1446,227,106809,16510,2094,271,1063,1703,17248,31264,89,255,3578,10375,713,131,1105,1584,0,3421,511,826,1743,8961,9,1228,2127,1990,672,287,0,61,593,11,307,0,0,59,0,27899,20352,622,10,1642,105,146,7956,183,205,410,488,0,133,80,288,72,82,43,11,675,0,515,27,1385,297,57,113,21,12,108,8,0,178,48,661,611,43,0,0,false,58,0,3059,1061,210,30,47,120,13,0,0,0,6276,138571,19127,2171,311,1184,2182,21515,42518,148,351,6994,14079,891,202,1321,1661,0,3663,615,1120,3106,10836,9,4567,5619,1646,450,0,192,992,24,324,0,18,1973,2200999,2119593,1339057,619566,7750,106809,1990,44421,81406,7961,73445,73771,27016,8313,19509,5106,13827,7140,495
40,VA,51,,,,,040C2US51,Virginia -- In metropolitan statistical area -- not in principal city,4994354,3531741,767316,13189,379815,3181,129326,169786,20324,149462,3678061,841096,48434,449473,10525,151827,13189,9074,173,26,89,24,159,1990,0,86,171,218,false,44,0,427,12,36,false,false,250,46,287,1,426,285,28,19,13,false,164,54,25,31,11,290,570,251,false,false,false,47,18,2803,741,238,72,53,68,22,16,7,22,2680,434,379815,102942,5245,533,520,5594,47992,39995,254,1375,6833,59733,2067,430,1161,5823,2,28660,1318,1975,5907,50952,38,3746,6720,3181,797,531,34,75,1129,4,307,59,15,201,29,50061,35607,675,26,1936,156,346,14602,79,235,473,998,0,198,181,804,184,144,93,5,1311,90,712,5,824,613,159,36,24,0,358,112,25,262,143,906,1842,541,0,10,false,200,18,6281,2187,376,81,64,117,49,58,7,25,11866,459967,110498,5938,533,605,6098,59250,58190,336,1846,15458,71154,2738,666,1221,5965,26,30320,1413,2282,8003,57088,101,20238,10799,2746,1165,34,240,2088,56,456,81,15,3918,4994354,4824568,3531741,767316,13189,379815,3181,129326,169786,20324,149462,155602,48616,18847,51378,6027,30734,13138,1046
40,VA,51,,,,,040E0US51,Virginia -- In micropolitan statistical area,275318,209769,55833,222,1639,22,3397,4436,426,4010,213636,58784,1207,2309,140,3873,222,159,0,0,0,0,0,45,0,0,0,0,false,0,7,7,0,0,false,false,0,0,6,0,6,6,0,0,0,false,0,0,0,0,0,0,13,0,false,false,false,0,0,69,0,10,0,10,0,0,0,0,0,37,16,1639,526,0,0,0,30,130,437,0,5,35,142,0,0,0,21,0,137,0,28,6,97,0,14,31,22,11,0,0,0,11,0,0,0,0,0,0,1280,995,97,0,65,0,0,588,0,0,0,30,0,0,7,7,0,0,0,0,41,0,6,0,6,6,17,0,0,0,0,0,0,13,0,17,17,0,0,0,false,0,0,78,15,46,22,10,14,0,0,0,0,224,2340,555,0,0,0,30,183,617,0,142,193,228,0,0,0,21,0,148,0,28,24,114,0,57,140,41,0,0,0,11,0,0,0,0,88,275318,270882,209769,55833,222,1639,22,3397,4436,426,4010,4253,2266,718,395,133,741,171,12
40,VA,51,,,,,040E1US51,Virginia -- In micropolitan statistical area -- in principal city,61582,30613,28031,70,570,0,1068,1230,147,1083,31687,28930,321,638,55,1237,70,48,0,0,0,0,0,19,0,0,0,0,false,0,0,0,0,0,false,false,0,0,6,0,0,6,0,0,0,false,0,0,0,0,0,0,3,0,false,false,false,0,0,14,0,0,0,0,0,0,0,0,0,6,16,570,329,0,0,0,0,68,38,0,0,0,25,0,0,0,18,0,66,0,18,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,243,16,0,22,0,0,136,0,0,0,16,0,0,0,0,0,0,0,0,4,0,6,0,0,6,0,0,0,0,0,0,0,13,0,0,3,0,0,0,false,0,0,21,10,36,22,0,14,0,0,0,0,48,638,333,0,0,0,0,68,43,0,0,0,65,0,0,0,18,0,77,0,18,2,6,0,8,55,9,0,0,0,0,0,0,0,0,46,61582,60352,30613,28031,70,570,0,1068,1230,147,1083,1174,696,174,28,43,233,56,0
40,VA,51,,,,,040E2US51,Virginia -- In micropolitan statistical area -- not in principal city,213736,179156,27802,152,1069,22,2329,3206,279,2927,181949,29854,886,1671,85,2636,152,111,0,0,0,0,0,26,0,0,0,0,false,0,7,7,0,0,false,false,0,0,0,0,6,0,0,0,0,false,0,0,0,0,0,0,10,0,false,false,false,0,0,55,0,10,0,10,0,0,0,0,0,31,0,1069,197,0,0,0,30,62,399,0,5,35,117,0,0,0,3,0,71,0,10,4,91,0,14,31,22,11,0,0,0,11,0,0,0,0,0,0,943,752,81,0,43,0,0,452,0,0,0,14,0,0,7,7,0,0,0,0,37,0,0,0,6,0,17,0,0,0,0,0,0,0,0,17,14,0,0,0,false,0,0,57,5,10,0,10,0,0,0,0,0,176,1702,222,0,0,0,30,115,574,0,142,193,163,0,0,0,3,0,71,0,10,22,108,0,49,85,32,0,0,0,11,0,0,0,0,42,213736,210530,179156,27802,152,1069,22,2329,3206,279,2927,3079,1570,544,367,90,508,115,12
