summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,VT,50,,,,,04000US50,Vermont,626604,594443,6949,2018,8774,249,2002,12169,528,11641,606073,10233,7935,11992,636,2612,2018,1140,false,false,96,8,14,149,3,false,35,18,false,false,2,4,14,false,2,false,69,false,38,false,53,false,false,false,false,false,true,false,false,9,false,39,6,false,false,14,8,false,false,558,38,19,11,false,8,false,false,false,false,703,118,8774,1192,7,555,201,73,1903,715,false,184,305,1117,252,5,false,690,false,61,false,86,231,980,false,92,125,249,107,false,false,17,54,false,false,false,28,43,false,8431,5848,34,false,647,72,46,953,44,13,128,114,false,false,25,34,32,17,2,false,606,2,40,false,59,52,16,5,false,false,6,false,false,34,38,183,27,false,false,120,17,false,4,2478,214,31,16,5,10,false,false,false,false,2338,12242,1427,7,555,201,82,2394,1425,false,194,818,1616,314,38,false,690,false,96,11,128,441,1326,62,417,670,228,25,17,31,81,false,false,false,28,260,626604,614435,594443,6949,2018,8774,249,2002,12169,528,11641,11478,2482,5169,2754,103,970,678,13
40,VT,50,,,,,04001US50,Vermont -- Urban,242494,224185,4750,596,6366,26,976,5595,260,5335,229413,6531,2878,8024,271,1271,596,244,false,false,3,0,14,0,0,false,4,0,false,false,0,0,0,false,0,false,26,false,28,false,32,false,false,false,false,false,false,false,false,0,false,26,0,false,false,0,8,false,false,103,30,8,0,false,8,false,false,false,false,287,27,6366,803,7,555,201,55,1308,386,false,182,184,557,249,5,false,677,false,61,false,58,118,808,false,65,87,26,9,false,false,17,0,false,false,false,0,0,false,3016,1901,34,false,231,37,14,342,0,0,67,0,false,false,5,22,0,17,0,false,158,0,28,false,35,0,0,0,false,false,3,false,false,12,9,87,6,false,false,0,17,false,0,777,126,8,0,0,8,false,false,false,false,981,8209,990,7,555,201,61,1591,782,false,182,477,703,311,5,false,677,false,90,11,79,302,992,62,131,305,50,17,17,30,0,false,false,false,0,191,242494,236899,224185,4750,596,6366,26,976,5595,260,5335,5296,1353,1933,1435,65,510,299,0
40,VT,50,,,,,04043US50,Vermont -- Rural,384110,370258,2199,1422,2408,223,1026,6574,268,6306,376660,3702,5057,3968,365,1341,1422,896,false,false,93,8,0,149,3,false,31,18,false,false,2,4,14,false,2,false,43,false,10,false,21,false,false,false,false,false,true,false,false,9,false,13,6,false,false,14,0,false,false,455,8,11,11,false,0,false,false,false,false,416,91,2408,389,0,0,0,18,595,329,false,2,121,560,3,0,false,13,false,0,false,28,113,172,false,27,38,223,98,false,false,0,54,false,false,false,28,43,false,5415,3947,0,false,416,35,32,611,44,13,61,114,false,false,20,12,32,0,2,false,448,2,12,false,24,52,16,5,false,false,3,false,false,22,29,96,21,false,false,120,0,false,4,1701,88,23,16,5,2,false,false,false,false,1357,4033,437,0,0,0,21,803,643,false,12,341,913,3,33,false,13,false,6,0,49,139,334,0,286,365,178,8,0,1,81,false,false,false,28,69,384110,377536,370258,2199,1422,2408,223,1026,6574,268,6306,6182,1129,3236,1319,38,460,379,13
40,VT,50,,,,,040A0US50,Vermont -- In metropolitan or micropolitan statistical area,462618,437623,5665,1384,7131,153,1528,9134,378,8756,446363,7910,5742,9752,481,1958,1384,779,false,false,82,8,14,68,0,false,35,0,false,false,0,0,14,false,2,false,52,false,0,false,44,false,false,false,false,false,false,false,false,0,false,24,5,false,false,14,8,false,false,409,38,12,4,false,8,false,false,false,false,508,47,7131,895,0,555,163,68,1469,524,false,161,273,886,79,5,false,684,false,24,false,59,211,910,false,82,83,153,99,false,false,0,54,false,false,false,0,0,false,6087,4265,34,false,471,65,44,618,0,13,126,72,false,false,5,22,19,17,2,false,512,2,0,false,47,44,9,5,false,false,3,false,false,25,2,125,16,false,false,120,17,false,4,1826,155,22,9,5,8,false,false,false,false,1645,9927,1104,0,555,163,77,1823,1101,false,171,716,1285,107,38,false,684,false,44,11,89,408,1172,62,317,515,197,25,17,14,81,false,false,false,0,181,462618,453484,437623,5665,1384,7131,153,1528,9134,378,8756,8680,1714,3853,2307,81,725,454,0
40,VT,50,,,,,040C0US50,Vermont -- In metropolitan statistical area,215081,199083,4023,701,5361,78,821,5014,182,4832,203804,5323,2959,6897,320,1043,701,448,false,false,14,3,14,9,0,false,31,0,false,false,0,0,0,false,0,false,32,false,0,false,35,false,false,false,false,false,false,false,false,0,false,19,5,false,false,14,0,false,false,272,19,8,0,false,8,false,false,false,false,215,11,5361,665,0,555,163,17,1146,321,false,161,76,397,79,5,false,671,false,24,false,30,170,782,false,57,42,78,38,false,false,0,40,false,false,false,0,0,false,3063,2197,4,false,111,46,44,99,0,0,73,32,false,false,0,0,0,17,0,false,316,0,0,false,38,0,6,0,false,false,3,false,false,0,0,75,11,false,false,14,0,false,0,1308,113,8,0,0,8,false,false,false,false,745,7008,844,0,555,163,17,1364,724,false,161,359,458,94,5,false,671,false,34,11,51,295,913,62,227,354,96,17,17,13,40,false,false,false,0,171,215081,210067,199083,4023,701,5361,78,821,5014,182,4832,4763,989,1971,1326,37,440,251,0
40,VT,50,,,,,040C1US50,Vermont -- In metropolitan statistical area -- in principal city,61106,53354,2382,246,3296,5,363,1460,79,1381,54675,2799,690,3889,112,452,246,118,false,false,0,0,14,0,0,false,0,0,false,false,0,0,0,false,0,false,26,false,0,false,32,false,false,false,false,false,false,false,false,0,false,0,0,false,false,0,0,false,false,46,19,0,0,false,0,false,false,false,false,98,11,3296,396,0,465,163,13,788,33,false,161,16,222,54,3,false,382,false,12,false,4,59,449,false,57,19,5,5,false,false,0,0,false,false,false,0,0,false,769,472,0,false,0,0,14,64,0,0,42,0,false,false,0,0,0,11,0,false,121,0,0,false,35,0,0,0,false,false,3,false,false,0,0,48,0,false,false,0,0,false,0,134,68,0,0,0,0,false,false,false,false,229,3949,515,0,465,163,13,881,172,false,161,139,258,69,3,false,382,false,22,0,4,88,525,0,89,146,22,17,17,13,0,false,false,false,0,77,61106,59646,53354,2382,246,3296,5,363,1460,79,1381,1409,363,390,469,1,186,51,0
40,VT,50,,,,,040C2US50,Vermont -- In metropolitan statistical area -- not in principal city,153975,145729,1641,455,2065,73,458,3554,103,3451,149129,2524,2269,3008,208,591,455,330,false,false,14,3,0,9,0,false,31,0,false,false,0,0,0,false,0,false,6,false,0,false,3,false,false,false,false,false,false,false,false,0,false,19,5,false,false,14,0,false,false,226,0,8,0,false,8,false,false,false,false,117,0,2065,269,0,90,0,4,358,288,false,0,60,175,25,2,false,289,false,12,false,26,111,333,false,0,23,73,33,false,false,0,40,false,false,false,0,0,false,2294,1725,4,false,111,46,30,35,0,0,31,32,false,false,0,0,0,6,0,false,195,0,0,false,3,0,6,0,false,false,0,false,false,0,0,27,11,false,false,14,0,false,0,1174,45,8,0,0,8,false,false,false,false,516,3059,329,0,90,0,4,483,552,false,0,220,200,25,2,false,289,false,12,11,47,207,388,62,138,208,74,0,0,0,40,false,false,false,0,94,153975,150421,145729,1641,455,2065,73,458,3554,103,3451,3354,626,1581,857,36,254,200,0
40,VT,50,,,,,040E0US50,Vermont -- In micropolitan statistical area,247537,238540,1642,683,1770,75,707,4120,196,3924,242559,2587,2783,2855,161,915,683,331,false,false,68,5,0,59,0,false,4,0,false,false,0,0,14,false,2,false,20,false,0,false,9,false,false,false,false,false,false,false,false,0,false,5,0,false,false,0,8,false,false,137,19,4,4,false,0,false,false,false,false,293,36,1770,230,0,0,0,51,323,203,false,0,197,489,0,0,false,13,false,0,false,29,41,128,false,25,41,75,61,false,false,0,14,false,false,false,0,0,false,3024,2068,30,false,360,19,0,519,0,13,53,40,false,false,5,22,19,0,2,false,196,2,0,false,9,44,3,5,false,false,0,false,false,25,2,50,5,false,false,106,17,false,4,518,42,14,9,5,0,false,false,false,false,900,2919,260,0,0,0,60,459,377,false,10,357,827,13,33,false,13,false,10,0,38,113,259,0,90,161,101,8,0,1,41,false,false,false,0,10,247537,243417,238540,1642,683,1770,75,707,4120,196,3924,3917,725,1882,981,44,285,203,0
40,VT,50,,,,,040E1US50,Vermont -- In micropolitan statistical area -- in principal city,33841,32360,456,102,329,0,65,529,16,513,32879,595,324,493,0,81,102,30,false,false,0,0,0,0,0,false,0,0,false,false,0,0,0,false,0,false,0,false,0,false,0,false,false,false,false,false,false,false,false,0,false,5,0,false,false,0,0,false,false,25,0,0,0,false,0,false,false,false,false,72,0,329,52,0,0,0,0,50,81,false,0,112,6,0,0,false,0,false,0,false,0,0,28,false,0,0,0,0,false,false,0,0,false,false,false,0,0,false,354,267,30,false,20,0,0,79,0,0,21,0,false,false,0,0,0,0,0,false,17,0,0,false,0,0,0,0,false,false,0,false,false,0,0,5,0,false,false,0,0,false,0,95,0,0,0,0,0,false,false,false,false,87,493,52,0,0,0,0,84,124,false,0,123,18,0,0,false,0,false,0,0,0,53,39,0,0,0,0,0,0,0,0,false,false,false,0,0,33841,33312,32360,456,102,329,0,65,529,16,513,527,127,220,154,0,26,2,0
40,VT,50,,,,,040E2US50,Vermont -- In micropolitan statistical area -- not in principal city,213696,206180,1186,581,1441,75,642,3591,180,3411,209680,1992,2459,2362,161,834,581,301,false,false,68,5,0,59,0,false,4,0,false,false,0,0,14,false,2,false,20,false,0,false,9,false,false,false,false,false,false,false,false,0,false,0,0,false,false,0,8,false,false,112,19,4,4,false,0,false,false,false,false,221,36,1441,178,0,0,0,51,273,122,false,0,85,483,0,0,false,13,false,0,false,29,41,100,false,25,41,75,61,false,false,0,14,false,false,false,0,0,false,2670,1801,0,false,340,19,0,440,0,13,32,40,false,false,5,22,19,0,2,false,179,2,0,false,9,44,3,5,false,false,0,false,false,25,2,45,5,false,false,106,17,false,4,423,42,14,9,5,0,false,false,false,false,813,2426,208,0,0,0,60,375,253,false,10,234,809,13,33,false,13,false,10,0,38,60,220,0,90,161,101,8,0,1,41,false,false,false,0,10,213696,210105,206180,1186,581,1441,75,642,3591,180,3411,3390,598,1662,827,44,259,201,0
