summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,WI,55,,,,,04000US55,Wisconsin,5742117,4967124,360792,50449,143732,1233,96057,122730,14839,107891,5078473,415117,92606,169762,5409,111985,50449,43565,183,25,131,167,25,828,6,131,15736,115,false,43,false,33,3,8,87,false,6468,24,13,7222,408,259,28,240,false,42,1532,5,false,3,9,874,166,13,false,37,false,17,10,8674,885,290,74,60,95,31,false,30,43,4832,834,143732,27658,122,64,1815,1055,20426,8723,52233,172,2769,8272,3943,265,204,1010,6,3204,342,547,1380,5102,41,2387,1992,1233,414,219,true,false,326,8,92,28,false,143,2,95429,77967,874,45,1917,434,40,8335,463,505,22863,1136,3,91,152,273,176,44,185,false,10412,50,59,9491,872,930,191,353,7,118,2190,78,6,57,21,2031,454,33,false,52,false,47,21,12958,2292,586,97,94,213,126,13,43,57,14527,173034,30369,130,64,1897,1365,23880,14695,54641,449,7346,11871,5437,340,204,1186,139,3504,381,839,2548,6301,86,5362,5622,1864,492,35,74,814,14,92,77,23,2137,5742117,5619387,4967124,360792,50449,143732,1233,96057,122730,14839,107891,114623,40561,30838,20022,4185,19017,7736,371
40,WI,55,,,,,04001US55,Wisconsin -- Urban,4026506,3331569,350633,23873,132663,901,86422,100445,13123,87322,3421927,398649,54767,154564,4041,100451,23873,19456,150,5,82,133,11,637,5,75,5744,87,false,25,false,12,0,0,80,false,4210,22,0,2395,346,153,0,155,false,18,548,5,false,0,0,318,152,13,false,28,false,15,10,4022,574,175,29,41,77,19,false,9,43,3115,510,132663,25923,122,64,1650,999,18789,7170,49463,161,2428,7336,3621,254,152,1007,5,2894,341,507,1209,4571,41,2159,1797,901,284,180,false,false,226,8,33,28,false,142,0,56810,44513,676,7,1469,310,11,6770,421,432,10122,839,0,65,107,176,156,29,153,false,7356,35,46,3888,779,776,96,227,0,77,988,52,0,47,12,1160,354,33,false,34,false,36,21,6753,1643,321,34,50,117,111,0,9,57,10276,157546,28331,122,64,1732,1303,21757,12074,51658,370,6235,10343,5057,316,152,1180,131,3138,376,751,2202,5593,86,4575,4250,1297,437,34,43,523,8,33,76,23,1776,4026506,3926061,3331569,350633,23873,132663,901,86422,100445,13123,87322,93351,35603,20914,16713,3661,16460,6767,327
40,WI,55,,,,,04043US55,Wisconsin -- Rural,1715611,1635555,10159,26576,11069,332,9635,22285,1716,20569,1656546,16468,37839,15198,1368,11534,26576,24109,33,20,49,34,14,191,1,56,9992,28,false,18,false,21,3,8,7,false,2258,2,13,4827,62,106,28,85,false,24,984,0,false,3,9,556,14,0,false,9,false,2,0,4652,311,115,45,19,18,12,false,21,0,1717,324,11069,1735,0,0,165,56,1637,1553,2770,11,341,936,322,11,52,3,1,310,1,40,171,531,0,228,195,332,130,39,true,false,100,0,59,0,false,1,2,38619,33454,198,38,448,124,29,1565,42,73,12741,297,3,26,45,97,20,15,32,false,3056,15,13,5603,93,154,95,126,7,41,1202,26,6,10,9,871,100,0,false,18,false,11,0,6205,649,265,63,44,96,15,13,34,0,4251,15488,2038,8,0,165,62,2123,2621,2983,79,1111,1528,380,24,52,6,8,366,5,88,346,708,0,787,1372,567,55,1,31,291,6,59,1,0,361,1715611,1693326,1635555,10159,26576,11069,332,9635,22285,1716,20569,21272,4958,9924,3309,524,2557,969,44
40,WI,55,,,,,040A0US55,Wisconsin -- In metropolitan or micropolitan statistical area,5016948,4282834,354562,35384,140469,1060,90307,112332,13959,98373,4384385,406157,71824,164806,4804,105224,35384,29896,172,15,118,141,25,698,5,103,6296,108,false,37,false,19,0,0,80,false,6095,22,13,6868,386,231,4,211,false,42,695,5,false,0,5,670,161,13,false,37,false,17,10,6594,663,218,57,47,83,15,false,16,43,3885,679,140469,27322,122,64,1783,1016,19726,8032,51906,165,2552,7848,3759,259,179,1010,5,3200,341,538,1318,5032,41,2310,1941,1060,333,211,true,false,312,8,37,28,false,128,2,74372,59449,828,35,1717,363,37,7595,418,464,11304,1072,3,85,145,244,173,33,178,false,9747,43,59,8911,847,878,157,306,0,116,1217,62,3,40,17,1650,431,33,false,43,false,38,21,10136,1912,424,62,81,192,60,13,16,57,12530,167989,29894,122,64,1865,1323,23096,13432,54253,425,6870,11177,5226,321,179,1183,136,3489,380,820,2440,6167,86,5041,5015,1542,471,35,71,769,14,37,76,23,1977,5016948,4904616,4282834,354562,35384,140469,1060,90307,112332,13959,98373,104803,38645,25818,18746,3937,17657,7165,364
40,WI,55,,,,,040C0US55,Wisconsin -- In metropolitan statistical area,4237349,3550061,348041,24598,130547,845,83151,100106,12288,87818,3640006,395573,56348,152540,3862,96283,24598,20197,156,15,101,126,0,602,0,62,5442,93,false,31,false,7,0,0,42,false,5486,22,5,1646,316,145,4,165,false,29,596,5,false,0,0,600,161,13,false,15,false,15,10,4287,558,192,48,41,83,11,false,9,29,3101,521,130547,26462,122,64,1691,1012,18296,7103,47454,158,2195,7026,3590,259,174,1000,5,3123,341,524,1254,4611,41,2189,1853,845,298,126,true,false,284,8,37,28,false,61,2,58497,45877,758,20,1598,323,0,6622,408,423,9753,904,3,71,36,228,97,33,80,false,8764,43,51,3351,770,783,157,244,0,88,1021,62,3,37,12,1377,429,33,false,21,false,36,21,7217,1681,365,53,50,192,48,13,9,43,10531,155527,28910,122,64,1773,1319,21296,11801,49680,417,6152,9990,5042,321,174,1133,136,3370,380,798,2205,5663,86,4695,4073,1341,375,4,71,587,10,37,76,23,1549,4237349,4137243,3550061,348041,24598,130547,845,83151,100106,12288,87818,93324,35417,21803,16779,3784,15541,6434,348
40,WI,55,,,,,040C1US55,Wisconsin -- In metropolitan statistical area -- in principal city,1691371,1191366,292099,11580,77762,396,62473,55695,7755,47940,1240088,322063,28732,88411,1761,70814,11580,9308,104,5,31,42,0,295,0,25,2648,37,false,0,false,0,0,0,9,false,2451,8,0,1028,222,32,0,82,false,0,304,0,false,0,0,200,56,13,false,9,false,15,10,1682,254,72,8,41,18,5,false,0,29,1674,243,77762,10614,111,29,1447,866,10571,2833,35527,91,835,3760,2754,185,39,719,5,1391,204,388,623,2168,21,1466,1115,396,208,36,false,false,108,0,18,20,false,6,0,29810,23034,523,5,1038,103,0,3728,395,357,4293,428,0,27,0,50,81,0,22,false,4292,21,0,1976,441,475,91,82,0,59,654,17,0,29,12,546,242,13,false,15,false,15,13,2991,708,141,13,49,45,34,0,0,43,5884,90131,11574,111,29,1463,1028,11800,4949,36980,230,2512,5126,3955,231,39,841,34,1486,214,535,1286,2722,35,2951,1780,504,101,0,18,258,0,18,68,11,802,1691371,1635676,1191366,292099,11580,77762,396,62473,55695,7755,47940,51106,20966,9992,7677,2978,9493,4382,207
40,WI,55,,,,,040C2US55,Wisconsin -- In metropolitan statistical area -- not in principal city,2545978,2358695,55942,13018,52785,449,20678,44411,4533,39878,2399918,73510,27616,64129,2101,25469,13018,10889,52,10,70,84,0,307,0,37,2794,56,false,31,false,7,0,0,33,false,3035,14,5,618,94,113,4,83,false,29,292,5,false,0,0,400,105,0,false,6,false,0,0,2605,304,120,40,0,65,6,false,9,0,1427,278,52785,15848,11,35,244,146,7725,4270,11927,67,1360,3266,836,74,135,281,0,1732,137,136,631,2443,20,723,738,449,90,90,true,false,176,8,19,8,false,55,2,28687,22843,235,15,560,220,0,2894,13,66,5460,476,3,44,36,178,16,33,58,false,4472,22,51,1375,329,308,66,162,0,29,367,45,3,8,0,831,187,20,false,6,false,21,8,4226,973,224,40,1,147,14,13,9,0,4647,65396,17336,11,35,310,291,9496,6852,12700,187,3640,4864,1087,90,135,292,102,1884,166,263,919,2941,51,1744,2293,837,274,4,53,329,10,19,8,12,747,2545978,2501567,2358695,55942,13018,52785,449,20678,44411,4533,39878,42218,14451,11811,9102,806,6048,2052,141
40,WI,55,,,,,040E0US55,Wisconsin -- In micropolitan statistical area,779599,732773,6521,10786,9922,215,7156,12226,1671,10555,744379,10584,15476,12266,942,8941,10786,9699,16,0,17,15,25,96,5,41,854,15,false,6,false,12,0,0,38,false,609,0,8,5222,70,86,0,46,false,13,99,0,false,0,5,70,0,0,false,22,false,2,0,2307,105,26,9,6,0,4,false,7,14,784,158,9922,860,0,0,92,4,1430,929,4452,7,357,822,169,0,5,10,0,77,0,14,64,421,0,121,88,215,35,85,false,false,28,0,0,0,false,67,0,15875,13572,70,15,119,40,37,973,10,41,1551,168,0,14,109,16,76,0,98,false,983,0,8,5560,77,95,0,62,0,28,196,0,0,3,5,273,2,0,false,22,false,2,0,2919,231,59,9,31,0,12,0,7,14,1999,12462,984,0,0,92,4,1800,1631,4573,8,718,1187,184,0,5,50,0,119,0,22,235,504,0,346,942,201,96,31,0,182,4,0,0,0,428,779599,767373,732773,6521,10786,9922,215,7156,12226,1671,10555,11479,3228,4015,1967,153,2116,731,16
40,WI,55,,,,,040E1US55,Wisconsin -- In micropolitan statistical area -- in principal city,231514,213749,2298,2217,5800,65,2420,4965,623,4342,218461,4253,3754,6955,382,3122,2217,1995,7,0,0,11,0,62,0,0,285,0,false,0,false,0,0,0,38,false,251,0,0,924,30,10,0,0,false,0,7,0,false,0,0,49,0,0,false,0,false,0,0,321,32,0,0,0,0,0,false,0,0,177,13,5800,291,0,0,0,0,970,340,3068,0,198,494,131,0,0,0,0,71,0,0,0,175,0,37,25,65,20,0,false,false,0,0,0,0,false,45,0,3873,3206,7,0,55,11,12,426,0,0,486,73,0,0,0,0,74,0,98,false,323,0,0,1017,30,14,0,0,0,0,34,0,0,3,0,146,0,0,false,0,false,0,0,397,68,8,0,0,0,8,0,0,0,591,7061,335,0,0,0,0,1142,696,3103,0,371,603,146,0,0,0,0,107,0,8,91,252,0,207,382,114,0,31,0,31,0,0,0,0,206,231514,226549,213749,2298,2217,5800,65,2420,4965,623,4342,4517,1474,1198,967,45,833,448,0
40,WI,55,,,,,040E2US55,Wisconsin -- In micropolitan statistical area -- not in principal city,548085,519024,4223,8569,4122,150,4736,7261,1048,6213,525918,6331,11722,5311,560,5819,8569,7704,9,0,17,4,25,34,5,41,569,15,false,6,false,12,0,0,0,false,358,0,8,4298,40,76,0,46,false,13,92,0,false,0,5,21,0,0,false,22,false,2,0,1986,73,26,9,6,0,4,false,7,14,607,145,4122,569,0,0,92,4,460,589,1384,7,159,328,38,0,5,10,0,6,0,14,64,246,0,84,63,150,15,85,false,false,28,0,0,0,false,22,0,12002,10366,63,15,64,29,25,547,10,41,1065,95,0,14,109,16,2,0,0,false,660,0,8,4543,47,81,0,62,0,28,162,0,0,0,5,127,2,0,false,22,false,2,0,2522,163,51,9,31,0,4,0,7,14,1408,5401,649,0,0,92,4,658,935,1470,8,347,584,38,0,5,50,0,12,0,14,144,252,0,139,560,87,96,0,0,151,4,0,0,0,222,548085,540824,519024,4223,8569,4122,150,4736,7261,1048,6213,6962,1754,2817,1000,108,1283,283,16
