summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,WV,54,,,,,04000US54,West Virginia,1851420,1732235,61367,2953,13485,625,4566,36189,1512,34677,1766068,78166,19768,17879,1537,6195,2953,2279,5,false,29,12,15,1387,false,false,47,43,false,false,90,24,false,6,25,false,100,false,41,false,47,false,false,false,false,9,42,54,false,false,13,121,13,false,4,false,false,false,false,152,101,20,false,10,false,false,false,10,false,473,80,13485,3217,21,false,61,false,3227,1970,false,34,485,1224,51,25,false,150,15,284,40,71,277,1553,35,593,152,625,268,126,10,false,61,false,false,4,false,156,false,20194,13745,112,32,1189,92,15,9334,159,69,140,179,false,51,90,51,44,178,25,false,345,false,52,false,110,56,116,false,11,43,59,54,false,12,18,368,47,false,4,false,false,false,false,690,647,37,false,10,false,5,false,22,false,5765,18169,3624,26,false,61,false,3686,3452,6,34,1096,1796,114,51,9,150,44,318,60,71,356,1790,35,1390,1560,621,235,55,17,161,false,false,4,false,467,1851420,1815231,1732235,61367,2953,13485,625,4566,36189,1512,34677,34314,13668,13813,3465,1234,2134,1746,129
40,WV,54,,,,,04001US54,West Virginia -- Urban,909391,819325,49885,1642,11432,328,3219,23560,957,22603,841031,62243,11325,14688,930,4257,1642,1263,0,false,11,12,0,891,false,false,47,31,false,false,0,0,false,6,1,false,22,false,20,false,39,false,false,false,false,9,0,5,false,false,13,45,13,false,4,false,false,false,false,94,45,10,false,0,false,false,false,10,false,271,53,11432,2679,21,false,52,false,2908,1646,false,34,411,931,34,25,false,109,0,215,39,71,222,1360,35,530,110,328,142,85,0,false,61,false,false,0,false,40,false,11531,7530,65,32,906,49,0,5077,34,29,83,82,false,45,0,16,0,77,1,false,133,false,31,false,82,16,116,false,11,9,0,5,false,12,18,197,29,false,4,false,false,false,false,371,274,27,false,0,false,5,false,22,false,3700,14859,2967,26,false,52,false,3210,2700,0,34,837,1343,69,51,9,109,5,249,39,71,291,1551,35,1211,953,409,194,45,17,120,false,false,0,false,168,909391,885831,819325,49885,1642,11432,328,3219,23560,957,22603,22126,9834,7292,2584,1115,1301,1345,89
40,WV,54,,,,,04043US54,West Virginia -- Rural,942029,912910,11482,1311,2053,297,1347,12629,555,12074,925037,15923,8443,3191,607,1938,1311,1016,5,false,18,0,15,496,false,false,0,12,false,false,90,24,false,0,24,false,78,false,21,false,8,false,false,false,false,0,42,49,false,false,0,76,0,false,0,false,false,false,false,58,56,10,false,10,false,false,false,0,false,202,27,2053,538,0,false,9,false,319,324,false,0,74,293,17,0,false,41,15,69,1,0,55,193,0,63,42,297,126,41,10,false,0,false,false,4,false,116,false,8663,6215,47,0,283,43,15,4257,125,40,57,97,false,6,90,35,44,101,24,false,212,false,21,false,28,40,0,false,0,34,59,49,false,0,0,171,18,false,0,false,false,false,false,319,373,10,false,10,false,0,false,0,false,2065,3310,657,0,false,9,false,476,752,6,0,259,453,45,0,0,41,39,69,21,0,65,239,0,179,607,212,41,10,0,41,false,false,4,false,299,942029,929400,912910,11482,1311,2053,297,1347,12629,555,12074,12188,3834,6521,881,119,833,401,40
40,WV,54,,,,,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,1442682,1338544,54225,2484,12601,548,3914,30366,1219,29147,1366746,68078,16766,16540,1351,5250,2484,1898,5,false,14,12,10,1171,false,false,47,43,false,false,90,0,false,6,25,false,61,false,39,false,39,false,false,false,false,9,42,54,false,false,0,95,13,false,4,false,false,false,false,119,100,10,false,0,false,false,false,10,false,397,79,12601,3131,17,false,27,false,3075,1742,false,34,442,1080,51,25,false,133,15,265,40,71,237,1502,35,533,146,548,202,125,0,false,61,false,false,4,false,156,false,17058,11745,99,32,1018,62,10,8143,126,33,118,160,false,45,90,27,44,126,25,false,211,false,50,false,102,40,116,false,11,43,59,54,false,12,5,266,38,false,4,false,false,false,false,576,553,22,false,0,false,0,false,22,false,4738,16818,3460,22,false,27,false,3492,3137,0,34,1019,1578,108,51,9,133,44,299,60,71,316,1695,35,1228,1374,553,234,45,17,110,false,false,4,false,411,1442682,1412316,1338544,54225,2484,12601,548,3914,30366,1219,29147,28812,11112,11648,3108,1211,1733,1425,129
40,WV,54,,,,,040C0US54,West Virginia -- In metropolitan statistical area,1137523,1048783,45491,1924,11172,396,3579,26178,987,25191,1072904,57317,14550,14787,957,4668,1924,1522,5,false,12,12,7,848,false,false,47,43,false,false,90,0,false,6,25,false,61,false,39,false,39,false,false,false,false,0,42,54,false,false,0,60,13,false,0,false,false,false,false,119,82,10,false,0,false,false,false,10,false,231,79,11172,3065,17,false,27,false,2683,1314,false,0,395,951,51,16,false,132,15,206,40,71,226,1432,35,350,146,396,155,121,0,false,0,false,false,4,false,116,false,14792,10268,99,32,942,62,7,6989,118,33,118,139,false,45,90,16,44,126,25,false,211,false,50,false,102,40,18,false,11,0,59,54,false,0,5,231,32,false,0,false,false,false,false,570,485,22,false,0,false,0,false,22,false,4017,15061,3312,22,false,27,false,3082,2584,0,0,916,1414,108,42,9,132,44,240,60,71,305,1614,35,1044,980,361,225,45,0,4,false,false,4,false,341,1137523,1111345,1048783,45491,1924,11172,396,3579,26178,987,25191,24821,9263,10227,2841,1177,1313,1232,125
40,WV,54,,,,,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,253695,218447,20382,563,4324,174,1123,8682,139,8543,226090,25684,4256,5293,417,1291,563,461,0,false,11,0,0,278,false,false,24,18,false,false,0,0,false,6,0,false,22,false,0,false,0,false,false,false,false,0,0,0,false,false,0,0,13,false,0,false,false,false,false,89,7,10,false,0,false,false,false,10,false,72,13,4324,1193,0,false,27,false,1339,431,false,0,234,358,0,16,false,108,0,49,15,60,95,326,35,13,25,174,93,81,0,false,0,false,false,0,false,0,false,4306,2615,32,32,497,37,0,1495,0,14,33,49,false,45,0,7,0,6,0,false,52,false,0,false,34,0,0,false,0,0,0,0,false,0,5,75,13,false,0,false,false,false,false,189,159,10,false,0,false,0,false,10,false,1522,5340,1257,5,false,27,false,1485,723,0,0,388,448,0,42,9,108,5,83,15,60,110,341,35,199,440,204,131,23,0,4,false,false,0,false,78,253695,245013,218447,20382,563,4324,174,1123,8682,139,8543,8060,3944,2309,810,787,210,590,32
40,WV,54,,,,,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,883828,830336,25109,1361,6848,222,2456,17496,848,16648,846814,31633,10294,9494,540,3377,1361,1061,5,false,1,12,7,570,false,false,23,25,false,false,90,0,false,0,25,false,39,false,39,false,39,false,false,false,false,0,42,54,false,false,0,60,0,false,0,false,false,false,false,30,75,0,false,0,false,false,false,0,false,159,66,6848,1872,17,false,0,false,1344,883,false,0,161,593,51,0,false,24,15,157,25,11,131,1106,0,337,121,222,62,40,0,false,0,false,false,4,false,116,false,10486,7653,67,0,445,25,7,5494,118,19,85,90,false,0,90,9,44,120,25,false,159,false,50,false,68,40,18,false,11,0,59,54,false,0,0,156,19,false,0,false,false,false,false,381,326,12,false,0,false,0,false,12,false,2495,9721,2055,17,false,0,false,1597,1861,0,0,528,966,108,0,0,24,39,157,45,11,195,1273,0,845,540,157,94,22,0,0,false,false,4,false,263,883828,866332,830336,25109,1361,6848,222,2456,17496,848,16648,16761,5319,7918,2031,390,1103,642,93
40,WV,54,,,,,040E0US54,West Virginia -- In micropolitan statistical area,305159,289761,8734,560,1429,152,335,4188,232,3956,293842,10761,2216,1753,394,582,560,376,0,false,2,0,3,323,false,false,0,0,false,false,0,0,false,0,0,false,0,false,0,false,0,false,false,false,false,9,0,0,false,false,0,35,0,false,4,false,false,false,false,0,18,0,false,0,false,false,false,0,false,166,0,1429,66,0,false,0,false,392,428,false,34,47,129,0,9,false,1,0,59,0,0,11,70,0,183,0,152,47,4,0,false,61,false,false,0,false,40,false,2266,1477,0,0,76,0,3,1154,8,0,0,21,false,0,0,11,0,0,0,false,0,false,0,false,0,0,98,false,0,43,0,0,false,12,0,35,6,false,4,false,false,false,false,6,68,0,false,0,false,0,false,0,false,721,1757,148,0,false,0,false,410,553,0,34,103,164,0,9,0,1,0,59,0,0,11,81,0,184,394,192,9,0,17,106,false,false,0,false,70,305159,300971,289761,8734,560,1429,152,335,4188,232,3956,3991,1849,1421,267,34,420,193,4
40,WV,54,,,,,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,58920,52162,5428,97,238,40,84,871,77,794,52998,5915,418,287,94,161,97,41,0,false,0,0,0,28,false,false,0,0,false,false,0,0,false,0,0,false,0,false,0,false,0,false,false,false,false,9,0,0,false,false,0,0,0,false,4,false,false,false,false,0,18,0,false,0,false,false,false,0,false,38,0,238,6,0,false,0,false,27,23,false,34,10,57,0,9,false,1,0,31,0,0,0,40,0,0,0,40,0,0,0,false,0,false,false,0,false,40,false,429,267,0,0,11,0,0,237,0,0,0,0,false,0,0,0,0,0,0,false,0,false,0,false,0,0,0,false,0,9,0,0,false,0,0,0,6,false,4,false,false,false,false,0,29,0,false,0,false,0,false,0,false,133,287,6,0,false,0,false,27,71,0,34,10,57,0,9,0,1,0,31,0,0,0,40,0,1,94,37,0,0,17,0,false,false,0,false,40,58920,58049,52162,5428,97,238,40,84,871,77,794,789,409,243,11,22,104,82,0
40,WV,54,,,,,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,246239,237599,3306,463,1191,112,251,3317,155,3162,240844,4846,1798,1466,300,421,463,335,0,false,2,0,3,295,false,false,0,0,false,false,0,0,false,0,0,false,0,false,0,false,0,false,false,false,false,0,0,0,false,false,0,35,0,false,0,false,false,false,false,0,0,0,false,0,false,false,false,0,false,128,0,1191,60,0,false,0,false,365,405,false,0,37,72,0,0,false,0,0,28,0,0,11,30,0,183,0,112,47,4,0,false,61,false,false,0,false,0,false,1837,1210,0,0,65,0,3,917,8,0,0,21,false,0,0,11,0,0,0,false,0,false,0,false,0,0,98,false,0,34,0,0,false,12,0,35,0,false,0,false,false,false,false,6,39,0,false,0,false,0,false,0,false,588,1470,142,0,false,0,false,383,482,0,0,93,107,0,0,0,0,0,28,0,0,11,41,0,183,300,155,9,0,0,106,false,false,0,false,30,246239,242922,237599,3306,463,1191,112,251,3317,155,3162,3202,1440,1178,256,12,316,111,4
