SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,CA,06,,,,,04000US06,California,38421464,23747013,2265387,287028,5261978,150370,4974791,1734897,396499,1338398,25179712,2710216,719301,6001393,301831,5411623,287028,193315,10764,94,1938,789,1614,21962,401,1878,2570,6190,85,848,278,1422,346,358,1180,38,1209,238,351,111,40588,9191,917,433,2616,1170,1036,1900,415,619,1072,4554,1769,1914,922,408,154,4381,2239,62353,12016,2127,286,295,570,735,13,228,296,67900,11374,5261978,635718,9580,295,16324,95126,1327305,1247073,91705,28184,278354,463977,68481,3846,5142,9611,225,52695,12006,66709,52676,626143,1079,23434,146290,150370,23437,40209,19663,1644,24178,1404,2478,27023,58,7170,3106,753024,529456,31605,1189,23143,2055,4574,127332,1750,6053,7842,28999,178,2726,1382,6821,1050,1484,3057,180,5920,709,1041,330,70241,18336,2640,834,4701,3036,3463,5419,904,3037,2835,13388,4530,3527,1595,2110,493,12601,3472,112874,27531,5651,703,1267,1338,1524,400,419,886,189500,6203743,689477,10702,551,20137,114665,1549610,1550866,96255,44858,451596,525883,81919,6307,6735,10298,1620,59270,13229,72905,71886,699418,1544,124012,308113,76650,59155,25044,4129,44428,1720,3631,32210,129,61017,38421464,36686567,23747013,2265387,287028,5261978,150370,4974791,1734897,396499,1338398,1582097,232721,275051,484442,39388,550495,138950,13850
40,CA,06,,,,,04001US06,California -- Urban,36538748,22201258,2225850,250214,5201694,146122,4847235,1666375,383575,1282800,23573078,2659021,650073,5922357,293558,5270079,250214,162605,9821,77,1694,651,1584,18699,367,1622,2349,5587,85,812,273,1256,336,289,1119,38,1080,217,291,107,39692,8725,852,419,1761,1100,936,1829,315,514,879,3902,1731,1861,903,367,152,4067,1253,42993,11174,1977,259,250,514,714,13,227,282,64435,9741,5201694,624673,9532,295,16121,93678,1315057,1232729,89578,27920,272838,459298,67539,3799,5131,9550,204,52139,11925,66180,51801,622863,1079,22898,144867,146122,22489,39114,19346,1547,23282,1332,2455,26403,58,7055,3041,680743,470189,29402,1152,21295,1859,4522,114935,1664,5569,7293,26223,168,2595,1326,6199,895,1233,2687,180,5393,619,979,312,68584,17498,2539,816,3625,2902,3218,5214,794,2812,2470,12212,4254,3444,1523,2018,362,11596,2302,85506,25673,5161,676,1136,1060,1480,399,410,746,178974,6122222,676901,10654,551,19706,112962,1533540,1529329,94080,44186,441392,520029,80834,6247,6724,10237,1577,58620,13142,72323,70438,695425,1535,121790,299748,74106,57684,24688,3748,43245,1627,3601,31531,127,59391,36538748,34872373,22201258,2225850,250214,5201694,146122,4847235,1666375,383575,1282800,1517858,225922,248753,470985,38282,533916,135047,13470
40,CA,06,,,,,04043US06,California -- Rural,1882716,1545755,39537,36814,60284,4248,127556,68522,12924,55598,1606634,51195,69228,79036,8273,141544,36814,30710,943,17,244,138,30,3263,34,256,221,603,0,36,5,166,10,69,61,0,129,21,60,4,896,466,65,14,855,70,100,71,100,105,193,652,38,53,19,41,2,314,986,19360,842,150,27,45,56,21,0,1,14,3465,1633,60284,11045,48,0,203,1448,12248,14344,2127,264,5516,4679,942,47,11,61,21,556,81,529,875,3280,0,536,1423,4248,948,1095,317,97,896,72,23,620,0,115,65,72281,59267,2203,37,1848,196,52,12397,86,484,549,2776,10,131,56,622,155,251,370,0,527,90,62,18,1657,838,101,18,1076,134,245,205,110,225,365,1176,276,83,72,92,131,1005,1170,27368,1858,490,27,131,278,44,1,9,140,10526,81521,12576,48,0,431,1703,16070,21537,2175,672,10204,5854,1085,60,11,61,43,650,87,582,1448,3993,9,2222,8365,2544,1471,356,381,1183,93,30,679,2,1626,1882716,1814194,1545755,39537,36814,60284,4248,127556,68522,12924,55598,64239,6799,26298,13457,1106,16579,3903,380
40,CA,06,,,,,040A0US06,California -- In metropolitan or micropolitan statistical area,38150399,23510834,2262426,279469,5258108,149345,4965746,1724471,395381,1329090,24933924,2705409,705439,5995379,300284,5401384,279469,187084,10518,81,1893,756,1614,21367,392,1734,2483,5949,85,836,278,1415,346,344,1167,38,1200,231,349,107,40557,9134,912,433,1863,1160,1006,1888,415,610,951,4485,1760,1910,921,408,154,4355,2220,58759,11782,2077,262,278,570,727,13,227,296,67106,11124,5258108,635420,9577,295,16324,94990,1326765,1246149,91228,28124,278021,463674,68166,3846,5142,9611,225,52695,12005,66698,52573,625956,1079,23339,146206,149345,23244,39762,19645,1644,24014,1369,2476,26865,58,7170,3098,738748,517561,31077,1176,22971,2009,4569,125086,1716,5787,7703,28365,178,2661,1373,6667,1050,1464,3037,180,5766,702,1039,300,70132,18241,2619,834,3829,3024,3431,5299,904,3008,2695,13223,4492,3521,1572,2110,493,12506,3440,107312,27155,5581,675,1250,1338,1501,399,418,886,187565,6197421,688979,10699,551,20137,114467,1548885,1549135,95760,44729,450673,525382,81579,6307,6735,10298,1620,59267,13228,72894,71459,699222,1544,123871,306558,76328,58646,25018,4129,44250,1685,3629,32046,129,60698,38150399,36425928,23510834,2262426,279469,5258108,149345,4965746,1724471,395381,1329090,1572357,231595,269604,483058,39300,548800,138344,13770
40,CA,06,,,,,040C0US06,California -- In metropolitan statistical area,37587429,23038473,2253299,259674,5247960,147870,4939825,1700328,391631,1308697,24439362,2692178,672617,5979973,297409,5371230,259674,170879,10332,74,1826,686,1614,20023,375,1570,2335,5530,85,833,275,1326,303,341,1154,38,1157,231,349,95,40099,8786,871,433,1572,1160,932,1758,278,610,890,4349,1699,1904,869,393,152,4147,2204,47221,11460,1918,262,273,519,624,13,227,249,64921,10247,5247960,634394,9577,295,16324,94681,1324434,1244178,89854,28055,277341,462887,67841,3846,5093,9607,225,52542,12005,66642,52437,625340,1079,23276,146007,147870,22856,39416,19545,1644,23740,1352,2399,26726,58,7063,3071,704614,489093,30631,1155,21890,1907,4569,120155,1685,5566,7335,27327,168,2639,1370,6399,985,1416,2951,180,5481,682,1039,288,69572,17589,2426,803,3508,3005,3314,5133,767,2847,2615,12900,4350,3514,1511,2090,354,12207,3375,91395,26409,5086,675,1200,1273,1343,199,396,839,183187,6181592,687688,10699,551,20137,114099,1545652,1545300,94376,44525,448617,524344,81041,6307,6586,10294,1613,58965,13228,72819,71302,698379,1544,123526,303641,75165,58120,24895,4129,43911,1668,3552,31886,129,60186,37587429,35887101,23038473,2253299,259674,5247960,147870,4939825,1700328,391631,1308697,1549923,228911,258530,479402,39045,544035,136854,13551
40,CA,06,,,,,040C1US06,California -- In metropolitan statistical area -- in principal city,17529160,10041557,1218261,117012,2922663,69831,2358271,801565,175093,626472,10695244,1437359,308236,3279688,137849,2552399,117012,75293,4559,18,806,343,1137,8049,209,669,1142,1725,10,479,46,617,81,77,250,22,548,145,132,15,23935,3888,377,284,814,318,388,827,113,229,469,1615,1011,759,243,189,54,1700,298,16703,5046,953,29,55,386,311,13,159,123,31589,4008,2922663,372659,5880,254,6526,62821,719191,661664,58957,14056,158279,267271,42354,2421,4041,4595,113,29508,7381,33949,30360,347640,452,12388,79903,69831,10007,19818,6471,603,11744,750,809,14754,47,3588,1240,322381,217205,13507,607,10029,1036,2626,51885,764,2458,3590,10303,39,1275,509,2959,375,623,964,96,2450,368,349,159,39033,7710,1197,478,1752,1220,1470,2063,467,1384,966,5483,2370,1488,400,753,176,5510,879,35435,11754,2292,201,278,685,729,136,263,322,90808,3386160,401440,6640,500,8140,74900,829953,804620,61789,21803,243024,298794,50749,3823,5117,5002,886,32780,8021,37396,40062,386456,696,63569,140710,32054,27706,8728,1666,21336,1009,1588,17238,102,29283,17529160,16727595,10041557,1218261,117012,2922663,69831,2358271,801565,175093,626472,728494,112897,113330,233686,19956,248625,66634,6437
40,CA,06,,,,,040C2US06,California -- In metropolitan statistical area -- not in principal city,20058269,12996916,1035038,142662,2325297,78039,2581554,898763,216538,682225,13744118,1254819,364381,2700285,159560,2818831,142662,95586,5773,56,1020,343,477,11974,166,901,1193,3805,75,354,229,709,222,264,904,16,609,86,217,80,16164,4898,494,149,758,842,544,931,165,381,421,2734,688,1145,626,204,98,2447,1906,30518,6414,965,233,218,133,313,0,68,126,33332,6239,2325297,261735,3697,41,9798,31860,605243,582514,30897,13999,119062,195616,25487,1425,1052,5012,112,23034,4624,32693,22077,277700,627,10888,66104,78039,12849,19598,13074,1041,11996,602,1590,11972,11,3475,1831,382233,271888,17124,548,11861,871,1943,68270,921,3108,3745,17024,129,1364,861,3440,610,793,1987,84,3031,314,690,129,30539,9879,1229,325,1756,1785,1844,3070,300,1463,1649,7417,1980,2026,1111,1337,178,6697,2496,55960,14655,2794,474,922,588,614,63,133,517,92379,2795432,286248,4059,51,11997,39199,715699,740680,32587,22722,205593,225550,30292,2484,1469,5292,727,26185,5207,35423,31240,311923,848,59957,162931,43111,30414,16167,2463,22575,659,1964,14648,27,30903,20058269,19159506,12996916,1035038,142662,2325297,78039,2581554,898763,216538,682225,821429,116014,145200,245716,19089,295410,70220,7114
40,CA,06,,,,,040E0US06,California -- In micropolitan statistical area,562970,472361,9127,19795,10148,1475,25921,24143,3750,20393,494562,13231,32822,15406,2875,30154,19795,16205,186,7,67,70,0,1344,17,164,148,419,0,3,3,89,43,3,13,0,43,0,0,12,458,348,41,0,291,0,74,130,137,0,61,136,61,6,52,15,2,208,16,11538,322,159,0,5,51,103,0,0,47,2185,877,10148,1026,0,0,0,309,2331,1971,1374,69,680,787,325,0,49,4,0,153,0,56,136,616,0,63,199,1475,388,346,100,0,274,17,77,139,0,107,27,34134,28468,446,21,1081,102,0,4931,31,221,368,1038,10,22,3,268,65,48,86,0,285,20,0,12,560,652,193,31,321,19,117,166,137,161,80,323,142,7,61,20,139,299,65,15917,746,495,0,50,65,158,200,22,47,4378,15829,1291,0,0,0,368,3233,3835,1384,204,2056,1038,538,0,149,4,7,302,0,75,157,843,0,345,2917,1163,526,123,0,339,17,77,160,0,512,562970,538827,472361,9127,19795,10148,1475,25921,24143,3750,20393,22434,2684,11074,3656,255,4765,1490,219
40,CA,06,,,,,040E1US06,California -- In micropolitan statistical area -- in principal city,158773,126352,5395,4514,4477,569,10332,7134,1046,6088,132825,6977,8314,5793,1019,11490,4514,3014,67,0,32,0,0,176,0,6,37,131,0,0,0,55,0,0,0,0,0,0,0,0,89,99,24,0,122,0,24,0,37,0,3,0,40,4,0,0,0,176,6,1886,44,89,0,0,0,89,0,0,0,1181,186,4477,221,0,0,0,108,1095,686,995,38,78,569,56,0,0,0,0,87,0,0,1,415,0,47,81,569,44,214,36,0,67,0,77,17,0,87,27,8855,6842,106,14,569,17,0,1147,0,6,80,413,0,8,0,99,19,0,4,0,218,20,0,0,124,190,145,25,125,8,58,10,37,109,3,57,96,4,9,0,0,199,6,2917,149,107,0,0,0,107,0,0,0,1757,5962,279,0,0,0,152,1318,1142,996,105,464,644,64,0,0,0,0,163,0,0,19,498,0,118,1052,329,342,43,0,85,0,77,17,0,159,158773,151639,126352,5395,4514,4477,569,10332,7134,1046,6088,6652,1096,3221,822,148,1365,453,29
40,CA,06,,,,,040E2US06,California -- In micropolitan statistical area -- not in principal city,404197,346009,3732,15281,5671,906,15589,17009,2704,14305,361737,6254,24508,9613,1856,18664,15281,13191,119,7,35,70,0,1168,17,158,111,288,0,3,3,34,43,3,13,0,43,0,0,12,369,249,17,0,169,0,50,130,100,0,58,136,21,2,52,15,2,32,10,9652,278,70,0,5,51,14,0,0,47,1004,691,5671,805,0,0,0,201,1236,1285,379,31,602,218,269,0,49,4,0,66,0,56,135,201,0,16,118,906,344,132,64,0,207,17,0,122,0,20,0,25279,21626,340,7,512,85,0,3784,31,215,288,625,10,14,3,169,46,48,82,0,67,0,0,12,436,462,48,6,196,11,59,156,100,52,77,266,46,3,52,20,139,100,59,13000,597,388,0,50,65,51,200,22,47,2621,9867,1012,0,0,0,216,1915,2693,388,99,1592,394,474,0,149,4,7,139,0,75,138,345,0,227,1865,834,184,80,0,254,17,0,143,0,353,404197,387188,346009,3732,15281,5671,906,15589,17009,2704,14305,15782,1588,7853,2834,107,3400,1037,190
