SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,DE,10,,,,,04000US10,Delaware,926454,642623,200481,3140,33643,306,20995,25266,2699,22567,664065,217312,8840,38746,1168,23906,3140,1995,6,0,39,0,0,394,0,7,14,5,0,0,0,0,0,305,0,0,43,0,57,0,162,24,0,0,0,0,4,0,28,28,0,30,17,25,0,0,0,0,0,807,132,30,13,0,0,0,11,6,4,869,110,33643,14105,74,0,9,130,7232,3481,59,103,418,2459,153,53,0,348,0,2052,78,316,162,1713,0,319,379,306,99,14,0,5,134,0,0,31,0,23,0,9135,6017,95,0,261,7,0,2326,0,94,72,49,0,0,0,6,30,440,31,0,147,0,138,0,367,115,0,57,16,0,23,72,28,28,0,164,177,25,0,0,8,72,0,1169,453,48,13,0,12,0,11,12,4,2613,39199,14681,74,0,9,201,7942,5294,59,113,1258,3040,184,82,0,360,0,2112,78,354,215,2062,0,1081,1176,354,31,14,32,200,0,60,31,0,454,926454,901188,642623,200481,3140,33643,306,20995,25266,2699,22567,23028,11805,2880,3259,1302,3782,2159,79
40,DE,10,,,,,04001US10,Delaware -- Urban,768071,508322,183310,2495,31850,284,19132,22678,2386,20292,527399,198802,7471,36487,1136,21679,2495,1457,6,0,39,0,0,300,0,0,14,5,0,0,0,0,0,208,0,0,31,0,39,0,42,24,0,0,0,0,0,0,28,28,0,30,17,9,0,0,0,0,0,637,122,30,13,0,0,0,11,6,4,792,90,31850,13826,74,0,9,112,6995,3145,59,103,402,2290,110,53,0,348,0,1483,78,316,149,1601,0,318,379,284,96,13,0,5,117,0,0,31,0,22,0,7746,5047,84,0,259,7,0,2031,0,87,72,49,0,0,0,6,30,334,0,0,93,0,114,0,240,115,0,57,16,0,19,72,28,28,0,147,177,9,0,0,8,72,0,893,381,48,13,0,12,0,11,12,4,2266,36932,14355,74,0,9,183,7638,4835,59,113,1213,2780,141,82,0,360,0,1543,78,354,202,1899,0,1014,1136,342,30,14,32,183,0,60,31,0,444,768071,745393,508322,183310,2495,31850,284,19132,22678,2386,20292,20524,10698,2257,2894,1240,3435,2083,71
40,DE,10,,,,,04043US10,Delaware -- Rural,158383,134301,17171,645,1793,22,1863,2588,313,2275,136666,18510,1369,2259,32,2227,645,538,0,0,0,0,0,94,0,7,0,0,0,0,0,0,0,97,0,0,12,0,18,0,120,0,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,0,0,170,10,0,0,0,0,0,0,0,0,77,20,1793,279,0,0,0,18,237,336,0,0,16,169,43,0,0,0,0,569,0,0,13,112,0,1,0,22,3,1,0,0,17,0,0,0,0,1,0,1389,970,11,0,2,0,0,295,0,7,0,0,0,0,0,0,0,106,31,0,54,0,24,0,127,0,0,0,0,0,4,0,0,0,0,17,0,16,0,0,0,0,0,276,72,0,0,0,0,0,0,0,0,347,2267,326,0,0,0,18,304,459,0,0,45,260,43,0,0,0,0,569,0,0,13,163,0,67,40,12,1,0,0,17,0,0,0,0,10,158383,155795,134301,17171,645,1793,22,1863,2588,313,2275,2504,1107,623,365,62,347,76,8
40,DE,10,,,,,040A0US10,Delaware -- In metropolitan or micropolitan statistical area,926454,642623,200481,3140,33643,306,20995,25266,2699,22567,664065,217312,8840,38746,1168,23906,3140,1995,6,0,39,0,0,394,0,7,14,5,0,0,0,0,0,305,0,0,43,0,57,0,162,24,0,0,0,0,4,0,28,28,0,30,17,25,0,0,0,0,0,807,132,30,13,0,0,0,11,6,4,869,110,33643,14105,74,0,9,130,7232,3481,59,103,418,2459,153,53,0,348,0,2052,78,316,162,1713,0,319,379,306,99,14,0,5,134,0,0,31,0,23,0,9135,6017,95,0,261,7,0,2326,0,94,72,49,0,0,0,6,30,440,31,0,147,0,138,0,367,115,0,57,16,0,23,72,28,28,0,164,177,25,0,0,8,72,0,1169,453,48,13,0,12,0,11,12,4,2613,39199,14681,74,0,9,201,7942,5294,59,113,1258,3040,184,82,0,360,0,2112,78,354,215,2062,0,1081,1176,354,31,14,32,200,0,60,31,0,454,926454,901188,642623,200481,3140,33643,306,20995,25266,2699,22567,23028,11805,2880,3259,1302,3782,2159,79
40,DE,10,,,,,040C0US10,Delaware -- In metropolitan statistical area,926454,642623,200481,3140,33643,306,20995,25266,2699,22567,664065,217312,8840,38746,1168,23906,3140,1995,6,0,39,0,0,394,0,7,14,5,0,0,0,0,0,305,0,0,43,0,57,0,162,24,0,0,0,0,4,0,28,28,0,30,17,25,0,0,0,0,0,807,132,30,13,0,0,0,11,6,4,869,110,33643,14105,74,0,9,130,7232,3481,59,103,418,2459,153,53,0,348,0,2052,78,316,162,1713,0,319,379,306,99,14,0,5,134,0,0,31,0,23,0,9135,6017,95,0,261,7,0,2326,0,94,72,49,0,0,0,6,30,440,31,0,147,0,138,0,367,115,0,57,16,0,23,72,28,28,0,164,177,25,0,0,8,72,0,1169,453,48,13,0,12,0,11,12,4,2613,39199,14681,74,0,9,201,7942,5294,59,113,1258,3040,184,82,0,360,0,2112,78,354,215,2062,0,1081,1176,354,31,14,32,200,0,60,31,0,454,926454,901188,642623,200481,3140,33643,306,20995,25266,2699,22567,23028,11805,2880,3259,1302,3782,2159,79
40,DE,10,,,,,040C1US10,Delaware -- In metropolitan statistical area -- in principal city,108693,42367,55614,228,2069,95,4675,3645,762,2883,44955,58260,1487,2452,233,5443,228,118,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,79,5,0,0,0,0,0,0,0,0,99,6,2069,402,0,0,0,0,376,543,59,14,31,154,0,0,0,104,0,109,0,53,0,135,0,25,64,95,26,0,0,0,69,0,0,0,0,0,0,1502,772,36,0,3,7,0,339,0,55,0,0,0,0,0,6,0,20,0,0,3,0,0,0,150,5,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,123,68,0,0,0,0,0,0,0,0,662,2550,434,0,0,0,0,403,726,59,14,196,225,0,0,0,104,0,111,0,53,4,139,0,82,233,66,0,14,27,74,0,0,0,0,52,108693,105048,42367,55614,228,2069,95,4675,3645,762,2883,3174,1241,332,188,512,901,450,21
40,DE,10,,,,,040C2US10,Delaware -- In metropolitan statistical area -- not in principal city,817761,600256,144867,2912,31574,211,16320,21621,1937,19684,619110,159052,7353,36294,935,18463,2912,1877,6,0,39,0,0,383,0,7,14,5,0,0,0,0,0,305,0,0,40,0,57,0,162,24,0,0,0,0,4,0,28,3,0,30,17,25,0,0,0,0,0,728,127,30,13,0,0,0,11,6,4,770,104,31574,13703,74,0,9,130,6856,2938,0,89,387,2305,153,53,0,244,0,1943,78,263,162,1578,0,294,315,211,73,14,0,5,65,0,0,31,0,23,0,7633,5245,59,0,258,0,0,1987,0,39,72,49,0,0,0,0,30,420,31,0,144,0,138,0,217,110,0,57,16,0,23,72,28,3,0,164,177,25,0,0,8,72,0,1046,385,48,13,0,12,0,11,12,4,1951,36649,14247,74,0,9,201,7539,4568,0,99,1062,2815,184,82,0,256,0,2001,78,301,211,1923,0,999,943,288,31,0,5,126,0,60,31,0,402,817761,796140,600256,144867,2912,31574,211,16320,21621,1937,19684,19854,10564,2548,3071,790,2881,1709,58
50,DE,10,001,,,,05000US10001,"Kent County, Delaware",169509,113925,41211,1090,3545,116,2529,7093,529,6564,119517,46254,3055,5163,527,3085,1090,690,0,0,6,0,0,167,0,0,14,0,0,0,0,0,0,244,0,0,20,0,0,0,0,0,0,0,0,0,0,0,28,28,0,30,0,0,0,0,0,0,0,153,12,13,13,0,0,0,0,0,0,342,33,3545,1127,0,0,0,0,328,1099,0,0,117,335,0,0,0,0,0,142,0,53,41,207,0,19,77,116,35,11,0,0,70,0,0,0,0,0,0,3232,2159,24,0,24,0,0,709,0,55,26,8,0,0,0,6,30,293,0,0,28,0,3,0,150,91,0,0,16,0,0,72,28,28,0,76,91,0,0,0,0,72,0,329,135,13,13,0,0,0,0,0,0,925,5267,1206,0,0,0,0,443,2150,0,0,347,476,0,29,0,0,0,181,0,53,59,248,0,75,527,190,28,0,0,70,0,0,0,0,239,169509,162416,113925,41211,1090,3545,116,2529,7093,529,6564,6115,2878,726,858,642,1011,957,21
50,DE,10,003,,,,05000US10003,"New Castle County, Delaware",549643,359848,133019,1112,27725,153,14004,13782,1807,11975,371735,142091,3572,30576,512,15956,1112,609,0,0,33,0,0,170,0,0,0,5,0,0,0,0,0,61,0,0,18,0,39,0,74,0,0,0,0,0,0,0,0,0,0,0,17,16,0,0,0,0,0,176,107,17,0,0,0,0,11,6,0,323,56,27725,12658,74,0,9,112,6566,1746,59,97,272,1921,110,0,0,253,0,1658,78,263,94,1161,0,295,299,153,48,2,0,5,48,0,0,31,0,19,0,3672,2273,54,0,205,7,0,1011,0,32,34,38,0,0,0,0,0,137,0,0,24,0,98,0,118,0,0,57,0,0,19,0,0,0,0,82,86,16,0,0,8,0,0,247,239,35,0,0,12,0,11,12,0,1125,30888,13053,74,0,9,183,7110,2317,59,107,847,2325,124,0,0,265,0,1667,78,301,112,1383,0,874,512,127,2,14,32,103,0,0,31,0,203,549643,535861,359848,133019,1112,27725,153,14004,13782,1807,11975,12815,6740,1163,2090,544,2278,917,50
50,DE,10,005,,,,05000US10005,"Sussex County, Delaware",207302,168850,26251,938,2373,37,4462,4391,363,4028,172813,28967,2213,3007,129,4865,938,696,6,0,0,0,0,57,0,7,0,0,0,0,0,0,0,0,0,0,5,0,18,0,88,24,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,478,13,0,0,0,0,0,0,0,4,204,21,2373,320,0,0,0,18,338,636,0,6,29,203,43,53,0,95,0,252,0,0,27,345,0,5,3,37,16,1,0,0,16,0,0,0,0,4,0,2231,1585,17,0,32,0,0,606,0,7,12,3,0,0,0,0,0,10,31,0,95,0,37,0,99,24,0,0,0,0,4,0,0,0,0,6,0,9,0,0,0,0,0,593,79,0,0,0,0,0,0,0,4,563,3044,422,0,0,0,18,389,827,0,6,64,239,60,53,0,95,0,264,0,0,44,431,0,132,137,37,1,0,0,27,0,60,0,0,12,207302,202911,168850,26251,938,2373,37,4462,4391,363,4028,4098,2187,991,311,116,493,285,8
