SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,IN,18,,,,,04000US18,Indiana,6568645,5529201,603014,14793,121729,2285,152022,145601,19143,126458,5661699,678881,54186,149198,5974,172970,14793,9939,234,6,195,50,19,3241,42,52,692,360,13,126,17,88,19,114,0,6,247,0,140,10,816,331,0,44,33,0,458,68,7,0,5,579,74,26,0,15,0,56,0,1756,700,288,19,8,61,200,0,0,20,3355,491,121729,34121,455,0,8292,1177,28338,12064,362,621,4928,9963,701,406,280,535,2,3889,217,984,2082,7704,46,2482,2080,2285,694,388,73,3,625,126,36,7,26,254,53,56647,39143,878,47,2859,240,383,18573,181,326,1595,1680,13,258,108,288,196,335,72,6,720,7,142,47,1381,652,147,135,50,22,959,151,11,114,68,1463,280,106,0,30,13,62,0,4545,2150,597,41,121,124,279,0,32,21,14736,152573,36539,547,0,9124,1504,33120,19287,385,1051,9631,13432,1083,477,301,585,19,4315,230,1147,3318,9499,121,6858,6208,1762,844,147,16,1085,126,39,30,26,2133,6568645,6423044,5529201,603014,14793,121729,2285,152022,145601,19143,126458,137605,61336,28862,20561,3596,23250,7365,631
40,IN,18,,,,,04001US18,Indiana -- Urban,4776392,3789580,590590,11086,114297,1759,143537,125543,16796,108747,3902577,659409,42217,138847,4868,162042,11086,7040,143,6,122,36,7,2217,40,52,424,336,13,75,17,77,19,42,0,6,202,0,120,0,767,220,0,42,33,0,341,63,7,0,5,473,48,26,0,15,0,37,0,1009,543,252,6,7,39,200,0,0,20,2804,427,114297,32935,429,0,8161,814,26824,10316,358,599,4454,9169,603,404,269,483,2,3802,205,982,1863,7313,28,2351,1933,1759,492,288,73,2,562,110,36,7,9,130,50,44001,29660,726,17,2196,144,365,13817,138,297,1176,1548,13,163,90,257,126,260,72,6,452,7,122,0,1302,477,115,133,49,22,713,146,7,105,42,1090,200,106,0,30,13,43,0,3075,1754,509,6,98,97,276,0,32,21,12057,142005,35206,521,0,8993,1123,31169,16500,381,1027,8736,12309,982,433,286,510,19,4129,218,1145,2984,8963,103,6268,5094,1430,649,147,15,839,110,36,21,9,1838,4776392,4650849,3789580,590590,11086,114297,1759,143537,125543,16796,108747,118119,55117,21244,17945,3433,20380,6857,567
40,IN,18,,,,,04043US18,Indiana -- Rural,1792253,1739621,12424,3707,7432,526,8485,20058,2347,17711,1759122,19472,11969,10351,1106,10928,3707,2899,91,0,73,14,12,1024,2,0,268,24,0,51,0,11,0,72,0,0,45,0,20,10,49,111,0,2,0,0,117,5,0,0,0,106,26,0,0,0,0,19,0,747,157,36,13,1,22,0,0,0,0,551,64,7432,1186,26,0,131,363,1514,1748,4,22,474,794,98,2,11,52,0,87,12,2,219,391,18,131,147,526,202,100,0,1,63,16,0,0,17,124,3,12646,9483,152,30,663,96,18,4756,43,29,419,132,0,95,18,31,70,75,0,0,268,0,20,47,79,175,32,2,1,0,246,5,4,9,26,373,80,0,0,0,0,19,0,1470,396,88,35,23,27,3,0,0,0,2679,10568,1333,26,0,131,381,1951,2787,4,24,895,1123,101,44,15,75,0,186,12,2,334,536,18,590,1114,332,195,0,1,246,16,3,9,17,295,1792253,1772195,1739621,12424,3707,7432,526,8485,20058,2347,17711,19486,6219,7618,2616,163,2870,508,64
40,IN,18,,,,,040A0US18,Indiana -- In metropolitan or micropolitan statistical area,6105851,5081723,599578,14024,120232,2103,148600,139591,18507,121084,5208391,673434,50545,147043,5667,168906,14024,9378,199,0,188,42,19,2964,40,52,671,353,13,112,17,84,19,78,0,6,222,0,140,10,808,331,0,44,33,0,447,68,7,0,5,533,74,26,0,15,0,56,0,1702,639,284,19,8,57,200,0,0,20,3241,462,120232,33847,455,0,8292,1177,28104,11681,362,597,4829,9801,701,406,280,535,2,3889,217,974,1976,7587,28,2465,2027,2103,516,388,73,3,625,126,36,7,26,250,53,52772,36483,828,41,2766,197,383,16972,174,306,1493,1567,13,244,108,284,196,299,72,6,600,7,142,47,1356,617,70,135,49,22,923,151,11,114,54,1387,275,106,0,30,13,62,0,4363,1979,584,32,121,120,279,0,32,21,13705,150360,36231,547,0,9124,1504,32810,18610,385,1027,9459,13209,1083,472,301,585,19,4315,230,1132,3196,9373,103,6645,5901,1536,844,147,16,1085,126,39,21,26,2061,6105851,5966260,5081723,599578,14024,120232,2103,148600,139591,18507,121084,131708,59492,26141,20011,3571,22493,7257,626
40,IN,18,,,,,040C0US18,Indiana -- In metropolitan statistical area,5095864,4131442,581512,11783,113575,1836,131522,124194,16414,107780,4243435,648908,43205,138102,4981,149519,11783,7713,166,0,134,42,7,2569,32,47,461,325,13,80,17,77,19,74,0,6,197,0,140,10,756,303,0,42,33,0,422,49,7,0,5,489,74,26,0,15,0,56,0,1020,590,256,19,7,30,200,0,0,20,2856,348,113575,32993,429,0,8070,1029,26818,9948,358,592,4137,9317,606,315,280,418,0,3799,217,974,1925,7102,28,2314,1906,1836,369,378,73,2,548,126,36,7,17,230,50,44948,30658,639,41,2387,192,369,14418,119,296,1164,1521,13,146,92,169,162,141,72,6,459,7,142,41,1270,528,46,97,49,22,786,132,11,105,54,1204,275,106,0,30,13,62,0,3272,1670,526,32,115,68,279,0,32,21,12073,141236,35175,521,0,8862,1249,31328,16320,381,1022,8358,12433,985,355,299,468,17,4099,230,1121,3043,8764,103,6103,5211,1306,805,147,15,1003,126,36,7,17,1749,5095864,4971670,4131442,581512,11783,113575,1836,131522,124194,16414,107780,116758,53710,21373,18021,3466,20188,6814,622
40,IN,18,,,,,040C1US18,Indiana -- In metropolitan statistical area -- in principal city,2158494,1504890,442053,5282,70648,1092,67261,67268,6524,60744,1565173,483506,21551,83087,2417,74773,5282,3283,46,0,19,0,7,1118,32,0,143,200,13,35,1,20,19,41,0,6,99,0,61,0,328,191,0,7,26,0,134,9,7,0,5,119,36,0,0,6,0,37,0,518,319,13,6,0,0,7,0,0,4,1527,136,70648,19057,289,0,7568,313,17465,4068,338,286,2227,6713,523,304,118,177,0,1750,189,858,1467,4036,18,1758,1126,1092,131,239,46,0,416,110,0,7,0,96,47,22190,14303,252,0,1149,80,68,6688,36,136,528,743,13,65,58,85,80,86,72,6,129,7,63,0,570,324,14,20,42,0,302,53,7,105,10,466,43,24,0,6,13,37,0,1923,993,212,6,91,0,83,0,32,4,6678,84693,20107,376,0,8317,409,19845,6896,361,619,4421,8274,775,333,130,177,0,1963,196,936,1897,4908,59,3694,2526,390,468,120,0,573,110,0,7,0,858,2158494,2091226,1504890,442053,5282,70648,1092,67261,67268,6524,60744,62874,33110,9946,8894,2354,8570,4043,351
40,IN,18,,,,,040C2US18,Indiana -- In metropolitan statistical area -- not in principal city,2937370,2626552,139459,6501,42927,744,64261,56926,9890,47036,2678262,165402,21654,55015,2564,74746,6501,4430,120,0,115,42,0,1451,0,47,318,125,0,45,16,57,0,33,0,0,98,0,79,10,428,112,0,35,7,0,288,40,0,0,0,370,38,26,0,9,0,19,0,502,271,243,13,7,30,193,0,0,16,1329,212,42927,13936,140,0,502,716,9353,5880,20,306,1910,2604,83,11,162,241,0,2049,28,116,458,3066,10,556,780,744,238,139,27,2,132,16,36,0,17,134,3,22758,16355,387,41,1238,112,301,7730,83,160,636,778,0,81,34,84,82,55,0,0,330,0,79,41,700,204,32,77,7,22,484,79,4,0,44,738,232,82,0,24,0,25,0,1349,677,314,26,24,68,196,0,0,17,5395,56543,15068,145,0,545,840,11483,9424,20,403,3937,4159,210,22,169,291,17,2136,34,185,1146,3856,44,2409,2685,916,337,27,15,430,16,36,0,17,891,2937370,2880444,2626552,139459,6501,42927,744,64261,56926,9890,47036,53884,20600,11427,9127,1112,11618,2771,271
40,IN,18,,,,,040E0US18,Indiana -- In micropolitan statistical area,1009987,950281,18066,2241,6657,267,17078,15397,2093,13304,964956,24526,7340,8941,686,19387,2241,1665,33,0,54,0,12,395,8,5,210,28,0,32,0,7,0,4,0,0,25,0,0,0,52,28,0,2,0,0,25,19,0,0,0,44,0,0,0,0,0,0,0,682,49,28,0,1,27,0,0,0,0,385,114,6657,854,26,0,222,148,1286,1733,4,5,692,484,95,91,0,117,2,90,0,0,51,485,0,151,121,267,147,10,0,1,77,0,0,0,9,20,3,7824,5825,189,0,379,5,14,2554,55,10,329,46,0,98,16,115,34,158,0,0,141,0,0,6,86,89,24,38,0,0,137,19,0,9,0,183,0,0,0,0,0,0,0,1091,309,58,0,6,52,0,0,0,0,1632,9124,1056,26,0,262,255,1482,2290,4,5,1101,776,98,117,2,117,2,216,0,11,153,609,0,542,690,230,39,0,1,82,0,3,14,9,312,1009987,994590,950281,18066,2241,6657,267,17078,15397,2093,13304,14950,5782,4768,1990,105,2305,443,4
40,IN,18,,,,,040E1US18,Indiana -- In micropolitan statistical area -- in principal city,359170,323151,13123,719,3995,152,10616,7414,1003,6411,330115,16684,2455,5330,507,11759,719,425,10,0,27,0,0,79,0,5,11,21,0,0,0,0,0,0,0,0,5,0,0,0,49,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,199,0,21,0,0,21,0,0,0,0,243,30,3995,525,26,0,108,144,819,995,0,2,515,193,0,91,0,99,0,40,0,0,11,333,0,19,75,152,90,8,0,0,42,0,0,0,9,3,0,2622,1926,35,0,155,0,0,813,22,5,11,21,0,0,0,95,0,124,0,0,22,0,0,0,65,30,24,3,0,0,35,14,0,0,0,23,0,0,0,0,0,0,0,429,74,41,0,0,41,0,0,0,0,581,5453,621,26,0,147,251,913,1252,0,2,777,386,0,91,0,99,0,67,0,11,56,440,0,314,507,137,31,0,0,42,0,0,14,9,274,359170,351756,323151,13123,719,3995,152,10616,7414,1003,6411,7148,3271,1588,1136,33,1120,266,0
40,IN,18,,,,,040E2US18,Indiana -- In micropolitan statistical area -- not in principal city,650817,627130,4943,1522,2662,115,6462,7983,1090,6893,634841,7842,4885,3611,179,7628,1522,1240,23,0,27,0,12,316,8,0,199,7,0,32,0,7,0,4,0,0,20,0,0,0,3,23,0,2,0,0,25,5,0,0,0,44,0,0,0,0,0,0,0,483,49,7,0,1,6,0,0,0,0,142,84,2662,329,0,0,114,4,467,738,4,3,177,291,95,0,0,18,2,50,0,0,40,152,0,132,46,115,57,2,0,1,35,0,0,0,0,17,3,5202,3899,154,0,224,5,14,1741,33,5,318,25,0,98,16,20,34,34,0,0,119,0,0,6,21,59,0,35,0,0,102,5,0,9,0,160,0,0,0,0,0,0,0,662,235,17,0,6,11,0,0,0,0,1051,3671,435,0,0,115,4,569,1038,4,3,324,390,98,26,2,18,2,149,0,0,97,169,0,228,183,93,8,0,1,40,0,3,0,0,38,650817,642834,627130,4943,1522,2662,115,6462,7983,1090,6893,7802,2511,3180,854,72,1185,177,4
