SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,KS,20,,,,,04000US20,Kansas,2892987,2464566,168402,24022,75653,1796,63183,95365,10092,85273,2551542,209987,61363,93239,5063,74298,24022,18899,185,23,68,65,91,5305,160,94,299,1185,0,259,0,662,25,324,18,14,400,63,16,6,426,1365,457,11,21,48,2444,123,0,136,100,1057,17,2,0,0,2,39,0,3389,520,428,3,146,45,154,0,80,0,3220,955,75653,14992,924,166,2413,1405,12295,5709,1575,350,2131,4727,4262,160,87,876,11,1422,477,1302,1376,16467,11,857,1658,1796,393,367,25,0,481,16,163,41,0,171,139,64367,51208,1046,112,1580,127,95,20655,244,818,799,3352,0,545,129,1991,76,516,39,34,1025,218,16,20,932,1874,977,46,21,48,4412,211,0,451,159,2103,67,64,5,113,2,98,4,6184,1435,562,12,146,146,166,0,92,37,11125,95509,16519,943,205,2560,1810,14887,10154,1598,496,4916,7241,5215,304,94,880,41,1725,509,1446,2682,18170,38,3076,5272,1194,725,25,42,1163,37,227,41,0,1818,2892987,2797622,2464566,168402,24022,75653,1796,63183,95365,10092,85273,88626,30772,28814,12377,3251,13412,6340,399
40,KS,20,,,,,04001US20,Kansas -- Urban,2152306,1766602,161382,16726,72097,1461,56148,77890,8716,69174,1836744,197951,44496,87207,4244,65789,16726,12806,155,5,40,20,42,3381,130,76,240,797,0,243,0,541,24,198,13,12,327,56,14,6,292,1241,169,10,21,43,1374,123,0,127,58,901,17,0,0,0,0,39,0,2071,439,253,0,54,29,142,0,28,0,2533,695,72097,14632,745,166,2413,1315,11888,4683,1533,310,1915,4453,4128,160,83,865,11,1403,477,1300,1211,15942,11,831,1622,1461,267,303,25,0,379,16,156,41,0,140,134,46674,36114,776,82,1305,20,42,14127,196,680,588,2543,0,428,119,1483,50,264,34,21,813,147,14,6,682,1706,595,37,21,43,2465,188,0,401,78,1688,52,61,0,110,0,85,4,4160,1182,375,9,54,130,154,0,28,37,8966,89370,16093,764,205,2560,1700,14138,8403,1556,451,4154,6777,5033,304,90,869,28,1672,509,1444,2284,17487,38,2811,4438,869,633,25,42,1010,31,217,41,0,1570,2152306,2074416,1766602,161382,16726,72097,1461,56148,77890,8716,69174,71955,26709,20020,10496,3054,11676,5635,300
40,KS,20,,,,,04043US20,Kansas -- Rural,740681,697964,7020,7296,3556,335,7035,17475,1376,16099,714798,12036,16867,6032,819,8509,7296,6093,30,18,28,45,49,1924,30,18,59,388,0,16,0,121,1,126,5,2,73,7,2,0,134,124,288,1,0,5,1070,0,0,9,42,156,0,2,0,0,2,0,0,1318,81,175,3,92,16,12,0,52,0,687,260,3556,360,179,0,0,90,407,1026,42,40,216,274,134,0,4,11,0,19,0,2,165,525,0,26,36,335,126,64,0,0,102,0,7,0,0,31,5,17693,15094,270,30,275,107,53,6528,48,138,211,809,0,117,10,508,26,252,5,13,212,71,2,14,250,168,382,9,0,5,1947,23,0,50,81,415,15,3,5,3,2,13,0,2024,253,187,3,92,16,12,0,64,0,2159,6139,426,179,0,0,110,749,1751,42,45,762,464,182,0,4,11,13,53,0,2,398,683,0,265,834,325,92,0,0,153,6,10,0,0,248,740681,723206,697964,7020,7296,3556,335,7035,17475,1376,16099,16671,4063,8794,1881,197,1736,705,99
40,KS,20,,,,,040A0US20,Kansas -- In metropolitan or micropolitan statistical area,2495395,2092176,164630,19928,74132,1608,56244,86677,9332,77345,2170842,203641,52146,90878,4745,66552,19928,15309,161,23,56,65,91,4273,144,82,280,929,0,220,0,610,24,230,13,12,268,57,14,6,269,1294,379,10,12,43,2277,106,0,118,59,758,0,0,0,0,0,39,0,2387,474,420,2,145,44,149,0,80,0,2930,795,74132,14903,919,166,2362,1383,12064,5092,1573,347,2035,4584,4239,160,83,876,11,1419,477,1299,1312,16369,11,839,1609,1608,316,346,25,0,412,16,163,41,0,155,134,54672,42980,898,100,1351,121,95,17350,201,754,750,2830,0,487,116,1828,54,360,28,21,765,189,14,20,682,1756,876,39,12,43,4012,171,0,429,114,1663,35,61,5,110,0,85,4,4551,1267,554,11,145,145,161,0,92,37,9834,93053,16369,938,205,2509,1768,14528,9246,1596,493,4674,6963,5154,304,90,880,41,1709,509,1443,2575,18052,38,2969,4945,1066,694,25,42,1061,31,227,41,0,1758,2495395,2408718,2092176,164630,19928,74132,1608,56244,86677,9332,77345,80326,28789,24160,11721,3102,12554,5970,381
40,KS,20,,,,,040C0US20,Kansas -- In metropolitan statistical area,1941587,1612958,144858,15414,65544,1094,33718,68001,6954,61047,1674635,175641,40153,79512,3476,41501,15414,11776,73,22,29,65,3,2679,134,82,264,713,0,170,0,548,24,184,6,10,249,45,14,0,182,1112,256,1,12,43,2059,72,0,90,47,688,0,0,0,0,0,39,0,1861,445,392,0,123,44,145,0,80,0,2128,673,65544,14260,890,166,1661,1328,10839,4217,1559,305,1677,3810,3377,153,83,827,11,1263,456,1120,1125,14429,11,596,1381,1094,240,170,25,0,270,0,78,41,0,151,119,41986,32469,564,99,892,121,3,12099,180,594,653,2349,0,361,116,1598,50,254,17,19,656,149,14,14,436,1468,601,8,12,43,3704,129,0,326,53,1450,35,16,5,54,0,85,0,3242,1066,526,9,123,145,157,0,92,37,7888,81430,15571,909,205,1775,1713,13056,7610,1582,446,3747,5778,4092,287,90,831,17,1539,488,1254,2128,15918,38,2356,3619,838,438,25,32,879,0,100,41,0,1266,1941587,1873586,1612958,144858,15414,65544,1094,33718,68001,6954,61047,62986,22574,18251,10136,2684,9341,4700,315
40,KS,20,,,,,040C1US20,Kansas -- In metropolitan statistical area -- in principal city,992212,756105,111990,9084,47761,632,26084,40556,4705,35851,792039,131865,22693,55895,2025,31364,9084,6864,51,5,26,20,0,1327,130,63,110,467,0,84,0,301,24,133,6,0,147,41,7,0,98,894,76,1,12,43,990,72,0,41,47,458,0,0,0,0,0,39,0,1151,381,184,0,32,0,126,0,26,0,1328,327,47761,9738,501,166,1661,1084,7915,2472,1291,230,1003,2400,1721,132,71,592,11,1110,428,817,766,12072,0,540,1040,632,154,90,5,0,108,0,78,0,0,90,107,23674,17930,301,82,593,20,0,6494,150,346,226,1197,0,212,96,1029,48,172,11,0,398,83,7,0,230,1056,296,1,12,43,1743,108,0,147,53,885,35,16,0,9,0,85,0,1746,779,270,0,32,86,126,0,26,37,4658,57196,10579,501,205,1775,1422,9028,4152,1301,371,1991,3628,2319,189,78,596,17,1325,446,832,1359,13097,27,1958,2132,312,257,5,11,619,0,100,0,0,828,992212,951656,756105,111990,9084,47761,632,26084,40556,4705,35851,37595,14146,9365,5740,2042,6302,2809,152
40,KS,20,,,,,040C2US20,Kansas -- In metropolitan statistical area -- not in principal city,949375,856853,32868,6330,17783,462,7634,27445,2249,25196,882596,43776,17460,23617,1451,10137,6330,4912,22,17,3,45,3,1352,4,19,154,246,0,86,0,247,0,51,0,10,102,4,7,0,84,218,180,0,0,0,1069,0,0,49,0,230,0,0,0,0,0,0,0,710,64,208,0,91,44,19,0,54,0,800,346,17783,4522,389,0,0,244,2924,1745,268,75,674,1410,1656,21,12,235,0,153,28,303,359,2357,11,56,341,462,86,80,20,0,162,0,0,41,0,61,12,18312,14539,263,17,299,101,3,5605,30,248,427,1152,0,149,20,569,2,82,6,19,258,66,7,14,206,412,305,7,0,0,1961,21,0,179,0,565,0,0,5,45,0,0,0,1496,287,256,9,91,59,31,0,66,0,3230,24234,4992,408,0,0,291,4028,3458,281,75,1756,2150,1773,98,12,235,0,214,42,422,769,2821,11,398,1487,526,181,20,21,260,0,0,41,0,438,949375,921930,856853,32868,6330,17783,462,7634,27445,2249,25196,25391,8428,8886,4396,642,3039,1891,163
40,KS,20,,,,,040E0US20,Kansas -- In micropolitan statistical area,553808,479218,19772,4514,8588,514,22526,18676,2378,16298,496207,28000,11993,11366,1269,25051,4514,3533,88,1,27,0,88,1594,10,0,16,216,0,50,0,62,0,46,7,2,19,12,0,6,87,182,123,9,0,0,218,34,0,28,12,70,0,0,0,0,0,0,0,526,29,28,2,22,0,4,0,0,0,802,122,8588,643,29,0,701,55,1225,875,14,42,358,774,862,7,0,49,0,156,21,179,187,1940,0,243,228,514,76,176,0,0,142,16,85,0,0,4,15,12686,10511,334,1,459,0,92,5251,21,160,97,481,0,126,0,230,4,106,11,2,109,40,0,6,246,288,275,31,0,0,308,42,0,103,61,213,0,45,0,56,0,0,4,1309,201,28,2,22,0,4,0,0,0,1946,11623,798,29,0,734,55,1472,1636,14,47,927,1185,1062,17,0,49,24,170,21,189,447,2134,0,613,1326,228,256,0,10,182,31,127,0,0,492,553808,535132,479218,19772,4514,8588,514,22526,18676,2378,16298,17340,6215,5909,1585,418,3213,1270,66
40,KS,20,,,,,040E1US20,Kansas -- In micropolitan statistical area -- in principal city,353545,294516,17014,2638,7661,397,18684,12635,1966,10669,305730,23132,7021,9615,922,20744,2638,1858,69,0,0,0,42,688,0,0,16,51,0,33,0,29,0,6,3,2,13,12,0,6,22,147,41,9,0,0,136,34,0,27,11,41,0,0,0,0,0,0,0,420,25,26,0,22,0,4,0,0,0,642,87,7661,585,29,0,701,50,1113,625,0,11,302,713,805,7,0,49,0,156,21,179,103,1811,0,209,192,397,0,176,0,0,112,16,78,0,0,0,15,7453,5929,201,0,330,0,42,2517,4,120,53,223,0,69,0,83,0,24,7,2,27,20,0,6,120,253,129,31,0,0,165,42,0,98,25,165,0,45,0,56,0,0,4,1068,62,26,0,22,0,4,0,0,0,1436,9833,679,29,0,734,50,1255,1222,0,11,626,1025,970,17,0,49,0,156,21,189,291,1979,0,530,979,132,256,0,10,133,31,117,0,0,300,353545,340910,294516,17014,2638,7661,397,18684,12635,1966,10669,11679,4479,3157,1017,381,2645,928,28
40,KS,20,,,,,040E2US20,Kansas -- In micropolitan statistical area -- not in principal city,200263,184702,2758,1876,927,117,3842,6041,412,5629,190477,4868,4972,1751,347,4307,1876,1675,19,1,27,0,46,906,10,0,0,165,0,17,0,33,0,40,4,0,6,0,0,0,65,35,82,0,0,0,82,0,0,1,1,29,0,0,0,0,0,0,0,106,4,2,2,0,0,0,0,0,0,160,35,927,58,0,0,0,5,112,250,14,31,56,61,57,0,0,0,0,0,0,0,84,129,0,34,36,117,76,0,0,0,30,0,7,0,0,4,0,5233,4582,133,1,129,0,50,2734,17,40,44,258,0,57,0,147,4,82,4,0,82,20,0,0,126,35,146,0,0,0,143,0,0,5,36,48,0,0,0,0,0,0,0,241,139,2,2,0,0,0,0,0,0,510,1790,119,0,0,0,5,217,414,14,36,301,160,92,0,0,0,24,14,0,0,156,155,0,83,347,96,0,0,0,49,0,10,0,0,192,200263,194222,184702,2758,1876,927,117,3842,6041,412,5629,5661,1736,2752,568,37,568,342,38
