SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,MA,25,,,,,04000US25,Massachusetts,6705586,5334859,478947,13189,400675,1644,281595,194677,33178,161499,5505449,583006,45803,451743,8915,318379,13189,7953,103,0,145,48,387,974,15,53,131,29,0,47,6,0,44,23,0,0,200,0,40,0,641,135,6,0,0,0,6,43,0,56,0,163,1068,103,17,2,0,0,0,3468,887,159,12,16,80,44,0,7,11,3797,382,400675,86775,2496,932,577,29526,144633,12219,862,1132,10119,26421,3764,512,175,5601,18,5979,1089,4603,3195,47240,115,3623,9069,1644,624,184,12,17,349,16,16,23,0,403,0,47402,30641,497,37,2429,359,667,7084,134,132,388,449,29,127,215,276,164,159,75,0,1819,31,106,53,1065,321,145,2,5,0,45,71,0,227,153,873,2055,148,17,2,0,9,0,10273,2284,331,60,39,131,67,0,34,11,14135,463125,95343,2638,1125,811,32943,161934,19923,971,1828,17299,31898,4423,884,249,5890,71,6868,1378,5155,4260,52944,258,14032,9053,2371,464,59,51,788,16,68,96,6,5134,6705586,6510909,5334859,478947,13189,400675,1644,281595,194677,33178,161499,182722,79023,20130,38916,4419,40234,10964,991
40,MA,25,,,,,04001US25,Massachusetts -- Urban,6166122,4821219,473202,12448,392477,1541,278729,186506,32067,154439,4984156,574878,42779,440718,8524,314367,12448,7375,102,0,118,38,387,905,10,53,127,24,0,47,6,0,44,23,0,0,118,0,40,0,614,125,6,0,0,0,6,43,0,56,0,112,1032,103,17,0,0,0,0,3219,795,157,12,16,78,44,0,7,11,3745,365,392477,85386,2496,932,571,29247,141810,11670,748,1052,9634,25458,3683,496,163,5569,18,5860,1005,4503,3131,46435,115,3569,8926,1541,624,129,12,17,344,16,16,23,0,360,0,44306,28281,480,29,2298,324,661,6672,121,132,355,444,29,127,204,182,93,159,75,0,1481,31,106,53,1037,305,136,2,5,0,45,71,0,227,134,816,1940,148,17,0,0,9,0,9333,2093,319,60,39,129,57,0,34,11,13602,451902,93604,2638,1125,805,32619,158307,19027,857,1643,16270,30580,4330,828,237,5848,67,6721,1294,5010,4181,52008,258,13645,8656,2210,409,59,51,747,16,68,96,6,4994,6166122,5979616,4821219,473202,12448,392477,1541,278729,186506,32067,154439,174778,77185,18202,36322,4243,38826,10748,980
40,MA,25,,,,,04043US25,Massachusetts -- Rural,539464,513640,5745,741,8198,103,2866,8171,1111,7060,521293,8128,3024,11025,391,4012,741,578,1,0,27,10,0,69,5,0,4,5,0,0,0,0,0,0,0,0,82,0,0,0,27,10,0,0,0,0,0,0,0,0,0,51,36,0,0,2,0,0,0,249,92,2,0,0,2,0,0,0,0,52,17,8198,1389,0,0,6,279,2823,549,114,80,485,963,81,16,12,32,0,119,84,100,64,805,0,54,143,103,0,55,0,0,5,0,0,0,0,43,0,3096,2360,17,8,131,35,6,412,13,0,33,5,0,0,11,94,71,0,0,0,338,0,0,0,28,16,9,0,0,0,0,0,0,0,19,57,115,0,0,2,0,0,0,940,191,12,0,0,2,10,0,0,0,533,11223,1739,0,0,6,324,3627,896,114,185,1029,1318,93,56,12,42,4,147,84,145,79,936,0,387,397,161,55,0,0,41,0,0,0,0,140,539464,531293,513640,5745,741,8198,103,2866,8171,1111,7060,7944,1838,1928,2594,176,1408,216,11
40,MA,25,,,,,040A0US25,Massachusetts -- In metropolitan or micropolitan statistical area,6695030,5325812,477952,13184,400555,1644,281393,194490,33149,161341,5496234,581933,45719,451578,8915,318148,13184,7953,103,0,145,48,387,974,15,53,131,29,0,47,6,0,44,23,0,0,200,0,40,0,641,135,6,0,0,0,6,43,0,56,0,163,1068,103,17,2,0,0,0,3468,887,159,12,16,80,44,0,7,11,3792,382,400555,86775,2496,932,577,29524,144553,12214,862,1132,10119,26410,3764,512,175,5601,18,5979,1089,4603,3178,47240,115,3618,9069,1644,624,184,12,17,349,16,16,23,0,403,0,47318,30581,497,37,2429,359,667,7046,134,119,388,440,29,127,215,276,164,159,75,0,1819,31,106,53,1065,321,145,2,5,0,45,71,0,227,153,873,2055,148,17,2,0,9,0,10273,2284,331,60,39,131,67,0,34,11,14111,462960,95343,2638,1125,811,32941,161854,19913,971,1828,17299,31873,4423,884,249,5890,71,6868,1378,5155,4224,52944,258,14020,9053,2371,464,59,51,788,16,68,96,6,5134,6695030,6500540,5325812,477952,13184,400555,1644,281393,194490,33149,161341,182560,78970,20095,38890,4419,40186,10939,991
40,MA,25,,,,,040C0US25,Massachusetts -- In metropolitan statistical area,6606838,5243231,476464,12870,399264,1628,280630,192751,32902,159849,5412110,579769,44727,449849,8858,317129,12870,7722,103,0,145,48,387,944,15,53,131,24,0,47,6,0,44,23,0,0,173,0,40,0,636,130,6,0,0,0,6,43,0,56,0,163,1048,103,17,0,0,0,0,3331,826,159,12,16,80,44,0,7,11,3774,378,399264,86687,2496,932,577,29428,144170,12093,862,1132,10074,26210,3763,502,175,5483,18,5942,1089,4603,3136,47126,115,3618,9033,1628,608,184,12,17,349,16,16,23,0,403,0,46324,29900,497,29,2402,351,667,6871,130,119,388,422,29,127,215,276,164,159,75,0,1713,31,106,53,1060,316,145,2,5,0,45,71,0,227,153,873,2023,148,17,0,0,9,0,9982,2166,331,60,39,131,67,0,34,11,13916,461192,95205,2638,1125,811,32837,161369,19734,971,1799,17200,31547,4410,859,249,5772,71,6818,1378,5155,4182,52830,258,13974,8990,2338,464,59,51,788,16,68,96,6,5104,6606838,6414087,5243231,476464,12870,399264,1628,280630,192751,32902,159849,180975,78581,19652,38524,4336,39882,10785,991
40,MA,25,,,,,040C1US25,Massachusetts -- In metropolitan statistical area -- in principal city,1404599,879484,248160,4508,119481,318,95308,57340,10535,46805,928070,282933,12226,133549,2479,107052,4508,2228,36,0,64,0,71,296,0,0,16,9,0,8,0,0,44,23,0,0,41,0,18,0,205,44,0,0,0,0,0,21,0,44,0,0,431,74,17,0,0,0,0,766,410,5,0,0,5,0,0,0,11,1757,97,119481,19850,1080,595,165,1929,49400,2820,70,238,3162,8750,474,135,109,1527,0,1631,356,1932,1062,21180,111,677,2228,318,141,9,12,17,18,0,0,23,0,98,0,12535,7498,196,23,570,24,99,1793,3,6,51,176,18,64,18,39,79,50,8,0,279,31,25,0,429,104,23,0,0,0,21,21,0,44,8,94,811,74,17,0,0,0,0,2300,631,87,10,23,46,0,0,8,11,4308,136988,22643,1097,612,289,2158,54503,5101,104,468,5152,9864,589,299,115,1570,0,1855,394,2180,1230,22553,245,3967,2592,589,99,27,29,145,0,8,96,6,1593,1404599,1347259,879484,248160,4508,119481,318,95308,57340,10535,46805,53619,25357,3581,10045,1906,12730,3135,586
40,MA,25,,,,,040C2US25,Massachusetts -- In metropolitan statistical area -- not in principal city,5202239,4363747,228304,8362,279783,1310,185322,135411,22367,113044,4484040,296836,32501,316300,6379,210077,8362,5494,67,0,81,48,316,648,15,53,115,15,0,39,6,0,0,0,0,0,132,0,22,0,431,86,6,0,0,0,6,22,0,12,0,163,617,29,0,0,0,0,0,2565,416,154,12,16,75,44,0,7,0,2017,281,279783,66837,1416,337,412,27499,94770,9273,792,894,6912,17460,3289,367,66,3956,18,4311,733,2671,2074,25946,4,2941,6805,1310,467,175,0,0,331,16,16,0,0,305,0,33789,22402,301,6,1832,327,568,5078,127,113,337,246,11,63,197,237,85,109,67,0,1434,0,81,53,631,212,122,2,5,0,24,50,0,183,145,779,1212,74,0,0,0,9,0,7682,1535,244,50,16,85,67,0,26,0,9608,324204,72562,1541,513,522,30679,106866,14633,867,1331,12048,21683,3821,560,134,4202,71,4963,984,2975,2952,30277,13,10007,6398,1749,365,32,22,643,16,60,0,0,3511,5202239,5066828,4363747,228304,8362,279783,1310,185322,135411,22367,113044,127356,53224,16071,28479,2430,27152,7650,405
40,MA,25,,,,,040E0US25,Massachusetts -- In micropolitan statistical area,88192,82581,1488,314,1291,16,763,1739,247,1492,84124,2164,992,1729,57,1019,314,231,0,0,0,0,0,30,0,0,0,5,0,0,0,0,0,0,0,0,27,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,20,0,0,2,0,0,0,137,61,0,0,0,0,0,0,0,0,18,4,1291,88,0,0,0,96,383,121,0,0,45,200,1,10,0,118,0,37,0,0,42,114,0,0,36,16,16,0,0,0,0,0,0,0,0,0,0,994,681,0,8,27,8,0,175,4,0,0,18,0,0,0,0,0,0,0,0,106,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,291,118,0,0,0,0,0,0,0,0,195,1768,138,0,0,0,104,485,179,0,29,99,326,13,25,0,118,0,50,0,0,42,114,0,46,63,33,0,0,0,0,0,0,0,0,30,88192,86453,82581,1488,314,1291,16,763,1739,247,1492,1585,389,443,366,83,304,154,0
40,MA,25,,,,,040E1US25,Massachusetts -- In micropolitan statistical area -- in principal city,19737,18176,487,14,275,16,282,487,126,361,18560,661,128,451,16,408,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,28,0,0,0,0,122,37,0,0,14,44,0,10,0,0,0,0,0,0,0,20,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,128,63,0,0,14,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,65,451,28,0,0,0,0,142,64,0,0,14,144,12,10,0,0,0,0,0,0,0,20,0,17,16,16,0,0,0,0,0,0,0,0,0,19737,19250,18176,487,14,275,16,282,487,126,361,487,88,85,139,29,146,0,0
40,MA,25,,,,,040E2US25,Massachusetts -- In micropolitan statistical area -- not in principal city,68455,64405,1001,300,1016,0,481,1252,121,1131,65564,1503,864,1278,41,611,300,217,0,0,0,0,0,30,0,0,0,5,0,0,0,0,0,0,0,0,13,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,20,0,0,2,0,0,0,137,61,0,0,0,0,0,0,0,0,18,4,1016,60,0,0,0,96,261,84,0,0,31,156,1,0,0,118,0,37,0,0,42,94,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,866,618,0,8,13,0,0,172,4,0,0,18,0,0,0,0,0,0,0,0,88,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,271,118,0,0,0,0,0,0,0,0,130,1317,110,0,0,0,104,343,115,0,29,85,182,1,15,0,118,0,50,0,0,42,94,0,29,47,17,0,0,0,0,0,0,0,0,30,68455,67203,64405,1001,300,1016,0,481,1252,121,1131,1098,301,358,227,54,158,154,0
