SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,MD,24,,,,,04000US24,Maryland,5930538,3416107,1750916,15579,357616,2754,211914,175652,20414,155238,3558054,1848257,58236,415223,9523,234973,15579,10136,157,0,535,162,193,1919,48,23,270,166,0,132,7,149,3,152,19,0,160,0,769,0,1131,442,99,4,0,87,29,78,0,12,0,161,644,79,13,5,0,9,0,2479,918,250,18,13,149,70,0,0,0,3816,459,357616,87575,4183,269,4356,2187,75739,50252,114,2476,7226,49308,983,202,262,5731,0,19035,2908,4211,3826,27160,47,3655,5911,2754,916,345,57,87,687,10,108,12,9,363,160,60523,39662,783,59,3483,229,692,14705,161,382,686,659,0,243,59,536,82,483,45,0,1104,19,1935,18,2480,705,178,19,0,138,76,123,48,529,42,703,1830,175,13,47,35,24,26,6108,3130,619,124,13,262,212,0,8,11,17101,423527,96057,4597,329,4693,2744,88027,65114,156,3343,14602,56920,1318,404,313,6045,93,20395,3187,4717,6018,30645,119,13691,9786,2397,806,139,174,1359,10,292,109,26,4474,5930538,5754886,3416107,1750916,15579,357616,2754,211914,175652,20414,155238,159081,59363,18457,37561,10786,32914,15133,1438
40,MD,24,,,,,04001US24,Maryland -- Urban,5184888,2766551,1687582,14095,344466,2536,207903,161755,19519,142236,2896044,1777955,52654,398134,8990,229949,14095,9109,150,0,481,114,192,1654,48,23,249,151,0,132,7,149,0,124,19,0,131,0,717,0,1119,413,99,4,0,81,29,38,0,0,0,151,603,79,13,0,0,9,0,2130,902,250,18,13,149,70,0,0,0,3422,412,344466,84250,3961,269,4324,1979,72949,48158,114,2458,7037,47175,967,190,262,5731,0,18103,2901,4106,3549,26600,47,3589,5747,2536,826,316,57,87,663,10,63,12,9,333,160,54766,35616,687,59,3064,157,691,13248,161,290,521,595,0,206,59,516,73,388,45,0,959,19,1841,18,2406,629,166,19,0,132,68,83,48,462,42,654,1762,163,13,42,35,24,26,5245,2886,616,121,13,262,212,0,8,11,15637,406207,92192,4375,329,4648,2536,84552,61686,156,3249,13887,54249,1293,366,313,6045,93,19462,3180,4603,5597,30004,119,13273,9253,2197,755,139,174,1241,10,247,109,26,4355,5184888,5023133,2766551,1687582,14095,344466,2536,207903,161755,19519,142236,146030,54309,15663,34481,10068,31509,14434,1291
40,MD,24,,,,,04043US24,Maryland -- Rural,745650,649556,63334,1484,13150,218,4011,13897,895,13002,662010,70302,5582,17089,533,5024,1484,1027,7,0,54,48,1,265,0,0,21,15,0,0,0,0,3,28,0,0,29,0,52,0,12,29,0,0,0,6,0,40,0,12,0,10,41,0,0,5,0,0,0,349,16,0,0,0,0,0,0,0,0,394,47,13150,3325,222,0,32,208,2790,2094,0,18,189,2133,16,12,0,0,0,932,7,105,277,560,0,66,164,218,90,29,0,0,24,0,45,0,0,30,0,5757,4046,96,0,419,72,1,1457,0,92,165,64,0,37,0,20,9,95,0,0,145,0,94,0,74,76,12,0,0,6,8,40,0,67,0,49,68,12,0,5,0,0,0,863,244,3,3,0,0,0,0,0,0,1464,17320,3865,222,0,45,208,3475,3428,0,94,715,2671,25,38,0,0,0,933,7,114,421,641,0,418,533,200,51,0,0,118,0,45,0,0,119,745650,731753,649556,63334,1484,13150,218,4011,13897,895,13002,13051,5054,2794,3080,718,1405,699,147
40,MD,24,,,,,040A0US24,Maryland -- In metropolitan or micropolitan statistical area,5848141,3344248,1743164,15438,357134,2718,211243,174196,20282,153914,3484852,1839666,57696,414515,9452,234147,15438,10016,157,0,529,114,193,1901,48,23,270,166,0,132,7,149,0,124,19,0,160,0,767,0,1131,442,99,4,0,87,29,78,0,12,0,157,633,79,13,5,0,9,0,2479,918,250,18,13,149,70,0,0,0,3795,459,357134,87403,4183,269,4356,2183,75593,50200,114,2476,7198,49274,983,202,262,5731,0,19000,2908,4208,3825,27156,47,3655,5908,2718,909,337,57,87,687,10,94,12,9,356,160,59983,39281,772,59,3472,157,692,14539,161,382,686,648,0,243,59,536,79,453,45,0,1085,19,1933,18,2480,703,178,19,0,138,76,123,48,529,42,695,1819,175,13,47,35,24,26,6073,3130,619,124,13,262,212,0,8,11,16942,422816,95853,4597,329,4693,2740,87868,65003,156,3343,14509,56845,1318,404,313,6045,93,20359,3187,4714,6017,30634,119,13677,9715,2375,798,139,174,1359,10,278,109,26,4447,5848141,5673945,3344248,1743164,15438,357134,2718,211243,174196,20282,153914,157710,58695,18201,37362,10692,32760,15048,1438
40,MD,24,,,,,040C0US24,Maryland -- In metropolitan statistical area,5777808,3291411,1729553,15382,356246,2695,210354,172167,19713,152454,3430078,1825338,56879,413500,9420,232682,15382,9982,150,0,529,114,193,1874,48,23,270,166,0,132,7,149,0,124,19,0,160,0,767,0,1131,442,99,4,0,87,29,78,0,12,0,157,633,79,13,5,0,9,0,2479,918,250,18,13,149,70,0,0,0,3785,447,356246,87310,4183,269,4356,2183,75432,50023,114,2476,7150,49219,983,202,262,5731,0,18764,2908,4205,3752,27120,47,3655,5902,2695,886,337,57,87,687,10,94,12,9,356,160,59059,38581,728,59,3366,157,692,14260,130,382,686,648,0,206,59,536,79,428,45,0,1085,19,1913,18,2480,695,166,19,0,138,76,123,48,529,42,695,1819,175,13,47,35,24,26,5935,3116,619,124,13,262,212,0,8,11,16732,421795,95754,4597,329,4693,2740,87705,64732,156,3343,14461,56775,1318,404,313,6045,93,20117,3187,4711,5944,30598,119,13661,9683,2352,798,139,174,1350,10,278,109,26,4447,5777808,5605641,3291411,1729553,15382,356246,2695,210354,172167,19713,152454,155750,58125,17587,37242,10614,32182,14979,1438
40,MD,24,,,,,040C1US24,Maryland -- In metropolitan statistical area -- in principal city,1236905,569595,505615,3359,77934,678,41815,37909,4321,33588,600214,526845,12861,89846,2631,46689,3359,2466,105,0,307,0,131,588,16,16,85,46,0,52,0,0,0,16,0,0,74,0,117,0,175,56,11,4,0,0,0,0,0,0,0,44,112,65,0,0,0,9,0,437,149,28,0,0,0,28,0,0,0,675,41,77934,17553,932,181,1229,548,20340,8076,0,476,2252,10568,178,76,18,1888,0,2758,770,1450,907,5170,24,880,1660,678,331,55,0,0,150,10,0,6,0,117,9,13262,9004,234,0,1067,19,224,3445,42,163,114,230,0,81,9,63,33,93,14,0,297,19,471,7,379,170,45,4,0,0,15,19,20,128,38,186,274,65,0,12,35,9,0,980,651,188,5,0,91,92,0,0,0,3419,92036,19324,1090,181,1353,654,23447,10459,0,630,4306,12192,211,132,42,2059,0,2895,918,1655,1147,6019,46,3276,2672,836,183,0,46,221,10,29,103,0,1244,1236905,1198996,569595,505615,3359,77934,678,41815,37909,4321,33588,34014,12755,3724,8068,2644,6823,3525,370
40,MD,24,,,,,040C2US24,Maryland -- In metropolitan statistical area -- not in principal city,4540903,2721816,1223938,12023,278312,2017,168539,134258,15392,118866,2829864,1298493,44018,323654,6789,185993,12023,7516,45,0,222,114,62,1286,32,7,185,120,0,80,7,149,0,108,19,0,86,0,650,0,956,386,88,0,0,87,29,78,0,12,0,113,521,14,13,5,0,0,0,2042,769,222,18,13,149,42,0,0,0,3110,406,278312,69757,3251,88,3127,1635,55092,41947,114,2000,4898,38651,805,126,244,3843,0,16006,2138,2755,2845,21950,23,2775,4242,2017,555,282,57,87,537,0,94,6,9,239,151,45797,29577,494,59,2299,138,468,10815,88,219,572,418,0,125,50,473,46,335,31,0,788,0,1442,11,2101,525,121,15,0,138,61,104,28,401,4,509,1545,110,13,35,0,15,26,4955,2465,431,119,13,171,120,0,8,11,13313,329759,76430,3507,148,3340,2086,64258,54273,156,2713,10155,44583,1107,272,271,3986,93,17222,2269,3056,4797,24579,73,10385,7011,1516,615,139,128,1129,0,249,6,26,3203,4540903,4406645,2721816,1223938,12023,278312,2017,168539,134258,15392,118866,121736,45370,13863,29174,7970,25359,11454,1068
40,MD,24,,,,,040E0US24,Maryland -- In micropolitan statistical area,70333,52837,13611,56,888,23,889,2029,569,1460,54774,14328,817,1015,32,1465,56,34,7,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,888,93,0,0,0,0,161,177,0,0,48,55,0,0,0,0,0,236,0,3,73,36,0,0,6,23,23,0,0,0,0,0,0,0,0,0,0,924,700,44,0,106,0,0,279,31,0,0,0,0,37,0,0,0,25,0,0,0,0,20,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,14,0,0,0,0,0,0,0,0,210,1021,99,0,0,0,0,163,271,0,0,48,70,0,0,0,0,0,242,0,3,73,36,0,16,32,23,0,0,0,9,0,0,0,0,0,70333,68304,52837,13611,56,888,23,889,2029,569,1460,1960,570,614,120,78,578,69,0
40,MD,24,,,,,040E1US24,Maryland -- In micropolitan statistical area -- in principal city,29133,18398,8508,22,552,0,364,1289,497,792,19621,8909,504,559,0,868,22,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,552,80,0,0,0,0,76,153,0,0,10,0,0,0,0,0,0,227,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,527,406,0,0,71,0,0,209,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,13,0,0,0,0,0,0,0,0,108,565,86,0,0,0,0,76,153,0,0,10,0,0,0,0,0,0,233,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,29133,27844,18398,8508,22,552,0,364,1289,497,792,1250,310,384,0,59,497,39,0
40,MD,24,,,,,040E2US24,Maryland -- In micropolitan statistical area -- not in principal city,41200,34439,5103,34,336,23,525,740,72,668,35153,5419,313,456,32,597,34,22,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,336,13,0,0,0,0,85,24,0,0,38,55,0,0,0,0,0,9,0,3,73,36,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,397,294,44,0,35,0,0,70,0,0,0,0,0,37,0,0,0,25,0,0,0,0,20,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,0,0,102,456,13,0,0,0,0,87,118,0,0,38,70,0,0,0,0,0,9,0,3,73,36,0,9,32,23,0,0,0,9,0,0,0,0,0,41200,40460,34439,5103,34,336,23,525,740,72,668,710,260,230,120,19,81,30,0
