SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,ME,23,,,,,04000US23,Maine,1329100,1262026,15037,7811,14590,187,3151,26298,884,25414,1287149,21999,22021,20520,989,4184,7811,6338,27,0,84,96,43,117,0,3,139,38,0,2,11,2,2,0,0,0,90,0,11,0,39,34,0,0,0,0,0,0,0,34,5,113,0,0,0,0,0,9,0,5439,201,66,0,9,57,0,0,0,24,1038,144,14590,2006,16,0,60,1233,3225,2241,0,3,716,1174,39,0,20,15,6,211,32,161,572,2029,46,389,396,187,62,23,0,0,58,11,10,12,0,10,1,22436,15186,166,39,606,249,43,1826,84,7,272,100,0,28,17,53,133,21,0,0,331,0,22,31,57,53,0,0,0,0,16,2,10,57,5,256,66,0,6,9,0,15,0,10606,536,96,0,9,57,30,0,0,24,6594,21399,2181,48,0,60,1590,4681,3891,10,60,1439,2097,107,11,22,16,6,222,32,169,735,2591,52,1379,1003,334,34,0,197,150,11,15,20,3,239,1329100,1302802,1262026,15037,7811,14590,187,3151,26298,884,25414,24942,5351,12729,4877,344,1641,1248,108
40,ME,23,,,,,04001US23,Maine -- Urban,510609,470870,11678,2847,9824,81,1544,13765,494,13271,483765,16063,9440,13442,511,2121,2847,2172,14,0,5,23,43,35,0,0,44,36,0,0,11,0,0,0,0,0,57,0,11,0,17,14,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,9,0,1808,128,52,0,0,52,0,0,0,24,415,56,9824,1639,16,0,0,787,2205,1379,0,3,495,598,39,0,20,15,0,32,20,63,147,1782,46,342,196,81,18,2,0,0,41,11,0,8,0,0,1,9601,6212,113,39,236,50,43,950,84,0,123,36,0,19,17,20,127,3,0,0,108,0,20,31,30,14,0,0,0,0,0,0,0,9,0,63,51,0,6,0,0,15,0,4005,309,70,0,0,52,18,0,0,24,2986,14016,1702,48,0,0,1061,3062,2376,0,29,966,957,64,0,22,16,0,43,20,63,205,2071,52,1259,523,69,2,0,197,83,11,1,8,0,152,510609,496844,470870,11678,2847,9824,81,1544,13765,494,13271,12893,3303,5618,2802,271,899,776,96
40,ME,23,,,,,04043US23,Maine -- Rural,818491,791156,3359,4964,4766,106,1607,12533,390,12143,803384,5936,12581,7078,478,2063,4964,4166,13,0,79,73,0,82,0,3,95,2,0,2,0,2,2,0,0,0,33,0,0,0,22,20,0,0,0,0,0,0,0,34,5,68,0,0,0,0,0,0,0,3631,73,14,0,9,5,0,0,0,0,623,88,4766,367,0,0,60,446,1020,862,0,0,221,576,0,0,0,0,6,179,12,98,425,247,0,47,200,106,44,21,0,0,17,0,10,4,0,10,0,12835,8974,53,0,370,199,0,876,0,7,149,64,0,9,0,33,6,18,0,0,223,0,2,0,27,39,0,0,0,0,16,2,10,48,5,193,15,0,0,9,0,0,0,6601,227,26,0,9,5,12,0,0,0,3608,7383,479,0,0,60,529,1619,1515,10,31,473,1140,43,11,0,0,6,179,12,106,530,520,0,120,480,265,32,0,0,67,0,14,12,3,87,818491,805958,791156,3359,4964,4766,106,1607,12533,390,12143,12049,2048,7111,2075,73,742,472,12
40,ME,23,,,,,040A0US23,Maine -- In metropolitan or micropolitan statistical area,902835,851892,12971,3994,11954,102,2438,19484,608,18876,870372,18363,14172,16674,700,3168,3994,2978,14,0,34,47,43,71,0,0,121,38,0,0,11,0,0,0,0,0,83,0,11,0,32,27,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,9,0,2362,160,52,0,0,52,0,0,0,9,716,79,11954,1688,16,0,60,1113,2497,1845,0,3,575,953,39,0,20,15,0,187,32,144,252,1800,0,328,387,102,17,22,0,0,30,11,10,8,0,4,0,14491,8958,121,39,430,128,43,1347,84,0,223,73,0,24,17,5,127,3,0,0,178,0,20,31,45,44,0,0,0,0,0,0,0,9,0,195,61,0,6,0,0,15,0,5690,355,70,0,0,52,18,0,0,9,5099,17544,1816,48,0,60,1462,3777,3108,0,29,1122,1717,107,0,22,16,0,187,32,144,356,2326,6,1209,712,228,33,0,197,72,11,10,8,0,153,902835,883351,851892,12971,3994,11954,102,2438,19484,608,18876,18450,4099,9054,3784,313,1200,938,96
40,ME,23,,,,,040C0US23,Maine -- In metropolitan statistical area,781723,735617,12014,3167,11020,87,1946,17872,586,17286,752745,17056,12483,15229,500,2643,3167,2460,14,0,34,47,43,51,0,0,107,9,0,0,11,0,0,0,0,0,50,0,0,0,14,27,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,9,0,1969,59,52,0,0,52,0,0,0,9,522,65,11020,1551,16,0,60,987,2209,1672,0,3,472,907,39,0,20,15,0,187,32,144,252,1772,0,303,379,87,13,11,0,0,30,11,10,8,0,4,0,12740,7747,121,39,366,99,43,1234,84,0,209,37,0,24,17,0,127,0,0,0,142,0,9,0,27,44,0,0,0,0,0,0,0,9,0,186,61,0,6,0,0,15,0,4848,210,70,0,0,52,18,0,0,9,4704,16091,1676,48,0,60,1336,3431,2829,0,29,926,1655,107,0,22,16,0,187,32,144,356,2286,6,945,512,224,22,0,12,72,11,10,8,0,153,781723,763851,735617,12014,3167,11020,87,1946,17872,586,17286,16880,3844,8267,3527,287,955,923,69
40,ME,23,,,,,040C1US23,Maine -- In metropolitan statistical area -- in principal city,183761,163422,7493,447,4775,2,775,6847,235,6612,169962,9796,4247,6006,116,1010,447,243,0,0,0,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,18,3,0,0,3,0,0,0,5,152,26,4775,741,16,0,0,330,1197,417,0,3,78,264,39,0,0,0,0,13,0,38,67,1329,0,58,185,2,0,2,0,0,0,0,0,0,0,0,0,4385,2320,85,39,148,3,43,434,84,0,73,0,0,0,0,0,122,0,0,0,32,0,0,0,13,5,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,6,0,1219,30,3,0,0,3,0,0,0,5,2027,6264,763,48,0,0,484,1584,662,0,16,186,363,64,0,0,0,0,13,0,38,67,1577,6,393,124,33,2,0,8,0,0,0,0,0,81,183761,176914,163422,7493,447,4775,2,775,6847,235,6612,6387,1726,3322,909,176,254,391,69
40,ME,23,,,,,040C2US23,Maine -- In metropolitan statistical area -- not in principal city,597962,572195,4521,2720,6245,85,1171,11025,351,10674,582783,7260,8236,9223,384,1633,2720,2217,14,0,34,47,0,50,0,0,107,9,0,0,11,0,0,0,0,0,42,0,0,0,14,22,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,9,0,1783,41,49,0,0,49,0,0,0,4,370,39,6245,810,0,0,60,657,1012,1255,0,0,394,643,0,0,20,15,0,174,32,106,185,443,0,245,194,85,13,9,0,0,30,11,10,8,0,4,0,8355,5427,36,0,218,96,0,800,0,0,136,37,0,24,17,0,5,0,0,0,110,0,9,0,14,39,0,0,0,0,0,0,0,9,0,178,61,0,0,0,0,9,0,3629,180,67,0,0,49,18,0,0,4,2677,9827,913,0,0,60,852,1847,2167,0,13,740,1292,43,0,22,16,0,174,32,106,289,709,0,552,388,191,20,0,4,72,11,10,8,0,72,597962,586937,572195,4521,2720,6245,85,1171,11025,351,10674,10493,2118,4945,2618,111,701,532,0
40,ME,23,,,,,040E0US23,Maine -- In micropolitan statistical area,121112,116275,957,827,934,15,492,1612,22,1590,117627,1307,1689,1445,200,525,827,518,0,0,0,0,0,20,0,0,14,29,0,0,0,0,0,0,0,0,33,0,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,101,0,0,0,0,0,0,0,0,194,14,934,137,0,0,0,126,288,173,0,0,103,46,0,0,0,0,0,0,0,0,0,28,0,25,8,15,4,11,0,0,0,0,0,0,0,0,0,1751,1211,0,0,64,29,0,113,0,0,14,36,0,0,0,5,0,3,0,0,36,0,11,31,18,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,842,145,0,0,0,0,0,0,0,0,395,1453,140,0,0,0,126,346,279,0,0,196,62,0,0,0,0,0,0,0,0,0,40,0,264,200,4,11,0,185,0,0,0,0,0,0,121112,119500,116275,957,827,934,15,492,1612,22,1590,1570,255,787,257,26,245,15,27
40,ME,23,,,,,040E1US23,Maine -- In micropolitan statistical area -- in principal city,34761,32229,658,365,449,4,151,905,0,905,32884,893,773,823,189,151,365,214,0,0,0,0,0,20,0,0,0,29,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,82,0,0,0,0,0,0,0,0,66,3,449,60,0,0,0,0,191,113,0,0,46,6,0,0,0,0,0,0,0,0,0,0,0,25,8,4,4,0,0,0,0,0,0,0,0,0,0,784,489,0,0,17,29,0,75,0,0,0,29,0,0,0,5,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,119,0,0,0,0,0,0,0,0,176,831,63,0,0,0,0,228,186,0,0,82,13,0,0,0,0,0,0,0,0,0,0,0,259,189,4,0,0,185,0,0,0,0,0,0,34761,33856,32229,658,365,449,4,151,905,0,905,874,161,354,120,16,223,15,16
40,ME,23,,,,,040E2US23,Maine -- In micropolitan statistical area -- not in principal city,86351,84046,299,462,485,11,341,707,22,685,84743,414,916,622,11,374,462,304,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,23,0,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,19,0,0,0,0,0,0,0,0,128,11,485,77,0,0,0,126,97,60,0,0,57,40,0,0,0,0,0,0,0,0,0,28,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,967,722,0,0,47,0,0,38,0,0,14,7,0,0,0,0,0,0,0,0,23,0,11,31,18,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,524,26,0,0,0,0,0,0,0,0,219,622,77,0,0,0,126,118,93,0,0,114,49,0,0,0,0,0,0,0,0,0,40,0,5,11,0,11,0,0,0,0,0,0,0,0,86351,85644,84046,299,462,485,11,341,707,22,685,696,94,433,137,10,22,0,11
