SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,MT,30,,,,,04000US30,Montana,1014699,904977,4757,65693,7187,848,5460,25777,1344,24433,929666,9493,81695,12403,2224,6918,65693,60061,138,268,11929,263,9,614,5640,68,2761,32,110,11,635,177,9964,12,120,0,89,0,13,0,37,654,7,3,29,0,106,17,77,0,284,5264,9,0,15,17,3,85,0,20601,651,171,49,12,36,30,0,44,34,3539,1237,7187,532,36,0,19,28,1584,1302,0,61,1098,1364,151,4,39,137,0,73,23,44,256,287,5,45,99,848,605,91,58,0,32,7,31,0,0,11,13,83274,74756,303,276,13625,359,9,2191,6453,181,4801,140,151,79,1063,245,10573,22,171,0,327,0,13,6,124,977,14,12,71,9,364,26,125,207,341,6450,9,0,15,17,24,125,0,24858,1093,396,124,16,86,116,0,54,80,6949,12645,842,36,0,19,28,2127,3351,0,65,2333,1884,278,10,71,197,10,163,23,56,347,414,5,386,2286,1172,262,113,0,78,7,52,0,0,602,1014699,988922,904977,4757,65693,7187,848,5460,25777,1344,24433,23983,3403,14206,3728,419,2227,1707,87
40,MT,30,,,,,04001US30,Montana -- Urban,571981,512821,3710,30134,5140,448,3712,16016,859,15157,528158,7361,39190,8779,1202,4634,30134,27091,85,115,7269,100,9,366,1582,29,1839,14,62,4,355,177,3881,5,72,0,89,0,0,0,0,129,0,3,0,0,71,2,7,0,201,3821,0,0,0,13,0,68,0,6723,316,64,28,6,19,11,0,0,8,2106,549,5140,458,36,0,19,9,1056,794,0,33,746,1061,118,0,6,137,0,73,8,39,149,254,5,45,94,448,313,38,33,0,32,7,25,0,0,0,0,39917,34936,203,115,8320,177,9,1208,2053,71,3060,47,66,37,622,233,4156,15,91,0,241,0,0,0,28,197,5,12,37,9,213,11,36,204,201,4342,0,0,0,13,17,105,0,8782,568,182,85,10,24,63,0,0,50,4181,8917,649,36,0,19,9,1487,2188,0,33,1659,1378,185,0,38,197,0,163,8,51,220,381,5,211,1211,557,129,70,0,46,7,25,0,0,377,571981,555965,512821,3710,30134,5140,448,3712,16016,859,15157,14708,2577,7797,2700,383,1251,1289,19
40,MT,30,,,,,04043US30,Montana -- Rural,442718,392156,1047,35559,2047,400,1748,9761,485,9276,401508,2132,42505,3624,1022,2284,35559,32970,53,153,4660,163,0,248,4058,39,922,18,48,7,280,0,6083,7,48,0,0,0,13,0,37,525,7,0,29,0,35,15,70,0,83,1443,9,0,15,4,3,17,0,13878,335,107,21,6,17,19,0,44,26,1433,688,2047,74,0,0,0,19,528,508,0,28,352,303,33,4,33,0,0,0,15,5,107,33,0,0,5,400,292,53,25,0,0,0,6,0,0,11,13,43357,39820,100,161,5305,182,0,983,4400,110,1741,93,85,42,441,12,6417,7,80,0,86,0,13,6,96,780,9,0,34,0,151,15,89,3,140,2108,9,0,15,4,7,20,0,16076,525,214,39,6,62,53,0,54,30,2768,3728,193,0,0,0,19,640,1163,0,32,674,506,93,10,33,0,10,0,15,5,127,33,0,175,1075,615,133,43,0,32,0,27,0,0,225,442718,432957,392156,1047,35559,2047,400,1748,9761,485,9276,9275,826,6409,1028,36,976,418,68
40,MT,30,,,,,040A0US30,Montana -- In metropolitan or micropolitan statistical area,658836,609903,3794,18281,5660,397,3970,16831,949,15882,625984,7494,27544,9734,1317,5013,18281,15548,95,91,2687,14,9,428,1360,57,1357,14,78,4,193,167,2869,0,72,0,66,0,0,0,35,309,7,3,21,0,42,0,0,0,160,1275,9,0,0,13,0,0,0,4113,363,35,10,12,2,11,0,0,6,1932,397,5660,449,32,0,19,20,1288,888,0,33,888,1138,134,0,6,137,0,73,8,19,149,233,5,45,96,397,242,63,33,0,15,7,25,0,0,4,8,28187,23365,181,91,3668,67,9,1517,1804,123,2607,79,82,62,439,223,3155,0,91,0,229,0,0,6,97,419,12,12,58,0,175,9,10,204,166,1641,9,0,0,13,17,27,0,6063,645,176,82,16,5,63,0,10,48,3953,9896,623,32,0,19,20,1774,2478,0,34,1873,1497,255,0,6,197,10,163,8,31,229,357,5,285,1334,504,227,70,0,29,7,25,0,0,472,658836,642005,609903,3794,18281,5660,397,3970,16831,949,15882,15439,2583,8008,3011,399,1438,1367,25
40,MT,30,,,,,040C0US30,Montana -- In metropolitan statistical area,358772,326047,2603,13458,3317,297,2503,10547,582,9965,336123,5314,19244,5674,633,3126,13458,11451,55,49,2162,5,4,224,1246,52,747,14,68,4,123,167,2566,0,72,0,66,0,0,0,8,128,0,0,0,0,16,0,0,0,140,876,0,0,0,13,0,0,0,2646,252,27,2,12,2,11,0,0,6,1436,286,3317,147,0,0,0,11,908,584,0,9,504,516,116,0,6,88,0,63,8,17,86,174,0,24,56,297,187,26,33,0,15,7,25,0,0,4,0,19636,16350,83,49,2809,45,4,677,1492,87,1440,50,72,8,326,177,2796,0,91,0,208,0,0,0,45,203,5,9,37,0,149,9,10,204,140,1065,0,0,0,13,17,27,0,4003,380,112,43,12,2,55,0,0,6,2788,5784,266,0,0,0,11,1213,1421,0,9,1270,673,189,0,6,88,0,153,8,17,145,280,0,35,633,334,79,70,0,15,7,25,0,0,103,358772,348225,326047,2603,13458,3317,297,2503,10547,582,9965,9775,1927,4857,1824,253,914,749,23
40,MT,30,,,,,040C1US30,Montana -- In metropolitan statistical area -- in principal city,236887,212533,1984,9760,2653,172,1855,7930,527,7403,220054,4171,14009,4462,320,2382,9760,8500,55,49,1823,5,4,188,1035,29,415,14,52,4,119,49,1782,0,72,0,66,0,0,0,0,61,0,0,0,0,0,0,0,0,8,738,0,0,0,13,0,0,0,1919,131,6,0,0,0,6,0,0,6,1000,117,2653,124,0,0,0,0,846,450,0,9,345,353,116,0,3,13,0,63,8,0,80,163,0,24,56,172,87,12,33,0,15,0,25,0,0,0,0,14181,12042,55,49,2332,33,4,586,1150,53,840,47,56,4,269,49,1888,0,91,0,197,0,0,0,0,125,5,9,37,0,133,9,0,194,8,891,0,0,0,13,17,27,0,2871,232,6,0,0,0,6,0,0,6,1895,4562,205,0,0,0,0,1142,1059,0,9,879,482,177,0,3,13,0,153,8,0,139,269,0,24,320,149,12,70,0,15,0,25,0,0,49,236887,228957,212533,1984,9760,2653,172,1855,7930,527,7403,7368,1476,3487,1467,226,712,543,19
40,MT,30,,,,,040C2US30,Montana -- In metropolitan statistical area -- not in principal city,121885,113514,619,3698,664,125,648,2617,55,2562,116069,1143,5235,1212,313,744,3698,2951,0,0,339,0,0,36,211,23,332,0,16,0,4,118,784,0,0,0,0,0,0,0,8,67,0,0,0,0,16,0,0,0,132,138,0,0,0,0,0,0,0,727,121,21,2,12,2,5,0,0,0,436,169,664,23,0,0,0,11,62,134,0,0,159,163,0,0,3,75,0,0,0,17,6,11,0,0,0,125,100,14,0,0,0,7,0,0,0,4,0,5455,4308,28,0,477,12,0,91,342,34,600,3,16,4,57,128,908,0,0,0,11,0,0,0,45,78,0,0,0,0,16,0,10,10,132,174,0,0,0,0,0,0,0,1132,148,106,43,12,2,49,0,0,0,893,1222,61,0,0,0,11,71,362,0,0,391,191,12,0,3,75,0,0,0,17,6,11,0,11,313,185,67,0,0,0,7,0,0,0,54,121885,119268,113514,619,3698,664,125,648,2617,55,2562,2407,451,1370,357,27,202,206,4
40,MT,30,,,,,040E0US30,Montana -- In micropolitan statistical area,300064,283856,1191,4823,2343,100,1467,6284,367,5917,289861,2180,8300,4060,684,1887,4823,4097,40,42,525,9,5,204,114,5,610,0,10,0,70,0,303,0,0,0,0,0,0,0,27,181,7,3,21,0,26,0,0,0,20,399,9,0,0,0,0,0,0,1467,111,8,8,0,0,0,0,0,0,496,111,2343,302,32,0,19,9,380,304,0,24,384,622,18,0,0,49,0,10,0,2,63,59,5,21,40,100,55,37,0,0,0,0,0,0,0,0,8,8551,7015,98,42,859,22,5,840,312,36,1167,29,10,54,113,46,359,0,0,0,21,0,0,6,52,216,7,3,21,0,26,0,0,0,26,576,9,0,0,0,0,0,0,2060,265,64,39,4,3,8,0,10,42,1165,4112,357,32,0,19,9,561,1057,0,25,603,824,66,0,0,109,10,10,0,14,84,77,5,250,701,170,148,0,0,14,0,0,0,0,369,300064,293780,283856,1191,4823,2343,100,1467,6284,367,5917,5664,656,3151,1187,146,524,618,2
40,MT,30,,,,,040E1US30,Montana -- In micropolitan statistical area -- in principal city,124732,116843,740,2374,1672,61,443,2599,111,2488,119266,1343,3751,2407,193,554,2374,2080,18,25,342,9,5,70,67,0,337,0,10,0,70,0,222,0,0,0,0,0,0,0,0,8,0,3,0,0,26,0,0,0,20,265,0,0,0,0,0,0,0,583,0,8,8,0,0,0,0,0,0,261,25,1672,290,32,0,0,9,274,139,0,24,202,527,0,0,0,49,0,10,0,0,1,54,5,21,35,61,42,19,0,0,0,0,0,0,0,0,0,3885,3143,73,25,426,15,5,309,170,0,627,0,10,0,113,46,248,0,0,0,4,0,0,0,15,8,0,3,0,0,26,0,0,0,20,296,0,0,0,0,0,0,0,704,80,31,24,4,3,0,0,0,42,589,2442,345,32,0,0,9,403,355,0,24,273,644,0,0,0,109,0,10,0,12,6,63,5,152,193,127,60,0,0,0,0,0,0,0,6,124732,122133,116843,740,2374,1672,61,443,2599,111,2488,2416,381,1150,619,102,164,183,0
40,MT,30,,,,,040E2US30,Montana -- In micropolitan statistical area -- not in principal city,175332,167013,451,2449,671,39,1024,3685,256,3429,170595,837,4549,1653,491,1333,2449,2017,22,17,183,0,0,134,47,5,273,0,0,0,0,0,81,0,0,0,0,0,0,0,27,173,7,0,21,0,0,0,0,0,0,134,9,0,0,0,0,0,0,884,111,0,0,0,0,0,0,0,0,235,86,671,12,0,0,19,0,106,165,0,0,182,95,18,0,0,0,0,0,0,2,62,5,0,0,5,39,13,18,0,0,0,0,0,0,0,0,8,4666,3872,25,17,433,7,0,531,142,36,540,29,0,54,0,0,111,0,0,0,17,0,0,6,37,208,7,0,21,0,0,0,0,0,6,280,9,0,0,0,0,0,0,1356,185,33,15,0,0,8,0,10,0,576,1670,12,0,0,19,0,158,702,0,1,330,180,66,0,0,0,10,0,0,2,78,14,0,98,508,43,88,0,0,14,0,0,0,0,363,175332,171647,167013,451,2449,671,39,1024,3685,256,3429,3248,275,2001,568,44,360,435,2
