SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,NJ,34,,,,,04000US34,New Jersey,8904413,6083940,1202300,18335,804989,2808,568215,223826,52672,171154,6257974,1314132,61264,876171,12327,626462,18335,9676,56,0,240,49,703,1209,61,8,93,7,0,3,18,15,0,699,57,11,346,5,71,0,1795,122,0,22,0,0,9,19,0,42,14,212,1678,661,0,14,0,0,0,1437,1304,104,12,0,44,48,0,0,7,6815,429,804989,338600,9919,12,664,1482,140404,118269,185,1615,13086,97265,710,644,311,1504,0,28270,2679,7311,3265,24828,197,4915,8854,2808,654,192,14,16,609,11,197,219,0,869,27,63489,39932,408,28,3417,170,1311,11415,314,40,421,357,6,93,36,294,103,3006,90,15,1707,53,124,25,4187,672,38,33,15,10,98,117,7,696,29,814,4268,947,0,51,0,42,33,4442,3596,206,12,8,95,64,0,27,7,19748,888103,353215,10340,24,906,1844,156342,137703,238,2266,21065,104696,970,947,499,1577,17,29902,2920,8101,4726,28671,251,20883,12495,2235,452,42,54,1067,11,205,256,0,8173,8904413,8680587,6083940,1202300,18335,804989,2808,568215,223826,52672,171154,205449,67621,18787,43494,9124,66423,16805,1572
40,NJ,34,,,,,04001US34,New Jersey -- Urban,8430988,5663974,1177800,17455,792419,2770,561343,215227,51067,164160,5831187,1286563,57444,860940,11710,617813,17455,9081,56,0,239,49,672,1163,61,0,86,5,0,0,18,15,0,470,57,11,345,5,71,0,1790,119,0,22,0,0,9,19,0,42,0,203,1678,661,0,14,0,0,0,1201,1274,104,12,0,44,48,0,0,7,6579,410,792419,334695,9865,12,664,1469,136822,117245,111,1604,12958,95511,693,637,311,1460,0,27718,2679,7159,3088,24155,197,4721,8645,2770,634,192,14,16,602,11,197,219,0,858,27,59481,36992,321,28,3197,170,1241,10628,257,32,401,345,6,90,36,197,103,2357,90,15,1571,53,124,25,4170,552,38,33,15,0,87,41,7,669,0,782,4259,947,0,29,0,42,33,4001,3463,204,12,8,95,64,0,25,7,18815,872594,348923,10286,24,906,1831,152015,135891,164,2143,20682,102656,887,917,499,1533,17,29350,2920,7927,4439,27883,251,20450,11878,2156,442,42,54,1049,11,205,256,0,7663,8430988,8215761,5663974,1177800,17455,792419,2770,561343,215227,51067,164160,197471,66058,16949,41430,8477,64557,16212,1544
40,NJ,34,,,,,04043US34,New Jersey -- Rural,473425,419966,24500,880,12570,38,6872,8599,1605,6994,426787,27569,3820,15231,617,8649,880,595,0,0,1,0,31,46,0,8,7,2,0,3,0,0,0,229,0,0,1,0,0,0,5,3,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,0,0,236,30,0,0,0,0,0,0,0,0,236,19,12570,3905,54,0,0,13,3582,1024,74,11,128,1754,17,7,0,44,0,552,0,152,177,673,0,194,209,38,20,0,0,0,7,0,0,0,0,11,0,4008,2940,87,0,220,0,70,787,57,8,20,12,0,3,0,97,0,649,0,0,136,0,0,0,17,120,0,0,0,10,11,76,0,27,29,32,9,0,0,22,0,0,0,441,133,2,0,0,0,0,0,2,0,933,15509,4292,54,0,0,13,4327,1812,74,123,383,2040,83,30,0,44,0,552,0,174,287,788,0,433,617,79,10,0,0,18,0,0,0,0,510,473425,464826,419966,24500,880,12570,38,6872,8599,1605,6994,7978,1563,1838,2064,647,1866,593,28
40,NJ,34,,,,,040A0US34,New Jersey -- In metropolitan or micropolitan statistical area,8904413,6083940,1202300,18335,804989,2808,568215,223826,52672,171154,6257974,1314132,61264,876171,12327,626462,18335,9676,56,0,240,49,703,1209,61,8,93,7,0,3,18,15,0,699,57,11,346,5,71,0,1795,122,0,22,0,0,9,19,0,42,14,212,1678,661,0,14,0,0,0,1437,1304,104,12,0,44,48,0,0,7,6815,429,804989,338600,9919,12,664,1482,140404,118269,185,1615,13086,97265,710,644,311,1504,0,28270,2679,7311,3265,24828,197,4915,8854,2808,654,192,14,16,609,11,197,219,0,869,27,63489,39932,408,28,3417,170,1311,11415,314,40,421,357,6,93,36,294,103,3006,90,15,1707,53,124,25,4187,672,38,33,15,10,98,117,7,696,29,814,4268,947,0,51,0,42,33,4442,3596,206,12,8,95,64,0,27,7,19748,888103,353215,10340,24,906,1844,156342,137703,238,2266,21065,104696,970,947,499,1577,17,29902,2920,8101,4726,28671,251,20883,12495,2235,452,42,54,1067,11,205,256,0,8173,8904413,8680587,6083940,1202300,18335,804989,2808,568215,223826,52672,171154,205449,67621,18787,43494,9124,66423,16805,1572
40,NJ,34,,,,,040C0US34,New Jersey -- In metropolitan statistical area,8904413,6083940,1202300,18335,804989,2808,568215,223826,52672,171154,6257974,1314132,61264,876171,12327,626462,18335,9676,56,0,240,49,703,1209,61,8,93,7,0,3,18,15,0,699,57,11,346,5,71,0,1795,122,0,22,0,0,9,19,0,42,14,212,1678,661,0,14,0,0,0,1437,1304,104,12,0,44,48,0,0,7,6815,429,804989,338600,9919,12,664,1482,140404,118269,185,1615,13086,97265,710,644,311,1504,0,28270,2679,7311,3265,24828,197,4915,8854,2808,654,192,14,16,609,11,197,219,0,869,27,63489,39932,408,28,3417,170,1311,11415,314,40,421,357,6,93,36,294,103,3006,90,15,1707,53,124,25,4187,672,38,33,15,10,98,117,7,696,29,814,4268,947,0,51,0,42,33,4442,3596,206,12,8,95,64,0,27,7,19748,888103,353215,10340,24,906,1844,156342,137703,238,2266,21065,104696,970,947,499,1577,17,29902,2920,8101,4726,28671,251,20883,12495,2235,452,42,54,1067,11,205,256,0,8173,8904413,8680587,6083940,1202300,18335,804989,2808,568215,223826,52672,171154,205449,67621,18787,43494,9124,66423,16805,1572
40,NJ,34,,,,,040C1US34,New Jersey -- In metropolitan statistical area -- in principal city,962849,375793,328558,3991,86346,438,139333,28390,9366,19024,393948,346405,9693,92504,1696,149376,3991,1934,2,0,152,0,164,241,19,0,14,0,0,0,0,0,0,91,10,0,21,0,0,0,344,11,0,0,0,0,4,17,0,0,0,0,556,73,0,3,0,0,0,212,300,19,0,0,0,19,0,0,0,1672,66,86346,35667,2835,0,92,399,11708,18942,26,136,860,3954,36,79,7,331,0,3613,302,508,195,4777,13,637,1229,438,67,0,6,8,64,0,13,0,0,280,0,9932,5571,21,19,590,0,183,1318,54,0,28,6,0,0,0,16,0,421,10,0,204,48,0,0,361,204,6,0,0,0,4,17,0,133,0,24,929,242,0,3,0,0,0,730,426,28,0,0,0,19,0,9,0,3907,94015,37356,2871,0,92,508,13184,20806,41,158,1517,4268,54,93,14,378,0,3838,306,525,315,5212,13,2466,1703,211,35,10,31,137,0,13,23,0,1243,962849,934459,375793,328558,3991,86346,438,139333,28390,9366,19024,26323,9008,1545,2306,2027,11437,1804,263
40,NJ,34,,,,,040C2US34,New Jersey -- In metropolitan statistical area -- not in principal city,7941564,5708147,873742,14344,718643,2370,428882,195436,43306,152130,5864026,967727,51571,783667,10631,477086,14344,7742,54,0,88,49,539,968,42,8,79,7,0,3,18,15,0,608,47,11,325,5,71,0,1451,111,0,22,0,0,5,2,0,42,14,212,1122,588,0,11,0,0,0,1225,1004,85,12,0,44,29,0,0,7,5143,363,718643,302933,7084,12,572,1083,128696,99327,159,1479,12226,93311,674,565,304,1173,0,24657,2377,6803,3070,20051,184,4278,7625,2370,587,192,8,8,545,11,184,219,0,589,27,53557,34361,387,9,2827,170,1128,10097,260,40,393,351,6,93,36,278,103,2585,80,15,1503,5,124,25,3826,468,32,33,15,10,94,100,7,563,29,790,3339,705,0,48,0,42,33,3712,3170,178,12,8,95,45,0,18,7,15841,794088,315859,7469,24,814,1336,143158,116897,197,2108,19548,100428,916,854,485,1199,17,26064,2614,7576,4411,23459,238,18417,10792,2024,417,32,23,930,11,192,233,0,6930,7941564,7746128,5708147,873742,14344,718643,2370,428882,195436,43306,152130,179126,58613,17242,41188,7097,54986,15001,1309
50,NJ,34,001,,,,05000US34001,"Atlantic County, New Jersey",275376,184901,42859,705,22819,71,14063,9958,3536,6422,191080,48425,2681,25266,1065,17810,705,231,0,0,0,0,0,52,0,0,17,0,0,0,0,0,0,52,0,0,7,0,0,0,0,3,0,0,0,0,4,0,0,0,0,16,7,0,0,3,0,0,0,70,87,0,0,0,0,0,0,0,0,387,0,22819,6301,2098,0,0,43,3608,3038,0,23,96,975,134,43,7,158,0,1524,16,67,79,4016,0,115,478,71,0,0,0,0,46,0,0,0,0,25,0,2840,1928,50,0,150,0,0,664,5,0,35,16,0,0,0,0,15,234,0,0,40,0,17,0,0,92,0,0,0,0,4,76,0,57,0,34,146,0,0,3,0,0,0,290,151,0,0,0,0,0,0,0,0,761,26169,6771,2179,0,0,86,4086,3944,0,64,315,1045,146,51,7,158,0,1580,16,76,112,4763,0,770,1065,90,0,0,0,46,0,0,0,0,929,275376,265418,184901,42859,705,22819,71,14063,9958,3536,6422,8997,2538,735,789,552,4383,929,32
50,NJ,34,003,,,,05000US34003,"Bergen County, New Jersey",926330,652390,54041,1762,144708,212,52649,20568,5017,15551,668899,61545,4660,153909,1013,58711,1762,768,16,0,48,13,18,229,0,0,0,0,0,0,0,0,0,98,0,0,34,0,0,0,26,0,0,0,0,0,0,0,0,0,0,7,140,0,0,0,0,0,0,139,204,23,12,0,0,11,0,0,7,760,0,144708,33070,457,0,214,215,17313,20596,0,213,6343,57598,20,159,123,94,0,3011,392,845,863,711,24,412,2035,212,87,23,0,8,27,0,0,24,0,43,0,4761,2696,16,0,143,33,66,607,0,0,7,32,0,0,0,0,0,236,10,0,146,0,26,0,544,35,0,0,0,0,0,0,0,13,0,35,493,23,0,0,0,0,0,231,377,23,12,0,0,11,0,0,7,1658,156214,35208,496,0,281,222,19620,23221,9,285,7647,59231,20,185,152,94,0,3348,405,977,958,1102,53,2700,1013,190,46,0,17,71,0,0,24,0,665,926330,905762,652390,54041,1762,144708,212,52649,20568,5017,15551,18797,4394,749,6596,643,6415,1703,68
50,NJ,34,005,,,,05000US34005,"Burlington County, New Jersey",450556,328004,72631,452,20974,166,11724,16605,2085,14520,341161,82402,4808,26350,982,14214,452,194,0,0,0,0,7,34,0,0,0,0,0,0,0,0,0,5,0,11,20,5,4,0,35,3,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,38,29,0,0,0,0,0,0,0,0,185,44,20974,8139,270,0,77,183,2913,3474,74,60,323,2248,0,20,53,0,0,1322,227,132,222,863,0,164,210,166,111,19,0,0,36,0,0,0,0,0,0,5088,3434,47,0,491,58,19,1502,0,0,50,54,6,0,5,37,27,149,0,11,115,5,14,3,89,74,0,0,0,0,0,0,0,39,0,79,61,0,0,0,0,0,0,499,178,8,0,8,0,0,0,0,0,1468,26700,8724,287,0,77,183,3623,4875,74,205,1313,2953,0,20,117,0,0,1371,279,194,409,1268,0,728,982,405,56,0,0,52,0,0,0,0,469,450556,433951,328004,72631,452,20974,166,11724,16605,2085,14520,14038,5169,1448,2925,1154,3342,2382,185
