SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,NM,35,,,,,04000US35,New Mexico,2084117,1524911,43738,190528,28761,1276,226850,68053,23997,44056,1579542,59334,215596,45587,3882,252501,190528,178011,8216,8,170,99,90,1065,205,346,478,541,25,372,5,145,97,80,387,7,217,104,15,40,946,113473,89,3,10,147,100,46625,31,121,110,942,65,297,353,149,42,156,50,1590,2112,176,21,0,80,58,17,0,54,6311,3864,28761,3988,0,0,37,129,6332,5473,52,174,2113,2092,574,16,0,231,0,322,85,472,1084,4569,20,529,469,1276,569,155,44,7,280,19,4,35,0,92,71,220385,206546,10143,51,617,128,108,4989,383,684,803,1916,25,626,42,286,128,104,1008,7,507,223,26,40,1627,122914,171,41,113,437,150,51530,79,322,321,1717,147,437,382,360,50,340,100,2464,3316,430,34,59,114,186,17,20,62,10031,46688,7808,0,0,49,221,8455,9527,59,278,4910,3673,730,52,42,238,18,481,90,654,1515,5202,24,2662,4126,1404,643,161,56,428,19,38,256,0,1121,2084117,2016064,1524911,43738,190528,28761,1276,226850,68053,23997,44056,64080,9232,16658,9008,1935,27247,3674,299
40,NM,35,,,,,04001US35,New Mexico -- Urban,1626871,1214901,39418,96312,26378,1192,190489,58181,20618,37563,1261715,53503,116091,41538,3566,212622,96312,87578,2318,2,136,45,74,712,192,244,415,336,25,184,5,108,76,80,302,2,199,84,14,40,815,51089,89,0,7,138,64,26771,31,89,99,663,65,199,235,112,15,126,41,1337,1383,138,11,0,69,58,0,0,51,4933,2229,26378,3832,0,0,37,118,5734,4576,52,162,1883,1883,558,12,0,190,0,310,82,412,1059,4492,16,509,461,1192,553,136,44,0,242,18,4,35,0,89,71,118991,107997,3416,42,553,74,92,3705,309,495,664,942,25,354,5,207,92,104,735,2,393,140,25,40,1462,57831,132,38,56,397,87,30433,79,272,233,1123,147,318,257,226,23,298,87,2084,2491,348,11,41,90,186,0,20,56,8099,42576,7466,0,0,37,207,7613,7995,59,266,4335,3406,709,32,0,197,18,469,87,591,1490,5116,16,2467,3787,1292,584,161,49,371,18,38,256,0,1018,1626871,1568690,1214901,39418,96312,26378,1192,190489,58181,20618,37563,54479,8493,13023,8197,1597,23169,3421,281
40,NM,35,,,,,04043US35,New Mexico -- Rural,457246,310010,4320,94216,2383,84,36361,9872,3379,6493,317827,5831,99505,4049,316,39879,94216,90433,5898,6,34,54,16,353,13,102,63,205,0,188,0,37,21,0,85,5,18,20,1,0,131,62384,0,3,3,9,36,19854,0,32,11,279,0,98,118,37,27,30,9,253,729,38,10,0,11,0,17,0,3,1378,1635,2383,156,0,0,0,11,598,897,0,12,230,209,16,4,0,41,0,12,3,60,25,77,4,20,8,84,16,19,0,7,38,1,0,0,0,3,0,101394,98549,6727,9,64,54,16,1284,74,189,139,974,0,272,37,79,36,0,273,5,114,83,1,0,165,65083,39,3,57,40,63,21097,0,50,88,594,0,119,125,134,27,42,13,380,825,82,23,18,24,0,17,0,6,1932,4112,342,0,0,12,14,842,1532,0,12,575,267,21,20,42,41,0,12,3,63,25,86,8,195,339,112,59,0,7,57,1,0,0,0,103,457246,447374,310010,4320,94216,2383,84,36361,9872,3379,6493,9601,739,3635,811,338,4078,253,18
40,NM,35,,,,,040A0US35,New Mexico -- In metropolitan or micropolitan statistical area,1989046,1444067,42948,187492,28348,1276,218937,65978,23177,42801,1496828,58249,211556,45008,3868,243715,187492,175811,8031,8,170,99,90,1015,205,346,478,526,25,372,5,145,97,80,387,7,217,104,15,40,946,111778,89,3,10,147,95,46550,31,111,95,882,65,222,338,149,42,156,50,1590,1603,174,20,0,79,58,17,0,54,6067,3783,28348,3976,0,0,37,97,6145,5356,52,159,2102,2057,570,16,0,231,0,322,85,472,1084,4569,20,529,469,1276,569,155,44,7,280,19,4,35,0,92,71,216197,203362,9872,51,595,128,108,4508,374,684,800,1825,25,607,42,286,128,104,1008,7,507,223,26,40,1606,121137,171,41,113,437,133,51351,79,312,289,1564,147,362,367,354,50,340,100,2461,2797,428,33,59,113,186,17,20,62,9548,46101,7792,0,0,49,189,8263,9398,59,263,4826,3627,726,52,42,238,18,481,90,654,1515,5169,24,2626,4112,1404,643,161,56,428,19,38,256,0,1107,1989046,1923068,1444067,42948,187492,28348,1276,218937,65978,23177,42801,62071,9032,15820,8866,1935,26418,3614,293
40,NM,35,,,,,040C0US35,New Mexico -- In metropolitan statistical area,1388935,1030420,30234,104558,22721,896,151340,48766,17196,31570,1068899,41104,121476,36809,2987,169808,104558,97002,2008,0,116,9,71,521,191,139,413,331,25,305,0,96,84,0,274,0,180,88,4,40,645,64140,89,3,10,115,57,24409,31,103,14,597,53,164,200,114,42,106,38,1177,1140,112,0,0,71,41,0,0,25,4219,2060,22721,3460,0,0,37,64,4784,4063,52,136,1521,1466,527,16,0,231,0,186,65,383,846,3921,16,511,436,896,336,84,44,7,214,18,4,31,0,87,71,124115,115031,3025,0,462,38,89,2680,256,377,613,1211,25,518,37,208,100,24,682,0,375,171,15,40,1138,70122,148,41,42,370,76,27778,79,295,91,849,135,216,200,296,42,194,88,1885,2132,295,0,18,93,164,0,20,33,6624,37791,7029,0,0,37,153,6700,7150,59,231,3731,2855,663,52,0,238,7,345,70,565,1234,4374,16,2282,3231,1077,438,161,56,270,18,38,252,0,921,1388935,1340169,1030420,30234,104558,22721,896,151340,48766,17196,31570,45599,6401,10767,7124,1437,19870,2952,215
40,NM,35,,,,,040C1US35,New Mexico -- In metropolitan statistical area -- in principal city,785129,585664,22188,37580,17811,688,89073,32125,11573,20552,609761,29803,47878,28494,2103,101443,37580,33422,1118,0,20,8,12,248,94,39,354,238,25,87,0,77,76,0,151,0,172,53,4,8,508,22542,73,0,7,47,53,5846,11,67,2,316,0,49,110,60,15,72,38,822,737,40,0,0,0,40,0,0,16,2306,1059,17811,2939,0,0,37,53,3619,2717,45,126,1127,980,472,0,0,97,0,181,62,313,670,3505,0,449,419,688,294,70,44,0,175,18,1,31,0,0,55,49255,43838,1557,0,347,22,30,1515,145,154,517,988,25,199,0,149,92,15,281,0,316,93,15,8,743,26016,116,0,7,294,72,7727,59,186,2,365,28,76,110,101,15,160,53,1240,1314,191,0,0,11,163,0,17,16,3896,29379,6480,0,0,37,53,5001,4903,45,214,2515,1777,603,20,0,97,7,272,67,492,955,3950,0,1891,2172,881,211,44,42,203,18,30,252,0,491,785129,753004,585664,22188,37580,17811,688,89073,32125,11573,20552,30082,4600,6269,4608,958,13647,1858,185
40,NM,35,,,,,040C2US35,New Mexico -- In metropolitan statistical area -- not in principal city,603806,444756,8046,66978,4910,208,62267,16641,5623,11018,459138,11301,73598,8315,884,68365,66978,63580,890,0,96,1,59,273,97,100,59,93,0,218,0,19,8,0,123,0,8,35,0,32,137,41598,16,3,3,68,4,18563,20,36,12,281,53,115,90,54,27,34,0,355,403,72,0,0,71,1,0,0,9,1913,1001,4910,521,0,0,0,11,1165,1346,7,10,394,486,55,16,0,134,0,5,3,70,176,416,16,62,17,208,42,14,0,7,39,0,3,0,0,87,16,74860,71193,1468,0,115,16,59,1165,111,223,96,223,0,319,37,59,8,9,401,0,59,78,0,32,395,44106,32,41,35,76,4,20051,20,109,89,484,107,140,90,195,27,34,35,645,818,104,0,18,82,1,0,3,17,2728,8412,549,0,0,0,100,1699,2247,14,17,1216,1078,60,32,0,141,0,73,3,73,279,424,16,391,1059,196,227,117,14,67,0,8,0,0,430,603806,587165,444756,8046,66978,4910,208,62267,16641,5623,11018,15517,1801,4498,2516,479,6223,1094,30
40,NM,35,,,,,040E0US35,New Mexico -- In micropolitan statistical area,600111,413647,12714,82934,5627,380,67597,17212,5981,11231,427929,17145,90080,8199,881,73907,82934,78809,6023,8,54,90,19,494,14,207,65,195,0,67,5,49,13,80,113,7,37,16,11,0,301,47638,0,0,0,32,38,22141,0,8,81,285,12,58,138,35,0,50,12,413,463,62,20,0,8,17,17,0,29,1848,1723,5627,516,0,0,0,33,1361,1293,0,23,581,591,43,0,0,0,0,136,20,89,238,648,4,18,33,380,233,71,0,0,66,1,0,4,0,5,0,92082,88331,6847,51,133,90,19,1828,118,307,187,614,0,89,5,78,28,80,326,7,132,52,11,0,468,51015,23,0,71,67,57,23573,0,17,198,715,12,146,167,58,8,146,12,576,665,133,33,41,20,22,17,0,29,2924,8310,763,0,0,12,36,1563,2248,0,32,1095,772,63,0,42,0,11,136,20,89,281,795,8,344,881,327,205,0,0,158,1,0,4,0,186,600111,582899,413647,12714,82934,5627,380,67597,17212,5981,11231,16472,2631,5053,1742,498,6548,662,78
40,NM,35,,,,,040E1US35,New Mexico -- In micropolitan statistical area -- in principal city,301739,227141,10028,14023,4278,288,35881,10100,3369,6731,235585,13235,17564,6093,491,39508,14023,12381,333,2,0,21,0,216,4,147,14,88,0,24,0,10,0,80,27,2,8,0,3,0,217,9226,0,0,0,0,7,1392,0,8,81,61,12,28,129,2,0,32,0,207,265,28,11,0,0,17,0,0,29,911,409,4278,387,0,0,0,28,1144,774,0,23,394,537,12,0,0,0,0,129,20,34,233,536,0,0,27,288,194,52,0,0,33,0,0,4,0,5,0,18085,16057,553,42,0,21,0,752,61,215,76,227,0,24,0,10,0,80,72,2,24,0,3,0,348,10783,0,0,10,0,7,1690,0,17,195,186,12,95,151,2,8,116,0,275,375,74,11,41,0,22,0,0,29,1550,6140,597,0,0,0,28,1262,1482,0,32,680,659,32,0,16,0,0,129,20,34,263,678,0,228,491,240,71,0,0,100,0,0,4,0,76,301739,291639,227141,10028,14023,4278,288,35881,10100,3369,6731,9526,2048,2350,1301,220,3607,511,63
40,NM,35,,,,,040E2US35,New Mexico -- In micropolitan statistical area -- not in principal city,298372,186506,2686,68911,1349,92,31716,7112,2612,4500,192344,3910,72516,2106,390,34399,68911,66428,5690,6,54,69,19,278,10,60,51,107,0,43,5,39,13,0,86,5,29,16,8,0,84,38412,0,0,0,32,31,20749,0,0,0,224,0,30,9,33,0,18,12,206,198,34,9,0,8,0,17,0,0,937,1314,1349,129,0,0,0,5,217,519,0,0,187,54,31,0,0,0,0,7,0,55,5,112,4,18,6,92,39,19,0,0,33,1,0,0,0,0,0,73997,72274,6294,9,133,69,19,1076,57,92,111,387,0,65,5,68,28,0,254,5,108,52,8,0,120,40232,23,0,61,67,50,21883,0,0,3,529,0,51,16,56,0,30,12,301,290,59,22,0,20,0,17,0,0,1374,2170,166,0,0,12,8,301,766,0,0,415,113,31,0,26,0,11,7,0,55,18,117,8,116,390,87,134,0,0,58,1,0,0,0,110,298372,291260,186506,2686,68911,1349,92,31716,7112,2612,4500,6946,583,2703,441,278,2941,151,15
