SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,NV,32,,,,,04000US32,Nevada,2798636,1929661,235721,31393,214846,17942,246138,122935,19626,103309,2028300,275460,55498,271325,36054,267951,31393,24426,649,48,290,127,260,1186,15,92,529,451,6,124,29,101,37,14,237,0,276,175,33,59,1449,2062,83,32,5231,22,36,346,36,28,2237,772,93,85,101,55,9,161,55,6795,980,357,22,81,50,126,20,58,29,4394,1207,214846,11206,895,130,467,1828,32572,109846,49,408,10446,14429,2728,176,42,504,0,984,733,1266,6590,11630,45,1321,6551,17942,6668,3820,1141,337,3841,12,626,293,0,854,350,57684,45213,1352,78,1317,283,288,7361,92,378,971,1911,17,211,137,388,55,100,331,0,823,197,116,81,1987,3090,216,104,6841,108,344,452,78,137,2877,1665,364,117,111,410,13,431,63,9318,1815,726,148,113,157,176,20,112,83,9847,283559,12802,938,495,476,2547,44299,140859,78,894,22484,19423,3131,419,176,676,141,1186,797,1450,9918,15234,45,5091,37350,15545,5430,1568,474,5985,42,837,380,5,7084,2798636,2675701,1929661,235721,31393,214846,17942,246138,122935,19626,103309,111314,23927,14831,32397,3039,37120,10357,1264
40,NV,32,,,,,04001US32,Nevada -- Urban,2637318,1793983,230574,23705,212131,17422,239836,119667,19269,100398,1889799,269457,46520,267632,35212,261280,23705,17950,467,42,221,122,250,1027,15,23,491,357,0,109,25,101,34,14,236,0,276,171,32,57,1445,1984,80,27,2760,6,31,309,35,28,1385,714,91,78,81,44,0,161,53,4568,729,340,22,81,36,125,20,56,13,3990,683,212131,10960,895,130,467,1774,32076,108466,49,408,10367,14282,2714,176,42,504,0,984,733,1242,6497,11536,45,1286,6498,17422,6438,3722,1102,337,3710,12,619,292,0,840,350,48181,36761,1137,72,1193,278,278,6818,77,309,924,1755,11,196,121,365,52,100,308,0,761,193,115,79,1982,2891,213,99,4002,92,335,401,77,124,1906,1564,362,110,90,279,0,419,61,6612,1540,663,148,106,143,172,20,74,63,9154,279749,12548,938,495,474,2453,43710,139023,78,894,22140,19187,3117,419,173,676,141,1175,782,1426,9765,15100,45,4990,36505,15159,5319,1513,474,5842,42,820,379,5,6952,2637318,2517651,1793983,230574,23705,212131,17422,239836,119667,19269,100398,108134,23267,13739,31725,2961,36442,10283,1250
40,NV,32,,,,,04043US32,Nevada -- Rural,161318,135678,5147,7688,2715,520,6302,3268,357,2911,138501,6003,8978,3693,842,6671,7688,6476,182,6,69,5,10,159,0,69,38,94,6,15,4,0,3,0,1,0,0,4,1,2,4,78,3,5,2471,16,5,37,1,0,852,58,2,7,20,11,9,0,2,2227,251,17,0,0,14,1,0,2,16,404,524,2715,246,0,0,0,54,496,1380,0,0,79,147,14,0,0,0,0,0,0,24,93,94,0,35,53,520,230,98,39,0,131,0,7,1,0,14,0,9503,8452,215,6,124,5,10,543,15,69,47,156,6,15,16,23,3,0,23,0,62,4,1,2,5,199,3,5,2839,16,9,51,1,13,971,101,2,7,21,131,13,12,2,2706,275,63,0,7,14,4,0,38,20,693,3810,254,0,0,2,94,589,1836,0,0,344,236,14,0,3,0,0,11,15,24,153,134,0,101,845,386,111,55,0,143,0,17,1,0,132,161318,158050,135678,5147,7688,2715,520,6302,3268,357,2911,3180,660,1092,672,78,678,74,14
40,NV,32,,,,,040A0US32,Nevada -- In metropolitan or micropolitan statistical area,2765093,1901213,234761,29099,214522,17857,245372,122269,19526,102743,1999287,274321,52903,270824,35948,267085,29099,22540,646,46,290,122,260,1101,15,92,525,402,0,92,29,66,31,14,236,0,276,175,33,59,1380,2056,83,32,4356,22,36,345,35,28,1944,771,93,85,101,48,9,161,55,6390,967,357,22,81,50,126,20,58,29,4167,1039,214522,11101,895,130,467,1828,32560,109757,49,408,10377,14414,2724,176,42,504,0,984,733,1266,6565,11625,45,1321,6551,17857,6619,3806,1134,337,3826,12,626,293,0,854,350,54911,42756,1346,76,1317,278,288,7184,77,378,967,1853,11,179,137,353,49,100,309,0,810,197,116,81,1918,3054,216,104,5921,87,344,450,77,137,2528,1655,364,117,111,283,9,431,63,8781,1755,726,148,113,157,176,20,112,79,9595,283058,12697,938,495,474,2547,44285,140759,78,894,22373,19404,3127,419,176,676,141,1128,797,1450,9893,15193,45,5069,37244,15487,5416,1561,474,5970,42,837,380,5,7072,2765093,2642824,1901213,234761,29099,214522,17857,245372,122269,19526,102743,110659,23771,14592,32261,3034,37001,10346,1264
40,NV,32,,,,,040C0US32,Nevada -- In metropolitan statistical area,2529002,1696527,231603,20977,211441,17397,235741,115316,18398,96918,1788348,269575,42556,265488,34713,256313,20977,15546,440,42,221,122,260,924,15,92,365,298,0,38,25,40,11,14,236,0,256,175,33,0,1361,1861,80,18,2953,8,31,308,0,28,817,530,91,85,81,43,0,161,55,3428,736,290,22,29,36,125,20,58,24,3686,695,211441,10939,895,130,467,1828,32218,107930,49,384,10136,14256,2721,176,42,478,0,984,733,1266,6418,11533,45,1288,6525,17397,6452,3740,1049,337,3741,12,602,265,0,849,350,44199,33411,1070,72,1200,275,288,6576,64,354,795,1532,11,78,121,293,29,100,276,0,669,197,116,22,1896,2763,213,76,4175,73,248,401,37,137,1266,1380,362,117,90,278,0,431,63,5267,1479,615,148,57,139,175,20,76,74,8620,277632,12535,938,495,474,2547,43724,137718,78,870,21604,19080,3124,419,173,650,141,1128,797,1450,9699,15101,45,4842,36006,14806,5350,1460,474,5873,42,776,352,5,6868,2529002,2413686,1696527,231603,20977,211441,17397,235741,115316,18398,96918,104011,22607,12753,30577,2782,35292,10054,1251
40,NV,32,,,,,040C1US32,Nevada -- In metropolitan statistical area -- in principal city,1392422,980777,111796,10460,99200,8854,120738,60597,9900,50697,1030137,131222,22174,127144,17231,131688,10460,7430,327,42,178,37,155,381,10,0,238,94,0,7,21,37,0,0,177,0,99,129,0,0,783,868,5,0,841,1,31,234,0,10,569,281,36,9,0,31,0,102,52,1645,267,233,22,19,22,96,20,54,2,2191,337,99200,7049,834,130,92,533,11581,50242,27,214,6367,6789,890,80,24,478,0,772,223,781,3021,5404,38,758,2873,8854,3192,2364,595,16,1609,12,386,66,0,503,111,23068,17315,643,42,737,190,155,3688,45,194,458,810,11,38,88,104,0,27,183,0,311,129,13,18,1014,1214,114,9,1385,66,156,255,23,67,887,848,129,29,0,182,0,318,52,2683,680,353,54,40,24,143,20,72,13,4707,132955,7960,877,495,99,747,17000,64105,56,611,12923,9203,1061,204,141,650,93,880,223,828,5018,7214,38,2529,17758,7392,3323,748,107,2398,12,414,71,5,3288,1392422,1331825,980777,111796,10460,99200,8854,120738,60597,9900,50697,54608,11727,7344,16308,1221,18008,5486,503
40,NV,32,,,,,040C2US32,Nevada -- In metropolitan statistical area -- not in principal city,1136580,715750,119807,10517,112241,8543,115003,54719,8498,46221,758211,138353,20382,138344,17482,124625,10517,8116,113,0,43,85,105,543,5,92,127,204,0,31,4,3,11,14,59,0,157,46,33,0,578,993,75,18,2112,7,0,74,0,18,248,249,55,76,81,12,0,59,3,1783,469,57,0,10,14,29,0,4,22,1495,358,112241,3890,61,0,375,1295,20637,57688,22,170,3769,7467,1831,96,18,0,0,212,510,485,3397,6129,7,530,3652,8543,3260,1376,454,321,2132,0,216,199,0,346,239,21131,16096,427,30,463,85,133,2888,19,160,337,722,0,40,33,189,29,73,93,0,358,68,103,4,882,1549,99,67,2790,7,92,146,14,70,379,532,233,88,90,96,0,113,11,2584,799,262,94,17,115,32,0,4,61,3913,144677,4575,61,0,375,1800,26724,73613,22,259,8681,9877,2063,215,32,0,48,248,574,622,4681,7887,7,2313,18248,7414,2027,712,367,3475,30,362,281,0,3580,1136580,1081861,715750,119807,10517,112241,8543,115003,54719,8498,46221,49403,10880,5409,14269,1561,17284,4568,748
40,NV,32,,,,,040E0US32,Nevada -- In micropolitan statistical area,236091,204686,3158,8122,3081,460,9631,6953,1128,5825,210939,4746,10347,5336,1235,10772,8122,6994,206,4,69,0,0,177,0,0,160,104,0,54,4,26,20,0,0,0,20,0,0,59,19,195,3,14,1403,14,5,37,35,0,1127,241,2,0,20,5,9,0,0,2962,231,67,0,52,14,1,0,0,5,481,344,3081,162,0,0,0,0,342,1827,0,24,241,158,3,0,0,26,0,0,0,0,147,92,0,33,26,460,167,66,85,0,85,0,24,28,0,5,0,10712,9345,276,4,117,3,0,608,13,24,172,321,0,101,16,60,20,0,33,0,141,0,0,59,22,291,3,28,1746,14,96,49,40,0,1262,275,2,0,21,5,9,0,0,3514,276,111,0,56,18,1,0,36,5,975,5426,162,0,0,0,0,561,3041,0,24,769,324,3,0,3,26,0,0,0,0,194,92,0,227,1238,681,66,101,0,97,0,61,28,0,204,236091,229138,204686,3158,8122,3081,460,9631,6953,1128,5825,6648,1164,1839,1684,252,1709,292,13
40,NV,32,,,,,040E1US32,Nevada -- In micropolitan statistical area -- in principal city,101071,87216,2150,2007,1577,242,4417,3462,798,2664,90399,2962,3007,2516,574,5224,2007,1592,56,0,0,0,0,65,0,0,131,70,0,3,0,26,17,0,0,0,20,0,0,57,0,39,0,14,299,0,0,0,35,0,139,43,0,0,0,0,0,0,0,578,76,66,0,52,14,0,0,0,5,216,52,1577,107,0,0,0,0,183,969,0,6,100,105,0,0,0,26,0,0,0,0,30,32,0,19,0,242,116,15,2,0,70,0,12,27,0,0,0,3072,2442,65,0,0,0,0,277,13,24,131,114,0,29,0,54,17,0,0,0,68,0,0,57,0,39,0,28,466,0,48,0,35,0,162,52,0,0,0,0,0,0,0,763,94,66,0,52,14,0,0,0,5,465,2516,107,0,0,0,0,235,1525,0,6,184,201,0,0,0,26,0,0,0,0,30,32,0,170,574,400,15,2,0,70,0,49,27,0,11,101071,97609,87216,2150,2007,1577,242,4417,3462,798,2664,3339,571,773,805,138,1052,110,13
40,NV,32,,,,,040E2US32,Nevada -- In micropolitan statistical area -- not in principal city,135020,117470,1008,6115,1504,218,5214,3491,330,3161,120540,1784,7340,2820,661,5548,6115,5402,150,4,69,0,0,112,0,0,29,34,0,51,4,0,3,0,0,0,0,0,0,2,19,156,3,0,1104,14,5,37,0,0,988,198,2,0,20,5,9,0,0,2384,155,1,0,0,0,1,0,0,0,265,292,1504,55,0,0,0,0,159,858,0,18,141,53,3,0,0,0,0,0,0,0,117,60,0,14,26,218,51,51,83,0,15,0,12,1,0,5,0,7640,6903,211,4,117,3,0,331,0,0,41,207,0,72,16,6,3,0,33,0,73,0,0,2,22,252,3,0,1280,14,48,49,5,0,1100,223,2,0,21,5,9,0,0,2751,182,45,0,4,4,1,0,36,0,510,2910,55,0,0,0,0,326,1516,0,18,585,123,3,0,3,0,0,0,0,0,164,60,0,57,664,281,51,99,0,27,0,12,1,0,193,135020,131529,117470,1008,6115,1504,218,5214,3491,330,3161,3309,593,1066,879,114,657,182,0
