SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,NY,36,,,,,04000US36,New York,19673174,12704637,3070392,74793,1570223,6485,1685765,560879,153078,407801,13131658,3344602,193357,1733149,26560,1853699,74793,44124,399,5,889,896,2854,4014,45,155,464,316,0,22,118,166,16,353,34,12,19016,71,19,19,3494,280,4,92,0,37,72,90,4,212,26,316,5829,839,0,0,0,54,0,2892,6371,472,74,46,209,143,0,0,197,22236,1393,1570223,351953,68124,2355,14668,5236,646095,114070,297,4788,37552,133332,3475,3079,586,10168,9,77827,5919,13994,11545,29535,446,13372,21798,6485,2000,580,35,52,943,30,400,99,0,2121,225,198210,125912,1618,41,7552,1285,14393,23785,259,393,1506,1662,0,424,327,557,258,1374,244,12,33014,98,177,58,6029,727,59,182,11,101,319,591,40,1505,68,1608,15150,1368,50,15,36,86,8,8922,11684,978,310,69,310,261,0,28,244,59392,1761434,390663,73080,2586,15966,6171,686712,140056,310,6611,54515,147446,4503,4200,747,10745,128,83012,6753,15630,14425,35989,546,60640,27143,5418,1391,95,333,1969,30,738,364,11,16794,19673174,19112295,12704637,3070392,74793,1570223,6485,1685765,560879,153078,407801,516276,154266,56087,98862,22691,184370,40524,4079
40,NY,36,,,,,04001US36,New York -- Urban,17326601,10488113,3030898,61428,1548065,6040,1667277,524780,149159,375621,10882358,3290170,166637,1702878,24958,1831018,61428,32598,382,5,757,845,2833,3455,45,155,304,279,0,22,115,147,16,206,34,12,9706,60,16,0,3252,178,0,92,0,37,38,90,0,212,24,280,5638,839,0,0,0,47,0,2477,6088,407,59,40,165,143,0,0,181,20890,1264,1548065,346366,68014,2314,14525,5113,641537,111210,297,4743,36168,130353,3315,3064,582,10094,9,76986,5819,13368,10502,28551,446,13118,21571,6040,1791,475,34,52,899,14,390,99,0,2061,225,170898,104828,1446,32,6812,1177,14326,20900,228,390,1042,1508,0,413,312,472,230,1010,244,12,20177,87,151,0,5713,499,46,182,0,101,281,591,36,1362,60,1300,14738,1348,23,15,32,79,0,7453,10897,897,282,63,263,261,0,28,221,54055,1730644,383808,72958,2545,15823,5978,681000,135140,310,6426,52176,143339,4269,4167,705,10671,124,82124,6611,14869,13059,34649,546,59347,25513,4875,1223,93,330,1848,14,718,364,11,16037,17326601,16801821,10488113,3030898,61428,1548065,6040,1667277,524780,149159,375621,482316,143085,45600,92667,21579,179385,38567,3897
40,NY,36,,,,,04043US36,New York -- Rural,2346573,2216524,39494,13365,22158,445,18488,36099,3919,32180,2249300,54432,26720,30271,1602,22681,13365,11526,17,0,132,51,21,559,0,0,160,37,0,0,3,19,0,147,0,0,9310,11,3,19,242,102,4,0,0,0,34,0,4,0,2,36,191,0,0,0,0,7,0,415,283,65,15,6,44,0,0,0,16,1346,129,22158,5587,110,41,143,123,4558,2860,0,45,1384,2979,160,15,4,74,0,841,100,626,1043,984,0,254,227,445,209,105,1,0,44,16,10,0,0,60,0,27312,21084,172,9,740,108,67,2885,31,3,464,154,0,11,15,85,28,364,0,0,12837,11,26,58,316,228,13,0,11,0,38,0,4,143,8,308,412,20,27,0,4,7,8,1469,787,81,28,6,47,0,0,0,23,5337,30790,6855,122,41,143,193,5712,4916,0,185,2339,4107,234,33,42,74,4,888,142,761,1366,1340,0,1293,1630,543,168,2,3,121,16,20,0,0,757,2346573,2310474,2216524,39494,13365,22158,445,18488,36099,3919,32180,33960,11181,10487,6195,1112,4985,1957,182
40,NY,36,,,,,040A0US36,New York -- In metropolitan or micropolitan statistical area,19273360,12338218,3054700,73890,1566755,6447,1680226,553124,152059,401065,12758384,3324947,189902,1728415,26268,1847004,73890,43501,399,5,879,884,2849,3910,45,155,449,314,0,22,115,159,16,350,34,12,18729,71,19,19,3494,257,0,92,0,37,72,90,4,212,24,312,5761,839,0,0,0,54,0,2818,6350,470,74,44,209,143,0,0,197,22029,1343,1566755,351202,68068,2343,14668,5225,645404,113606,297,4782,37334,132937,3313,3071,585,10163,9,77565,5919,13790,11495,29431,446,13339,21763,6447,1973,580,35,52,943,30,400,99,0,2110,225,194665,123629,1573,41,7474,1263,14388,23101,259,393,1440,1622,0,418,324,540,249,1286,244,12,32270,98,163,58,6029,704,55,182,11,101,319,591,40,1501,60,1597,15002,1368,50,15,32,86,8,8662,11623,976,310,67,310,261,0,28,237,58200,1756586,389679,73024,2574,15966,6153,685699,139224,310,6591,54112,147024,4331,4192,741,10740,128,82747,6753,15411,14322,35885,546,60434,26844,5310,1391,95,333,1966,30,738,364,11,16606,19273360,18720236,12338218,3054700,73890,1566755,6447,1680226,553124,152059,401065,508991,151200,54161,98079,22381,183170,40120,4013
40,NY,36,,,,,040C0US36,New York -- In metropolitan statistical area,18267314,11410342,3026346,64532,1557239,6159,1668895,533801,149881,383920,11812670,3287056,174459,1715571,25577,1833242,64532,35368,386,5,771,868,2831,3671,45,155,402,296,0,22,115,149,16,301,34,12,11615,68,19,19,3445,200,0,92,0,37,66,90,0,207,24,276,5674,839,0,0,0,51,0,2567,6213,449,55,42,209,143,0,0,191,21016,1295,1557239,348968,67580,2300,14640,5176,643016,112355,297,4751,36851,132014,3245,3061,584,10076,9,77292,5887,13721,11227,29013,446,13106,21624,6159,1852,507,34,52,928,6,395,99,0,2061,225,178823,110685,1463,5,7069,1242,14345,21930,247,390,1274,1416,0,418,324,530,233,1190,244,12,22902,95,152,58,5960,567,55,182,11,101,287,591,36,1414,60,1495,14771,1348,50,15,32,83,8,8080,11368,930,278,65,310,249,0,28,231,55609,1743431,387033,72536,2531,15938,6095,682650,137206,310,6557,53180,145672,4237,4167,740,10653,128,82392,6721,15335,13925,35149,546,59730,26153,5066,1294,72,333,1925,6,733,364,11,16349,18267314,17733513,11410342,3026346,64532,1557239,6159,1668895,533801,149881,383920,490583,143273,49201,95461,22075,180573,39266,3952
40,NY,36,,,,,040C1US36,New York -- In metropolitan statistical area -- in principal city,9717612,4423046,2401928,40402,1202576,4105,1319457,326098,98056,228042,4653508,2570164,99977,1303619,17215,1426211,40402,18973,309,5,651,693,1168,2572,25,67,195,135,0,22,65,93,16,56,34,0,3957,42,11,0,2599,92,0,16,0,37,32,71,0,199,24,154,3862,599,0,0,0,10,0,1162,4166,241,40,6,165,30,0,0,82,16178,762,1202576,230248,62638,2253,13206,3972,553536,75045,152,3742,25706,96270,1499,2566,544,8656,0,54193,4529,10281,7982,18737,384,9771,16666,4105,1042,303,19,5,484,6,257,72,0,1692,225,102614,56482,971,5,4042,835,3676,12968,169,230,522,910,0,366,112,244,168,398,179,0,8746,69,54,0,3820,235,39,97,0,86,109,440,28,1107,44,901,9828,1098,23,0,0,42,0,3921,7517,600,246,29,216,98,0,11,97,37918,1324548,257884,67151,2484,14250,4574,579839,89193,165,4846,35742,103847,1905,3411,661,9196,0,57293,5106,11427,9674,22804,462,42634,17607,2921,690,57,196,1191,6,556,267,11,11712,9717612,9391514,4423046,2401928,40402,1202576,4105,1319457,326098,98056,228042,301430,88548,20424,57871,15324,119263,22534,2134
40,NY,36,,,,,040C2US36,New York -- In metropolitan statistical area -- not in principal city,8549702,6987296,624418,24130,354663,2054,349438,207703,51825,155878,7159162,716892,74482,411952,8362,407031,24130,16395,77,0,120,175,1663,1099,20,88,207,161,0,0,50,56,0,245,0,12,7658,26,8,19,846,108,0,76,0,0,34,19,0,8,0,122,1812,240,0,0,0,41,0,1405,2047,208,15,36,44,113,0,0,109,4838,533,354663,118720,4942,47,1434,1204,89480,37310,145,1009,11145,35744,1746,495,40,1420,9,23099,1358,3440,3245,10276,62,3335,4958,2054,810,204,15,47,444,0,138,27,0,369,0,76209,54203,492,0,3027,407,10669,8962,78,160,752,506,0,52,212,286,65,792,65,12,14156,26,98,58,2140,332,16,85,11,15,178,151,8,307,16,594,4943,250,27,15,32,41,8,4159,3851,330,32,36,94,151,0,17,134,17691,418883,129149,5385,47,1688,1521,102811,48013,145,1711,17438,41825,2332,756,79,1457,128,25099,1615,3908,4251,12345,84,17096,8546,2145,604,15,137,734,0,177,97,0,4637,8549702,8341999,6987296,624418,24130,354663,2054,349438,207703,51825,155878,189153,54725,28777,37590,6751,61310,16732,1818
40,NY,36,,,,,040E0US36,New York -- In micropolitan statistical area,1006046,927876,28354,9358,9516,288,11331,19323,2178,17145,945714,37891,15443,12844,691,13762,9358,8133,13,0,108,16,18,239,0,0,47,18,0,0,0,10,0,49,0,0,7114,3,0,0,49,57,0,0,0,0,6,0,4,5,0,36,87,0,0,0,0,3,0,251,137,21,19,2,0,0,0,0,6,1013,48,9516,2234,488,43,28,49,2388,1251,0,31,483,923,68,10,1,87,0,273,32,69,268,418,0,233,139,288,121,73,1,0,15,24,5,0,0,49,0,15842,12944,110,36,405,21,43,1171,12,3,166,206,0,0,0,10,16,96,0,0,9368,3,11,0,69,137,0,0,0,0,32,0,4,87,0,102,231,20,0,0,0,3,0,582,255,46,32,2,0,12,0,0,6,2591,13155,2646,488,43,28,58,3049,2018,0,34,932,1352,94,25,1,87,0,355,32,76,397,736,0,704,691,244,97,23,0,41,24,5,0,0,257,1006046,986723,927876,28354,9358,9516,288,11331,19323,2178,17145,18408,7927,4960,2618,306,2597,854,61
40,NY,36,,,,,040E1US36,New York -- In micropolitan statistical area -- in principal city,248613,218468,12564,1121,3267,105,5677,7411,893,6518,225394,17407,2620,4052,310,6748,1121,680,0,0,33,0,0,14,0,0,5,0,0,0,0,0,0,26,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,61,60,0,0,0,0,0,0,0,0,370,11,3267,576,428,0,12,14,850,408,0,26,182,286,31,4,0,2,0,96,0,5,28,142,0,138,39,105,35,50,0,0,0,0,0,0,0,20,0,2705,1860,20,27,109,0,25,198,10,0,39,30,0,0,0,0,0,36,0,0,1001,0,2,0,20,18,0,0,0,0,22,0,0,0,0,33,80,0,0,0,0,0,0,190,113,12,0,0,0,12,0,0,0,720,4120,633,428,0,12,14,1053,557,0,26,310,363,31,13,0,2,0,126,0,5,66,178,0,303,310,113,53,0,0,12,0,0,0,0,132,248613,241202,218468,12564,1121,3267,105,5677,7411,893,6518,6929,4167,1083,587,107,985,457,25
40,NY,36,,,,,040E2US36,New York -- In micropolitan statistical area -- not in principal city,757433,709408,15790,8237,6249,183,5654,11912,1285,10627,720320,20484,12823,8792,381,7014,8237,7453,13,0,75,16,18,225,0,0,42,18,0,0,0,10,0,23,0,0,6588,3,0,0,49,57,0,0,0,0,6,0,4,5,0,28,80,0,0,0,0,3,0,190,77,21,19,2,0,0,0,0,6,643,37,6249,1658,60,43,16,35,1538,843,0,5,301,637,37,6,1,85,0,177,32,64,240,276,0,95,100,183,86,23,1,0,15,24,5,0,0,29,0,13137,11084,90,9,296,21,18,973,2,3,127,176,0,0,0,10,16,60,0,0,8367,3,9,0,49,119,0,0,0,0,10,0,4,87,0,69,151,20,0,0,0,3,0,392,142,34,32,2,0,0,0,0,6,1871,9035,2013,60,43,16,44,1996,1461,0,8,622,989,63,12,1,85,0,229,32,71,331,558,0,401,381,131,44,23,0,29,24,5,0,0,125,757433,745521,709408,15790,8237,6249,183,5654,11912,1285,10627,11479,3760,3877,2031,199,1612,397,36
