SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,RI,44,,,,,04000US44,Rhode Island,1053661,854859,68243,5106,34213,373,61085,29782,6665,23117,877619,84071,13132,40570,1871,68578,5106,3737,0,0,220,0,57,425,0,0,17,0,0,7,0,24,0,5,0,0,0,0,0,0,76,37,0,0,0,0,0,37,0,33,0,7,301,0,0,0,0,0,19,2472,137,10,0,0,0,10,0,0,0,1137,85,34213,5362,329,75,382,5740,8375,2980,652,62,821,1597,2696,42,61,456,0,537,24,390,380,2177,26,303,746,373,154,0,0,0,110,0,0,77,0,28,4,13306,9418,150,98,493,79,122,1416,0,0,37,23,0,19,0,43,0,39,0,0,358,0,18,0,110,99,7,18,0,0,0,37,0,72,0,113,707,0,0,0,0,0,35,5325,705,45,0,0,35,10,0,0,0,3138,41730,6076,432,75,382,6401,9628,4351,685,94,1669,2103,3007,42,140,456,28,672,34,506,778,2691,32,1448,1880,388,40,0,0,186,0,0,87,0,1179,1053661,1023879,854859,68243,5106,34213,373,61085,29782,6665,23117,27520,8762,3642,4829,2439,7848,2151,111
40,RI,44,,,,,04001US44,Rhode Island -- Urban,955468,761040,67164,4724,33239,358,60676,28267,6591,21676,782362,82401,12106,39224,1818,68095,4724,3426,0,0,220,0,57,419,0,0,17,0,0,7,0,14,0,5,0,0,0,0,0,0,76,37,0,0,0,0,0,37,0,33,0,7,301,0,0,0,0,0,19,2177,137,10,0,0,0,10,0,0,0,1069,82,33239,5153,329,75,378,5721,8101,2802,622,62,734,1559,2636,42,61,456,0,537,24,390,349,2143,26,303,736,358,139,0,0,0,110,0,0,77,0,28,4,12280,8626,150,98,488,67,122,1294,0,0,37,23,0,19,0,33,0,6,0,0,311,0,18,0,110,99,7,18,0,0,0,37,0,72,0,100,707,0,0,0,0,0,35,4775,603,45,0,0,35,10,0,0,0,3006,40374,5835,432,75,378,6382,9319,4042,655,94,1523,2065,2937,42,89,456,28,672,34,492,738,2644,32,1410,1827,373,40,0,0,180,0,0,87,0,1147,955468,927201,761040,67164,4724,33239,358,60676,28267,6591,21676,26132,8343,3118,4539,2428,7704,2024,111
40,RI,44,,,,,04043US44,Rhode Island -- Rural,98193,93819,1079,382,974,15,409,1515,74,1441,95257,1670,1026,1346,53,483,382,311,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,68,3,974,209,0,0,4,19,274,178,30,0,87,38,60,0,0,0,0,0,0,0,31,34,0,0,10,15,15,0,0,0,0,0,0,0,0,0,0,1026,792,0,0,5,12,0,122,0,0,0,0,0,0,0,10,0,33,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,550,102,0,0,0,0,0,0,0,0,132,1356,241,0,0,4,19,309,309,30,0,146,38,70,0,51,0,0,0,0,14,40,47,0,38,53,15,0,0,0,6,0,0,0,0,32,98193,96678,93819,1079,382,974,15,409,1515,74,1441,1388,419,524,290,11,144,127,0
40,RI,44,,,,,040A0US44,Rhode Island -- In metropolitan or micropolitan statistical area,1053661,854859,68243,5106,34213,373,61085,29782,6665,23117,877619,84071,13132,40570,1871,68578,5106,3737,0,0,220,0,57,425,0,0,17,0,0,7,0,24,0,5,0,0,0,0,0,0,76,37,0,0,0,0,0,37,0,33,0,7,301,0,0,0,0,0,19,2472,137,10,0,0,0,10,0,0,0,1137,85,34213,5362,329,75,382,5740,8375,2980,652,62,821,1597,2696,42,61,456,0,537,24,390,380,2177,26,303,746,373,154,0,0,0,110,0,0,77,0,28,4,13306,9418,150,98,493,79,122,1416,0,0,37,23,0,19,0,43,0,39,0,0,358,0,18,0,110,99,7,18,0,0,0,37,0,72,0,113,707,0,0,0,0,0,35,5325,705,45,0,0,35,10,0,0,0,3138,41730,6076,432,75,382,6401,9628,4351,685,94,1669,2103,3007,42,140,456,28,672,34,506,778,2691,32,1448,1880,388,40,0,0,186,0,0,87,0,1179,1053661,1023879,854859,68243,5106,34213,373,61085,29782,6665,23117,27520,8762,3642,4829,2439,7848,2151,111
40,RI,44,,,,,040C0US44,Rhode Island -- In metropolitan statistical area,1053661,854859,68243,5106,34213,373,61085,29782,6665,23117,877619,84071,13132,40570,1871,68578,5106,3737,0,0,220,0,57,425,0,0,17,0,0,7,0,24,0,5,0,0,0,0,0,0,76,37,0,0,0,0,0,37,0,33,0,7,301,0,0,0,0,0,19,2472,137,10,0,0,0,10,0,0,0,1137,85,34213,5362,329,75,382,5740,8375,2980,652,62,821,1597,2696,42,61,456,0,537,24,390,380,2177,26,303,746,373,154,0,0,0,110,0,0,77,0,28,4,13306,9418,150,98,493,79,122,1416,0,0,37,23,0,19,0,43,0,39,0,0,358,0,18,0,110,99,7,18,0,0,0,37,0,72,0,113,707,0,0,0,0,0,35,5325,705,45,0,0,35,10,0,0,0,3138,41730,6076,432,75,382,6401,9628,4351,685,94,1669,2103,3007,42,140,456,28,672,34,506,778,2691,32,1448,1880,388,40,0,0,186,0,0,87,0,1179,1053661,1023879,854859,68243,5106,34213,373,61085,29782,6665,23117,27520,8762,3642,4829,2439,7848,2151,111
40,RI,44,,,,,040C1US44,Rhode Island -- In metropolitan statistical area -- in principal city,260535,166498,30278,2286,14198,189,38325,8761,2247,6514,172584,35495,4746,15625,767,40872,2286,1461,0,0,220,0,0,263,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,37,0,33,0,0,81,0,0,0,0,0,0,796,62,0,0,0,0,0,0,0,0,696,67,14198,1717,123,75,306,3811,2908,644,267,30,214,872,946,9,11,280,0,336,0,117,187,900,26,148,271,189,124,0,0,0,46,0,0,0,0,15,4,4814,2984,101,0,299,0,11,496,0,0,0,0,0,11,0,9,0,0,0,0,29,0,18,0,8,86,3,0,0,0,0,37,0,72,0,66,92,0,0,0,0,0,0,1646,252,0,0,0,0,0,0,0,0,1578,15958,1888,123,75,306,3999,3281,867,300,30,396,1033,1104,9,11,280,0,417,0,148,262,944,26,459,771,147,35,0,0,63,0,0,0,0,526,260535,251774,166498,30278,2286,14198,189,38325,8761,2247,6514,8029,2521,754,1017,955,2782,680,52
40,RI,44,,,,,040C2US44,Rhode Island -- In metropolitan statistical area -- not in principal city,793126,688361,37965,2820,20015,184,22760,21021,4418,16603,705035,48576,8386,24945,1104,27706,2820,2276,0,0,0,0,57,162,0,0,17,0,0,0,0,24,0,5,0,0,0,0,0,0,76,13,0,0,0,0,0,0,0,0,0,7,220,0,0,0,0,0,19,1676,75,10,0,0,0,10,0,0,0,441,18,20015,3645,206,0,76,1929,5467,2336,385,32,607,725,1750,33,50,176,0,201,24,273,193,1277,0,155,475,184,30,0,0,0,64,0,0,77,0,13,0,8492,6434,49,98,194,79,111,920,0,0,37,23,0,8,0,34,0,39,0,0,329,0,0,0,102,13,4,18,0,0,0,0,0,0,0,47,615,0,0,0,0,0,35,3679,453,45,0,0,35,10,0,0,0,1560,25772,4188,309,0,76,2402,6347,3484,385,64,1273,1070,1903,33,129,176,28,255,34,358,516,1747,6,989,1109,241,5,0,0,123,0,0,87,0,653,793126,772105,688361,37965,2820,20015,184,22760,21021,4418,16603,19491,6241,2888,3812,1484,5066,1471,59
50,RI,44,001,,,,05000US44001,"Bristol County, Rhode Island",49176,46863,622,13,806,12,122,738,33,705,47580,761,268,1115,50,183,13,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,37,0,0,0,21,441,161,0,0,20,34,4,6,4,0,0,34,0,0,29,11,0,0,4,12,12,0,0,0,0,0,0,0,0,0,0,294,162,0,0,39,0,13,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,22,0,0,0,0,0,0,0,0,110,1149,108,0,0,0,32,486,217,0,0,79,92,4,6,17,0,0,40,0,0,29,11,6,22,55,31,0,0,0,0,0,0,0,0,24,49176,48438,46863,622,13,806,12,122,738,33,705,695,122,251,261,0,61,43,0
50,RI,44,003,,,,05000US44003,"Kent County, Rhode Island",164958,152660,2308,211,3971,9,2375,3424,395,3029,155791,3782,1238,4814,131,2848,211,166,0,0,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,86,20,0,0,0,0,0,0,0,0,25,0,3971,673,138,0,0,627,842,333,398,0,183,188,73,0,0,0,0,190,0,18,41,40,0,73,154,9,0,0,0,0,9,0,0,0,0,0,0,1273,862,15,92,77,14,0,59,0,0,17,0,0,0,0,0,0,0,0,0,63,0,18,0,21,62,0,18,0,0,0,37,0,0,0,53,6,0,0,0,0,0,0,310,50,31,0,0,31,0,0,0,0,330,4975,739,138,0,0,804,962,529,398,0,261,303,191,0,0,0,0,190,0,53,176,45,0,186,131,18,0,0,0,9,0,0,0,0,104,164958,161534,152660,2308,211,3971,9,2375,3424,395,3029,3202,1131,809,623,86,553,222,0
50,RI,44,005,,,,05000US44005,"Newport County, Rhode Island",82663,74070,2907,166,1438,13,1250,2819,249,2570,76421,4481,1139,2108,113,1608,166,157,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,3,0,0,0,0,0,0,0,0,0,6,1438,194,68,0,0,17,178,627,0,12,98,94,0,0,0,0,0,0,0,6,48,96,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,1139,1048,20,0,0,0,0,249,0,0,1,0,0,0,0,0,0,34,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,577,3,0,0,0,0,0,0,0,0,88,2113,194,68,0,0,58,207,880,0,12,229,175,0,0,0,0,0,0,0,6,134,120,0,30,113,15,0,0,0,47,0,0,0,0,51,82663,79844,74070,2907,166,1438,13,1250,2819,249,2570,2431,887,353,591,300,300,388,0
