SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,TN,47,,,,,04000US47,Tennessee,6499615,5059894,1091070,17802,102027,3323,96739,128760,12111,116649,5177822,1150035,62985,127361,8649,110209,17802,12714,427,0,67,36,26,5897,232,107,290,562,0,53,18,198,0,283,207,0,351,5,80,13,1325,154,57,84,0,13,176,64,23,46,7,641,209,142,3,0,0,0,0,918,957,250,61,4,116,46,0,23,88,3334,459,102027,25668,1087,426,886,1939,16339,10323,262,296,4313,10507,7190,297,14,1574,7,2564,240,800,1613,12557,12,1583,1530,3323,813,608,22,25,1084,19,361,9,13,365,4,66016,51468,1099,0,1988,107,152,34235,333,492,690,1692,0,310,44,723,341,298,207,0,1004,21,434,13,1625,461,257,114,27,13,273,223,45,490,7,1006,414,185,11,4,0,30,0,2100,2413,423,64,4,169,163,0,23,165,11547,130077,28175,1087,473,949,2221,19406,16329,262,477,8082,14186,8367,468,25,1684,44,2866,257,1103,2649,13875,48,7044,8770,2802,859,22,90,1578,19,478,9,13,2900,6499615,6370855,5059894,1091070,17802,102027,3323,96739,128760,12111,116649,120881,46132,35874,18230,3398,17247,7127,752
40,TN,47,,,,,04001US47,Tennessee -- Urban,4346878,3052705,1005700,12492,93248,2784,85892,94057,9299,84758,3136912,1053694,39229,114548,7407,96176,12492,8804,394,0,43,20,26,3541,232,57,182,458,0,48,6,53,0,260,207,0,210,0,53,13,1136,113,7,64,0,0,137,37,8,31,7,335,190,142,3,0,0,0,0,791,675,169,15,0,108,46,0,0,0,2545,299,93248,23937,1034,426,886,1816,14963,8397,238,266,3779,9611,6643,297,14,1574,7,2519,234,730,1177,11942,12,1318,1428,2784,625,489,22,25,987,8,361,9,0,258,0,41315,31513,941,0,1460,44,117,19176,294,295,474,1311,0,254,25,278,237,260,207,0,467,0,318,13,1358,269,151,70,27,0,209,152,30,258,7,604,380,142,11,0,0,30,0,1644,1794,313,18,0,132,163,0,0,21,7674,117061,26129,1034,426,949,2074,17789,13415,238,408,6942,12551,7694,468,25,1637,44,2791,251,918,2020,13121,22,6115,7521,2281,683,22,86,1400,8,478,9,0,2554,4346878,4252821,3052705,1005700,12492,93248,2784,85892,94057,9299,84758,87655,36831,18997,14761,3143,13923,5828,574
40,TN,47,,,,,04043US47,Tennessee -- Rural,2152737,2007189,85370,5310,8779,539,10847,34703,2812,31891,2040910,96341,23756,12813,1242,14033,5310,3910,33,0,24,16,0,2356,0,50,108,104,0,5,12,145,0,23,0,0,141,5,27,0,189,41,50,20,0,13,39,27,15,15,0,306,19,0,0,0,0,0,0,127,282,81,46,4,8,0,0,23,88,789,160,8779,1731,53,0,0,123,1376,1926,24,30,534,896,547,0,0,0,0,45,6,70,436,615,0,265,102,539,188,119,0,0,97,11,0,0,13,107,4,24701,19955,158,0,528,63,35,15059,39,197,216,381,0,56,19,445,104,38,0,0,537,21,116,0,267,192,106,44,0,13,64,71,15,232,0,402,34,43,0,4,0,0,0,456,619,110,46,4,37,0,0,23,144,3873,13016,2046,53,47,0,147,1617,2914,24,69,1140,1635,673,0,0,47,0,75,6,185,629,754,26,929,1249,521,176,0,4,178,11,0,0,13,346,2152737,2118034,2007189,85370,5310,8779,539,10847,34703,2812,31891,33226,9301,16877,3469,255,3324,1299,178
40,TN,47,,,,,040A0US47,Tennessee -- In metropolitan or micropolitan statistical area,5850729,4492051,1030828,15772,99975,3138,93294,115671,11062,104609,4597652,1084604,54067,124508,8134,105679,15772,11156,399,0,43,20,26,4924,232,68,230,436,0,53,18,186,0,260,207,0,345,5,72,13,1254,139,57,72,0,13,158,64,23,39,7,595,209,142,3,0,0,0,0,844,825,200,15,0,116,46,0,23,88,3068,435,99975,24991,1066,426,886,1826,16080,9797,262,286,4227,10353,7168,297,14,1574,7,2561,232,800,1593,12489,12,1545,1483,3138,737,562,22,25,1061,19,361,9,13,329,0,56617,43595,953,0,1627,89,152,28061,285,453,557,1469,0,303,44,598,332,275,207,0,985,21,361,13,1551,438,257,102,27,13,239,223,45,450,7,946,404,142,11,0,0,30,0,1925,2208,373,18,0,169,163,0,23,109,10332,127095,27472,1066,426,949,2108,19087,15480,262,462,7829,13947,8335,468,25,1637,44,2863,249,1103,2629,13760,48,6846,8246,2610,802,22,90,1543,19,478,9,13,2660,5850729,5735058,4492051,1030828,15772,99975,3138,93294,115671,11062,104609,108213,41871,29776,17571,3046,15949,6727,731
40,TN,47,,,,,040C0US47,Tennessee -- In metropolitan statistical area,5007264,3715101,999174,13238,94959,3012,83419,98361,9630,88731,3804186,1046713,43277,117367,7600,94196,13238,9263,384,0,43,20,26,3802,232,51,154,404,0,53,18,146,0,260,207,0,329,0,46,13,917,125,57,72,0,13,150,55,0,39,7,573,126,142,3,0,0,0,0,796,531,177,15,0,116,46,0,0,88,2767,412,94959,23886,1066,426,886,1805,14875,9183,261,259,3832,9835,7023,297,14,1549,7,2561,205,786,1339,12094,12,1417,1341,3012,710,513,22,25,1018,19,361,9,13,322,0,45380,34329,751,0,1339,77,152,20838,280,318,455,1270,0,247,44,515,300,267,207,0,931,16,331,13,1214,366,257,102,27,13,222,214,0,430,7,819,321,142,3,0,0,30,0,1811,1764,350,18,0,169,163,0,0,109,8828,119724,25932,1066,426,949,2087,17633,14486,261,418,7245,12978,8109,468,25,1612,25,2863,222,1042,2210,13210,38,6419,7709,2401,709,22,86,1457,19,418,9,13,2575,5007264,4908903,3715101,999174,13238,94959,3012,83419,98361,9630,88731,91410,36400,22226,15987,2732,14065,6243,708
40,TN,47,,,,,040C1US47,Tennessee -- In metropolitan statistical area -- in principal city,2263015,1302979,783467,5835,54679,1771,60437,53847,6273,47574,1349497,812542,19321,68146,4950,67368,5835,4002,74,0,13,0,9,1796,119,14,80,128,0,41,6,19,0,18,207,0,126,0,35,0,597,38,0,4,0,0,112,0,0,0,7,120,86,125,0,0,0,0,0,228,180,143,15,0,108,20,0,0,0,1253,257,54679,12701,225,426,615,1281,8687,4239,36,167,1884,5661,4325,253,14,1271,7,1501,181,377,685,8406,5,1021,711,1771,525,189,22,25,665,0,144,0,0,201,0,20372,15081,329,0,680,0,35,9107,152,143,247,584,0,212,25,147,104,18,207,0,330,0,221,0,770,120,67,4,17,0,132,0,0,46,7,282,247,125,0,0,0,30,0,693,817,177,15,0,132,30,0,0,21,4276,69451,13738,225,426,678,1487,10225,7152,36,289,3384,7531,4846,356,25,1334,15,1747,198,463,1184,9078,31,5003,5037,1683,314,22,56,969,0,201,0,0,1792,2263015,2209168,1302979,783467,5835,54679,1771,60437,53847,6273,47574,49291,20638,7981,9015,2314,9343,4205,351
40,TN,47,,,,,040C2US47,Tennessee -- In metropolitan statistical area -- not in principal city,2744249,2412122,215707,7403,40280,1241,22982,44514,3357,41157,2454689,234171,23956,49221,2650,26828,7403,5261,310,0,30,20,17,2006,113,37,74,276,0,12,12,127,0,242,0,0,203,0,11,13,320,87,57,68,0,13,38,55,0,39,0,453,40,17,3,0,0,0,0,568,351,34,0,0,8,26,0,0,88,1514,155,40280,11185,841,0,271,524,6188,4944,225,92,1948,4174,2698,44,0,278,0,1060,24,409,654,3688,7,396,630,1241,185,324,0,0,353,19,217,9,13,121,0,25008,19248,422,0,659,77,117,11731,128,175,208,686,0,35,19,368,196,249,0,0,601,16,110,13,444,246,190,98,10,13,90,214,0,384,0,537,74,17,3,0,0,0,0,1118,947,173,3,0,37,133,0,0,88,4552,50273,12194,841,0,271,600,7408,7334,225,129,3861,5447,3263,112,0,278,10,1116,24,579,1026,4132,7,1416,2672,718,395,0,30,488,19,217,9,13,783,2744249,2699735,2412122,215707,7403,40280,1241,22982,44514,3357,41157,42119,15762,14245,6972,418,4722,2038,357
40,TN,47,,,,,040E0US47,Tennessee -- In micropolitan statistical area,843465,776950,31654,2534,5016,126,9875,17310,1432,15878,793466,37891,10790,7141,534,11483,2534,1893,15,0,0,0,0,1122,0,17,76,32,0,0,0,40,0,0,0,0,16,5,26,0,337,14,0,0,0,0,8,9,23,0,0,22,83,0,0,0,0,0,0,48,294,23,0,0,0,0,0,23,0,301,23,5016,1105,0,0,0,21,1205,614,1,27,395,518,145,0,0,25,0,0,27,14,254,395,0,128,142,126,27,49,0,0,43,0,0,0,0,7,0,11237,9266,202,0,288,12,0,7223,5,135,102,199,0,56,0,83,32,8,0,0,54,5,30,0,337,72,0,0,0,0,17,9,45,20,0,127,83,0,8,0,0,0,0,114,444,23,0,0,0,0,0,23,0,1504,7371,1540,0,0,0,21,1454,994,1,44,584,969,226,0,0,25,19,0,27,61,419,550,10,427,537,209,93,0,4,86,0,60,0,0,85,843465,826155,776950,31654,2534,5016,126,9875,17310,1432,15878,16803,5471,7550,1584,314,1884,484,23
40,TN,47,,,,,040E1US47,Tennessee -- In micropolitan statistical area -- in principal city,236450,198187,21467,1048,2892,47,5866,6943,529,6414,204563,24655,3912,3752,254,6471,1048,695,15,0,0,0,0,270,0,14,30,16,0,0,0,0,0,0,0,0,0,0,13,0,225,14,0,0,0,0,0,0,8,0,0,0,64,0,0,0,0,0,0,26,230,23,0,0,0,0,0,23,0,93,7,2892,836,0,0,0,21,826,271,0,7,242,123,0,0,0,25,0,0,21,0,124,214,0,45,137,47,11,28,0,0,8,0,0,0,0,0,0,4048,3328,71,0,130,0,0,2429,0,20,45,112,0,23,0,10,17,0,0,0,0,0,13,0,225,72,0,0,0,0,0,0,30,0,0,24,64,0,0,0,0,0,0,43,269,23,0,0,0,0,0,23,0,428,3924,1064,0,0,0,21,1019,401,0,7,367,208,15,0,0,25,0,0,21,0,154,326,10,286,254,120,28,0,0,16,0,60,0,0,30,236450,229507,198187,21467,1048,2892,47,5866,6943,529,6414,6735,2679,2511,552,219,774,202,6
40,TN,47,,,,,040E2US47,Tennessee -- In micropolitan statistical area -- not in principal city,607015,578763,10187,1486,2124,79,4009,10367,903,9464,588903,13236,6878,3389,280,5012,1486,1198,0,0,0,0,0,852,0,3,46,16,0,0,0,40,0,0,0,0,16,5,13,0,112,0,0,0,0,0,8,9,15,0,0,22,19,0,0,0,0,0,0,22,64,0,0,0,0,0,0,0,0,208,16,2124,269,0,0,0,0,379,343,1,20,153,395,145,0,0,0,0,0,6,14,130,181,0,83,5,79,16,21,0,0,35,0,0,0,0,7,0,7189,5938,131,0,158,12,0,4794,5,115,57,87,0,33,0,73,15,8,0,0,54,5,17,0,112,0,0,0,0,0,17,9,15,20,0,103,19,0,8,0,0,0,0,71,175,0,0,0,0,0,0,0,0,1076,3447,476,0,0,0,0,435,593,1,37,217,761,211,0,0,0,19,0,6,61,265,224,0,141,283,89,65,0,4,70,0,0,0,0,55,607015,596648,578763,10187,1486,2124,79,4009,10367,903,9464,10068,2792,5039,1032,95,1110,282,17
