SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,TX,48,,,,,04000US48,Texas,26538614,19874610,3152917,126493,1124011,21655,1585866,653062,149597,503465,20431817,3390604,321654,1295773,48556,1747949,126493,78197,5788,119,740,121,459,16293,222,3501,938,10702,143,2138,54,1880,124,358,334,492,614,720,178,42,13842,3342,831,283,20,164,995,2453,37,524,98,2040,635,664,167,96,21,412,17,5596,5076,611,86,77,165,211,0,72,272,39349,2988,1124011,309002,8593,1925,14770,13549,176763,118880,773,4862,20260,71979,13297,1516,58,12190,12,58374,3702,12324,14518,237881,389,10663,17731,21655,6689,2943,1935,203,5435,460,2470,68,0,1031,421,338384,230079,14041,658,6583,576,1448,80298,821,8755,2716,33078,412,6975,398,5044,336,984,569,678,1725,1109,367,239,22518,6067,1643,489,51,287,2059,3319,66,2316,494,5553,2058,1067,199,247,48,1093,33,12662,12895,1123,158,180,339,312,12,122,478,93809,1322330,326558,9315,2139,15362,16397,206796,163242,986,6817,45053,91581,16275,1925,187,13444,134,62789,4158,14164,20871,258806,566,44765,49970,14627,4787,2365,379,9502,584,3227,188,0,14311,26538614,25885552,19874610,3152917,126493,1124011,21655,1585866,653062,149597,503465,612271,155268,139789,112891,21850,182473,37354,3437
40,TX,48,,,,,04001US48,Texas -- Urban,22547056,16363120,2936326,104550,1091357,20153,1452907,578643,136408,442235,16851755,3152008,264850,1252604,44296,1600982,104550,62951,4771,119,586,67,414,12425,189,2716,847,8158,143,1735,54,1333,43,253,269,470,524,641,74,42,12221,2807,625,225,20,164,696,2360,23,321,98,1605,549,638,166,87,12,340,17,4104,4463,532,68,36,164,199,0,65,264,34045,2295,1091357,301954,8342,1925,14526,12197,172247,113647,646,4623,19142,69026,12283,1439,58,11839,12,57175,3656,11968,13857,232710,361,10415,17309,20153,6124,2741,1810,193,5105,433,2427,68,0,892,360,277570,185728,11445,622,5455,494,1369,63202,654,6922,2434,25606,412,5355,394,3995,153,757,472,598,1518,932,213,236,19790,5126,1312,390,51,278,1583,3205,52,1973,478,4278,1913,1023,166,167,39,838,33,9795,10948,1037,134,139,337,300,12,115,459,79398,1278113,319170,9051,2139,15118,14819,200594,155323,798,6284,41936,87184,15157,1830,184,13082,134,61381,4099,13727,19740,252745,538,43080,45271,12948,4284,2208,266,8980,557,3017,188,0,12823,22547056,21968413,16363120,2936326,104550,1091357,20153,1452907,578643,136408,442235,541592,139058,109533,105646,20141,167214,33755,3296
40,TX,48,,,,,04043US48,Texas -- Rural,3991558,3511490,216591,21943,32654,1502,132959,74419,13189,61230,3580062,238596,56804,43169,4260,146967,21943,15246,1017,0,154,54,45,3868,33,785,91,2544,0,403,0,547,81,105,65,22,90,79,104,0,1621,535,206,58,0,0,299,93,14,203,0,435,86,26,1,9,9,72,0,1492,613,79,18,41,1,12,0,7,8,5304,693,32654,7048,251,0,244,1352,4516,5233,127,239,1118,2953,1014,77,0,351,0,1199,46,356,661,5171,28,248,422,1502,565,202,125,10,330,27,43,0,0,139,61,60814,44351,2596,36,1128,82,79,17096,167,1833,282,7472,0,1620,4,1049,183,227,97,80,207,177,154,3,2728,941,331,99,0,9,476,114,14,343,16,1275,145,44,33,80,9,255,0,2867,1947,86,24,41,2,12,0,7,19,14411,44217,7388,264,0,244,1578,6202,7919,188,533,3117,4397,1118,95,3,362,0,1408,59,437,1131,6061,28,1685,4699,1679,503,157,113,522,27,210,0,0,1488,3991558,3917139,3511490,216591,21943,32654,1502,132959,74419,13189,61230,70679,16210,30256,7245,1709,15259,3599,141
40,TX,48,,,,,040A0US48,Texas -- In metropolitan or micropolitan statistical area,25132539,18681479,3047094,119437,1118410,20960,1516175,628984,143961,485023,19217007,3276231,304540,1287847,47191,1672316,119437,73645,5681,119,636,120,459,15144,205,3292,919,9836,143,2025,54,1672,72,358,334,476,592,658,166,42,13534,3062,821,269,20,164,941,2398,37,487,98,1968,623,651,167,87,12,399,17,4887,4965,574,86,71,134,211,0,72,264,37329,2660,1118410,308302,8575,1884,14544,13332,176200,118063,763,4862,20111,71044,13241,1512,58,12088,12,58114,3667,12277,14395,236799,389,10524,17654,20960,6289,2852,1920,203,5381,457,2354,68,0,1015,421,319981,216636,13353,632,6176,575,1448,75044,755,8314,2655,30721,412,6480,394,4753,203,984,569,662,1660,1034,325,234,21838,5682,1598,470,35,262,1910,3264,66,2197,488,5378,2046,1054,199,238,39,1018,33,11438,12551,1052,150,174,301,312,12,103,450,89292,1314191,325735,9297,2098,15136,16151,205754,161791,976,6809,44512,90444,16212,1920,187,13342,134,62515,4116,14095,20667,257506,566,44228,48581,13980,4635,2332,375,9388,581,3055,188,0,14047,25132539,24503555,18681479,3047094,119437,1118410,20960,1516175,628984,143961,485023,589213,148722,131550,111464,21184,176293,36382,3389
40,TX,48,,,,,040C0US48,Texas -- In metropolitan statistical area,23510680,17310079,2908701,109578,1104561,19722,1460156,597883,137319,460564,17817436,3126229,281703,1270749,45106,1609112,109578,66857,5059,119,567,120,434,13969,182,3057,888,8740,143,1851,54,1516,72,358,334,476,540,552,166,42,11996,2855,785,269,20,160,870,2347,37,465,98,1739,621,635,167,87,12,398,17,4040,4465,538,86,71,108,211,0,62,264,34908,2546,1104561,306012,8450,1884,12975,12815,174331,116323,763,4804,19722,70208,12839,1486,58,11719,12,57944,3453,12147,13925,235007,389,10003,17292,19722,6016,2606,1876,193,5228,457,1905,68,0,955,418,296225,200528,11932,632,5899,571,1398,70118,611,7781,2534,28072,412,5941,290,4447,180,974,569,662,1570,924,295,234,19472,5231,1530,470,35,258,1830,3155,66,2125,467,5040,2044,1018,199,167,39,1017,33,10286,11551,1009,150,174,268,312,12,93,444,82693,1296633,323224,9163,2098,13473,15604,203504,159066,976,6739,43588,89086,15787,1894,180,12973,134,62292,3902,13923,20054,255333,566,43074,46489,13423,4322,2283,362,9158,581,2580,188,0,13592,23510680,22912797,17310079,2908701,109578,1104561,19722,1460156,597883,137319,460564,559812,140117,121561,109345,19889,168900,34819,3252
40,TX,48,,,,,040C1US48,Texas -- In metropolitan statistical area -- in principal city,12010968,8490857,1700672,55599,578433,10943,871942,302522,73844,228678,8744367,1815283,135019,665751,23421,952531,55599,31856,2736,103,237,41,158,5824,115,1293,634,3486,9,1056,33,432,22,144,215,398,205,487,33,30,6048,1851,319,94,20,81,166,1645,7,202,9,574,286,337,150,63,12,274,17,2010,2653,254,30,11,92,80,0,41,128,19319,1389,578433,161157,5448,1387,9896,4196,106235,52611,198,2783,12318,40184,6239,912,54,8111,0,25642,1881,7947,7635,108501,181,5818,9099,10943,4034,1388,413,0,3207,67,1068,45,0,605,116,141376,93043,6097,590,2493,252,520,30470,407,3580,1245,11562,278,2820,172,1825,57,412,360,432,726,574,142,193,10213,3175,588,196,35,147,418,2125,16,1201,20,2498,1138,487,150,104,18,496,21,4790,6093,474,75,73,92,170,12,52,224,41542,679674,169626,5799,1503,10161,5334,121544,73764,313,3640,25547,50161,7960,1184,142,8862,23,27481,2160,9178,10516,117890,267,26619,24029,7627,2056,482,135,5253,128,1421,101,0,6826,12010968,11708446,8490857,1700672,55599,578433,10943,871942,302522,73844,228678,281468,71957,50996,57930,10812,89773,19489,1565
40,TX,48,,,,,040C2US48,Texas -- In metropolitan statistical area -- not in principal city,11499712,8819222,1208029,53979,526128,8779,588214,295361,63475,231886,9073069,1310946,146684,604998,21685,656581,53979,35001,2323,16,330,79,276,8145,67,1764,254,5254,134,795,21,1084,50,214,119,78,335,65,133,12,5948,1004,466,175,0,79,704,702,30,263,89,1165,335,298,17,24,0,124,0,2030,1812,284,56,60,16,131,0,21,136,15589,1157,526128,144855,3002,497,3079,8619,68096,63712,565,2021,7404,30024,6600,574,4,3608,12,32302,1572,4200,6290,126506,208,4185,8193,8779,1982,1218,1463,193,2021,390,837,23,0,350,302,154849,107485,5835,42,3406,319,878,39648,204,4201,1289,16510,134,3121,118,2622,123,562,209,230,844,350,153,41,9259,2056,942,274,0,111,1412,1030,50,924,447,2542,906,531,49,63,21,521,12,5496,5458,535,75,101,176,142,0,41,220,41151,616959,153598,3364,595,3312,10270,81960,85302,663,3099,18041,38925,7827,710,38,4111,111,34811,1742,4745,9538,137443,299,16455,22460,5796,2266,1801,227,3905,453,1159,87,0,6766,11499712,11204351,8819222,1208029,53979,526128,8779,588214,295361,63475,231886,278344,68160,70565,51415,9077,79127,15330,1687
40,TX,48,,,,,040E0US48,Texas -- In micropolitan statistical area,1621859,1371400,138393,9859,13849,1238,56019,31101,6642,24459,1399571,150002,22837,17098,2085,63204,9859,6788,622,0,69,0,25,1175,23,235,31,1096,0,174,0,156,0,0,0,0,52,106,0,0,1538,207,36,0,0,4,71,51,0,22,0,229,2,16,0,0,0,1,0,847,500,36,0,0,26,0,0,10,0,2421,114,13849,2290,125,0,1569,517,1869,1740,0,58,389,836,402,26,0,369,0,170,214,130,470,1792,0,521,362,1238,273,246,44,10,153,0,449,0,0,60,3,23756,16108,1421,0,277,4,50,4926,144,533,121,2649,0,539,104,306,23,10,0,0,90,110,30,0,2366,451,68,0,0,4,80,109,0,72,21,338,2,36,0,71,0,1,0,1152,1000,43,0,0,33,0,0,10,6,6599,17558,2511,134,0,1663,547,2250,2725,0,70,924,1358,425,26,7,369,0,223,214,172,613,2173,0,1154,2092,557,313,49,13,230,0,475,0,0,455,1621859,1590758,1371400,138393,9859,13849,1238,56019,31101,6642,24459,29401,8605,9989,2119,1295,7393,1563,137
40,TX,48,,,,,040E1US48,Texas -- In micropolitan statistical area -- in principal city,778355,624116,87480,5374,9605,943,32738,18099,4370,13729,640233,94785,12348,11297,1427,37547,5374,3568,280,0,58,0,6,362,16,94,6,592,0,24,0,103,0,0,0,0,25,106,0,0,1198,169,36,0,0,0,67,37,0,22,0,70,0,0,0,0,0,0,0,297,250,36,0,0,26,0,0,10,0,1482,38,9605,2097,42,0,1019,310,1509,1203,0,42,159,367,281,26,0,120,0,160,204,106,400,962,0,337,261,943,145,202,33,0,99,0,436,0,0,28,0,12669,8010,651,0,180,0,31,2129,21,270,84,1311,0,172,104,126,0,0,0,0,44,110,0,0,1673,215,65,0,0,0,74,79,0,50,21,142,0,7,0,0,0,0,0,451,470,43,0,0,33,0,0,10,0,4146,11600,2262,46,0,1113,310,1762,1820,0,42,497,465,289,26,7,120,0,189,204,130,484,1168,0,666,1427,340,235,38,0,169,0,436,0,0,209,778355,760256,624116,87480,5374,9605,943,32738,18099,4370,13729,17047,5298,4882,1195,963,4709,921,131
40,TX,48,,,,,040E2US48,Texas -- In micropolitan statistical area -- not in principal city,843504,747284,50913,4485,4244,295,23281,13002,2272,10730,759338,55217,10489,5801,658,25657,4485,3220,342,0,11,0,19,813,7,141,25,504,0,150,0,53,0,0,0,0,27,0,0,0,340,38,0,0,0,4,4,14,0,0,0,159,2,16,0,0,0,1,0,550,250,0,0,0,0,0,0,0,0,939,76,4244,193,83,0,550,207,360,537,0,16,230,469,121,0,0,249,0,10,10,24,70,830,0,184,101,295,128,44,11,10,54,0,13,0,0,32,3,11087,8098,770,0,97,4,19,2797,123,263,37,1338,0,367,0,180,23,10,0,0,46,0,30,0,693,236,3,0,0,4,6,30,0,22,0,196,2,29,0,71,0,1,0,701,530,0,0,0,0,0,0,0,6,2453,5958,249,88,0,550,237,488,905,0,28,427,893,136,0,0,249,0,34,10,42,129,1005,0,488,665,217,78,11,13,61,0,39,0,0,246,843504,830502,747284,50913,4485,4244,295,23281,13002,2272,10730,12354,3307,5107,924,332,2684,642,6
