SummaryLevel,US,CensusRegion,CensusDivision,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
10,US,,,01000US,United States,316515021,232943055,39908095,2569170,16235305,546255,14865258,9447883,1530765,7917118,240966668,43587193,5309095,19167716,1262434,16559996,2569170,1956914,69385,8309,28029,6811,10543,279935,12199,23956,113377,93501,7863,12162,2326,41580,11857,7466,15149,9364,42901,7891,69600,8300,104170,309584,8918,6756,10260,24982,19478,56504,14145,13256,9374,124715,24416,8495,21744,8534,8904,21923,8305,269947,68969,108204,15341,11745,29049,15161,2252,34656,10431,356712,67940,16235305,3303512,153234,21441,126590,263396,3693977,2717844,267009,71451,779637,1460214,207999,18803,15919,103526,3039,414880,46036,158122,188673,1710547,4364,131130,373962,546255,174460,109455,45453,5045,73088,23444,39936,33468,750,25674,15482,5516157,4142055,141237,12823,161892,17233,31933,1108037,23505,65276,193896,238303,11837,29695,9666,100337,18160,21153,23104,14246,103906,13184,86376,12898,181192,369018,21580,14452,16019,32463,38534,72436,21709,38397,17194,207022,65948,13761,25884,15016,12209,38978,12036,489510,169745,163971,26106,21569,41700,27910,4807,41879,17939,1022447,19814047,3590279,164821,24875,138426,316640,4416876,3707082,280410,108477,1388163,1792437,256416,28818,20546,111021,11627,455005,52267,181029,278281,1928363,6887,555301,1307448,549858,182968,62458,16986,130476,26856,51208,42110,1101,243427,316515021,307067138,232943055,39908095,2569170,16235305,546255,14865258,9447883,1530765,7917118,8632743,2407385,1846997,1871046,311538,2195777,747197,67943
10,US,,,01001US,United States -- Urban,256477713,179948357,36307956,1597859,15758077,505069,14059178,8301217,1415336,6885881,186917261,39633954,3770592,18483497,1161389,15627208,1597859,1144812,45643,3270,19833,5172,9892,168197,6636,14503,55068,50120,3094,8662,1698,25175,5233,5219,8443,7008,25971,5689,23224,3290,96731,156212,6018,4413,6082,12289,11417,35225,8642,8293,5031,61452,23171,7739,11774,3620,3851,20488,4544,156780,55929,51641,7788,5965,16563,10526,940,9859,7606,290360,47511,15758077,3219096,151428,21385,124101,254197,3610717,2627465,245789,69248,746194,1406909,196982,18299,15484,101690,2854,404279,45021,154418,177517,1670970,4213,124774,365047,505069,152906,104369,44379,4674,67842,22310,37776,32291,625,23540,14357,3927716,2835628,105339,6976,130774,13602,30709,785438,15290,44583,113651,153828,5664,21833,7568,68997,9813,16091,14920,10931,73852,9526,34928,6790,168285,205192,16131,9632,10916,18658,25340,48999,14237,28811,11325,123568,62370,12601,15310,8574,6094,35815,7302,325365,139451,95141,16114,13760,26757,20251,2788,15471,13080,844416,19105569,3490328,162915,24667,135522,305134,4298374,3547634,258130,103713,1312441,1711926,242525,27743,19766,109016,10856,442641,50949,176103,260812,1878597,6685,529092,1203051,494536,172742,60593,15660,121174,25148,48170,40487,952,223589,256477713,248176496,179948357,36307956,1597859,15758077,505069,14059178,8301217,1415336,6885881,7554399,2145579,1364831,1729591,281842,2032556,685110,61708
10,US,,,01043US,United States -- Rural,60037308,52994698,3600139,971311,477228,41186,806080,1146666,115429,1031237,54049407,3953239,1538503,684219,101045,932788,971311,812102,23742,5039,8196,1639,651,111738,5563,9453,58309,43381,4769,3500,628,16405,6624,2247,6706,2356,16930,2202,46376,5010,7439,153372,2900,2343,4178,12693,8061,21279,5503,4963,4343,63263,1245,756,9970,4914,5053,1435,3761,113167,13040,56563,7553,5780,12486,4635,1312,24797,2825,66352,20429,477228,84416,1806,56,2489,9199,83260,90379,21220,2203,33443,53305,11017,504,435,1836,185,10601,1015,3704,11156,39577,151,6356,8915,41186,21554,5086,1074,371,5246,1134,2160,1177,125,2134,1125,1588441,1306427,35898,5847,31118,3631,1224,322599,8215,20693,80245,84475,6173,7862,2098,31340,8347,5062,8184,3315,30054,3658,51448,6108,12907,163826,5449,4820,5103,13805,13194,23437,7472,9586,5869,83454,3578,1160,10574,6442,6115,3163,4734,164145,30294,68830,9992,7809,14943,7659,2019,26408,4859,178031,708478,99951,1906,208,2904,11506,118502,159448,22280,4764,75722,80511,13891,1075,780,2005,771,12364,1318,4926,17469,49766,202,26209,104397,55322,10226,1865,1326,9302,1708,3038,1623,149,19838,60037308,58890642,52994698,3600139,971311,477228,41186,806080,1146666,115429,1031237,1078344,261806,482166,141455,29696,163221,62087,6235
10,US,,,01089US,United States -- American Indian Reservation and Trust Land -- Federal,1030571,379115,15540,546603,14706,3014,27115,44478,4478,40000,416103,23856,581167,19639,4535,32059,546603,522082,27968,5097,8593,462,5,10151,4146,154,35214,7057,3695,195,345,938,5973,55,7911,2,9238,172,105,3524,345,164426,1980,264,4403,13837,2146,37079,6318,1419,3989,55628,67,50,10128,4610,6053,3268,4224,70848,2778,1777,78,82,232,257,1047,81,154,11688,8124,14706,1774,100,0,220,827,1391,3576,378,60,959,2291,434,9,2,0,0,54,29,90,361,1646,0,191,314,3014,749,755,179,14,471,342,150,169,0,83,102,589856,568110,30500,5509,9517,557,7,14231,4648,225,38955,8192,4036,354,561,1441,6197,77,8679,12,10174,286,130,3740,586,169219,2943,445,5000,14888,2567,38902,7422,1790,4505,60264,97,51,10345,5099,6674,3661,4981,80643,3593,2743,123,226,315,505,1434,140,181,15229,20255,2117,103,0,234,959,1930,5568,394,68,2047,3002,497,33,7,0,4,84,33,97,612,1852,3,611,4715,1508,961,190,41,569,352,214,184,4,692,1030571,986093,379115,15540,546603,14706,3014,27115,44478,4478,40000,42365,3807,26681,2632,2803,6442,1936,177
10,US,,,01090US,United States -- American Indian Reservation and Trust Land -- State,936,160,56,638,7,0,0,75,0,75,222,90,693,7,0,0,638,513,0,0,0,0,0,0,0,0,0,148,0,0,0,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,37,15,0,15,0,0,0,0,0,73,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,557,0,0,2,0,0,4,0,0,0,148,0,0,0,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,379,37,15,0,15,0,0,0,0,0,85,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936,861,160,56,638,7,0,0,75,0,75,74,20,41,0,13,0,1,0
10,US,,,01091US,United States -- Oklahoma Tribal Statistical Area,2548286,1860993,143610,234475,32086,2608,57922,216592,10422,206170,2059731,182823,412509,44521,5044,69788,234475,214447,2289,438,169,15,8,95942,1713,11213,226,38209,7,5082,21,21001,57,1537,31,0,1704,4120,56,13,928,623,2165,495,34,25,3661,106,11,5743,53,908,97,18,117,18,26,56,145,15367,1440,248,2,26,176,33,0,11,88,10385,7867,32086,4950,69,0,1298,354,4091,3680,3505,197,1085,3028,542,22,3,191,0,689,115,213,752,5587,0,1153,562,2608,667,410,19,8,432,190,699,24,0,144,15,430010,403391,4253,740,1927,90,19,187344,2614,24743,698,70684,7,8453,102,38667,98,2434,62,21,3089,5925,98,25,1182,1234,4912,809,76,80,5883,248,31,9026,114,2380,263,27,124,32,50,88,164,24575,3301,603,93,84,307,80,0,39,144,22571,45618,5576,74,0,1465,494,5461,6699,3516,280,4148,5385,700,37,25,203,4,912,115,275,1149,6528,0,2572,5067,1847,596,19,19,633,193,734,27,0,999,2548286,2331694,1860993,143610,234475,32086,2608,57922,216592,10422,206170,207445,18605,155671,8084,11782,13303,8804,343
10,US,,,01092US,United States -- Tribal Designated Statistical Area,43078,39590,303,366,1014,56,688,1061,152,909,40583,486,878,1304,122,856,366,194,0,0,1,15,0,9,2,0,6,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,18,0,39,0,0,11,0,0,0,0,0,0,0,85,22,58,8,19,0,29,2,0,2,70,20,1014,128,0,0,1,0,160,174,248,13,135,61,0,0,0,0,0,0,0,7,12,50,2,5,18,56,14,7,0,0,24,0,5,3,0,3,0,940,598,2,0,15,15,0,98,5,2,22,9,0,0,0,18,0,0,26,0,24,0,0,0,17,8,0,0,0,3,20,0,105,1,5,23,0,0,0,0,3,0,0,177,26,140,8,32,6,61,29,4,7,169,1335,142,0,0,1,0,220,269,248,23,225,80,0,0,0,0,0,2,2,7,23,59,6,28,127,48,11,0,0,36,0,5,3,0,24,43078,42017,39590,303,366,1014,56,688,1061,152,909,980,137,455,194,1,193,72,9
10,US,,,01093US,United States -- Alaska Native Village Statistical Area,255758,158539,2472,66176,7723,1178,1951,17719,494,17225,174673,4528,80130,10700,2126,2521,66176,1601,24,0,25,32,0,275,5,0,105,132,3,14,4,13,1,2,0,7,43,2,23,1,61,66,0,4,3,4,4,32,47,34,11,199,11,0,2,3,6,28,5,370,79,60579,6845,4757,16963,4480,273,27261,2818,0,1099,7723,145,172,0,2,44,391,5293,67,8,227,531,52,17,0,3,0,0,15,0,206,423,0,4,123,1178,200,453,294,57,95,7,60,8,0,4,0,81817,4869,129,0,262,54,10,1544,7,52,330,320,3,66,16,46,6,3,0,7,149,9,52,5,71,79,16,4,12,14,11,42,90,86,17,431,16,0,2,10,9,45,6,838,162,71645,8820,6415,19630,6768,934,29078,4695,446,10980,187,172,0,7,75,642,6975,87,10,853,911,93,37,11,3,4,0,17,0,311,504,0,81,2172,646,591,313,70,165,18,62,8,0,299,255758,238039,158539,2472,66176,7723,1178,1951,17719,494,17225,16657,1059,11981,1654,475,1488,923,139
10,US,,,01094US,United States -- State Designated Tribal Statistical Area,1053200,600456,290569,82723,14254,1380,24699,39119,3409,35710,631455,310498,101186,21357,3250,28693,82723,71266,133,0,76,0,30,3986,0,130,77,559,0,39,3,419,9,301,72,4857,1169,0,51467,0,197,201,25,6,0,0,23,2,0,21,14,313,84,108,0,0,26,37,35,6847,1354,126,0,4,52,39,0,31,15,9344,618,14254,1993,16,0,57,27,1884,2013,367,172,621,2668,179,59,0,120,12,209,77,38,469,2881,8,228,156,1380,304,392,40,18,491,0,84,0,0,51,0,102646,87070,368,3,743,8,61,8903,51,205,99,1310,0,62,56,914,47,518,83,6735,1380,16,54829,0,244,326,47,14,0,0,27,2,1,82,112,522,362,108,0,0,32,41,35,8724,1955,155,0,24,56,39,0,36,17,13449,21861,2540,20,0,57,27,2481,3967,383,172,1844,4192,242,133,0,120,12,230,77,38,935,3495,16,880,3332,793,576,40,52,848,0,198,0,0,825,1053200,1014081,600456,290569,82723,14254,1380,24699,39119,3409,35710,35553,10492,10696,4088,4438,5839,3201,365
10,US,,,01095US,United States -- Hawaiian Home Land,34346,1634,106,69,1682,15867,89,14899,130,14769,11667,392,506,12245,30085,505,69,47,0,0,13,0,0,9,0,0,0,4,0,0,0,4,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,4,0,3,0,0,0,3,0,0,0,19,0,1682,5,0,0,0,0,76,832,0,0,452,33,0,0,0,0,10,0,0,0,12,17,0,0,245,15867,14535,348,50,95,18,192,112,9,0,4,504,517,352,24,16,20,2,0,173,0,0,3,12,0,3,0,4,0,0,0,0,9,0,0,0,11,30,0,0,0,0,0,1,0,0,0,7,0,0,7,0,0,0,0,30,9,14,0,0,11,3,0,0,0,142,16197,38,0,0,0,0,6242,5646,0,0,3458,646,3,9,0,0,43,0,0,0,27,46,0,39,31447,29000,1303,221,249,121,194,179,20,0,160,34346,19447,1634,106,69,1682,15867,89,14899,130,14769,9105,39,88,477,0,8501,5443,351
