SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,UT,49,,,,,04000US49,Utah,2903379,2544735,31909,31824,64102,26147,129907,74755,12962,61793,2612623,46887,50536,90554,40427,144146,31824,27772,497,196,187,21,23,915,126,34,134,287,0,57,41,68,37,0,343,5,153,18,0,0,706,15674,20,18,783,27,52,136,0,0,769,525,425,92,184,3988,0,73,34,1124,420,340,39,20,52,121,0,108,0,2421,871,64102,7379,205,516,1483,2279,12565,7299,135,325,6885,5836,2840,41,319,1721,90,712,68,630,1711,8639,0,704,1720,26147,2074,8392,12117,268,342,924,80,293,0,356,1301,52366,44563,1246,222,647,145,30,4471,202,157,372,878,0,215,135,150,46,181,443,11,325,19,0,19,1146,19936,64,18,1101,37,221,442,21,46,1403,1684,654,117,184,4929,0,132,54,2460,1055,626,54,20,323,121,0,108,13,6109,94565,8695,212,516,1572,2691,18698,14331,171,687,14379,8651,3610,103,356,1721,180,933,68,947,2869,10026,23,3126,43116,7178,12857,16599,1313,597,949,381,498,0,2744,2903379,2828624,2544735,31909,31824,64102,26147,129907,74755,12962,61793,68438,10447,13424,18970,985,24612,5767,550
40,UT,49,,,,,04001US49,Utah -- Urban,2629431,2292765,30747,21351,61998,25655,126264,70651,12263,58388,2356831,45154,38617,87213,39282,139696,21351,17798,336,175,177,14,23,888,120,25,112,284,0,48,32,54,37,0,332,5,142,18,0,0,687,9056,20,18,609,15,52,86,0,0,622,470,425,79,171,1494,0,73,34,1065,393,323,35,20,39,121,0,108,0,2193,644,61998,7064,205,516,1436,2252,12187,6842,135,307,6553,5521,2812,41,313,1721,90,712,68,601,1701,8544,0,702,1675,25655,2002,8129,12045,248,342,894,66,293,0,340,1296,40133,32902,1042,201,602,137,30,4163,182,148,343,794,0,203,116,136,46,181,432,11,302,19,0,19,1115,12870,29,18,902,25,195,360,21,43,1134,1544,639,104,171,2112,0,132,54,2327,987,603,44,20,310,121,0,108,13,5628,91040,8272,212,516,1525,2664,18088,13443,171,669,13817,8123,3544,103,350,1721,138,927,68,918,2852,9883,23,3013,41897,6798,12506,16450,1286,573,919,367,498,0,2500,2629431,2558780,2292765,30747,21351,61998,25655,126264,70651,12263,58388,64583,10082,12174,18054,938,23335,5549,519
40,UT,49,,,,,04043US49,Utah -- Rural,273948,251970,1162,10473,2104,492,3643,4104,699,3405,255792,1733,11919,3341,1145,4450,10473,9974,161,21,10,7,0,27,6,9,22,3,0,9,9,14,0,0,11,0,11,0,0,0,19,6618,0,0,174,12,0,50,0,0,147,55,0,13,13,2494,0,0,0,59,27,17,4,0,13,0,0,0,0,228,227,2104,315,0,0,47,27,378,457,0,18,332,315,28,0,6,0,0,0,0,29,10,95,0,2,45,492,72,263,72,20,0,30,14,0,0,16,5,12233,11661,204,21,45,8,0,308,20,9,29,84,0,12,19,14,0,0,11,0,23,0,0,0,31,7066,35,0,199,12,26,82,0,3,269,140,15,13,13,2817,0,0,0,133,68,23,10,0,13,0,0,0,0,481,3525,423,0,0,47,27,610,888,0,18,562,528,66,0,6,0,42,6,0,29,17,143,0,113,1219,380,351,149,27,24,30,14,0,0,244,273948,269844,251970,1162,10473,2104,492,3643,4104,699,3405,3855,365,1250,916,47,1277,218,31
40,UT,49,,,,,040A0US49,Utah -- In metropolitan or micropolitan statistical area,2760193,2418196,31348,22718,63317,25726,126209,72679,12641,60038,2484095,46138,40375,89436,39691,140107,22718,19075,479,187,182,14,23,882,121,34,132,287,0,57,32,60,37,0,343,5,142,18,0,0,701,8341,20,0,609,15,52,105,0,0,692,499,425,92,177,3150,0,73,34,1055,400,322,39,20,39,121,0,103,0,2193,728,63317,7328,205,516,1422,2265,12363,7208,135,325,6750,5722,2826,41,317,1678,90,712,68,628,1709,8599,0,702,1708,25726,1999,8279,12031,254,342,916,80,258,0,324,1243,41983,34584,1214,213,607,137,30,4273,187,152,354,625,0,215,116,142,46,181,443,11,293,19,0,19,1135,12217,64,0,899,25,221,410,21,46,1289,1594,650,117,177,3915,0,132,34,2361,993,608,54,20,310,121,0,103,13,5785,93423,8644,212,516,1511,2677,18457,14084,171,687,14189,8503,3566,103,354,1678,180,904,68,945,2860,9986,23,3105,42295,6981,12594,16380,1297,597,941,381,463,0,2661,2760193,2687514,2418196,31348,22718,63317,25726,126209,72679,12641,60038,66431,10345,12443,18684,957,24002,5698,550
40,UT,49,,,,,040C0US49,Utah -- In metropolitan statistical area,2591224,2262302,30466,18485,61551,25327,123600,69493,11973,57520,2325502,44536,34942,86888,38902,136775,18485,15410,312,187,114,14,23,857,120,25,111,284,0,57,32,45,37,0,343,5,142,18,0,0,686,7791,20,0,333,15,52,91,0,0,679,419,425,29,177,847,0,73,34,1013,226,193,35,20,39,99,0,0,0,2028,628,61551,7219,205,516,1422,2206,11903,6856,135,325,6356,5515,2776,12,313,1678,90,712,68,628,1701,8518,0,696,1701,25327,1808,8118,12000,252,342,916,66,258,0,324,1243,36433,29759,1032,213,513,137,30,3970,186,143,326,618,0,194,102,127,46,181,443,11,293,19,0,19,1090,11384,64,0,601,25,188,392,21,43,1188,1392,650,54,177,1410,0,132,34,2311,771,473,44,20,310,99,0,0,13,5417,90816,8422,212,516,1511,2618,17816,13484,171,687,13593,8198,3516,74,350,1678,180,898,68,945,2852,9905,23,3099,41414,6588,12406,16344,1295,597,941,367,463,0,2413,2591224,2521731,2262302,30466,18485,61551,25327,123600,69493,11973,57520,63330,9876,11532,18127,735,23060,5636,527
40,UT,49,,,,,040C1US49,Utah -- In metropolitan statistical area -- in principal city,638608,529155,10567,6098,19390,8419,45741,19238,2986,16252,546276,14541,11072,26713,11652,48991,6098,4616,69,9,32,0,10,316,63,11,10,178,0,30,9,0,0,0,164,0,104,0,0,0,261,2166,20,0,74,15,8,38,0,0,121,65,30,0,6,416,0,0,0,391,120,133,0,0,34,99,0,0,0,973,256,19390,1930,205,0,950,282,4859,1873,82,160,2079,2530,660,12,200,236,0,196,62,329,555,1568,0,229,393,8419,575,2358,4160,32,40,532,4,23,0,196,499,11616,9130,391,9,167,35,10,1140,125,38,129,232,0,30,9,20,9,0,242,6,170,0,0,13,439,3387,20,0,88,15,40,69,21,7,246,459,77,9,6,562,0,0,0,910,197,327,9,0,219,99,0,0,0,1962,27714,2288,205,0,1031,436,6363,3604,82,453,4423,3128,815,52,228,236,43,219,62,392,866,1850,23,915,12535,2049,3713,5030,239,191,557,19,50,0,687,638608,619370,529155,10567,6098,19390,8419,45741,19238,2986,16252,17948,2739,3697,5371,370,5771,1195,95
40,UT,49,,,,,040C2US49,Utah -- In metropolitan statistical area -- not in principal city,1952616,1733147,19899,12387,42161,16908,77859,50255,8987,41268,1779226,29995,23870,60175,27250,87784,12387,10794,243,178,82,14,13,541,57,14,101,106,0,27,23,45,37,0,179,5,38,18,0,0,425,5625,0,0,259,0,44,53,0,0,558,354,395,29,171,431,0,73,34,622,106,60,35,20,5,0,0,0,0,1055,372,42161,5289,0,516,472,1924,7044,4983,53,165,4277,2985,2116,0,113,1442,90,516,6,299,1146,6950,0,467,1308,16908,1233,5760,7840,220,302,384,62,235,0,128,744,24817,20629,641,204,346,102,20,2830,61,105,197,386,0,164,93,107,37,181,201,5,123,19,0,6,651,7997,44,0,513,10,148,323,0,36,942,933,573,45,171,848,0,132,34,1401,574,146,35,20,91,0,0,0,13,3455,63102,6134,7,516,480,2182,11453,9880,89,234,9170,5070,2701,22,122,1442,137,679,6,553,1986,8055,0,2184,28879,4539,8693,11314,1056,406,384,348,413,0,1726,1952616,1902361,1733147,19899,12387,42161,16908,77859,50255,8987,41268,45382,7137,7835,12756,365,17289,4441,432
40,UT,49,,,,,040E0US49,Utah -- In micropolitan statistical area,168969,155894,882,4233,1766,399,2609,3186,668,2518,158593,1602,5433,2548,789,3332,4233,3665,167,0,68,0,0,25,1,9,21,3,0,0,0,15,0,0,0,0,0,0,0,0,15,550,0,0,276,0,0,14,0,0,13,80,0,63,0,2303,0,0,0,42,174,129,4,0,0,22,0,103,0,165,100,1766,109,0,0,0,59,460,352,0,0,394,207,50,29,4,0,0,0,0,0,8,81,0,6,7,399,191,161,31,2,0,0,14,0,0,0,0,5550,4825,182,0,94,0,0,303,1,9,28,7,0,21,14,15,0,0,0,0,0,0,0,0,45,833,0,0,298,0,33,18,0,3,101,202,0,63,0,2505,0,0,0,50,222,135,10,0,0,22,0,103,0,368,2607,222,0,0,0,59,641,600,0,0,596,305,50,29,4,0,0,6,0,0,8,81,0,6,881,393,188,36,2,0,0,14,0,0,248,168969,165783,155894,882,4233,1766,399,2609,3186,668,2518,3101,469,911,557,222,942,62,23
40,UT,49,,,,,040E1US49,Utah -- In micropolitan statistical area -- in principal city,69281,63729,323,1083,837,163,1410,1736,516,1220,65238,549,1496,1404,440,1952,1083,805,24,0,55,0,0,22,0,0,21,0,0,0,0,15,0,0,0,0,0,0,0,0,0,352,0,0,177,0,0,0,0,0,5,38,0,0,0,77,0,0,0,19,124,22,0,0,0,22,0,0,0,129,3,837,55,0,0,0,0,190,240,0,0,99,162,38,29,0,0,0,0,0,0,8,10,0,6,0,163,127,23,13,0,0,0,0,0,0,0,0,1516,1162,29,0,55,0,0,152,0,0,21,0,0,0,14,15,0,0,0,0,0,0,0,0,0,409,0,0,188,0,11,0,0,0,5,130,0,0,0,114,0,0,0,19,159,22,0,0,0,22,0,0,0,173,1456,137,0,0,0,0,306,437,0,0,232,253,38,29,0,0,0,0,0,0,8,10,0,6,498,312,33,13,0,0,0,0,0,0,140,69281,67545,63729,323,1083,837,163,1410,1736,516,1220,1680,221,366,394,5,694,50,6
40,UT,49,,,,,040E2US49,Utah -- In micropolitan statistical area -- not in principal city,99688,92165,559,3150,929,236,1199,1450,152,1298,93355,1053,3937,1144,349,1380,3150,2860,143,0,13,0,0,3,1,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,198,0,0,99,0,0,14,0,0,8,42,0,63,0,2226,0,0,0,23,50,107,4,0,0,0,0,103,0,36,97,929,54,0,0,0,59,270,112,0,0,295,45,12,0,4,0,0,0,0,0,0,71,0,0,7,236,64,138,18,2,0,0,14,0,0,0,0,4034,3663,153,0,39,0,0,151,1,9,7,7,0,21,0,0,0,0,0,0,0,0,0,0,45,424,0,0,110,0,22,18,0,3,96,72,0,63,0,2391,0,0,0,31,63,113,10,0,0,0,0,103,0,195,1151,85,0,0,0,59,335,163,0,0,364,52,12,0,4,0,0,6,0,0,0,71,0,0,383,81,155,23,2,0,0,14,0,0,108,99688,98238,92165,559,3150,929,236,1199,1450,152,1298,1421,248,545,163,217,248,12,17
